rn1qk2r/pb2bppp/2p1p3/3nP3/1ppP4/1PN2N2/P1Q1BPPP/R1B2RK1 w kq -,c3e4 c4c3 c1g5 e8h8 e4c5 e7g5 c5b7 d8e7 b7c5 g5h6,-17
2r2rk1/pb2q1pp/1pn5/2b2p2/Q3p3/2P2NB1/PPB2PPP/3RR1K1 w - -,b2b4 e7f6 b4c5 e4f3 e1e6 f6e6 c2b3 e6f7 b3f7 f8f7,354
2rq1rk1/4ppbp/p1npbnp1/1p6/4P1P1/1PN2P2/PBPQN2P/1K1R1B1R w - -,h2h4 c6e5 e2d4 b5b4 c3e2 e5f3 d4f3 e6g4 d2e3 d8c7,174
r1br2k1/p3bppp/1pn1pn2/q7/3P1B2/P1NB1N2/1P3PPP/R2QR1K1 w - -,c3b5 f6d5 f4g3 c8b7 b2b4 e7b4 a3b4 a5b4 d1c2 a7a6,290
rnbqk2r/pp1p2pp/2p1pn2/5p2/2PP4/P1b3P1/1P2PPBP/R1BQK1NR w KQkq -,b2c3 b7b6 c1f4 d7d6 g1f3 e8h8 a3a4 c8a6 c4c5 d6d5,53
r2qkb1r/ppp3pp/2n2n2/1B1p1b2/4p3/8/PPPPQPPP/RNB1K1NR w KQkq -,d2d3 f8b4 c2c3 e8h8 d3e4 f5e4 g1f3 e4f3 e2f3 f6e4,-407
r2r2k1/pp1bbppp/2n1pn2/q7/3P1B2/P1NB1N2/1P3PPP/R2QR1K1 w - -,b2b4 a5h5 b4b5 c6d4 f3d4 d7e8 d1h5 f6h5 f4e3 a8c8,261
r2r2k1/pp1bbppp/2n1pn2/7q/1P1P1B2/P1NB1N2/5PPP/R2QR1K1 w - -,b4b5 c6d4 f3d4 d7e8 d1h5 f6h5 f4e3 a8c8 c3e2 h5f6,255
rn1r2k1/pp1bbppp/4pn2/1P5q/3P1B2/P1NB1N2/5PPP/R2QR1K1 w - -,e1e5 h5g4 f4e3 a7a6 h2h3 g4f3 d1f3 a6b5 d4d5 d7c6,746
r2q1r1k/ppp5/3pn2P/3Pp3/1PP4b/3B2Q1/P5P1/1RB1R1K1 w - -,g3g6 h4f2 g1f1 f2e3 g6f5 e6d4 e1e3 f8f5 d3f5 d4f5,-489
8/8/5k2/3b4/8/1Bp5/p7/K7 w - -,b3a2 d5e4 a2b3 f6e5 a1a2 e5d4 a2a3 d4d3 a3b4 e4d5,Mate
8/8/5k2/8/4b3/2p5/B7/K7 w - -,a2b3 f6e5 a1a2 e5d4 a2a3 d4d3 a3b4 e4f5 b4c5 f5g4,Mate
r1bq1rk1/pppnb1pp/3ppn2/5p2/1PPP4/5NP1/P3PPBP/RNBQ1RK1 w - -,b1c3 c7c6 d1b3 f6e4 a2a4 e4c3 b3c3 e6e5 d4e5 d6e5,87
rnbqkb1r/pp2pp1p/6p1/2pp4/2PPnB2/5N2/PP2PPPP/RN1QKB1R w KQkq -,e2e3 f8g7 b1c3 e4c3 b2c3 e8h8 c4d5 d8d5 f1e2 c5d4,21
8/8/8/4k3/4b3/1Bp5/8/K7 w - -,a1a2 e5d4 a2a3 e4d3 a3b4 d3f5 b3a4 f5e4 a4d1 d4d3,Mate
Q7/K7/8/8/8/1p4p1/1pppppp1/k1qrbbrn w - -,a1a2 e5d4 a2a3 e4d3 a3b4 d3f5 b3a4 f5e4 a4d1 d4d3,Mate
r3k2r/ppqbbpp1/1n2p2p/n2pP2P/2pP1P1N/P1P3PB/1P1N4/R1BQ1RK1 w kq -,d2f3 a5b3 a1b1 b3c1 d1c1 e8a8 f4f5 e6f5 h3f5 d8f8,181
8/8/k7/4B3/1K6/5B2/8/8 w - -,f4f5 e7h4 f5e6 d7e6 h3e6 f7e6 g3h4 c7d7 d1g4 e8a8,Mate
8/3nrp1p/8/3B1k2/7R/4P3/5K1P/8 w - -,h4h7 d7e5 f2g3 f5g6 h7h8 e5d3 d5f7 e7f7 h8g8 g6h5,6
8/4rp1R/5n2/3B1k2/8/4P3/5K1P/8 w - -,d5e6 f5e6 h7h4 e7a7 h4h6 e6f5 f2f3 a7a4 h2h3 f5g5,-339
8/6p1/4k1Kp/8/6P1/8/8/8 w - -,h7h3 f6d5 h3h5 f5e6 f2f3 e7a7 h5h4 a7a2 h2h3 d5e7,Mate
8/5B2/8/5k2/6n1/4P3/5K1P/8 w - -,f2e2 g4h2 f7e6 f5g5 e6h3 g5h4 h3f5 h4g5 e2f2 h2f3,3
rnbqkb1r/ppp1p2p/3p1np1/5p2/5P2/1P2PN2/P1PP2PP/RNBQKB1R w KQkq -,d2d4 f8g7 c1b2 e7e6 f1d3 b8c6 a2a3 d8e7 d1e2 e6e5,19
8/8/8/1k6/1n2K3/8/5Q2/8 w - -,f1e2 f8g7 c1b2 e8h8 e1h1 e7e6 c2c4 b7b6 b1c3 c8b7,Mate
4k3/1p3p1p/4p3/8/PR6/4P3/1P1n2KP/1r3B2 w - -,f1d3 b1a1 b4b7 h7h6 g2f2 f7f5 h2h4 h6h5 f2e2 d2e4,431
