7B/8/8/5K2/p1k5/1p6/8/8 w - -,c3b3 c5d4 h4g6 e4f5 g6f4 f5d7 b3a3 d4e4 a3b4 e4f3,Mate
7q/4k3/3p1p2/1bpP2p1/1p2P1P1/1P3P2/2Q1NK2/8 w - -,f2g1 h8h3 e4e5 h3f3 c2h7 e7d8 h7h8 b5e8 e5f6 f3e2,-438
3r3k/pQ5p/8/2P1P1b1/3P4/8/P1q3PP/5RK1 w - -,c5c6 c2c4 b7f7 c4c6 g1h1 g5h6 f1e1 c6a6 h2h4 d8f8,-86
8/pp3p1p/2p2pk1/8/3PP3/PP4P1/6K1/8 w - -,a3a4 f6f5 g2f3 a7a5 f3f4 f5e4 f4e4 g6g5 e4e5 g5g4,-453
4Q3/1p2P3/kPp2p1p/6p1/8/3R4/3K1q2/8 w - -,,0
1r3rk1/1bpq1ppp/2n1p3/p1bPP3/5P2/2N1NB2/PP4PP/R2Q1RK1 w - -,d5c6 c5e3 g1h1 b7c6 d1e2 e3c5 a1d1 c6f3 f1f3 d7c6,-1
r2q1rk1/pp3pbp/1n2pnp1/1Bp5/5B2/2PP4/PP2QPPP/RN3RK1 w - -,f4e5 a7a6 b5c4 b6d7 e5d6 f8e8 c4b3 d8b6 d6f4 f6d5,-28
Q7/3k4/K2n4/8/8/8/8/8 w - -,f4e5 a7a6 b5c4 b6d7 e5d6 f8e8 c4b3 d8b6 d6f4 f6d5,Mate
8/1R6/8/3p4/3kp1p1/1P6/nb3P2/5K2 w - -,b7g7 b2c3 g7g4 d4d3 g4g3 d3c2 g3g2 c2b3 f1e2 d5d4,-494
r1bqkb1r/3p1ppp/p1p2n2/4p3/Q3P3/5N2/PPP2PPP/RNB1K2R w KQkq -,f3e5 d8e7 f2f4 c8b7 c1e3 e7b4 a4b4 f8b4 c2c3 b4e7,92
8/8/5k2/4p1R1/r4PK1/8/8/8 w - -,,0
5k2/R7/6p1/7p/4PK1P/5P2/8/5r2 w - -,a7a3 f8g7 a3a7 g7f8 a7b7 f1f2 b7c7 f2f1 c7a7 f1f2,33
r1b2rk1/3n4/p1pq4/3p1pp1/3P2p1/2N3P1/PP1Q2PP/2R1R1K1 w - -,c3e2 f5f4 g3f4 d7f6 f4g5 f6e4 d2d3 c8d7 e2g3 e4g3,-318
r2qkbnr/pp1b2p1/2n1p2p/3pPpN1/3P4/2PB4/5PPP/RNBQK2R w KQkq -,c3e2 f5f4 g3f4 d7f6 f4g5 f6e4 d2d3 c8d7 e2g3 e4g3,Mate
8/7P/8/8/6PK/8/4k3/1r6 w - -,,0
r1bqk2r/1p1n1pbp/p1p2np1/4p3/4P1P1/2N1BN1P/PPPQ1P2/R3KB1R w KQkq -,e1a1 d8e7 f3e1 h7h5 g4g5 f6h7 h3h4 h7f8 f1h3 f8e6,104
8/8/3kn3/5Qp1/7p/4nP1P/6P1/5K2 w - -,f1e1 e3f5 e1e2 e6f4 e2e1 d6c5 e1d1 c5d4 d1c1 d4e3,-1224
r1q2rk1/2p1n1b1/p1Pp3n/4p3/PP2Pp2/2N4Q/3BB1P1/R4RK1 w - -,h3c8 f8c8 b4b5 g7f6 b5a6 g8g7 c3b5 d6d5 e4d5 e7d5,192
rn2kbnr/1b2pppp/p7/1ppq4/8/2P2N2/PPNP1PPP/R1BQKB1R w KQkq -,a2a4 b5b4 c3b4 c5b4 d2d4 e7e6 c2e3 d5d8 d4d5 b7d5,38
8/4k3/3p1p2/1bpP2p1/1p2P1Pq/1P3P2/2Q1N1K1/8 w - -,e2g3 b5d7 c2a2 h4h7 a2a7 e7e8 a7b8 e8e7 b8c7 e7e8,385
8/1B3k1p/P7/4P3/5PK1/8/8/r7 w - -,f4f5 a1a4 g4g5 a4a5 g5h6 a5a4 b7d5 f7f8 f5f6 a4a5,707
rq5r/3pkppp/p3pn2/8/3Q4/8/PPP1BPPP/R4RK1 w - -,e2f3 a8a7 c2c4 a6a5 a1c1 h8c8 c4c5 e7f8 b2b3 e6e5,58
8/R2rkppp/1P2pnb1/8/1r6/8/5PBP/3N1RK1 w - -,d1e3 b4b6 a7a3 b6b1 a3a4 b1f1 g1f1 g6d3 f1e1 g7g6,-329
r2q1rk1/p1p2ppp/1p2pb2/2p5/2PP4/2Q1B1P1/PP2PPKP/R2R4 w - -,c3d2 c5d4 e3d4 d8d4 d2d4 f6d4 d1d4 f8d8 a1d1 d8d4,11
4rrk1/1pp2q1p/1pnp1Pp1/2n1p1Q1/2P5/1PB1PR2/P5PP/RB4K1 w - -,b1c2 e5e4 f3f5 c5d3 a1f1 g8h8 c2d3 e4d3 f5d5 h8g8,138
7k/p2n1p1b/3p3P/3p3R/3P1B2/P1r1KN2/8/8 w - -,e3e2 d7f6 h5h4 h7d3 e2e1 f6e4 f3g5 e4g5 f4g5 c3a3,-52
8/1p6/p5K1/8/8/8/2Q5/k4q2 w - -,c2d2 f1b1 g6g5 b1b5 g5g6 a6a5 d2d4 a1a2 d4d2 a2b3,-424
7Q/8/8/8/6PK/8/4k3/7r w - -,h4g3 h1h8 g3f4 e2f2 f4g5 f2f3 g5f6 f3g4 f6e6 h8g8,-464
rn2kbnr/1b3ppp/p3p3/1ppq4/3P4/2P2N2/PPN2PPP/R1BQKB1R w KQkq -,a2a4 b5a4 c2e3 d5b3 f1e2 b8d7 e1h1 b3d1 f1d1 d7b6,56
r7/p4rpk/1p4qp/3pPp1N/1b1P1P1Q/5B2/P3R2P/7K w - -,,0
r2q1rk1/ppp5/3p4/3P1pp1/2P5/2N2Q2/PP3PPP/4RRK1 w - -,f3h5 d8d7 h5g5 d7g7 g5g7 g8g7 c3b5 a8c8 e1e7 g7g8,625
2k1r2r/1pp5/p1q2p2/2Np1b2/3P1np1/1Q4p1/PPPN1P1P/2R1R1K1 w - -,d2f1 g3f2 g1f2 f5e4 e1e3 f6f5 b3c3 f4h3 f2e1 f5f4,-490
r3r1k1/pp3ppp/1np2p2/6q1/3P1N2/P1P2Q2/1P1K1PPP/4R2R w - -,h2h4 b6c4 d2c1 g5f5 g2g3 f5b5 e1e2 g8f8 f3d3 e8e2,-15
6k1/p6r/4b1p1/2N5/2PpPpP1/P4P1B/1r3K2/7R w - -,f2g1 e6c4 e4e5 b2b1 g1g2 b1h1 g2h1 h7h3 h1g1 h3g3,-919
8/pp3p1p/2p3k1/5p2/3PP3/PP3KP1/8/8 w - -,e4e5 g6g5 f3e3 g5g4 b3b4 g4g3 b4b5 f5f4 e3e2 f4f3,-486
2b2rk1/6p1/p2p4/Pp1Pp1n1/1Pp1Pr2/2P2P1p/4R2N/2R3KB w - -,c1e1 g8h7 g1f2 h7h6 f2e3 g5h7 e1g1 g7g5 e3d2 h6h5,-370
8/6N1/8/4kB2/8/K7/8/8 w - -,f5h3 e5d4 a3b4 d4d3 g7e6 d3e4 b4c4 e4e5 c4d3 e5d5,169
5rk1/p1qr1pbp/bpn1p1pn/2ppP3/5PP1/2PP1N2/PPQN1BBP/R3R1K1 w - -,h2h3 f8c8 a1c1 g7f8 f3g5 a6b7 d2f3 a7a5 g2f1 b7a6,112
3r1qk1/4bppb/p3p2p/1p2Q2P/4P3/8/B1P2PP1/B3R1K1 w - -,e5f4 a6a5 c2c4 b5b4 a2b3 e7c5 f4e5 d8d3 b3a4 d3d2,-271
r2q1rk1/pb1nbppp/1p1ppn2/8/2P1PP2/2N1B3/PPN1B1PP/R2Q1RK1 w - -,e2d3 d8c8 e3d4 d7c5 d1e2 a7a6 h2h3 c5d3 e2d3 b6b5,-9
r1bq3k/ppp5/3p1np1/3Pp3/2P1Pp1b/1PN2P2/P1KQN3/R4B2 w - -,c4c5 h8g7 e2c1 d8e7 c1d3 c8d7 f1g2 a8h8 a1h1 f6h5,-147
r6r/1bq2kpp/p1p1p2b/1p6/3PR3/B6R/P1P2PP1/3Q1K2 w - -,h3h6 g7g6 d1f3 f7g8 e4e6 c7f7 f3f7 g8f7 e6e7 f7f6,503
r3r1k1/8/8/pp1p1p1p/3PbPpN/2P4P/PP3P1K/R3R3 w - -,h2g3 g8f7 h3g4 f5g4 f4f5 f7f6 g3f4 a5a4 e1e3 e8g8,19
2r4k/p4p1p/bp2pp2/3n4/3PR2N/P4PP1/1PrR3P/4B1K1 w - -,a3a4 c2c1 h4g2 f6f5 e4h4 c1b1 h4h5 c8c1 g1f2 a6c4,-289
r2q1rk1/p1p2ppp/1p2pb2/8/2Pp4/2QRB1P1/PP2PPKP/R7 w - -,c3c1 e6e5 e3d2 e5e4 d3b3 d8d7 d2g5 f6g5 c1g5 c7c5,-264
8/pp3p1p/2p5/4Ppk1/3P4/PP3KP1/8/8 w - -,b3b4 a7a6 f3g2 g5g4 g2h2 f5f4 g3f4 g4f4 h2g1 f4e4,-632
1r3rk1/2pq1ppp/2b1p3/p3P3/5P2/2N1bB2/PP4PP/R2Q1R1K w - -,d1c2 b8b4 a1d1 d7e8 f4f5 e6f5 c2f5 b4f4 f5d3 e3b6,-15
r2qk1nr/pp1bb1pp/2n1p3/3pPpN1/3P4/2PB4/5PPP/RNBQK2R w KQkq -,g5h3 d8c7 e1h1 c6d8 f1e1 a7a6 h3f4 g8h6 c1a3 e7a3,84
8/8/6k1/1R4P1/8/5K2/8/r7 w - -,,0
8/7k/8/8/8/p2b4/3K4/8 w - -,d2c3 d3c4 c3c2 h7g8 c2c3 g8f7 c3c2 f7e7 c2b1 c4b3,-18
8/6N1/8/8/4k3/K6B/8/8 w - -,a3b4 e4f4 b4c4 f4e4 g7h5 e4e5 c4d3 e5d5 h3f5 d5c5,168
5rk1/p1p2ppp/5n2/q2p1N2/n7/2PP3P/P1P1QPP1/3R1RK1 w - -,e2e3 a5c3 e3g5 g7g6 f5e7 g8g7 e7d5 f6d5 g5d5 c3f6,422
r1b1k1nr/ppp1bppp/3q4/8/8/2N2N2/PPP1Q1PP/R1B1KB1R w KQkq -,c3b5 d6c6 c1f4 e8f8 b5c7 a8b8 c7b5 b8a8 e1a1 c8g4,602
r2q1rk1/p1p2ppp/1p2p3/8/2Pb4/2QR2P1/PP2PPKP/R7 w - -,c3d2 c7c5 e2e3 e6e5 e3d4 e5d4 b2b4 d8c7 d2d1 a8d8,-196
2b2rk1/8/2p4b/Q3p1n1/2P1Nqp1/B2P4/P2NPpB1/5K2 w - -,e4g3 f4g3 a3f8 g3h2 f1f2 h6f8 f2f1 g5h3 a5b6 h3f4,-479
r1b2r2/pp2n1kp/6p1/q1p1p3/2B5/7P/PPP1QPP1/R4RK1 w - -,e2e5 g7h6 e5e3 g6g5 e3e7 a5d8 e7c5 c8f5 a1d1 d8c8,401
5k2/R7/6p1/4P2p/5K1P/5P2/8/4r3 w - -,a7a5 f8g7 a5b5 e1e2 b5c5 e2e1 c5c7 g7f8 f4g5 e1e5,42
r3r3/5k2/8/pp1p1p1p/3PbPpN/2P3KP/PP3P2/R3R3 w - -,a2a4 b5a4 a1a4 e8b8 a4a2 f7f6 e1a1 a5a4 a2a4 a8a4,14
r4rk1/1ppqn1b1/p2p1n2/2PPp2p/PP2Ppp1/2NQ1P1P/3BB1P1/R4RK1 w - -,f3g4 h5g4 h3g4 g7h6 a4a5 h6g5 b4b5 g8g7 c5c6 b7c6,106
8/8/6k1/1R4P1/r5K1/8/8/8 w - -,,0
8/6N1/8/8/8/1K1k3B/8/8 w - -,h3f5 d3d4 g7h5 d4c5 b3c3 c5d6 f5c2 d6d5 c2h7 d5d6,167
r1b2r2/3n1k2/p1pq4/3p1pQ1/3P2p1/2N3P1/PP4PP/2R1R1K1 w - -,c3d5 c6d5 c1c6 f8g8 g5g8 f7g8 c6d6 g8f7 e1c1 a6a5,261
8/8/4K3/8/3k4/8/3p4/1Q6 w - -,c3a4 d7f6 a4b6 f8g8 g5d2 a8b8 b6c8 b8c8 e1e5 g8g6,Mate
r4rk1/p1p1qppp/1pp1pb2/8/2PP4/2Q1B1P1/PP2PPKP/R2R4 w - -,c3c2 a8d8 a1c1 d8d7 d1d2 f8d8 c1d1 h7h5 b2b3 g7g6,46
8/8/6k1/1R4P1/8/6K1/8/r7 w - -,,0
5k2/R7/6p1/4r1Kp/7P/5P2/8/8 w - -,g5g6 e5e3 f3f4 e3g3 g6h5 f8g8 a7c7 g3g1 f4f5 g1g2,14
6k1/5pp1/4n2p/2bN1Q2/4PP2/6PP/2r5/5K2 w - -,f5e5 g8h7 h3h4 c2f2 f1e1 f2g2 f4f5 e6d4 e5f4 g2e2,167
r4rk1/1bp1q1pp/pp3n2/2npp3/2B5/P3P3/1B1PQPPP/RN3RK1 w - -,f2f4 d5c4 e2c4 b7d5 c4e2 e7e6 f4f5 e6f7 d2d3 e5e4,-492
8/3bk3/3p1p2/2pP2p1/1p2P1Pq/1P3PN1/2Q3K1/8 w - -,c2a2 h4h6 a2a7 e7e8 a7b8 e8e7 b8c7 e7e8 c7d6 h6f8,466
r4rk1/pp2qpbp/1n2pnp1/1Bp5/5B2/2PP4/PP2QPPP/RN1R2K1 w - -,h2h3 f8d8 b1d2 f6d5 f4e5 g7e5 e2e5 a7a6 b5c4 b6a4,-18
7k/p4p1b/3p1n1P/3p2NR/3P1B2/r7/4K3/8 w - -,h5h4 h7d3 e2d1 a3a1 d1d2 d3g6 f4d6 f6d7 d6e7 a1a2,-36
rnbqk2r/pp3ppp/2pp1n2/3Pp3/2P5/2Q4P/PP2PPP1/R1B1KBNR w KQkq -,d5c6 b8c6 c1g5 c8e6 e2e3 d8b6 g5f6 g7f6 f1e2 e8a8,-52
8/6N1/8/5B2/3k4/1K6/8/8 w - -,g7h5 d4e5 f5c2 e5d5 b3c3 d5c5 c2b1 c5b5 b1e4 b5a4,165
r2r2k1/p4pp1/2pBp3/2Pq4/7P/1Q3RP1/PP6/5K2 w - -,a2a3 d8d7 g3g4 a7a5 f1f2 a5a4 b3e3 a8e8 h4h5 f7f6,-339
r3r3/5k2/8/pp1p3p/3PbPpN/2P3K1/PP3P2/R3R3 w - -,a2a4 b5a4 a1a4 e8b8 e1a1 b8b2 a4a5 a8a5 a1a5 b2b1,11
r3kb1r/pp3ppp/2n2n2/1Bqpp3/2P2Bb1/4PN2/P2N1PPP/1R1Q1RK1 w kq -,f4e5 d5c4 e5f6 g7f6 d2e4 c5f5 e4g3 f5d7 d1a4 f8d6,245
rn1q1rk1/1pp2pb1/3p1np1/p2Pp2p/2P1P3/2N2B1P/PP3PP1/R1BQ1RK1 w - -,c4c5 f6e8 c1e3 d6c5 e3c5 e8d6 f3e2 g7h6 a2a4 d8h4,85
3r1qk1/5ppb/p2bp2p/1p2Q2P/4P3/8/B1P2PPK/B3R3 w - -,h2g1 d6e5 a1e5 f8c5 e5g3 c5h5 f2f3 h5c5 g1h1 g8h8,-711
5r1k/p1qr1pbp/bpn1p1pn/2ppP3/5PP1/2PP1N1P/PPQN1BB1/R3R1K1 w - -,a1c1 f8c8 c2b1 c7b8 a2a3 a6b7 b2b4 g7f8 b4b5 c6a5,130
8/8/8/5pp1/4k2p/7P/5KP1/8 w - -,a1c1 f8c8 c2b1 c7b8 a2a3 a6b7 b2b4 g7f8 b4b5 c6a5,Mate
2b2Bk1/8/2p4b/Q3p3/2P1nqp1/3P4/P2NPpB1/5K2 w - -,d3e4 f4h2 e2e3 h2g1 f1e2 g1g2 d2f1 g2f3 e2d2 h6f8,-823
8/8/6k1/1R4P1/8/r4K2/8/8 w - -,,0
r1bq1rk1/1p3pp1/p1n1pb1p/3n4/3P4/P1NB1NP1/1P3P1P/R1BQR1K1 w - -,d3c2 d5e7 c1e3 b7b5 a1c1 c8b7 c3e4 e7f5 e4c5 c6a5,52
1r3rk1/1bpqbppp/2n1p3/p3P3/3P1P2/2N1NB2/PP4PP/R2Q1RK1 w - -,g1h1 c6d4 f3b7 b8b7 f1f2 c7c5 e3c4 d7d8 f2d2 d8a8,2
8/8/4N3/4kB2/8/1K6/8/8 w - -,f5h3 e5d5 b3c3 d5e5 c3c4 e5e4 e6c5 e4f4 c4d4 f4g3,166
R7/P6k/8/5r1K/8/8/8/8 w - -,,0
r1b2rk1/ppp1n1pp/3p1q2/3Ppp2/2P1n3/2B1PNP1/PPQ2PBP/R4RK1 w - -,f3d2 e4c3 c2c3 a7a5 a1c1 b7b6 f2f4 e5e4 c3f6 f8f6,25
r1b2rk1/p1p1n1pp/3p1q2/1p1Ppp2/1PP1n3/2B1PNP1/P1Q2PBP/R4RK1 w - -,f3d2 e4c3 c2c3 e5e4 c3f6 f8f6 c4b5 e7d5 f1c1 a7a6,40
1r1qr2k/p2p2bp/bpnP2p1/2pp2P1/P4p1P/1QP2P2/1P1N1B2/R3KBNR w KQ -,f1e2 c5c4 b3d1 e8e6 g1h3 d8f8 e1h1 b8e8 f1e1 f8d6,164
r1b2rk1/p3bppp/1p6/3p4/4n3/1P2PN2/P3BPPP/R1B2RK1 w - -,c1b2 c8d7 e2a6 e4c5 b2a3 e7f6 a3c5 b6c5 a1c1 c5c4,42
1rr3k1/p1p1bbp1/5p1p/np6/3PP3/P3R1PP/1B1N1P1K/2R2B2 w - -,e4e5 f6e5 h3h4 c7c5 d4c5 e7c5 e3e5 c5f2 e5b5 f2b6,-27
2r2rk1/p1qn2p1/1pp1pp2/6p1/2PPN1Pn/6Q1/PP3P1P/3RR1KB w - -,e4d6 c8d8 e1e6 d7e5 c4c5 c7d7 g3b3 e5f3 h1f3 h4f3,184
r3k2r/2p2pbp/p1n1b1p1/1p3q2/3P4/1B3N2/PP3PPP/R1BQ1RK1 w kq -,b3c2 f5d5 c2b3 d5f5 b3e6 f7e6 c1e3 a8d8 a1c1 d8d6,46
8/8/6k1/1R4P1/r3K3/8/8/8 w - -,,0
r4rk1/1p1qn1b1/p2p4/3Pp3/PP2Ppn1/2NQ4/3BB1P1/R4RK1 w - -,d3h3 g4f6 h3d7 f6d7 e2g4 d7f6 g4e6 g8h7 a4a5 f6h5,128
r2q1rk1/p1p2ppp/1p2pb2/2p5/2PP4/3QB1P1/PP2PPKP/R4R2 w - -,d4c5 d8d3 e2d3 f8d8 a1b1 d8d3 g2f3 a8d8 c5b6 c7b6,10
r1b1k2r/1p1nqpbp/p1p2np1/4p3/4P1P1/2N1BN1P/PPPQ1P2/2KR1B1R w kq -,f1c4 e8h8 d2d6 e7d6 d1d6 f8e8 f3g5 e8e7 h1d1 g7f8,117
8/8/3kn3/5Qp1/5n1p/5P2/5KPP/8 w - -,f5b1 d6e7 b1b5 f4h5 b5b4 e7d7 b4b7 d7d6 b7b6 d6e7,457
r3k1nr/ppqbb1pp/2n1p3/3pPp2/3P4/2PB3N/5PPP/RNBQK2R w KQkq -,e1h1 c6d8 h3f4 g8h6 c1a3 e7a3 b1a3 h6f7 f1e1 e8h8,90
1rr5/4kp1p/p3pnp1/1pn5/8/2P1NP2/PPK2PBP/3R2R1 w - -,h2h4 a6a5 f3f4 b5b4 d1d4 b4c3 b2c3 c5d7 d4c4 c8c4,-60
4rrk1/1pp2q1p/1pnpnPp1/4p1Q1/2P5/1PB1PR2/P1B3PP/R5K1 w - -,g5h4 g8h8 a1f1 f8g8 f3h3 c6b8 c2e4 c7c6 f1d1 e8d8,276
8/8/4N3/8/4k3/1K5B/8/8 w - -,b3c4 e4e5 e6c5 e5f4 c4d4 f4g3 h3f5 g3h4 c5d3 h4g5,163
8/8/4K3/8/8/4k3/2Qp4/8 w - -,b3c4 e4e5 e6c5 e5f4 c4d4 f4g3 h3f5 g3h4 c5d3 h4g5,Mate
8/8/6k1/1R4P1/8/3K4/8/r7 w - -,,0
5rnk/p1qr1pbp/bpn1p1p1/2ppP3/5PP1/2PP1N1P/PPQN1BB1/2R1R1K1 w - -,b2b4 f8c8 c2b1 c6d8 a2a4 a6b7 b4c5 b6c5 d2b3 g7h6,141
r1b2rk1/pp3p1p/4p1p1/q1P5/2P5/2QnP3/P2N1PPP/R3K2R w KQ -,e1d1 a5c3 d1e2 c8d7 h1d1 d7c6 e2f1 a8d8 f1g1 d3b2,-1270
r1b1kb1r/pp3ppp/2n1p3/2PpP3/1P3P1q/2P3n1/P3B1PP/RNBQ1KNR w kq -,f1f2 g3h1 f2e3 d5d4 e3d2 h4f4 d2c2 f4e4 e2d3 e4g2,-578
r4rk1/p1p2ppp/1p2pb2/2P5/2P5/3qB1P1/PP2PPKP/R4R2 w - -,c5b6 d3e4 g2g1 a7b6 c4c5 b6c5 a1d1 e4b4 d1d7 b4b2,-686
r3r3/5k2/8/p2p3p/Pp1PbPpN/2P3K1/1P3P2/R3R3 w - -,c3b4 a5b4 e1c1 b4b3 c1c7 f7f6 c7c6 e8e6 c6e6 f6e6,130
r1b2r2/3n1k2/p1p3q1/3p1p1Q/3P2p1/2N3P1/PP4PP/2R1R1K1 w - -,c3d5 g6h5 c1c6 h5g5 c6c2 a8b8 h2h3 a6a5 e1e7 g5e7,-653
r1bq1rk1/pp2bppp/2pp1n2/8/2PQ4/1PN3P1/P3PPBP/R1B1K2R w KQ -,e1h1 f8e8 c1f4 d8a5 a1d1 c8e6 e2e4 e6g4 d1c1 g4h5,68
6r1/5p1p/2pk4/1pN2p2/3P1P2/KPP1R1P1/6b1/8 w - -,c5b7 d6d7 b7c5 d7d6 a3b4 g2d5 c5b7 d6d7 b7a5 d7d6,39
r2r2k1/pp2qpbp/1n2pnp1/1Bp5/5B2/N1PP4/PP2QPPP/R2R2K1 w - -,d1e1 f6h5 f4d2 a7a6 b5c4 b6a4 d2e3 b7b5 c4b3 a4b6,-39
r1b1kb1r/pp3ppp/2n1p3/2PpP3/1P3P2/2P3P1/P3B1P1/RNBQ1KNq w kq -,b1d2 a7a5 d1a4 c8d7 a4a3 g7g5 d2f3 g5g4 f3d4 h7h5,-47
r3k2r/pp2bppp/2n1pn2/1Bqp4/Q1P2Bb1/4PN2/P2N1PPP/1R3RK1 w kq -,d2b3 c5b6 c4c5 e7c5 b3c5 e8h8 b5c6 b6c6 a4c6 b7c6,391
8/8/8/2N5/8/5K2/5B1k/8 w - -,d2b3 c5b6 c4c5 e7c5 b3c5 e8h8 b5c6 b6c6 a4c6 b7c6,Mate
8/8/8/5p2/5kpp/7P/5KP1/8 w - -,h3g4 f4g4 f2f1 g4g3 f1g1 h4h3 g2h3 g3h3 g1f2 h3g4,Mate
r1bqr1k1/1p3pp1/p1n1pb1p/3n4/3PR3/P1NB1NP1/1P3P1P/R1BQ2K1 w - -,c1f4 d5f4 e4f4 g7g6 d3e4 c8d7 d4d5 e6d5 e4d5 g6g5,-26
2rq1rk1/pb3pbp/1p2p1p1/n2p4/3BPP2/1P4P1/P1PQN1BP/3R1RK1 w - -,d4g7 g8g7 f4f5 d8d6 e4d5 e6f5 c2c4 f8e8 e2d4 g7g8,227
1rr3k1/p1p1bbp1/5p1p/n7/p2PP3/4R1PP/1B1N1P1K/2R2B2 w - -,c1b1 f7a2 b2a3 a2b1 a3e7 b1a2 e3a3 b8b2 a3a4 b2d2,-263
r2r2k1/p1p2ppp/1p2pb2/2P5/2P5/3PB1P1/PP3PKP/R4R2 w - -,a1b1 d8d3 g2f3 a8d8 c5b6 a7b6 f3e2 g8f8 b2b3 f6e7,17
8/8/8/4k1N1/8/1K5B/8/8 w - -,g5e6 e5d5 b3c3 d5e5 e6c5 e5d5 c5d3 d5d6 c3d4 d6c6,153
2r3k1/4b1p1/4Pp1p/qp1p1P2/rn1P4/1QB2N2/6PP/1R3RK1 w - -,c3b4 a4b4 b3d5 g8h7 b1b4 a5b4 d5d7 c8c3 d7e8 c3b3,83
8/8/1p6/3k4/8/8/Pp2P3/2N1K2R w - -,,0
5k2/R7/6K1/3r3p/7P/5P2/8/8 w - -,a7f7 f8g8 f7b7 g8f8 b7b8 f8e7 b8h8 d5d3 h8h7 e7f8,13
r2q1r2/ppp2pk1/3p4/4p1b1/3nP1Q1/2NP1B1P/PPP3P1/2K2R1n w - -,g4g5 d8g5 c1b1 h1g3 f1f2 f8g8 f3g4 a8e8 c3d1 g7f8,-955
6k1/5ppp/8/8/7R/4N3/6K1/2q5 w - -,g2f3 g7g6 h4c4 c1e1 c4d4 h7h5 e3d1 g8g7 d1f2 e1c3,-628
3r1rk1/p1qn2p1/1ppNpp2/6p1/2PP2Pn/6Q1/PP3P1P/3RR1KB w - -,e1e6 d7e5 c4c5 c7d7 g3b3 e5f3 h1f3 h4f3 g1g2 f3h4,189
r1b1k2r/2q1bppp/p2p1B2/1pn5/4p3/1BN2Q2/PPP2PPP/2KRR3 w kq -,e1e4 c5e4 c3d5 c7b7 f6e7 f7f5 f3h5 g7g6 h5h4 c8e6,417
r3r3/5k2/8/p2p3p/p2PbPpN/2P3K1/1P3P2/R3R3 w - -,a1a4 e8b8 e1e2 f7f6 a4a3 a5a4 c3c4 a8a5 c4d5 e4d5,11
8/8/8/5p2/6kp/8/5KP1/8 w - -,,0
8/5N2/5k2/8/8/1K5B/8/8 w - -,f7d8 f6e7 d8b7 e7f7 b3c4 f7e7 c4d5 e7f7 d5e5 f7g8,150
6k1/1p3ppp/1q6/pNnR4/P4P2/2P5/1P2b1PP/2K5 w - -,d5d6 c5a4 d6b6 a4b6 b5d6 e2a6 b2b3 g8f8 c1b2 g7g6,-500
5rk1/p1p2ppp/5n2/q2p1N2/8/2nP3P/P1PQ1PP1/3R1RK1 w - -,d2g5 g7g6 g5f6 g6f5 d1e1 d5d4 f6d4 f7f6 g1h1 f8f7,533
r2r2k1/2p2ppp/1p2pb2/8/2P5/3PB1P1/PP3PKP/R4R2 w - -,f1b1 d8d3 a2a4 d3b3 c4c5 b6c5 e3c5 b3b2 b1b2 f6b2,-26
5r2/3b2bk/p1rR3p/1p1Nnp2/8/2P5/PPN1B1PP/5R1K w - -,d6c6 d7c6 d5f4 c6e4 c2d4 g7f6 h1g1 e5c4 e2c4 b5c4,70
r1b2rk1/1p1nqpbp/p1p2np1/4p3/4P1P1/2N1B2P/PPPQ1P2/2KRNB1R w - -,e1d3 a6a5 g4g5 f6h5 f1e2 h5f4 d3f4 e5f4 e3f4 d7e5,109
r5k1/pp4pp/3N4/5p2/5Qb1/5B2/PPP3P1/4q1K1 w - -,g1h2 e1e6 f3g4 f5g4 d6b7 a8f8 b7c5 f8f4 c5e6 f4f2,-496
rnbqk1nr/ppp1b1pp/5p2/3PQ3/8/8/PPPP1PPP/RNB1KBNR w KQkq -,e5g3 e7f8 f1c4 g8e7 g3e3 d8d7 b1c3 d7g4 e3e4 g4g6,260
r1b3k1/pp2nr1p/6p1/q1p1p3/2B5/7P/PPP1QPP1/R4RK1 w - -,e2e5 a5b4 c4f7 g8f7 f1e1 b4h4 a1d1 c8f5 g2g4 e7c6,433
8/8/5k2/4R3/2r2PK1/8/8/8 w - -,,0
1rr3k1/p1p2bp1/5p1p/n7/p2PP3/b3R1PP/3N1P1K/2R2B2 w - -,e3a3 a5b3 d2b3 a4b3 a3a7 b3b2 c1b1 b8b4 d4d5 c7c5,-264
2rq1r2/pb3pkp/1p2p1p1/n2p4/4PP2/1P4P1/P1PQN1BP/3R1RK1 w - -,f4f5 d8d6 e4d5 e6f5 c2c4 g7g8 e2d4 c8d8 d4b5 d6c5,214
2kr3r/2p2pbp/p1n1b1p1/1p1P1q2/8/1B3N2/PP3PPP/R1BQ1RK1 w - -,f1e1 e6d5 f3h4 f5h5 d1h5 g6h5 h4f5 g7f6 b3d1 h5h4,-230
Q7/8/1K1nk3/8/8/8/8/8 w - -,f1e1 e6d5 f3h4 f5h5 d1h5 g6h5 h4f5 g7f6 b3d1 h5h4,Mate
r1bqr1k1/1p3pp1/p1n1p2p/3nN1b1/3PR3/P1NB2P1/1P3P1P/R1BQ2K1 w - -,c1g5 h6g5 c3d5 e6d5 d1h5 c8e6 e4e3 c6e5 h5h7 g8f8,151
