5rk1/2p3p1/p2p4/1p1Pp1q1/PPPR2P1/1B1P1K2/5P2/R2Q3r w - -,f3e2 g5h4 d4f4 f8f4 e2d2 f4f2 d2c3 h1d1 a1d1 h4g4,Mate
8/8/8/3R2p1/3p4/P1p2rP1/2k4P/3R2K1 w - -,d1d4 f3f8 d4c4 f8g8 d5c5 c2b2 c4c3 g8g6 c3c4 b2b3,746
r3kb1r/pp3p1p/2q1p1p1/3pPn2/3P2b1/2N1BN2/PP3PPP/R2Q1RK1 w kq -,a2a4 f8e7 h2h3 g4f3 d1f3 a8c8 g2g4 f5e3 f3e3 c6b6,-42
r2q1rk1/p2p2pp/bbp2p2/4P3/8/2N2Q2/PPP2PPP/R1B1R1K1 w - -,e5e6 f8e8 c1f4 e8e6 e1e6 d7e6 a1d1 d8e8 f4e3 a6c4,66
rnq2rk1/pp3pp1/1b2p1p1/1P2P3/8/B4N2/P4PPP/R2Q1RK1 w - -,a1c1 c8d8 a3f8 d8f8 d1d3 a7a6 f3g5 f8e8 f1d1 a6b5,560
6k1/5p2/4p1p1/6p1/1p1r4/6P1/PP1q1P1P/2Q2RK1 w - -,h2h3 e6e5 a2a3 b4a3 b2a3 d2c1 f1c1 d4a4 c1c5 f7f6,-4
3brrk1/pp4pp/3p1nq1/4p3/1PPp4/P2P1NN1/5PPP/1R1Q1RK1 w - -,f1e1 d8c7 d1b3 g8h8 f3d2 c7b8 g3e4 e8d8 a3a4 d6d5,23
rnb1kn1Q/pp6/4p3/3pP1p1/3p4/2N5/PPP2PP1/R3K2R w KQ -,a3a4 h7h6 a4a5 d8c7 f1e1 g8h7 g3e4 d6d5 e4f6 f8f6,Mate
br1qrbk1/3n1p2/p1p3pp/Pp2p3/1PPB1n2/4RN1P/2BN1PP1/1R2Q1K1 w - -,d4b6 d7b6 a5b6 c6c5 b4c5 f8c5 e3e5 c5b6 c4b5 e8e5,-204
8/1p1b2k1/2n5/1N1p3r/P4b1n/2P1RP2/1P3P2/R1B3K1 w - -,g1f1 f4e3 c1e3 h4f3 f1e2 d7g4 e2d3 g4f5 d3e2 c6e5,-217
4k3/p5K1/1pp3P1/5N2/5n2/8/PPP5/8 w - -,g7h6 f4g6 h6g6 b6b5 g6f6 e8d7 f6e5 d7c7 f5d6 c7d7,698
2b2r1k/1p4pp/8/2P3N1/8/P2n4/5PBP/5RK1 w - -,g5e4 c8f5 e4d6 d3c5 d6b7 c5d3 b7d6 d3f4 d6f5 f8f5,52
7b/8/8/2p2k1p/2b1r1p1/6P1/5P2/6K1 w - -,g5e4 c8f5 e4d6 d3c5 d6b7 c5d3 b7d6 d3f4 d6f5 f8f5,Mate
r1bq1rk1/1p2bppp/4pn2/p7/P1Qp4/5NP1/1P2PPBP/R1BR2K1 w - -,c1f4 d8b6 f3d4 c8d7 c4b3 b6b3 d4b3 f6d5 g2d5 e6d5,55
3rr1k1/ppp2p1p/6p1/4Pbb1/8/P1P1PB2/1P3KPP/RN3R2 w - -,e3e4 f5e6 f1d1 d8d1 f3d1 e8d8 d1c2 g5c1 b2b3 c1f4,-256
r2qr1k1/p2p2pp/bbp1Pp2/8/8/2N2Q2/PPP2PPP/R1B1R1K1 w - -,c1f4 e8e6 e1e6 d7e6 f3c6 d8e8 c6a4 e8a4 c3a4 e6e5,61
8/4Q2P/8/8/3k4/8/5KP1/8 w - -,c1f4 e8e6 e1e6 d7e6 f3c6 d8e8 c6a4 e8a4 c3a4 e6e5,Mate
2kr2nr/pppqbp2/2n3b1/4P2p/3pP3/3B1NB1/PPP1QPP1/RN2K2R w KQ -,b1d2 c6b4 a2a3 b4d3 c2d3 h5h4 a1c1 d7b5 b2b4 b5a6,185
r1b1k2r/pp2p2p/2np1pp1/q1n5/2P1P3/2P1BP2/P1N1B1PP/R2Q1RK1 w kq -,,0
6k1/2b2ppp/4pn2/Np6/4B3/2P5/PP3PPP/6K1 w - -,b2b4 f6e4 c3c4 e4c3 a2a3 g8f8 c4b5 c7a5 b4a5 c3b5,-371
7k/4Npbp/3r2p1/P3n3/5P2/6RP/2r3P1/R5K1 w - -,a1f1 e5d7 a5a6 g7f8 f1a1 f8e7 a6a7 d7b6 g3b3 d6d8,-414
4r1k1/R3pp1p/6p1/1p2b3/1Bb5/2P2B2/5PP1/7K w - -,g2g4 e5d6 a7d7 d6b4 c3b4 g8g7 h1g2 g7f6 f3d5 e8c8,-323
rnbqkbnr/pp4pp/4pp2/2pp4/3P4/4PN2/PPPN1PPP/R1BQKB1R w KQkq -,c2c4 b8c6 f1d3 d5c4 d3c4 c5d4 e3d4 g8e7 e1h1 e7d5,74
8/7p/3k3P/5Kp1/6P1/8/8/8 w - -,,0
r2qr1k1/ppb2pp1/2p3np/2Pp1b2/3Bn3/2N1PNP1/PPQ2PBP/R3R1K1 w - -,c2e2 d8d7 f3d2 e4g5 h2h4 f5g4 f2f3 g5e6 e2f2 e6d4,-72
r4rk1/pppq1pbp/2np1Bp1/3N4/4P3/8/PPP2PPP/R2Q1RK1 w - -,f2f4 f8e8 d1e1 c6e7 d5e7 e8e7 f6e7 d7e7 c2c3 b7b5,253
r2q1rk1/ppp1bppp/2np1n2/1B2p1B1/3PP3/2N2Q2/PPP2PPP/R3K2R w KQ -,b5c6 b7c6 d4e5 d6e5 e1h1 f6d7 g5e3 d8b8 b2b3 b8b4,69
r6k/pp4pp/2nb4/7r/2B1Qp1q/2P5/PP3PPP/R1BR2K1 w - -,g1f1 h4h2 d1d5 h5e5 d5e5 c6e5 c4b3 f4f3 g2f3 d6c5,-234
8/8/8/2p2k1p/2bbr1p1/5PP1/8/6K1 w - -,g1f1 h4h2 d1d5 h5e5 d5e5 c6e5 c4b3 f4f3 g2f3 d6c5,Mate
6k1/pp4p1/4N3/6K1/6N1/PP6/1r6/8 w - -,a3a4 b2b3 g5f5 a7a5 f5e4 b3b4 e6d4 b4a4 e4d3 a4a3,-292
r1b2rk1/1p2bppp/1q2pn2/p7/P1Qp1B2/5NP1/1P2PPBP/R2R2K1 w - -,f4e5 b6b2 e5d4 b2b4 f3e5 b4c4 e5c4 f6d7 d4c3 d7c5,53
8/3k3p/3pp1p1/p1p5/P2rPPP1/1P2R1KP/8/8 w - -,,0
q2r2k1/pp3pb1/6pp/4p3/2PB4/7P/PP3Pb1/2RBQ1K1 w - -,g1g2 d8d4 d1f3 a8c8 f3d5 d4d3 f2f3 d3d4 c1d1 d4f4,-213
r3kb1r/2p2ppp/4b3/1pp1P3/3n1N2/pP3N1P/P1PB1PP1/2RR2K1 w - -,f3g5 f8e7 g5e6 d4e6 g2g3 a8d8 g1g2 h8f8 d2e3 e6f4,58
rnbqr1k1/pp3ppp/2pb1n2/3p4/3P4/2NBPP2/PP2N1PP/R1BQ1RK1 w - -,e3e4 d5e4 f3e4 c6c5 e4e5 c5d4 e5f6 d4c3 f6g7 c8g4,49
8/6pk/5p1p/2Q5/8/P4q1P/1r4PK/6R1 w - -,,0
r2q1rk1/1p3ppp/4p3/2nP4/b3n3/P3PN2/2Q1BPPP/R1B1K2R w KQ -,c2b1 d8d5 e1h1 c5b3 c1b2 b3d2 f3d2 e4d2 e3e4 d5d6,-278
4k3/p7/1pp3nK/5N2/8/8/PPP5/8 w - -,h6g6 e8d7 g6f6 c6c5 f6e5 d7c6 f5d6 a7a6 c2c3 c6c7,723
6k1/5p2/4p1p1/6p1/1p1r4/P5P1/1P3P1P/2q2RK1 w - -,f1c1 b4a3 b2a3 d4a4 c1e1 g5g4 g1g2 g8f8 h2h3 g4h3,-9
8/p7/7p/2p3p1/4kp2/1PK4P/P4PP1/4Nb2 w - -,h3h4 g5h4 e1f3 h4h3 f3d2 e4d5 g2h3 f1h3 d2f3 h3e6,-374
8/8/5k2/6N1/8/1B1K4/8/8 w - -,g5e6 f6f5 d3d4 f5f6 d4e4 f6f7 e4e5 f7g6 b3a4 g6f7,195
rnbq1rk1/ppp2ppp/3b1n2/3pp3/8/3P1PP1/PPP1PN1P/RNBQKB1R w KQ -,c2c3 d5d4 f1g2 a7a5 e1h1 a5a4 b1a3 b8c6 c3d4 e5d4,-75
r2qkb1r/p1p2ppp/bp2p3/2nnP3/2N5/5NP1/PPP1QPBP/R1B1K2R w KQkq -,e1h1 d8d7 f3d4 f8e7 b2b3 a6b7 c1b2 h7h5 c4d2 h5h4,73
r2q2k1/p2p2pp/bbp1rp2/8/8/2N1BQ2/PPP2PPP/R3R1K1 w - -,e3b6 e6e1 a1e1 a7b6 f3g4 g8h8 c3d1 d7d5 g4e6 d5d4,56
r2q1rk1/p3ppb1/1p4p1/1nP4p/3P1B1P/5N2/P4PP1/2RQ1RK1 w - -,c5c6 e7e6 c6c7 d8d5 f1e1 d5a2 f3e5 a2d5 e5c6 g8h7,109
8/8/7p/6p1/6P1/pK3k1P/8/8 w - -,c5c6 e7e6 c6c7 d8d5 f1e1 d5a2 f3e5 a2d5 e5c6 g8h7,Mate
3r1rk1/p1q3pp/8/1pb1np2/3N4/1NP1Qp2/PP4PP/R2R2K1 w - -,g2g3 c5b6 b3d2 f3f2 e3f2 e5d3 f2f3 d3b2 d1c1 f5f4,-302
r3r1k1/pp1n1pp1/1qpb3p/3p4/3Pb3/1N2B2P/PPP1BPP1/R2QR1K1 w - -,c2c4 d6b8 b3d2 b6c7 g2g3 e4h7 e2g4 d5c4 d2c4 d7f6,-31
2b2r1k/1p4pp/8/2P5/4Nn2/P7/5PBP/5RK1 w - -,e4d6 f4g2 g1g2 c8d7 f1b1 d7c6 g2f1 g7g5 d6b7 f8a8,68
5rk1/pP1rpp1p/4b1p1/1Np5/4PP2/1P5P/2P3P1/2R1K2R w - -,b5c3 d7b7 c1a1 f8a8 a1a4 c5c4 b3b4 e6d7 a4a5 b7b4,18
3r4/1b2k1pp/1p6/rBnp1p2/5N2/P1R1PP2/3K2PP/1R6 w - -,b1b4 g7g6 h2h4 d8d6 d2e1 b7c8 e1f2 c8d7 b5d7 e7d7,25
r1q5/p5pk/2p1prp1/1p3nB1/1P1PB3/3QR3/2P2PP1/6K1 w - -,e3h3 h7g8 g5f6 g7f6 g2g4 g8g7 g4f5 e6f5 e4g2 c8c7,439
8/k5p1/1r3p2/2p1p2p/1pP1P2P/3P4/1R1K2P1/8 w - -,g2g4 h5g4 d2c1 b6d6 b2d2 d6d8 h4h5 a7b6 c1b1 g4g3,-501
8/2n5/3k4/NP6/PK6/8/8/8 w - -,a5c4 d6d7 b5b6 c7e6 b4b5 e6d4 b5a6 d4c6 c4a5 c6e5,1210
7k/4Np1p/3r2p1/P3b3/8/6RP/2r3P1/R5K1 w - -,e7c8 c2c8 g3a3 e5a1 a3a1 d6a6 h3h4 c8a8 h4h5 g6h5,-664
rn3rk1/p3bpp1/bp5p/3p4/3P1B2/5NP1/PP3P1P/R3KB1R w KQ -,f4b8 a6f1 h1f1 f8b8 e1d2 b8c8 d2d3 g8f8 f1e1 c8c7,43
r3kb1r/pp1n1ppp/1q2p3/3pP2b/3P4/3BBN1P/PP3PP1/R2QK2R w KQkq -,e1h1 f8e7 d1c2 h5f3 g2f3 d7b8 c2c8 e7d8 b2b4 e8h8,94
5r2/4Q1p1/3b2k1/8/7P/7K/8/8 w - -,e7d6 f8f6 d6d3 g6f7 d3d5 f7f8 h3g3 f6g6 g3f2 g6f6,88
8/4k3/3pp1p1/p1p5/P2rP1P1/1P2R1KP/8/8 w - -,,0
rn1q1rk1/pp3pp1/1b2p1p1/1P2P3/8/B4N2/P4PPP/2RQ1RK1 w - -,a3f8 d8f8 d1d3 a7a6 f3g5 f8e8 f1d1 a6b5 d3b5 b6f2,573
r1bq1rk1/5p2/p6p/1p2p1p1/5n2/N5B1/PPP2PPP/R2Q1RK1 w - -,g3f4 g5f4 f1e1 d8g5 d1d5 c8e6 d5e5 g5e5 e1e5 b5b4,-71
8/6R1/6P1/5K2/7k/8/8/5r2 w - -,,0
8/8/8/4k3/4N3/1B1K4/8/8 w - -,e4g5 e5f4 g5f7 f4f5 d3e3 f5f6 e3f4 f6g7 f4f5 g7h7,187
r4rk1/5ppp/2p5/p2p1N2/1P6/3K4/P1P2nPP/R3R3 w - -,d3d4 g7g6 f5e7 g8g7 e7c6 a5b4 c6b4 a8a4 a2a3 f8c8,-42
r2q1rk1/ppp2pbp/2np1np1/4pb2/2P5/1P1PPN2/PB1NBPPP/R2QK2R w KQ -,e1h1 a7a5 a2a3 h7h6 h2h3 g6g5 b2c3 f6d7 d2e4 f5g6,8
6k1/3n1pp1/1q3n1p/1B1p1b2/1Q1P4/4PP2/1PrN1BPP/4R1K1 w - -,e3e4 f5g6 d2b1 d7e5 b4b3 c2f2 g1f2 d5e4 b3a4 e5f3,76
6k1/B3ppbp/5np1/8/1r6/2rq1Q2/PP3PPP/1RR3K1 w - -,f3a8 g7f8 b2b3 c3c1 b1c1 b4e4 a8c8 g8g7 h2h3 e7e6,-339
1q2r1k1/7p/5pp1/2PR4/3Qn3/1p2PPP1/1r4KP/2R5 w - -,g2f1 b2h2 d5d6 e4d2 d4d2 h2d2 d6d2 b8g3 c1d1 g3f3,-773
4r2k/pp3pp1/2p4p/8/6R1/1Q2r2P/PP4P1/4K3 w - -,e1f2 e3b3 a2b3 e8e7 f2f3 h8h7 g4d4 h7g6 g2g4 e7e5,-417
4k3/7R/8/5PK1/7p/2r2P2/7P/8 w - -,g5g6 c3c4 f5f6 c4c6 h7h8 e8d7 h8h4 c6e6 g6g7 d7d6,1063
8/8/7p/p1p3p1/4kp2/PPK4P/5PP1/4Nb2 w - -,a3a4 e4d5 c3b2 c5c4 b2c2 c4b3 c2b3 d5d4 b3b2 d4c4,-411
Q2r3r/1ppk2pp/2q5/4pp2/8/P1PP4/1P2BPbP/R5K1 w - -,f2f3 d8a8 g1g2 c6b6 b2b3 b6e3 e2f1 a8a6 g2h1 a6h6,-774
3r1r1k/ppn1N2p/8/4P1pb/P2p4/1P5P/2P3P1/6K1 w - -,g2g4 d8e8 e7f5 h5g6 f5d4 e8e5 g1h2 e5e1 d4f5 g6f5,-1076
6k1/pp4p1/8/6K1/3N2N1/PP6/3r4/8 w - -,d4b5 d2d5 g5f4 d5b5 b3b4 a7a5 b4a5 b5a5 g4e5 a5a3,-554
8/1bb5/5k2/4N2p/5P2/P5P1/3K3P/8 w - -,a3a4 f6f5 d2e2 c7b6 e5d7 b7a6 e2f3 b6d4 d7e5 a6b7,-118
q2r4/p4pk1/1p4pp/8/2P5/5P1b/PP6/2RBQ1K1 w - -,e1e3 a8c6 d1b3 c6f6 c4c5 b6c5 c1c5 f6b2 c5c2 b2d4,-406
r5k1/p2p2pp/bqp1rp2/8/8/2N2Q2/PPP2PPP/R3R1K1 w - -,e1e6 d7e6 a1d1 a8e8 b2b3 b6c7 f3e3 e8e7 c3a4 e6e5,87
r1b2rk1/ppR5/5qnp/8/3R1p2/6Q1/PPP2PPP/6K1 w - -,g3c3 c8e6 c7b7 f8f7 b7f7 e6f7 c3d2 a8e8 h2h3 e8e1,-518
3r2k1/R3pp1p/2B3p1/1p2b3/1Bb5/2P5/5PP1/7K w - -,c6f3 e7e6 g2g4 h7h6 h1g1 g8g7 g1g2 d8d2 a7a8 d2c2,-357
8/8/7p/6p1/6P1/K5kP/8/8 w - -,c6f3 e7e6 g2g4 h7h6 h1g1 g8g7 g1g2 d8d2 a7a8 d2c2,Mate
r2q4/p2r1pbk/1p3np1/2pp3p/4P3/4BPN1/PP1R1P1P/2RQ2K1 w - -,e4e5 f6g8 b2b4 c5b4 f3f4 g8e7 g3h5 a8c8 c1c8 d8c8,-85
8/6R1/4K1P1/8/7k/8/8/4r3 w - -,,0
r3kb1r/2p2ppp/4b3/1p2P3/3p1N2/pP5P/P1PB1PP1/2RR2K1 w - -,c2c4 d4c3 c1c3 a8d8 c3c1 f8e7 g1f1 c7c5 d2e3 d8d1,51
rn3qk1/pp3pp1/1b2p1p1/1P2P3/8/5N2/P4PPP/2RQ1RK1 w - -,d1d3 f8e8 f1d1 a7a6 f3g5 a6b5 d3b5 b6f2 g1f2 b8c6,586
r2q1rk1/pb1n1ppp/1p1pp3/3p4/3Pn3/2NBPN2/PPP2PPP/R2QR1K1 w - -,c3e2 a8c8 a2a4 a7a6 f3d2 e6e5 c2c3 g7g6 d3e4 d5e4,-17
r2q1rk1/pp1bppbp/3p2p1/4n3/4P3/1NN1B2P/PPPQ1PP1/R4RK1 w - -,e3h6 e5c4 d2c1 g7c3 b2c3 f8e8 c1g5 c4e5 g5d2 f7f6,-89
7k/pp3pp1/2p4p/8/6R1/4r2P/PP4P1/4K3 w - -,e1f1 h8h7 g4d4 e3e7 a2a4 h7g6 f1f2 g6f6 b2b4 f6e6,-339
2b2r1k/1p4pp/3N4/2P5/8/P7/5PnP/5RK1 w - -,g1g2 c8d7 f1b1 d7c6 g2f1 g7g5 a3a4 f8a8 d6b7 c6d5,65
R7/P5k1/6P1/3K4/8/8/8/3r4 w - -,,0
r5k1/p5pp/bqp1pp2/8/8/2N2Q2/PPP2PPP/R5K1 w - -,a1d1 a8e8 h2h3 a6c8 b2b3 b6c7 f3d3 e6e5 c3e4 h7h6,100
1r3r1k/2qRNpbp/2P3p1/1pn1p1B1/8/1Q5P/1P3PP1/5RK1 w - -,d7c7 c5b3 f1d1 b3c5 g5e3 c5e6 c7d7 e5e4 c6c7 e6c7,350
rnbqr1k1/pp3pp1/4pn2/3pN1P1/3P4/2PB4/P1P2PP1/R2QK2R w KQ -,g5f6 d8f6 d1h5 g8f8 h1h3 f8e7 h3f3 e8f8 f3f6 g7f6,622
br1qrbk1/3n1p2/p5pp/Ppp1N3/1PPB1n2/4R2P/2BN1PP1/1R2Q1K1 w - -,c2g6 f7g6 e5g6 f4g6 b4c5 d8g5 d2e4 a8e4 e3e4 g6f4,-648
8/5KR1/6P1/6k1/8/8/8/4r3 w - -,,0
8/6pk/7p/2Q2p2/8/P4q1P/1r4PK/6R1 w - -,c5d6 f3e4 d6g3 f5f4 g3g4 b2f2 h2h1 e4d5 a3a4 d5e5,-6
r1q3k1/p5n1/2p1p1B1/1p3p2/1P1P2P1/3Q3R/2P2P2/6K1 w - -,d3g3 c8d8 g3h2 g7h5 g6h5 d8d4 g4f5 e6f5 h3g3 g8f8,645
8/R7/8/6p1/8/2k5/2pp2PP/2R3K1 w - -,d3f3 c8d8 f3h1 g8f8 h3h8 f8e7 h1h4 e7d7 h8d8 a8d8,Mate
4k3/p1n3K1/1pp3P1/5N2/8/8/PPP5/8 w - -,g7h8 c7d5 g6g7 d5f6 f5h6 e8d7 h6f7 c6c5 f7g5 a7a5,821
2kr4/p1p2ppr/p4n1p/3pn3/1b1P4/2P2N2/PP2PPPP/RN2KB1R w KQ -,d4e5 b4e7 e5f6 e7f6 e2e3 c7c5 b1a3 c8c7 f1a6 h7h8,718
r1bqk1nr/1p3pbp/p1n1p1p1/3p4/2BNPP2/5N2/PPP3PP/R1BQ1RK1 w kq -,,0
8/k5p1/r4p2/2p1p2p/1pP1P2P/3P4/1RK3P1/8 w - -,c2b1 a6a3 b2f2 a3d3 f2f5 d3b3 b1a2 b3e3 f5f3 e3e4,-607
r4r1k/pppq2p1/2n3pp/3np3/8/1BPP2NP/PP4P1/R1B1Q2K w - -,h1h2 d5f4 b3c2 a8d8 g3e4 b7b6 e1h4 c6e7 d3d4 f4g2,-334
2rk1b2/1b1n1p1p/p2p1nr1/qp1P1N2/2P2P2/1P4PB/PB2Q2P/2R1R1K1 w - -,f5e7 a5b6 g1f1 b5b4 e7g6 h7g6 h3d7 f6d7 e2e8 d8c7,358
6k1/5p2/4p1p1/6p1/1p6/P5P1/1P1r1P1P/2R3K1 w - -,,0
5r1k/1p1b2pp/3N4/2P5/8/P7/5PKP/5R2 w - -,f1b1 d7c6 g2f1 f8a8 d6b7 g7g5 a3a4 c6d5 b7d6 a8a4,66
r1b1k2r/ppq2ppp/2n1pn2/3p4/3P4/1PP1PNP1/3N1PP1/R2QKB1R w KQkq -,b3b4 e6e5 b4b5 e5d4 b5c6 d4e3 f2e3 c7g3 e1e2 b7c6,52
r2q1rk1/1p3ppp/4p3/2nP4/4n3/Pb2PN2/Q3BPPP/R1B1K2R w KQ -,a2d2 e4d2 c1d2 c5e4 d2b4 b3d5 e1h1 f7f5 e2d3 e4f6,-528
r1b2rk1/ppq1ppbp/2np1np1/2p3B1/N1B1P3/3P1N2/PPP2PPP/R2QR1K1 w - -,a4c3 e7e6 d1d2 a7a6 a2a4 c6d4 f3d4 c5d4 c3a2 c8d7,-16
r1bqk2r/p3nppp/2p5/3pp3/3pP3/P1P1BP2/2P1N1PP/R2QK2R w KQkq -,e3f2 d4c3 f2c5 c8a6 e1h1 d8a5 c5b4 a5b6 f1f2 c6c5,-184
r6k/pp4pp/2n5/2b4r/2B2q2/2P4P/PP3PP1/R1BR2K1 w - -,d1d8 a8d8 c1f4 h5f5 f4g3 d8d2 a1e1 d2b2 c4e2 f5f8,-486
8/8/7p/p1p3p1/4k3/PP3p1P/3K1PP1/4Nb2 w - -,g2f3 e4f4 d2d1 h6h5 a3a4 f1h3 d1e2 h3f5 e1g2 f4e5,-420
r2qr1k1/ppp2pbp/2np1np1/4pb2/2P5/PP1PPN2/1B1NBPPP/R2QK2R w KQ -,e1h1 a7a5 d1c2 e5e4 d3e4 f6e4 b2g7 e4d2 c2d2 g8g7,16
5k2/5ppp/4pn2/bB6/8/2P5/PP3PPP/6K1 w - -,a2a4 a5b6 g1f1 f8e7 f1e2 f6d5 b5c4 e7d6 c4d5 d6d5,-211
2kr3r/pppqbp2/2n3bn/4P2p/P2pP3/3B1NB1/1PP1QPP1/RN2K2R w KQ -,b1d2 h6g4 d3b5 d7e6 e2c4 e6c4 b5c4 h5h4 f3h4 g4e5,85
r4rk1/p2nbppp/qpp1pn2/8/3P4/1pB3P1/P2NPPBP/R2Q1RK1 w - -,a2b3 a6b7 e2e4 a7a5 d2c4 a8a7 f2f4 b7c7 f4f5 b6b5,5
3r1r1k/p1q3pp/8/1pb1np2/3N4/1NP1QP2/PP5P/R2R2K1 w - -,e3e2 c5b6 g1h1 d8e8 e2b5 g7g5 d1e1 g5g4 b3d2 f8g8,-86
r4rk1/1pp1q1p1/1p4Qp/3bn3/3N4/1PP1B3/P4PPP/R3K2R w KQ -,g6c2 c7c5 d4f5 e7e6 f5g7 e6g4 c2e2 g8g7 h2h3 g4e2,-308
8/8/1Bp5/p6K/P3kp2/1P5P/2Pb4/8 w - -,b6c7 f4f3 c7g3 d2f4 g3e1 f4e3 h3h4 c6c5 h5g4 f3f2,-738
1r3r1k/2R1Npbp/2P3p1/1p2p1B1/8/1n5P/1P3PP1/5RK1 w - -,f1d1 b3c5 g5e3 c5e6 c7d7 e5e4 c6c7 e6c7 e7c6 b8c8,359
5rk1/pr2pp1p/4b1p1/1Np5/4PP2/1P5P/2P3P1/R3K2R w - -,b5c3 f8a8 a1a4 c5c4 b3b4 e6d7 a4a5 b7b4 e1d2 d7c6,10
4r1k1/5pp1/4pnp1/p2pR3/3P4/2P2P1P/P2N2P1/6K1 w - -,c3c4 e8b8 c4d5 f6d5 d2c4 a5a4 e5e2 b8b1 g1h2 b1b4,-76
4k2K/p7/1pp1n1P1/5N2/8/8/PPP5/8 w - -,f5g7 e6g7 h8g7 c6c5 g7h7 b6b5 g6g7 e8e7 g7g8q e7f6,972
1q2r1k1/7p/5pp1/2PR2n1/8/1p2PPP1/1Q4KP/2R5 w - -,b2f6 b3b2 d5d7 b8e5 f6e5 e8e5 c1b1 e5c5 b1b2 c5c8,560
r1bqkbnr/5ppp/2npp3/1pp5/p3PB2/1BNP1N2/PPP2PPP/R2Q1RK1 w kq -,b3d5 e6d5 e4d5 c6a7 f1e1 f8e7 c3e4 e8f8 c2c4 g8f6,-93
r5k1/pb4pp/1qp1pp2/8/8/2N2Q2/PPP2PPP/1R4K1 w - -,c3a4 b6d4 a4c3 d4b6 f3g4 c6c5 b1d1 b6b2 g4e6 g8h8,53
1rbr2k1/1p1n1pp1/p3pn1p/3q4/PPNP4/3B1N2/3Q1PPP/R4RK1 w - -,a4a5 b7b6 a5b6 d7b6 c4a5 c8d7 f3e5 d7e8 f1d1 b6c8,33
2r3k1/6b1/r3p1pp/5p2/5P1P/2p2P1N/2R1K1P1/3R4 w - -,h3f2 e6e5 f4e5 g7e5 h4h5 g6h5 d1d5 a6e6 f2d1 e5g7,-155
7k/pp2rpp1/2p4p/8/6R1/7P/PP1K2P1/8 w - -,g4d4 g7g6 a2a4 h8g7 b2b4 g7f6 a4a5 f6e6 d2e3 e7d7,-341
r2q1rk1/p2bppbp/1p1p2p1/4n3/4P3/1NN1B2P/PPP1QPP1/R4RK1 w - -,f2f4 e5c6 e2d2 f7f5 e4f5 f8f5 a1e1 a8c8 c3e4 d7e6,17
6k1/5p2/4p1p1/6p1/1P6/6P1/1r3P1P/2R3K1 w - -,,0
4K3/4P2k/8/8/6R1/8/1r6/8 w - -,c1c5 g5g4 c5b5 g8g7 b5b7 e6e5 g1f1 g7f6 b4b5 f6e6,Mate
r3r1k1/ppqn1pp1/2pb3p/3p4/2PPb3/1N2B2P/PP2BPP1/R2QR1K1 w - -,b3d2 a8d8 d2e4 d5e4 d1b3 d6h2 g1h1 h2f4 a1d1 f4e3,-18
5r1k/1p4pp/2bN4/2P5/8/P7/5PKP/1R6 w - -,g2f1 f8a8 d6b7 g7g5 b1b6 c6f3 f1e1 a8a3 b7d8 a3a5,55
r2qkb1r/pp1n1ppp/2p1p3/3nP3/3P4/2NB1b1P/PP3PP1/R1BQK2R w KQkq -,d1b3 d5b4 d3e2 f3e2 c3e2 f8e7 e1h1 e8h8 e2f4 a7a5,-430
4n3/p7/2p3R1/1pB5/1P2r1p1/2k5/P5K1/8 w - -,g6c6 e4e2 g2g3 e2a2 g3g4 c3b3 g4f3 a2h2 c5a7 b3b4,-12
B6r/p3kppp/4b3/8/5B2/2P5/P4PPP/2K4R w - -,a8f3 e6a2 c1b2 a2c4 h1e1 e7f6 h2h4 h8c8 f4e3 c8b8,588
r1b1kb1r/pppp1ppp/2n2q2/4p3/3PP3/5N2/PPP2PPP/R1BQKB1R w KQkq -,d4d5 c6b8 c1e3 d7d6 d1d3 f6d8 h2h4 f8e7 e1a1 e8h8,84
8/7p/7P/4K1p1/6P1/4k3/8/8 w - -,d4d5 c6b8 c1e3 d7d6 d1d3 f6d8 h2h4 f8e7 e1a1 e8h8,Mate
r5k1/1p3pp1/p1pp2rp/3Qq3/PbP1P3/6P1/1P3PBP/1R3RK1 w - -,f1d1 c6d5 d1d5 e5e7 b1d1 g8h8 e4e5 a8e8 g2e4 g6e6,-613
r3kb1r/p1p2p2/b1p4p/4P1p1/1q2N3/6B1/PPP2PPP/R2QK2R w KQkq -,e4d2 e8a8 a2a3 b4b2 a1b1 b2d4 c2c4 a6c4 d1c2 c4a6,-349
r4rk1/p2nbppp/1pp1pn2/1q6/3P4/1PB3P1/3NPPBP/R2Q1RK1 w - -,e2e4 e7b4 c3b4 b5b4 a1a4 b4e7 d1a1 a7a6 e4e5 f6d5,10
r6k/pp4pp/2n5/7r/2B2Q1q/2P4P/PP3bP1/R1BR2K1 w - -,f4f2 h4c4 d1d7 h5d5 b2b3 c4c3 c1b2 c3b2 f2b2 d5d7,200
7k/4Np1p/3r2p1/P7/8/R6P/2r3P1/b5K1 w - -,e7d5 a1d4 d5e3 d6e6 g1h1 e6e3 a3e3 d4e3 h1h2 h8g7,-901
r2q1rk1/pb1n1ppp/1p1p1n2/3pp3/3P4/2NBPN2/PPP2PPP/R2QR1K1 w - -,,0
r5k1/pb4pp/1q2pp2/2p5/8/2N5/PPP1QPPP/1R4K1 w - -,b1d1 b6b2 e2e6 g8h8 e6b3 b2b3 a2b3 b7c6 d1d6 a8c8,42
