3rrbk1/5R2/3p3p/2p1pQ2/2P1P1n1/3P4/6P1/6K1 w - -,c1d1 b5c4 e1f1 f2g3 c3c1 g3g2 c1c2 c8h8 e2d3 g2c2,Mate
rB1qkb1r/pp2pppp/5n2/1b6/3Qp3/2N5/PPP2PPP/R3K1NR w KQkq -,d4d8 e8d8 c3b5 a8b8 e1a1 f6d7 b5c3 e7e6 c3e4 d8e7,-5
2k4r/ppnr4/3pN3/3Pb2p/1P4p1/q2BP3/2QB1PP1/1R3K2 w - -,b4b5 c8b8 d2b4 a3b4 b1b4 c7d5 b4f4 d5b6 c2a2 h8c8,362
rn2k2r/ppqb1ppp/3bpn2/1Bpp4/3P4/2P1P1B1/PP1N1PPP/R2QK1NR w KQkq -,,0
r2q1rk1/pp3ppp/8/3pP3/2PNnP2/B5P1/P1Q4P/5RK1 w - -,d4f5 d8b6 g1g2 f8c8 f5e7 g8h8 c4c5 b6a6 e7c8 a8c8,-121
r4rk1/pb1qbppp/1pn1pn2/8/3P1B2/P1NQ1N2/BP3PPP/R4RK1 w - -,f1e1 a8d8 a1d1 f8e8 a2b1 g7g6 b1a2 e7f8 d3d2 f8g7,86
K7/2k5/2N5/8/2p5/5ppP/1P1R4/8 w - -,,0
8/2P1kp2/3r2p1/2pBp3/p1P4b/PP3R1P/2Q4P/4qK2 w - -,f1g2 e7d7 f3f7 d7c8 b3a4 d6f6 f7f6 h4f6 c2b2 c8c7,792
r2qr1k1/pp3p2/2nb1n1p/6p1/2pPB2B/2P2Q2/PP3PPP/R3R1K1 w - -,h4g3 d6g3 h2g3 d8d6 b2b3 c4b3 a2b3 e8e7 e4d3 e7e1,-350
5r2/p1k2P2/3pb3/1Bp5/2P1P3/2r5/P7/R3KR2 w - -,f1f6 e6c4 b5c4 c3c4 e1d2 c4e4 d2c3 e4e7 a1d1 e7d7,-3
r1bqkb1r/3n1pp1/p3pn1p/3p4/1p1NP1P1/4BP2/PPPQN2P/R3KB1R w KQkq -,e4d5 f6d5 e1a1 d5e3 d2e3 c8b7 e2g3 d8b6 f1c4 d7f6,-73
r5rk/1bq2p2/p2pp2P/1p2bP2/4P1Q1/PNN5/1PP5/2K3RR w - -,e4d5 f6d5 e1a1 d5e3 d2e3 c8b7 e2g3 d8b6 f1c4 d7f6,Mate
4b3/4N3/B6p/6pP/3k1pP1/4p3/5PK1/8 w - -,e7g8 d4e5 f2e3 f4e3 g2f3 e8a4 g8h6 e5f6 a6d3 a4d1,585
5rk1/4q1p1/p2p3p/1p2p1n1/1P2r3/6Q1/1PPB2PP/3RR1K1 w - -,h2h3 e4e1 d1e1 e7f6 c2c3 g5f7 g3g4 d6d5 d2e3 f6c6,-53
rn2k2r/1bqp1ppp/pp2pn2/8/1b1NP3/2N1BP2/PPPQ2PP/2KR1B1R w kq -,g2g4 d7d6 g4g5 f6d7 h1g1 b6b5 h2h4 d7b6 h4h5 b6a4,82
2k4r/ppnr4/3pN3/3Pb2p/1P4p1/2qBP3/2Q2PP1/1RB2K2 w - -,c2e2 h5h4 c1b2 h4h3 b2c3 h3h2 e2g4 h2h1q f1e2 h1h5,179
r1bq2k1/pp2p1bp/3p2p1/2pPn3/2P3P1/2N2rnP/PP1Q1B2/2KR1BNR w - -,g1f3 e5f3 d2d3 g3h1 d3f3 h1f2 f3f2 c8d7 d1e1 d8f8,-216
8/rb3kq1/8/3p4/1P6/1B3p2/2PN1P2/2K3R1 w - -,,0
8/5pk1/4pbp1/pp1q4/2rP1P1p/P2Q4/1P2NKPP/3R4 w - -,d1d2 a5a4 h2h3 d5c6 b2b4 a4b3 d3b3 c6a6 d4d5 c4a4,-161
r4rk1/5ppp/p1q5/1p1bp3/8/4BP2/PPP1Q1PP/R3R2K w - -,a2a3 f7f6 a1d1 f8d8 e2f2 d8d7 h2h3 h7h6 e3b6 a8c8,-6
R7/p1r4k/5ppp/1p6/6P1/1P5P/P4P2/6K1 w - -,a8b8 a7a6 b8b6 h7g7 g1g2 g6g5 b6a6 g7g6 g2g3 c7c1,48
r1bqk2r/4n1bp/p2pp1p1/1p4N1/4P3/1nN5/PP3PPP/R1BQ1RK1 w kq -,d1b3 d8d7 f1d1 e7c6 c3e2 h7h6 g5f3 c6a5 b3b4 a5c4,71
3r3r/pp2nkpp/3b4/2p3p1/2Pp4/1P1B4/P2N1PPP/R2R2K1 w - -,g2g3 h8e8 d3e4 b7b6 d1e1 h7h6 h2h3 e7g8 e4d3 d6b8,-63
1r1k1b1r/pp2pppp/5n2/1N6/4p3/8/PPP2PPP/R3K1NR w KQ -,e1a1 f6d7 b5c3 e7e6 c3e4 d8e7 f2f4 g7g6 g1f3 f8g7,-8
r4rk1/ppq2ppp/2pb4/4nb2/P2Q1B2/2N3P1/1P2PPBP/R3K2R w KQ -,e1h1 f8d8 a4a5 a7a6 f1d1 f7f6 c3e4 d6f8 d4c3 d8d1,22
4b3/4N3/B6p/6pP/3k2P1/4p3/6K1/8 w - -,g2g3 e8d7 e7g8 d7e6 g8h6 d4e4 a6e2 e6b3 h6f5 b3g8,762
2r1qrk1/p2bp1bp/np1p1np1/2pP4/2P1p3/P1N2NP1/1PQ2PBP/1RB1R1K1 w - -,f3g5 d7f5 c3e4 a6c7 e4f6 f8f6 g5e4 f6f8 h2h3 e8d7,57
r5rk/pp3R1p/4n2B/4q3/6RQ/P2p3P/1P4P1/6K1 w - -,f3g5 d7f5 c3e4 a6c7 e4f6 f8f6 g5e4 f6f8 h2h3 e8d7,Mate
2k4r/pp1r4/3pn3/3Pb2p/1P4p1/2qBP3/4QPP1/1RB2K2 w - -,d3f5 e6g7 f5d7 c8d7 c1d2 c3a3 e2b5 d7c7 b1c1 c7b8,-286
r2qkb1r/pp2p2p/2n1bpp1/3n4/7Q/5NP1/PP2PPBP/RNB2RK1 w kq -,f1d1 d8a5 c1d2 a5c7 f3d4 c6d4 h4d4 c7b6 d4b6 d5b6,146
r2nr1k1/1b1qppbp/1ppp1np1/pB6/P2PPB2/2P2N1P/1PQN1PP1/R4RK1 w - -,b5e2 b7a6 e2a6 a8a6 f4h2 d8e6 f3h4 e6f8 f2f4 b6b5,87
r2qk2r/1pp2ppp/pbnpbn2/4p3/4P3/1BPP1N1P/PP3PP1/RNBQ1RK1 w kq -,a2a4 h7h6 b3e6 f7e6 b2b4 e8h8 c1e3 b6e3 f2e3 d8d7,25
r1bq2k1/pp2p1bp/3p2p1/2pPn3/2P3P1/2N3rP/PP1Q4/2KR1BNR w - -,c3e4 g3g1 h1g1 e5f3 d2f2 f3g1 f2g1 d8a5 c1b1 c8d7,-230
r1b1k2r/3qn1bp/p2pp1p1/1p4N1/4P3/1QN5/PP3PPP/R1B2RK1 w kq -,a2a4 b5b4 b3b4 e7c6 b4c4 c6e5 c4e2 e8h8 f1d1 h7h6,69
3r3r/pR4pp/5k2/3p4/n1p5/P2p2P1/P4P1P/3R2K1 w - -,g1f1 f6e5 b7g7 e5d4 g7c7 a4c3 d1d2 d8f8 c7a7 h7h5,-759
r1bq1rk1/4bpp1/p1np1n1p/1pp1p3/2B1P3/2NPBN1P/PPP1QPP1/R4RK1 w - -,f3e5 d6e5 c4d5 c8b7 d5c6 b7c6 a2a4 b5b4 c3b1 c6d7,-375
8/p2b2pp/2p1k3/2Pp1p2/5P2/P1N5/1P4PP/4K3 w - -,c3b1 d5d4 b2b4 e6d5 b1d2 d7e6 e1e2 a7a5 e2d3 e6c8,-85
r2q1rk1/ppp2pp1/2npbn1p/4p3/2B1P2B/P1P2N2/1PP2PPP/R2Q1RK1 w - -,c4b3 a7a5 b3e6 f7e6 h4f6 f8f6 d1e2 c6e7 a3a4 e7g6,-48
8/rb4k1/8/3p4/1P6/1B3p2/2PN1P2/2K5 w - -,,0
5r2/p1k2P2/3pb3/1Bp5/2P1P3/7r/P2K4/R4R2 w - -,b5e8 h3h7 e4e5 d6e5 f1f6 e6f7 f6c6 c7d8 e8f7 f8f7,-3
2k4r/pp1r4/3pn3/3Pb2p/1q4p1/3BP3/1B2QPP1/1R3K2 w - -,b2e5 d6e5 b1b4 e6c5 d3f5 c8b8 f5d7 c5d7 e2a6 d7b6,447
3Rrk2/1p1R1pr1/2p1p2Q/2q1P1p1/5P2/8/1PP5/1K6 w - -,d3f5 d7c7 g2g3 e5b2 d5e6 b4c4 e6e7 c8b8 e2c4 c7c4,Mate
1r1k1b1r/pp1npppp/8/1N6/4p3/8/PPP2PPP/2KR2NR w - -,b5c3 e7e6 c3e4 d8e7 f2f4 g7g6 g1f3 f8g7 h1e1 h8d8,-13
r4rk1/pp2b1pp/2p5/q2p4/2PBn1b1/1P3N2/P2PB1PP/R2Q1RK1 w - -,c4d5 c6d5 d2d3 e4c3 d1d2 e7f6 d4f6 f8f6 a1e1 a8f8,-49
r2q1rk1/pbp1bpp1/1pn1pn1p/8/2BPN2B/4PN2/PP3PPP/R2Q1RK1 w - -,h4f6 e7f6 d1e2 c6b4 e4f6 d8f6 a2a3 b4d5 c4a6 b7a6,32
K7/2k5/8/8/1Np5/6pP/1P1R1p2/8 w - -,b4d5 c7d7 d5e3 d7e7 d2f2 g3f2 h3h4 e7f7 h4h5 f7g8,820
3rr3/ppbR1p2/2pR4/7k/1PP1p1p1/P3P1P1/1B3PK1/8 w - -,d6d4 d8c8 d7f7 c7e5 d4d2 e5b2 d2b2 e8d8 b2b1 h5g6,439
4r1k1/1ppqr3/p5p1/2p5/4R1P1/2P3Q1/PP5P/4R1K1 w - -,g3f4 e7e4 e1e4 d7d1 g1f2 e8f8 f4f8 g8f8 e4e2 d1d3,-519
8/5p2/5k2/4p3/5pPP/8/6K1/8 w - -,g2f3 f6g6 f3e4 f7f6 h4h5 g6g5 e4d3 f6f5 g4f5 g5f5,-5493
2k4r/pp1r4/3pn3/q2PB2p/6p1/3BP3/4QPP1/1R3K2 w - -,d5e6 d7c7 e5h8 a5d5 h8d4 d5e6 d4a7 h5h4 e2b2 e6f7,591
r1bq1rk1/4bpp1/p2p1n1p/npp1p3/4P3/1BNPBN1P/PPP1QPP1/R4RK1 w - -,f3h2 a5b3 a2b3 b5b4 c3a4 a6a5 f2f4 e5f4 f1f4 c8e6,-45
1r1k1b1r/pp1n1ppp/4p3/8/4p3/2N5/PPP2PPP/2KR2NR w - -,c3e4 d8e7 f2f4 g7g6 g1f3 f8g7 h1e1 h8d8 g2g3 h7h6,-5
r2qr1k1/pp3p2/2n2n1p/6p1/2pPB3/2P2Qb1/PP3PPP/R3R1K1 w - -,h2g3 d8d6 b2b3 c4b3 a2b3 e8e7 e4d3 e7e1 a1e1 g8g7,-353
2r3k1/pb2qrnp/1p2Bp1Q/nP6/8/P3R3/1BP2PPP/3R2K1 w - -,e6c8 e7f8 c8b7 a5b7 e3h3 g7e6 h3g3 e6g7 h6f4 h7h5,633
8/1b4k1/8/3p4/1P6/1B3N2/2P2P2/r1K5 w - -,,0
2r1qrk1/p3p1b1/np1p1npp/2pP1bN1/2P1N3/P5P1/1PQ2PBP/1RB1R1K1 w - -,g5e6 f5e6 e4f6 f8f6 e1e6 f6e6 d5e6 a6c7 h2h4 g8h8,153
1R4Q1/q4r2/3p1k1p/P3pPnP/2P5/6PB/7K/8 w - -,g5e6 f5e6 e4f6 f8f6 e1e6 f6e6 d5e6 a6c7 h2h4 g8h8,Mate
r1bq2k1/pp2p1bp/3p2p1/2pP4/2P3P1/2N2nnP/PP1Q1B2/2KR1B1R w - -,d2f4 g3h1 f4f3 h1f2 f3f2 c8d7 d1e1 d8f8 f2e3 a8e8,-213
r2nr1k1/1bpqppbp/1p1p1np1/p7/P2PPB2/2P2N1P/1PQNBPP1/R4RK1 w - -,f4h2 d7c8 f1e1 f6d7 a1d1 b7a6 d2c4 e7e5 g1h1 d8c6,83
r3k2r/pp3pp1/3qpn2/2np3p/8/2P1P3/PPQN1PPP/R3K1NR w KQkq -,d2b3 c5e4 f2f3 e4c5 b3c5 d6c5 c2a4 b7b5 a4d4 c5c7,-53
4r3/ppbr1p2/2p5/7k/1PPRp1p1/P3P1P1/1B3PK1/8 w - -,b2a1 d7d4 a1d4 h5g6 g2g1 c7b8 g1f1 e8d8 a3a4 b7b6,-565
3r2nr/pp3kp1/3b3p/2p3p1/1PPp4/3B4/P2N1PPP/R2R2K1 w - -,b4c5 d6c5 d2e4 b7b6 e4c5 b6c5 a1b1 g8e7 b1b7 f7f6,-18
5r2/pR5p/6pk/2P4r/2b5/1N6/PP3PBb/5R1K w - -,b7a7 c4f1 g2f1 h2b8 h1g1 h5g5 f1g2 b8a7 a2a4 a7c5,-653
1r3b1r/pp1nkppp/4p3/8/4N3/8/PPP2PPP/2KR2NR w - -,f2f4 g7g6 g1f3 f8g7 h1e1 d7b6 c2c3 b8c8 g2g3 b6d5,-14
2k4r/pp2r3/3pP3/q3B2p/6p1/3BP3/4QPP1/1R3K2 w - -,e5h8 a5d5 e2c2 c8b8 b1c1 d5c6 c2b2 c6b6 b2c3 b6c6,667
r4rk1/5ppp/p1q5/1p2p3/2b5/4BP2/PPP1Q1PP/2R1R2K w - -,e2f2 f7f6 a2a3 f8d8 c1d1 h7h6 f2g1 c4e6 d1d8 a8d8,-10
r1bq1rk1/4bpp1/p2p3p/nppnp3/4P3/2NPBN1P/PPP1QPP1/R4RK1 w - -,e3h6 d5c3 b2c3 g7h6 f3h2 a5c6 h2g4 g8h7 f2f4 e5f4,-489
8/1k6/4B3/8/2K5/Q7/8/8 w - -,e3h6 d5c3 b2c3 g7h6 f3h2 a5c6 h2g4 g8h7 f2f4 e5f4,Mate
8/5p2/4k3/4p3/5pPP/5K2/8/8 w - -,f3e2 e6f6 e2f3 f6g6 f3e4 f7f6 e4f3 f6f5 g4g5 g6h5,-5910
r1bq2k1/pp2p1bp/3p2p1/2pP4/2P2QP1/2N2n1P/PP3B2/2KR1B1n w - -,f4f3 h1f2 f3f2 c8d7 d1e1 d8f8 f2e3 g7e5 c1c2 f8g7,-209
5k2/p4ppp/4p3/1p1p4/3P4/2P5/PP3PPP/5K2 w - -,g2g4 f8e7 f1g2 e7f6 f2f4 g7g6 g2g3 h7h5 b2b3 h5g4,-22
2r5/ppbR1p2/2p5/7k/1PP1p1p1/P3P1P1/1B3PK1/8 w - -,d7f7 h5g5 f7e7 g5f5 b2d4 a7a6 c4c5 a6a5 b4a5 c7a5,412
8/3b4/5k2/5pp1/2B1p3/4N1P1/5PK1/8 w - -,c4a6 f5f4 e3c2 f6e5 g2f1 d7f5 c2b4 e5d6 f1e1 d6c5,198
8/1b6/5k2/3p4/1P6/1B3N2/2PK1P2/r7 w - -,,0
3r3r/R5pp/5k2/3p4/2p5/P1np2P1/P4P1P/3R2K1 w - -,d1d2 f6e5 a3a4 e5d4 a7b7 c3e4 d2d1 d8f8 f2f3 e4c3,-799
r2q1rk1/pbp2pp1/1pn1pb1p/8/2BP3B/4PN2/PP3PPP/R2Q1RK1 w - -,h4f6 d8f6 a1c1 f8c8 d1e2 e6e5 d4d5 c6e7 e3e4 c7c6,18
2k4B/pp6/3pr3/q6p/6p1/3BP3/4QPP1/1R3K2 w - -,e2c2 a5c7 c2a2 e6e8 a2a7 c7c6 h8d4 e8e4 a7a8 c8c7,931
r4rk1/3nbpp1/1qp1pn1p/3p1b2/p2P4/1P1NP1P1/PB1NQP1P/R1R2BK1 w - -,e2d1 a4b3 a2a4 f8b8 c1c3 f5d3 c3d3 e7b4 d3b3 b6a5,-25
r4rk1/2p1b1pp/2npp1q1/p3p3/PpP1P3/1N3N1P/1P1B1PP1/R3Q1K1 w - -,g1h2 f8f7 e1b1 a8f8 d2e3 g6h5 b1f1 f7f3 g2f3 e7g5,-364
3r4/ppb2R2/2p5/7k/1PP1p1p1/P3P1P1/1B3PK1/8 w - -,f7h7 h5g6 h7c7 d8d3 c7b7 d3b3 b2d4 c6c5 b7g7 g6f5,633
r2qk2r/pp3ppp/2p4n/3pP3/5Pb1/2N2N2/PPP1Q1PP/2KR2R1 w kq -,h2h3 g4f3 e2f3 d8c7 g2g4 e8a8 g1e1 h8e8 c3e2 c8b8,120
8/3b4/8/4kpp1/2B1p3/4N1P1/5P2/5K2 w - -,c4a6 f5f4 e3c2 d7f5 c2b4 e5d6 f1e1 d6c5 b4a2 c5b6,214
5rk1/4q1p1/p2p3p/1p2p1n1/1P6/6QP/1PPB2P1/3Rr1K1 w - -,d1e1 g5f7 e1a1 e7c7 g3g6 c7b6 g1h2 b6d4 g6d3 d4d3,-61
rn1qk2r/p1pp1pb1/1p2p3/4P2n/2PP2Q1/2N3p1/PP1N1PKP/R1B1R3 w kq -,h2g3 e8f8 e1h1 f7f5 g4f3 b8c6 h1h5 c6d4 h5h8 g7h8,507
r1bqkb1r/ppp2p2/4p2p/4n1p1/3Pp3/6B1/PPP2PPP/R2QKB1R w KQkq -,g3e5 h8g8 h2h4 f8d6 h4g5 d6e5 d4e5 d8g5 h1h5 g5g6,-30
2r1q1k1/p1n1p1bp/1p1p1rp1/2pP1bN1/2P5/P5P1/1PQ2PBP/1RB1R1K1 w - -,g5e4 f6f8 c2e2 e8d7 b2b4 g7d4 c1e3 e7e5 b4c5 d6c5,53
1r4k1/5pp1/p1r1b3/2BpP1qp/PP1P4/2R5/5QPP/5R1K w - -,c5e7 g5e7 c3c6 b8b4 c6a6 g7g6 a4a5 b4a4 h2h3 e6f5,363
r1b2rk1/pp3pp1/2nq1n1p/3pp3/3P4/2PB1N1P/PP2QPP1/RN3RK1 w - -,d4e5 c6e5 e2e5 d6b6 b2b3 f8e8 e5d4 b6c7 b1d2 f6e4,496
r2q1rk1/ppp3p1/2nppn1p/4p3/4P2B/P1P2N2/1PP2PPP/R2Q1RK1 w - -,h2h3 d8e8 h4f6 f8f6 f3h2 c6e7 h2g4 f6f4 d1d3 e8c6,-56
r2q1rk1/4bpp1/p2pb2p/nppNp3/4P3/3PBN1P/PPP1QPP1/R4RK1 w - -,a2a3 f7f5 d5e7 d8e7 e4f5 e6f5 f3d2 a5c6 d2e4 f5g6,-25
r2qk2r/pp3ppp/2p4n/3pP3/5P2/2N2b1P/PPP1Q1P1/2KR2R1 w kq -,e2f3 d8c7 c3e2 h6f5 g2g4 f5e7 e2d4 e8a8 e5e6 c6c5,113
r4rk1/pbp2pp1/1pn1pq1p/8/2BP4/4PN2/PP3PPP/R2Q1RK1 w - -,a1c1 c6e7 c4e2 c7c5 d4c5 f6b2 d1d7 b7d5 d7e7 b2e2,6
rnb2rk1/ppp1ppbp/3q1np1/4P3/5P2/2N2N2/PPP3PP/R1BQKB1R w KQ -,e5d6 e7d6 f1e2 f8e8 e1h1 b8a6 a2a4 a6c5 a1a3 c7c6,653
8/1b2k3/8/3p4/1P1N4/1B2K3/2P2P2/4r3 w - -,,0
r2qk2r/ppp2ppp/2n2n2/4p3/1b1p4/1P2P1PN/PBPP1P1P/RN1Q1RK1 w kq -,a2a3 b4e7 e3d4 e5d4 d2d3 d8d7 h3g5 f6g4 d1e2 e8h8,-104
8/6p1/p2n2P1/1ppk1K2/4p3/P1B5/1PP5/8 w - -,f5f4 d6e8 f4f5 e4e3 f5f4 d5e6 f4e3 e8f6 e3d3 e6f5,-12
r1bq2k1/pp2p1bp/3p2p1/2pP4/2P3P1/2N2Q1P/PP3n2/2KR1B2 w - -,f3f2 c8d7 f2d2 d8f8 f1g2 f8f6 d1f1 f6h4 d2f2 h4h6,-211
8/8/4kp2/4p3/4KpPP/8/8/8 w - -,e4f3 e6f7 f3f2 e5e4 h4h5 f7g7 f2e2 g7h6 e2d1 h6g5,-6018
r2qkb1r/1pp1npp1/p2p1n1p/3Pp2b/P1B1P3/2N2N1P/1PP2PP1/R1BQ1RK1 w kq -,a4a5 c7c6 c4b3 g7g5 c1e3 g5g4 d5c6 b7c6 h3g4 h5g4,114
8/3b4/5k2/6p1/2B1pp2/4N1P1/5P2/5K2 w - -,e3c2 f6e5 c4a6 d7f5 c2b4 e5d6 f1e1 d6c5 b4a2 c5b6,214
3r2nr/pp3kp1/7p/2b3p1/2Pp4/3B4/P2N1PPP/R2R2K1 w - -,d2b3 b7b6 b3c5 b6c5 a1b1 g8e7 b1b7 f7f6 g1f1 h8e8,-33
r3k2r/ppq2ppp/2p4n/3pP3/5P2/2N2Q1P/PPP3P1/2KR2R1 w kq -,g2g4 e8a8 g1e1 h8e8 c3e2 f7f6 e5f6 g7f6 e2d4 e8e1,126
r1bqkbnr/3p1ppp/p1n5/1p2p3/4P3/N1N5/PPPB1PPP/R2QKB1R w KQkq -,c3e2 f8c5 e2g3 h7h5 c2c4 d8b6 d2e3 c5e3 f2e3 b6e3,-142
r5k1/2p1brpp/2npp1q1/p3p3/PpP1P3/1N3N1P/1P1B1PP1/R3Q2K w - -,e1e2 a8f8 d2e3 g6e4 f3d2 e4g6 c4c5 d6d5 e2b5 c6d4,-418
r1b1kb1r/ppp2p2/4p2p/4P1p1/4p3/6B1/PPP2PPP/R2qKB1R w KQkq -,a1d1 c8d7 h2h4 f8e7 h4g5 e7g5 f1e2 d7c6 h1h5 h8g8,-81
8/5pk1/4pbp1/1p1q4/p1rP1P2/P2Q3p/1P2NKPP/3R4 w - -,g2g4 d5g2 f2e3 g6g5 d3e4 g2h2 d1e1 h2g2 e4g2 g5f4,-403
8/1b6/3k4/3p4/1P1N4/1B3P2/2PK4/5r2 w - -,,0
r1bqk2r/1pp2pp1/pbnp1n1p/4p3/4P3/1BPP1N1P/PP3PP1/RNBQ1RK1 w kq -,c1e3 b6e3 f2e3 e8h8 b1d2 b7b5 d1e2 c6a5 b3c2 c7c5,32
2Q5/pp4pk/6p1/1b3n2/1PBq4/P5P1/5P1P/R5K1 w - -,c4g8 h7h6 a1e1 b5c6 g8e6 h6g5 b4b5 d4d2 h2h4 g5h5,487
r1b1k2r/pp2qppp/2nbpn2/3p4/2pP4/2P1PNB1/PPB2PPP/RN1QK2R w KQkq -,b1d2 e6e5 d4e5 c6e5 f3e5 d6e5 g3h4 e8h8 e1h1 f8d8,41
8/5ppp/3kp3/pp1p4/3P1P2/2PK4/PP4PP/8 w - -,d3c2 h7h6 h2h4 h6h5 c2b3 d6d7 a2a4 d7c6 b3a3 c6b6,5
r2qk2r/p1pp1pb1/1pn1p3/4P2n/2PP2Q1/2N3P1/PP1N2KP/R1B1R3 w kq -,d2f3 e8f8 c1g5 d8e8 a1d1 d7d6 g4e4 a8b8 h2h4 f8g8,438
r2r1bk1/p4ppp/2p1pn2/qp6/2PPn3/PP2NN2/1BQ2PPP/R3R1K1 w - -,c4c5 h7h6 h2h4 a5c7 g2g3 e4g3 f2g3 c7g3 c2g2 g3g2,280
8/3b4/5k2/8/2B1pp2/4N3/5P2/5K2 w - -,e3c2 f6e5 f1e1 d7g4 c4e2 g4c8 e2h5 e5d5 c2b4 d5c5,89
r1b1kbnr/ppppqppp/8/8/2Pn4/6Q1/PP2PPPP/RNB1KBNR w KQkq -,e1d2 d7d5 b1c3 g8f6 g3e3 e7e3 f2e3 d4f5 c3d5 f6d5,-140
1rb2rk1/3q2bp/2npp1p1/1p4N1/4P3/1QN1B3/1P3PPP/R1R3K1 w - -,c3d5 f8e8 h2h4 h7h6 g5e6 d7e6 c1c6 c8b7 c6b6 b7d5,218
rnbqkb1r/p2pppp1/3n4/1ppP3p/5B1P/5Q2/PPP2PP1/RN2KBNR w KQkq -,f4d6 e7d6 f1b5 b8a6 b1c3 a6c7 e1a1 d8f6 f3e2 f8e7,104
3r4/4k3/4p3/6Pp/1P6/P1P1N1R1/1Kb4P/4r3 w - -,e3d5 e6d5 b2c2 e1e2 c2d3 e2h2 b4b5 h5h4 g3g4 h2h1,-430
r2r2k1/pbp2pp1/1pn1pq1p/8/2BP4/4PN2/PP3PPP/2RQ1RK1 w - -,c4b5 d8d6 d1a4 e6e5 b5c6 b7c6 d4e5 c6a4 e5f6 c7c5,33
r1br3k/pp2Npbp/6p1/8/2n1P3/2N1BP2/PP4PP/R3K2R w KQ -,,0
8/p5pp/8/1p1k4/2p2P2/7P/PP1K2P1/8 w - -,a2a3 d5e4 f4f5 e4f5 d2e3 f5e5 g2g4 g7g5 e3d2 e5f4,-372
rn1qkb1r/pp1b1ppp/4pn2/2p5/2PP4/5B2/PP3PPP/RNBQK1NR w KQkq -,f3b7 b8c6 d4d5 e6d5 b7a8 d8a8 c4d5 c6b4 a2a3 b4d5,145
5rk1/4qnp1/p2p3p/1p2p3/1P6/6QP/1PPB2P1/4R1K1 w - -,e1a1 e7c7 c2c3 c7c6 d2e3 f8d8 g3g6 f7h8 g6e6 g8h7,-48
8/1b6/3k4/3p4/1P1N4/1BP2P2/3K4/7r w - -,,0
r3r1k1/1b1qppbp/2ppn1p1/p6n/p2PP3/1QP1BN1P/1P1NBPP1/R3R1K1 w - -,a1a4 e8b8 b3a2 c6c5 d4d5 e6c7 a4a5 a8a5 a2a5 h5f6,112
r2qr1k1/pp3p2/5n1p/6p1/2pnB3/2P2QP1/PP4PP/R3R1K1 w - -,c3d4 d8d4 f3e3 e8e4 e3d4 e4d4 e1e5 a8d8 a1f1 g8g7,-808
r4rk1/4qpp1/p2pb2p/npp1p3/4P3/3PBN1P/PPP1QPP1/R4RK1 w - -,a1e1 a5c6 f3d2 a6a5 a2a3 g7g5 a3a4 b5a4 c2c3 a8b8,-32
r2r2k1/pbp2pp1/1p2pq1p/1B6/1n1P4/4PN2/PP3PPP/2RQ1RK1 w - -,a2a3 a7a6 b5a4 b7f3 d1f3 f6f3 g2f3 b4d5 c1c2 a8b8,67
rn1qkb1r/ppp2ppp/4pnb1/6N1/2B5/2Np1Q2/PPP2PPP/R1B1K2R w KQkq -,c1f4 f8d6 c4d3 g6d3 c2d3 d6f4 f3f4 b8c6 e1h1 d8e7,-178
2R5/5pp1/N3p1kp/n1P5/8/2r3P1/5P1P/6K1 w - -,,0
r1bqkb1r/3p1ppp/p1n2n2/1p1Np3/4P3/N7/PPPB1PPP/R2QKB1R w KQkq -,f1d3 f8c5 e1h1 d7d6 d2g5 c6b4 g5f6 g7f6 d5b4 c5b4,58
8/8/b2k4/3p4/BP1N4/2P2P2/3K4/7r w - -,,0
8/6p1/p3knP1/1pp5/8/P1B1K3/1PP5/8 w - -,e3d3 e6f5 b2b4 c5b4 c3b4 f5g6 c2c4 g6f5 c4b5 a6b5,-16
r3r1k1/pp3p2/5n1p/6p1/2pqB3/5QP1/PP4PP/R3R1K1 w - -,g1h1 f6e4 h2h3 d4e5 h1h2 a8d8 a1c1 d8d3 e1e3 d3e3,-869
2r2rk1/5ppp/p1q5/1p1bp3/8/4BP2/PPP1Q1PP/2R1R2K w - -,a2a3 f8d8 e1d1 f7f6 d1d2 d5c4 e2f2 d8d2 e3d2 c4f7,-9
r1bqkb1r/1p1pnp1p/p1n1p1p1/2p5/P3PP2/1BN5/1PPP2PP/R1BQK1NR w KQkq -,c3e2 d7d5 e4e5 c5c4 b3a2 e7f5 g1f3 c6b4 d2d4 c4d3,-60
K7/8/2Nk4/8/2p5/5ppP/1P6/8 w - -,,0
rnbq1rk1/ppp2pbp/5np1/4p1B1/4P3/2P2P2/PP1Q2PP/RN2KBNR w KQ -,g2g4 d8e7 h2h4 f8d8 d2e3 e7f8 b1d2 c8e6 g1h3 h7h6,-25
8/4k3/5p2/4p2P/4KpP1/8/8/8 w - -,e4d3 e7f7 d3e4 f7g7 e4f3 g7h6 f3e4 f6f5 g4f5 h6g5,-6018
r1bq1rk1/ppn1p1bp/2pp2p1/1P3p2/2PPn3/2N2NP1/P3PPBP/1RBQ1RK1 w - -,d1d3 e4c3 d3c3 c6b5 c4b5 h7h6 a2a4 c8e6 c3d3 d8e8,65
4r3/3R2pp/5k2/3p4/2p5/P1n3P1/P2p1P1P/6K1 w - -,g1g2 d2d1q h2h3 c3e4 g3g4 c4c3 d7d5 d1d5 g2g1 c3c2,-2183
