4rrk1/5ppp/p1p5/1p6/3P1bb1/1BP4q/PPQN1P1P/R1B2RK1 w - -,a2a3 b4a6 a1b1 b8b1 h1b1 a6c5 b1b8 g8f7 e6c5 e7c5,Mate
r1k2q2/ppp3R1/3p1n1r/3PpP1p/2P5/7P/PP2BP2/1KQ3R1 w - -,c1h6 b7b5 g1g6 c8b7 g6f6 f8g7 h6g7 a7a5 b1c2 a8a6,1037
2rq1bk1/5p1p/p3p1p1/1p1pP3/2rP3P/P1P2R2/1Q1B1PP1/R5K1 w - -,d2g5 f8e7 g5e7 d8e7 b2d2 h7h5 g2g3 e7c7 a1c1 a6a5,-67
5rk1/1p3pp1/4p1n1/1P1pP2p/2nNbP2/q2B2QP/2P2BP1/1R4K1 w - -,,0
r1r5/3kbp2/1qn1p1p1/p2pP2p/1p1P1P2/P1P2R2/1B1N2PP/1R1Q2K1 w - -,a3b4 a5b4 g1h1 a8a2 c3c4 c6d4 c4d5 a2b2 b1b2 d4f3,-93
r1bq1rk1/1pp3b1/p2p3p/2nPpPpn/2P5/P1N2NB1/1P2BPPP/R2Q1RK1 w - -,a1c1 h5g3 h2g3 e5e4 f3d2 c8f5 b2b4 c5d3 c1c2 e4e3,-44
rn2k2r/pp3pp1/2p1p2p/2b5/q6B/3P1N2/PPP1QP2/1R2KBR1 w kq -,a2a3 b8d7 g1g7 c5f8 g7g1 f8e7 g1h1 h8g8 h4e7 e8e7,417
3R4/7p/p4pk1/8/8/5P1P/2bBK3/3r4 w - -,d8d6 a6a5 d6c6 c2a4 c6b6 d1h1 d2c3 a4d1 e2d2 h7h5,-13
6rk/ppp5/2np3p/4p3/1b2PP1p/3P3b/PPP2P1P/R1BR2K1 w - -,d8d6 a6a5 d6c6 c2a4 c6b6 d1h1 d2c3 a4d1 e2d2 h7h5,Mate
r3kbnr/1bqp1ppp/p1n1p3/1pp5/4P3/P4N2/BPPPQPPP/RNB2RK1 w kq -,h2h3 h7h6 c2c3 c5c4 f3e1 c6e5 d2d4 c4d3 e1d3 e5d3,-56
r2qk2r/ppp1bppp/2n5/3npb2/8/2NP1N2/PPPBBPPP/R2QK2R w KQkq -,e1h1 e8h8 f1e1 f8e8 a2a3 d8d7 c3e4 a7a5 e2f1 f5g6,-23
5r1k/2p3p1/p1n1bn1p/1p2p3/4P3/2P1P2P/PPB3P1/3R1RK1 w - -,d1a1 f8b8 f1c1 h8g8 a2a4 b5b4 c2d3 b4b3 a4a5 b8a8,-190
8/1p2qkr1/2b1p3/3pP3/r2P1pPp/3B1P2/P1R1K2N/4Q1R1 w - -,g4g5 f7f8 e1h4 a4d4 h4h8 g7g8 h8f6 e7f6 e5f6 f8f7,380
rn2k2r/pp3p2/2p1p2p/2b3p1/q6B/P2P1N2/1PP1QP2/1R2KBR1 w kq -,e2e5 h8f8 e5c5 b8d7 b2b3 a4f4 c5e3 f4e3 f2e3 g5h4,429
8/2p2k2/p1np1r2/8/3pq1K1/1p3N1P/3Q1R2/7R w - -,g4h5 f6f3 d2e2 e4f5 h5h4 f5f4 h4h5 f3f2 e2c4 f7f6,Mate
5rk1/1p3pp1/4p1n1/1P2P2p/2nNpP2/q5QP/2P2BP1/1R4K1 w - -,,0
1R1K4/8/8/8/8/2k5/8/r7 w - -,,0
r1bqkb1r/ppp1p3/2np1n1p/5pp1/3PP3/2N5/PPPB1PPP/R2QKBNR w KQkq -,d4d5 c6e5 g1f3 a7a6 f3e5 d6e5 f1d3 f5f4 d1e2 d8d6,96
r5k1/1pr1nppp/5n2/1R6/3P4/B4N1P/5PP1/5RK1 w - -,,0
4b2k/7r/p3pP1P/3p2P1/3P4/7R/7P/7K w - -,h3c3 e8d7 c3c7 h8g8 c7a7 d7e8 a7a8 g8f7 h2h4 e6e5,601
r4r2/1pp1qk1p/p3b1p1/4R3/5n2/BQ6/P4PPP/4R1K1 w - -,e5e6 e7e6 e1e6 f4e6 b3f3 f7g8 a3f8 a8f8 f3b7 f8d8,273
2RK4/8/8/8/8/8/1k6/r7 w - -,,0
5rk1/1p3pp1/6n1/1P2Pp1p/2nNp3/q5QP/2P2BP1/1R4K1 w - -,,0
r2r4/p3ppbp/1npk2p1/2R5/3P4/1P2B3/1P1N1PPP/2R3K1 w - -,c5c6 d6d7 d2f3 b6d5 g1f1 a8b8 f3d2 d5b6 e3f4 b8b7,46
r7/1k3ppp/4p3/1p1p4/1PpP4/2P1P3/4KPPP/R7 w - -,a1a8 b7a8 e3e4 a8b7 e4d5 e6d5 e2f3 b7c6 f3g4 c6d6,6
4r1k1/pp6/1q4Bp/4r1p1/5pQ1/7P/PP3KP1/3RR3 w - -,e1e3 f4e3 f2g3 b6g6 g3h2 e3e2 d1e1 g6e4 g4g3 e4f4,Mate
r5k1/1p2rppp/5n2/1R6/3P4/5N1P/5PP1/5RK1 w - -,,0
k7/5ppp/4p3/1p1p4/1PpP4/2P1P3/4KPPP/8 w - -,,0
4r1k1/8/5Q1R/3p3p/3P3P/2r5/P4PP1/4q1K1 w - -,,0
r1r5/1p1npk1p/3p2p1/p2P1pb1/2P5/1PB2PP1/P1R1B2P/1R3K2 w - -,g3g4 a5a4 g4f5 a4b3 a2b3 g5f4 e2d3 f4e5 f5g6 h7g6,11
5rk1/1p3pp1/6n1/1P2PN1p/2n1p3/6qP/2P2BP1/1R4K1 w - -,,0
r7/p1k1ppbp/1npr2p1/2R5/3P4/1P2B3/1P1N1PPP/2R3K1 w - -,e3f4 e7e5 d4e5 d6e6 d2f3 g7f8 c5c2 b6d5 f4g3 d5b4,189
3q1rk1/3rnpp1/ppp1pn1p/4Q3/P1PP1P2/8/1BB2PPP/3RR1K1 w - -,h2h3 f8e8 g2g4 e7g6 c2g6 f7g6 g4g5 h6g5 f4g5 f6h5,64
3r3k/p5pp/1p6/2p5/2n1p3/1NP4P/P4KP1/2B2n2 w - -,g2g3 d8f8 f2g1 f1g3 g1g2 g3e2 c1g5 e4e3 a2a4 e2c3,-800
r1bqkb1r/1p1pnppp/p1n1p3/8/Q3PP2/2N5/PPP3PP/R1B1KBNR w KQkq -,e4e5 e7f5 g1f3 a8b8 a4e4 b7b5 f1d3 c6b4 e4e2 b4d3,-58
r2q1rk1/pb1nbppp/2p1p3/1p2Pn2/3P4/2PB1N2/PP1NQ1PP/R1B2RK1 w - -,g2g4 f5h4 f3h4 e7h4 d2e4 c6c5 g4g5 c5d4 e2h5 d4c3,173
r1bqkb1r/ppp1n2p/2n1pp2/1B1p4/3PP1pP/5N2/PPPN1PP1/R1BQ1RK1 w kq -,f3e1 a7a6 b5c6 e7c6 d1g4 d8e7 c2c3 c8d7 g4h5 e7f7,87
rn3rk1/1bq1bppp/p2ppn2/1pp5/3PP3/2P2NP1/PP1N1PBP/R1BQR1K1 w - -,a2a4 b8d7 b2b3 f8c8 e4e5 d6e5 d4e5 f6d5 c3c4 d5b4,-25
2R1K3/8/8/8/8/8/r7/1k6 w - -,,0
4b1k1/7r/p3pP1P/3p2P1/3P4/1R6/7P/7K w - -,b3b8 g8f7 h2h4 h7h8 h4h5 e6e5 d4e5 f7e6 g5g6 e8g6,657
5rk1/1p3pp1/8/1P2nN1p/2n1p3/6BP/2P3P1/1R4K1 w - -,,0
4r1k1/8/5Q1R/3p3p/3P3P/2r5/P4PPK/7q w - -,,0
r3kbnr/p2n1p1p/2p2qp1/1p2p3/3pP3/1Q4NP/PPPPBPP1/R1B1K2R w KQkq -,e2d1 h7h5 b3f3 a7a5 a2a4 f8h6 f3f6 g8f6 a4b5 c6b5,-52
1R2K3/8/8/8/8/8/r7/k7 w - -,,0
r1bqkbnr/ppp1p3/2np3p/5pp1/3P4/2N5/PPPBPPPP/R2QKBNR w KQkq -,d4d5 c6e5 g1f3 f8g7 e2e4 f5e4 c3e4 d8d7 f3e5 g7e5,78
r4r2/1pp2k1p/p3q1p1/8/5n2/BQ6/P4PPP/4R1K1 w - -,b3e3 e6e3 f2e3 f4e6 e1f1 f7g8 a3f8 a8f8 f1f8 g8f8,-563
r2q1rk1/1pp2ppn/p2pb1np/4p3/P3P3/2PP1N1P/1PB2PP1/R2QRNK1 w - -,f1e3 h7g5 d3d4 d8f6 f3g5 f6g5 d1f3 b7b5 a4a5 e5d4,21
r1r5/1p2pk1p/3p1bp1/p1nP1p2/2P5/1P2BPP1/P1R1B2P/1R3K2 w - -,a2a3 h7h5 h2h4 b7b6 c2d2 c5d7 d2a2 c8b8 f1g2 b8h8,17
rnbqk2r/ppp2ppp/8/2bP4/8/2P2N2/P4PPP/RNBQK2R w KQkq -,c1e3 b8a6 e1h1 e8h8 e3c5 a6c5 d1d4 b7b6 c3c4 d8d6,-5
r1k4r/ppp3R1/3p1n1q/3PpP1p/2P5/7P/PP2BP2/1KQ3R1 w - -,c1h6 h8h6 g7g8 f6g8 g1g8 c8d7 g8a8 a7a5 a8a5 h6f6,590
5rk1/1p3pp1/8/1P2nN1p/4p3/7P/2P3P1/1R4K1 w - -,,0
4r1k1/pp6/q5Bp/4r1p1/5pQ1/7P/PP4P1/3RRK2 w - -,f1g1 e5e1 g1h2 a6f1 d1e1 e8e1 g4c8 g8g7 c8b7 g7g6,-1372
2rq1rk1/1b1nppb1/3p2p1/pB2n2p/P2NP2P/2N1BP2/1P2Q1P1/2RR2K1 w - -,e3g5 g8h7 d4b3 b7c6 c3d5 d7f6 b5c6 e5c6 e2a6 c8b8,80
r2q1rk1/4bppp/p1p1pn2/3p2B1/3P4/2N2Q1P/PPP2PP1/3R1RK1 w - -,c3a4 h7h6 g5f4 f6e4 b2b3 e4d6 c2c3 d6f5 d1d2 a8a7,13
r1bqkbnr/ppp1p3/3p3p/3Pnpp1/8/2N5/PPPBPPPP/R2QKBNR w KQkq -,e2e4 f8g7 h2h4 g5g4 f2f4 e5d7 e4f5 g8f6 g1e2 c7c6,85
5k2/1p5p/2p5/4n3/4PN2/8/1b2BP2/6K1 w - -,f4g2 b2c1 g1h2 c6c5 h2g3 c5c4 f2f4 c4c3 e2d1 e5d3,-147
r2qk2r/pp1nnpb1/2p1p2p/P2pPb2/3P2p1/1N3N2/1PP1BPPP/R1BQ1RK1 w kq -,a5a6 g4f3 e2f3 b7b6 f3h5 c6c5 f2f4 e8h8 f1f3 a8c8,-221
4K3/1R6/8/8/8/8/1r6/k7 w - -,,0
rnb1kb1r/pppp1ppp/4p3/8/3PN2q/8/PPP2PPP/R1BQKBNR w KQkq -,e4g5 c7c5 g1f3 h4h5 g2g4 h5g4 g5f7 g4e4 f1e2 b8c6,539
5r1k/2p3p1/p3bn1p/np2p3/4P3/P1P1P2P/1PB3P1/3R1RK1 w - -,f1e1 a5c4 d1b1 f8b8 a3a4 b5a4 c2a4 f6e4 b2b3 c4d6,-320
r2q1rk1/4bppp/p3pn2/2pp2B1/3P4/2N2Q1P/PPP2PP1/3RR1K1 w - -,d4c5 d8a5 e1e2 a5c5 c3a4 c5b5 b2b3 a8c8 c2c3 f8d8,-21
r1bqkbnr/ppp1p3/3p3p/3Pn1p1/4p3/2N5/PPPB1PPP/R2QKBNR w KQkq -,d1h5 e8d7 c3e4 d8e8 h5e2 d7d8 d2c3 f8g7 h2h4 g5g4,76
1R2b3/5k1r/p3pP1P/3p2P1/3P4/8/7P/7K w - -,h2h4 f7f8 h4h5 h7h8 h1g2 f8f7 h6h7 e6e5 d4e5 f7e6,696
3rnrk1/1bq2pbp/p1n1p1p1/1pN1P3/5B2/5N2/PP3PPP/2RQRBK1 w - -,d1b3 c7c8 h2h4 h7h5 b3a3 e8c7 f4g5 c7d5 g5d8 f8d8,189
5rk1/1p4p1/5p2/1P2nN1p/4p3/7P/2P3P1/4R1K1 w - -,,0
r4r2/1pp2k1p/p3n1p1/8/8/BQ6/P4PPP/6K1 w - -,a3f8 a8f8 b3b7 f8d8 h2h4 d8d1 g1h2 d1d6 b7f3 f7g8,364
5R2/4r3/6k1/1K6/8/8/8/8 w - -,,0
rn3rk1/1bq1bppp/p3pn2/1pp1p3/3P4/2P2NP1/PP1N1PBP/R1BQR1K1 w - -,d4d5 b7d5 c3c4 b5c4 f3e5 f8d8 d1e2 d5g2 g1g2 b8c6,-188
8/2p2k2/p1np1rq1/8/3p4/1p3NKP/3Q1R2/7R w - -,g3h2 f7e7 f2g2 g6f5 h1e1 e7d7 f3d4 c6d4 d2d4 f5f4,376
r1bqnrk1/1pp1npbp/p2p2p1/3Pp3/PPP1P3/2N2N2/4BPPP/R1BQ1RK1 w - -,a4a5 f7f5 f3d2 g8h8 c4c5 f5e4 d2e4 e7f5 c1g5 e8f6,113
rnbq1rk1/pp1p1ppp/2pb4/3Pp3/8/P5P1/1P1PPPBP/R1BQK1NR w KQ -,d2d3 c6d5 d3d4 d8a5 c1d2 a5b6 g2d5 e5d4 g1f3 d6e7,-18
r3r1k1/pp4pp/5p2/3pn3/1P1N3P/4P1P1/P3qP2/2R2RK1 w - -,d4e2 e8c8 f1d1 c8c1 d1c1 b7b5 c1c5 a7a5 a2a3 a5b4,36
1r2r1k1/1bpR1pBp/1p2p1p1/p3P3/P1P1q2Q/5N1P/2P2PP1/3R2K1 w - -,d4e2 e8c8 f1d1 c8c1 d1c1 b7b5 c1c5 a7a5 a2a3 a5b4,Mate
r2qk2r/pp1nnpbb/2p1p2p/P2pP3/3P2pN/1N6/1PP1BPPP/R1BQ1RK1 w kq -,a5a6 b7a6 e2g4 c6c5 f2f4 c5c4 b3d2 d8b6 c2c3 a8b8,215
r3k2r/1pp1Bppp/p2n4/1n1P4/Q7/5N2/P4PPP/qN2R1K1 w kq -,e7d6 e8d8 d6e5 a1e5 f3e5 d8c8 h2h4 f7f6 e5f3 c8b8,685
8/8/8/8/K7/5Q2/1k6/4n3 w - -,e7d6 e8d8 d6e5 a1e5 f3e5 d8c8 h2h4 f7f6 e5f3 c8b8,Mate
r4b2/p1k2p1p/2p1r1p1/3nP3/5B2/1P3N2/1PR2PPP/2R3K1 w - -,f4g3 c7b7 f3g5 e6e7 c2c6 f8h6 h2h4 h6g5 h4g5 e7c7,228
r1bqkb1r/p2p2pp/1pn4n/2pp1p2/2P5/2N2NPP/PP2PPB1/R1BQ1RK1 w kq -,c4d5 c6a5 e2e4 h6f7 e4f5 f8e7 d5d6 e7f6 f1e1 e8f8,516
r2q1rk1/5ppp/p3pn2/2bp2B1/8/2N2Q1P/PPP2PP1/3RR1K1 w - -,,0
r3kb1r/ppp2ppp/2n5/4P3/4P1b1/8/PPP3PP/R1BK1BNR w kq -,d1d2 e8a8 f1d3 c6e5 d2c3 g7g6 g1f3 g4f3 g2f3 f8g7,-254
8/2p1k3/p1np1rq1/8/3p4/1p3N1P/3Q1R1K/7R w - -,h1c1 e7d7 f3d4 c6e5 f2g2 g6h5 g2g7 f6f7 d2g2 f7g7,433
b7/8/8/8/1K6/3k4/8/6Q1 w - -,f2g2 g6h6 h1e1 c6e5 d2h6 f6h6 f3d4 c7c5 d4b3 h6e6,Mate
3B4/p2bQp1p/n1k1p3/1rpp4/8/1P2P3/2PP1PPP/RN2KBNR w KQ -,f2g2 g6h6 h1e1 c6e5 d2h6 f6h6 f3d4 c7c5 d4b3 h6e6,Mate
r1br2k1/ppq1bppp/2n1p3/2p5/2P5/PN1n1NP1/1P3PBP/R1BQR1K1 w - -,e1f1 e6e5 d1c2 f7f5 f3e1 d3c1 a1c1 a7a5 g2c6 c7c6,-291
1rbq1rk1/1p2ppbp/p2p2p1/2pPn3/2P2B2/2NBP2P/PP1Q1PP1/R4RK1 w - -,d3e2 d8a5 f4g5 f7f6 g5h4 b7b5 c4b5 a6b5 a2a4 b5a4,32
b7/8/8/8/1K6/4k3/8/5Q2 w - -,d3e2 d8a5 f4g5 f7f6 g5h4 b7b5 c4b5 a6b5 a2a4 b5a4,Mate
1r2r1k1/1bpR1pBp/1p2p2Q/p3P1p1/P1P1q3/5N1P/2P2PP1/3R2K1 w - -,d3e2 d8a5 f4g5 f7f6 g5h4 b7b5 c4b5 a6b5 a2a4 b5a4,Mate
5r2/1p3kp1/5p2/1P2nN1p/4R3/7P/2P3P1/6K1 w - -,,0
r1bqkb1r/p2p2pp/1p5n/2pP1p2/3n4/2N2NPP/PP2PPB1/R1BQ1RK1 w kq -,f3d4 c5d4 d1d4 d8f6 d4e3 e8d8 d5d6 f5f4 e3d3 g7g5,538
1r2n1b1/pPp1k1p1/P1Pp1pP1/1P1P1P2/4P1K1/8/8/8 w - -,g4f3 g8f7 g6f7 e7f7 f3f4 f7g8 f4g3 g8h7 g3g4 h7h6,-22
3R4/2k1P3/8/8/8/6K1/8/6r1 w - -,g4f3 g8f7 g6f7 e7f7 f3f4 f7g8 f4g3 g8h7 g3g4 h7h6,Mate
2kr1b1r/ppp2ppp/2n5/4P3/4P1b1/8/PPP1B1PP/R1BK2NR w - -,d1e1 g4e2 g1e2 c6b4 a1b1 b4c2 e1f2 f8c5 f2g3 d8d3,-267
rn2k2r/pp3p2/2p1p2p/2b1Q1p1/7B/P2P1N2/1Pq2P2/1R2KBR1 w kq -,e5h8 c5f8 f3d2 g5h4 h8c3 c2a4 d3d4 b8d7 d2c4 b7b5,478
rn3rk1/1bq1bppp/p3p3/1ppnP3/8/2P2NP1/PP1N1PBP/R1BQR1K1 w - -,d1e2 c5c4 f3d4 b8d7 a2a4 d7c5 a4b5 c5d3 b5b6 d5b6,-71
r1bqk2r/2p2pp1/p1np1n1p/1p2p3/4P3/PB1PPN2/1PP3PP/RN1QK2R w KQkq -,b1c3 e8h8 c3d5 c8e6 e1h1 f6d7 d1e1 c6e7 a3a4 c7c6,13
b7/8/8/8/1K6/3k4/8/4Q3 w - -,b1c3 e8h8 c3d5 c8e6 e1h1 f6d7 d1e1 c6e7 a3a4 c7c6,Mate
r1bqkb1r/p2p2pp/1p5n/3P1p2/3p4/2N3PP/PP2PPB1/R1BQ1RK1 w kq -,d1d4 d8f6 d4e3 e8d8 d5d6 a8b8 c3d5 f6g6 e3a3 f8d6,550
r2qkb1r/pp2pppp/2n2n2/2pp4/3P4/2P2bPP/PP2PPB1/RNBQK2R w KQkq -,g2f3 e7e6 e1h1 a8c8 e2e3 f8d6 b1d2 e8h8 d4c5 d6c5,-5
8/p7/6k1/8/P2K1PP1/1P6/6r1/8 w - -,b3b4 g2g4 d4e5 g4g1 e5d5 g6f5 d5c6 g1b1 b4b5 b1a1,-5295
8/2p1kq2/p1np1r2/8/3p4/1p3N1P/3Q2RK/7R w - -,f3d4 c6e5 h1g1 f7d5 g2g7 e7f8 g7g8 d5g8 g1g8 f8g8,447
r2qk2r/pppn1ppp/3bpn2/3p1b2/2P5/1P2PN2/PB1PBPPP/RN1QK2R w KQkq -,f3h4 f5g6 c4d5 e6d5 e1h1 d8e7 f2f4 e8a8 b3b4 c8b8,18
r1bqkb1r/1p2nppp/p1n1p3/3p4/Q3PP2/2N5/PPPB2PP/R3KBNR w KQkq -,e1a1 a8b8 g1f3 b7b5 c3b5 a6b5 f1b5 d8b6 f3d4 c8d7,-71
5r2/1p3k2/5pp1/1P2nN1p/3R4/7P/2P3P1/6K1 w - -,,0
1r2r1k1/1bpR1p1p/1p2pBqQ/p3P1p1/P1P5/5N1P/2P2PP1/3R2K1 w - -,f5d6 f7e7 c2c3 b7b6 d6c4 e5c4 d4c4 f8d8 c4c6 d8d6,Mate
8/1prk3p/3p2p1/p4p2/P1Pb4/1P1B1PP1/4R1KP/8 w - -,g3g4 f5g4 d3e4 g4f3 e4f3 d7d8 f3d5 c7d7 e2e4 d4e5,-9
2kr1b1r/ppp2ppp/8/4n3/4P1b1/8/PPPBB1PP/R2K2NR w - -,d1c1 g4e2 g1e2 e5c4 d2c3 f8c5 a2a4 h8e8 e2g3 g7g6,-205
3RQ3/2kr4/8/8/8/8/5K2/8 w - -,d1c1 g4e2 g1e2 e5c4 d2c3 f8c5 a2a4 h8e8 e2g3 g7g6,Mate
8/p7/6k1/8/PP1K1Pr1/8/8/8 w - -,d4e5 g4g1 e5d6 g6f5 d6c6 g1b1 b4b5 b1a1 b5b6 a7b6,-5404
r2qk2r/pppn1ppp/3b1n2/3p1b2/8/1P2PN2/PB1PBPPP/RN1QK2R w KQkq -,,0
2rq2k1/1br2ppp/p3p3/1pRp4/1PnP4/P1R1P3/N3BPPP/2Q3K1 w - -,e2f1 d8e7 c5c7 c8c7 c1d1 g7g6 a2c1 e6e5 c1e2 c4b2,10
rnb1k2r/pp2nppp/8/3p4/3q4/2N2N2/PP2PPPP/R3KB1R w KQkq -,f3d4 b8c6 d4c6 b7c6 e2e3 e8d7 f1e2 a7a5 b2b3 d7d6,38
5r2/1p2k3/3N1pp1/1P2n2p/3R4/7P/2P3P1/6K1 w - -,,0
5R2/7p/p4pk1/8/8/2B2P1P/2b1K3/3r4 w - -,f8f6 g6g5 f6c6 c2b3 c6b6 d1b1 e2f2 b3c2 b6a6 b1f1,5
r2q1rk1/1bp2pp1/p1np3p/1p2p3/4n2N/PB1PP2P/1PP3P1/RN1Q1RK1 w - -,f1f7 f8f7 b3f7 g8f7 d1h5 f7g8 d3e4 d8d7 b1c3 c6e7,-15
8/8/8/3b4/8/1K1k4/8/4Q3 w - -,f1f7 f8f7 b3f7 g8f7 d1h5 f7g8 d3e4 d8d7 b1c3 c6e7,Mate
rnbqk1nr/ppp1b2p/4p1p1/5pB1/2PPp3/2N4N/PP3PPP/R2QKB1R w KQkq -,g5f4 g8f6 d1d2 h7h6 e1a1 g6g5 f4e3 f5f4 h3f4 g5f4,-17
r3rb2/p4p1p/2R3p1/k2nP3/3N4/1P4B1/1P3PPP/2R3K1 w - -,g5f4 g8f6 d1d2 h7h6 e1a1 g6g5 f4e3 f5f4 h3f4 g5f4,Mate
2r3k1/p1p3p1/1p3r2/3PRn1q/2N3p1/6P1/PPQ2P1P/2R3K1 w - -,c4e3 f5e3 e5h5 e3c2 c1c2 c7c5 h5g5 c8d8 c2e2 d8d7,212
8/7p/p4R2/6k1/8/2B2P1P/2b1K3/3r4 w - -,f6c6 c2b3 c6b6 d1b1 e2f2 b3c2 b6a6 b1f1 f2g2 f1d1,4
8/p7/6k1/8/PP3r2/2K5/8/8 w - -,c3b3 g6f5 b4b5 f5e4 a4a5 f4f5 b3c4 f5h5 a5a6 h5f5,-5450
r2q1rk1/4bppp/p3pn2/3p2B1/4N3/5Q1P/PPP2PP1/3RR1K1 w - -,g5f6 e7f6 e4f6 d8f6 f3f6 g7f6 d1d4 a8b8 d4g4 g8h8,-4
8/8/8/3b4/1K1k4/8/8/4Q3 w - -,g5f6 e7f6 e4f6 d8f6 f3f6 g7f6 d1d4 a8b8 d4g4 g8h8,Mate
5r2/4k3/1p1N1pp1/1P2n2p/3R4/2P4P/6P1/6K1 w - -,,0
8/5p2/7P/2pp2kP/8/2K5/8/8 w - -,d6c4 e5c4 d4c4 f8d8 c4c7 d8d7 c7c6 d7d6 c6c8 d6d8,Mate
r5k1/1p1rnppp/3B1n2/1R6/3P4/5N1P/5PP1/5RK1 w - -,,0
r2q1rk1/5ppp/p3pb2/3p4/4N3/5Q1P/PPP2PP1/3RR1K1 w - -,e4f6 d8f6 f3f6 g7f6 d1d4 a8b8 d4g4 g8h8 b2b3 f8c8,-5
r1b1r1k1/1pppqppp/2n5/p1bQ4/2P5/P1N1PB2/1P3PPP/R1B2RK1 w - -,f3e2 d7d6 d5d2 e7g5 c3d5 c8h3 d5f4 h3f5 b2b3 c6e5,23
r2q1rk1/p3nppp/1pp1p3/3n4/3P1P2/2N3P1/PP1Q1PBP/2R2RK1 w - -,f1d1 d5c3 b2c3 d8d6 a2a4 g7g6 c3c4 f8d8 c4c5 d6d7,-8
rn3rk1/1bq1bppp/p3p3/1pp1P3/1nP5/5NP1/PP1N1PBP/R1BQR1K1 w - -,g2f1 f8d8 a2a3 b4d3 e1e3 b5c4 d1a4 b7d5 d2c4 d3c1,-88
r1b2rk1/2p1bppp/p1n2n2/4p1N1/Pp2P3/1B6/1PP2PPP/RNBqR1K1 w - -,e1f1 d1d8 b1d2 c6d4 d2f3 d4b3 c2b3 e7d6 f1d1 d8e7,-738
r2qkbnr/1b1p1ppp/p1n1p3/1p6/3P1B2/3B1N2/PPPN1PPP/R2QK2R w KQkq -,c2c3 g8f6 e1h1 f8e7 a2a4 b5b4 d2e4 e8h8 e4c5 b7c8,55
2rq2k1/1b3ppp/p1r1p3/1pRp4/1PnP4/P1R1PB2/N4PPP/2Q3K1 w - -,h2h3 g7g6 c3c2 h7h5 a2c3 c6c5 d4c5 b7c6 f3e2 d8g5,9
r2qr1k1/ppbn1ppp/2p5/3p4/1P1Pn1b1/2N1PN2/PB2BPPP/2RQ1RK1 w - -,,0
rnb1k2r/pp2nppp/8/q2p4/3Q4/2N2N2/PP2PPPP/R3KB1R w KQkq -,d4g7 h8g8 g7h7 b8c6 h7d3 c8e6 d3b5 a5c7 e2e3 e8a8,173
r7/1p2k2p/2p5/4n3/4PN2/8/1P1bBP2/2R3K1 w - -,c1c3 d2f4 c3b3 b7b5 b3h3 h7h6 g1g2 a8a1 h3b3 a1c1,-502
8/7p/R7/6k1/8/2Bb1P1P/4K3/3r4 w - -,,0
r1b1r1k1/1pp1qppp/2np4/pNbQ4/2P5/P3PB2/1P3PPP/R1B2RK1 w - -,d5h5 c6e5 f3e2 g7g6 h5h6 c7c6 b5c3 a5a4 c3e4 e5g4,-66
5r2/4k3/1p3pp1/1P5p/2nR4/2P4P/6P1/6K1 w - -,,0
4r2k/2p3p1/p3bn1p/np2p3/4P3/P1P1P2P/1PB3P1/3RR1K1 w - -,d1b1 a5b3 b1d1 e6c4 g2g4 e8f8 h3h4 g7g5 h4g5 h6g5,-301
r4rk1/p3nppp/1ppqp3/3n4/3P1P2/6P1/PP1Q1PBP/2RN1RK1 w - -,c1c4 f8d8 d1e3 a8c8 f1c1 h7h5 d2e2 g7g6 a2a3 h5h4,-15
r2qr1k1/ppbn1ppp/2p5/8/1P1Pp3/4P3/PB1NbPPP/2RQ1RK1 w - -,d1e2 a7a6 g2g3 d8g5 a2a4 c7d6 d2c4 d6b4 b2c3 b4c3,-63
7k/p5pp/1p6/2p5/2n1p3/1NPr3P/P5P1/2B2K2 w - -,f1e2 d3c3 c1f4 c3c2 e2d1 c2g2 b3d2 c4d2 f4d2 h7h6,-695
3r1r1k/5p1p/p4p2/3pp3/3R4/6RP/PPP2PP1/6K1 w - -,d4d2 d5d4 g1f1 f8g8 g3f3 h8g7 f1e2 d8c8 c2c3 d4c3,26
r1r5/3kbp2/1q2p1p1/p2pP2p/1P1n1P2/P4R2/1B1N2PP/1R1Q2K1 w - -,f3h3 d4f5 g1h1 a5b4 h3b3 b6f2 a3b4 f5e3 d1g1 f2d2,-239
8/7p/b7/6k1/8/2B2P1P/8/3K4 w - -,,0
2rq2k1/1b3ppp/p3p3/1prp4/1PnP4/P1R1PB2/N4PPP/4Q1K1 w - -,f3e4 c5c6 e4d3 e6e5 d4e5 c6h6 d3f5 c8c7 c3c4 c7c4,-516
8/1p1q2pk/1p4r1/pP5p/P1PP4/2Q3P1/7P/5R1K w - -,c3d3 d7d6 f1f5 h7g8 f5h5 g6f6 h1g2 d6b4 d4d5 b4e1,332
5rk1/p1qrnpp1/1pp1pn1p/4Q3/P1PP1P2/8/1BB2PPP/3RR1K1 w - -,f2f3 f8d8 g2g4 b6b5 b2a3 e7g6 c2g6 f7g6 c4b5 c6b5,67
3r1r1k/5p1p/p4p2/4p3/3p3R/6RP/PPP2PP1/6K1 w - -,g3d3 d8b8 c2c3 b8b2 c3d4 f8d8 d3b3 b2b3 a2b3 e5d4,-4
r3r1k1/ppbn1ppp/2p5/8/1P1Pp2q/4P3/PB1NQPPP/2R2RK1 w - -,g2g3 h4h3 d4d5 c7e5 d5c6 b7c6 b2e5 d7e5 d2e4 a7a5,21
