8/3P2k1/8/5p2/4K3/8/8/8 w - -,f1d3 d8b8 g1e2 b8f4 e2f4 f8e8 e3e4 d5e4 c3e4 e7e5,Mate
5r2/3b2kp/2Np2p1/5pn1/8/1P1B1P2/6PP/2R3K1 w - -,c6e7 g5e6 e7d5 f8b8 b3b4 d7b5 d3b1 b8a8 g1f2 a8a3,15
r4rk1/2pqppbp/2n3p1/p2bP3/R2P4/2Q1B3/1P1NBPPP/5RK1 w - -,e2c4 e7e6 c4d5 d7d5 a4c4 c6b4 c4c7 d5a2 f1b1 f8b8,60
r3q1kb/5p1p/6p1/2R1p3/1P1p4/p5P1/3B1PP1/4Q1K1 w - -,e1e4 a3a2 c5c1 a2a1q c1a1 a8a1 g1h2 h7h5 f2f3 a1a2,-600
8/1br1kp2/r2p1p2/4pP2/1pP1P2p/1P1RRB2/6PP/6K1 w - -,d3d2 c7c8 e3d3 c8a8 c4c5 a6a1 g1f2 a8a2 d3d6 a2d2,7
2rb1rk1/pp1bnppp/3p1q1n/8/2BpPP2/N4N1P/PP1B2P1/2RQ1RK1 w - -,c4d3 c8c1 d1c1 d6d5 e4e5 f6b6 g2g4 f7f6 e5f6 b6f6,43
3r2k1/6b1/pR1p1n2/P4p2/2P2q1p/3Qp3/4B1PP/3R2K1 w - -,d1f1 f4e4 f1f5 h4h3 g2h3 g8h8 d3e4 f6e4 b6b7 g7f6,370
8/7p/4p3/6k1/1p1K4/8/2B5/8 w - -,,0
5r2/4N2p/3pbkp1/5pn1/1P6/3B1P2/6PP/2R3K1 w - -,,0
2kr3r/1p2qpp1/pb1p1n1p/2p5/PP1pP3/3P3P/RBP1NPP1/3QR1K1 w - -,c2c3 d4c3 b2c3 c5b4 c3b4 c8b8 d1b3 d8d7 a2c2 d7c7,162
6R1/6P1/4k3/8/5K2/8/8/6r1 w - -,,0
8/7p/4p1k1/6P1/1p1K4/1B6/8/8 w - -,,0
3r2k1/6b1/pR1p1n2/P3qp2/2P4p/3Qp3/4B1PP/5RK1 w - -,f1f5 e5e6 c4c5 f6e4 d3c4 e6c4 e2c4 g8h7 c4d3 e3e2,384
8/8/3R1N2/4P3/1k6/8/8/6K1 w - -,d3f5 e5f5 f1f5 h4h3 g2h3 f6e4 b6a6 g7d4 g1g2 d4c5,Mate
3r2k1/6b1/pR1p1n2/P4R2/2P4p/3Qp3/4B1PP/q5K1 w - -,b6b1 a1a2 f5g5 d8e8 d3g6 a2b1 g6b1 f6e4 g5g7 g8g7,609
2r1r1k1/p5p1/1np1p3/1p2P1p1/3PN3/P2Bn3/1P4PP/3R1R1K w - -,,0
8/7p/4B3/6k1/1p1K4/8/8/8 w - -,d4c4 g5f6 c4b4 f6e5 b4c3 e5e6 c3d2 e6f5 d2d3 f5g4,-1
8/4P3/3R1N2/8/8/2k5/8/6K1 w - -,d4c4 g5f6 c4b4 f6e5 b4c3 e5e6 c3d2 e6f5 d2d3 f5g4,Mate
2r5/3b1n1p/2Np1kp1/1B3p2/1P6/5P2/6PP/3R2K1 w - -,,0
8/2r1kp2/2bp1p2/4pP2/1pP1P2p/rP2RB2/3R1KPP/8 w - -,g2g3 h4g3 f2g3 c7a7 e3d3 a3a2 d3d6 a7a3 d2d1 c6e8,53
1rr5/n4kp1/4pb1p/p2p1p2/PP1P4/4PNP1/Q2NKPP1/1Rq5 w - -,b1c1 c8c1 d2b3 c1c3 b4b5 a7b5 a4b5 b8b5 b3d2 c3c7,292
8/7p/4B3/6k1/2K5/1p6/8/8 w - -,,0
3r2k1/6b1/p2p1n2/P4R2/2P4p/3Qp3/q3B1PP/1R4K1 w - -,f5g5 a2a4 d3g6 a4d7 g6f6 d8f8 f6g6 d7f7 g6f7 f8f7,624
rnb1kb1r/pppp1ppp/8/4Pn2/7q/3P2N1/PPP3PP/RNBQKB1R w KQkq -,d1h5 h4h5 g3h5 b8c6 c1f4 c6d4 e1d2 b7b6 b1c3 c8b7,-39
8/N1rb1n1p/3p1kp1/1B3p2/1P6/5P2/6PP/3R2K1 w - -,,0
8/2r1kp2/2bp1p2/4pP2/1pP1P2p/1P2R3/3R1KPP/r2B4 w - -,f2f3 c7c8 f3g4 c8h8 g4h3 a1a3 d2d3 c6d7 d1f3 d7c6,16
8/8/4B3/6kp/8/1K6/8/8 w - -,,0
3r2k1/6b1/p2p1n2/P4R2/2P4p/3Qp3/1q2B1PP/5RK1 w - -,f5f6 g7f6 d3g6 f6g7 e2d3 b2f2 f1f2 e3f2 g1f2 d8f8,781
1rr5/n1q2kp1/4pb1p/p2p1p2/p2P4/2P1PNP1/Q2NKPP1/1RR5 w - -,a2a4 a7c6 f3e1 b8b1 c1b1 c8b8 b1b3 b8b3 d2b3 c6d8,52
8/r3kp2/2bp1p2/4pP2/1pP1P2p/1P2RK2/3R2PP/r2B4 w - -,f3g4 a1c1 d1f3 a7a3 d2d3 c1h1 h2h3 h1c1 g4h4 a3a2,125
2N5/1r3n1p/3p1kp1/5p2/1P6/5P2/6PP/3R2K1 w - -,,0
r3r1k1/2pqppbp/2n3p1/p2bP3/R2P4/2Q1B3/1P1NBPPP/2R3K1 w - -,e2b5 c6d4 b5d7 d4e2 g1f1 e2c3 c1c3 e8b8 c3c5 e7e6,328
3r2k1/6b1/p2p1n2/P4R2/2P4p/3QpB2/3q2PP/5RK1 w - -,d3d2 e3d2 f1d1 g8f7 d1d2 f7g6 f5e5 g7f8 e5e6 g6f5,373
8/1r5p/3R2p1/4kp2/1P6/5P2/6PP/6K1 w - -,,0
r1bqk2r/2pn1ppp/p3pn2/1p1p4/3P1P2/2NB1N2/PPP2PPP/R2Q1RK1 w kq -,b2b4 e8h8 a2a4 d8e7 d1b1 b5a4 c3a4 a6a5 a4c5 d7c5,97
3r2k1/6b1/p2p1n2/P4R2/2P4p/5B2/3p2PP/5RK1 w - -,f1d1 g8f7 d1d2 f7g6 f5e5 g7f8 f3e4 g6f7 e4d5 f7g6,406
r3kb1r/pp1bpppp/2n2n2/1Bqp4/Q4B2/2P1P3/PP3PPP/RN2K1NR w KQkq -,g1f3 e7e5 f4g3 f8d6 b1d2 e8h8 b5e2 f8e8 a4b5 c5b5,-53
rnbqkb1r/ppp2ppp/3p4/4Pn2/8/3P2N1/PPP3PP/RNBQKB1R w KQkq -,e5d6 f5g3 h2g3 f8d6 d1e2 c8e6 e2f2 b8c6 c1e3 d8e7,-47
8/7p/R5p1/4kp2/1r6/5P2/6PP/6K1 w - -,,0
6k1/p5p1/4p3/3PP1p1/2n5/8/6PP/6K1 w - -,g1f2 e6d5 e5e6 g8f8 f2e2 c4e5 e2e3 f8e7 e3d4 e7e6,-729
2kr3r/1pq2pp1/pb1p1n1p/2p5/PP1pP3/3P3P/RBPQNPP1/4R1K1 w - -,c2c3 d6d5 e4e5 c7e5 c3d4 c5d4 e2d4 e5g5 d2c2 c8b8,237
2r3k1/6b1/p2p1n2/P4R2/2P4p/5B2/3p2PP/3R2K1 w - -,d1d2 f6e8 f3d5 g8h7 f5f4 e8f6 f4h4 g7h6 d5f3 h7g7,467
8/7p/R5p1/4kp2/8/5PP1/1r5P/6K1 w - -,,0
8/p1K5/Pp6/1Pp5/2Pk4/8/8/8 w - -,c7b7 d4c4 b7a7 c4b5 a7b7 b5c4 b7b6 c4d4 a6a7 c5c4,887
8/7p/R5p1/4kp2/7P/5PP1/3r4/6K1 w - -,,0
6k1/6b1/p2p1n2/P4R2/2r4p/5B2/3R2PP/6K1 w - -,d2d6 c4c1 g1f2 g8f7 d6a6 f7e7 f5e5 e7f8 f2e2 h4h3,483
2N5/6k1/p2p3p/2pP2pn/PpP1P3/1P6/3Nn1K1/8 w - -,c8d6 h5f4 g2f2 e2c1 d6b7 f4d3 f2e3 g7f6 e4e5 f6e5,18
r2q1rk1/2p1bppp/p1p2n2/4p3/4P3/1PN2Q1P/PBPP2P1/R3K2R w KQ -,c3e2 f6d7 e1a1 a6a5 a2a4 a8b8 d1f1 b8b4 b2c3 b4b7,97
8/R7/6p1/4kp1p/7P/5PP1/3r4/6K1 w - -,,0
rn1qk2r/ppp2ppp/3bb3/8/8/3P2P1/PPP1Q1P1/RNB1KB1R w KQkq -,e2f2 b8c6 c1f4 d8f6 c2c3 e6g4 f1e2 f6e6 f4d6 e8a8,-70
rn3k1r/pb3Ppp/5n2/6N1/1b6/3qp3/PB1N1PPP/R2QK2R w KQ -,b2c1 b7a6 g2g4 d3d5 f2f3 d5g5 d1b3 e3d2 e1f2 d2c1q,-848
1rr5/n1q1bkp1/4p2p/pp1p1p2/P2P4/2P1PNP1/Q2NKPP1/1RR5 w - -,e2f1 f7g8 f1g1 g8h7 a2a1 b5a4 a1a4 b8b1 c1b1 e7d6,33
8/1R6/5kp1/7p/5p1P/5PP1/3r4/6K1 w - -,,0
1rr3k1/n1q1b1p1/4p2p/pp1pNp2/P2P4/2P1P1P1/Q2NKPP1/1RR5 w - -,b1b3 e7d6 e5d3 c7c6 a4b5 b8b5 b3b5 a7b5 c3c4 d5c4,2
4b3/4kp2/r2p1p2/4pP2/1pP1P2p/1P1R4/r2R1KPP/3B4 w - -,,0
rnb2rk1/pp3ppp/4pq2/2bp4/4P3/P1NQ4/1PP1P1PP/2KR1BNR w - -,e4d5 f6h6 e2e3 b8d7 d5e6 h6e6 e3e4 d7f6 f1e2 c8d7,32
8/8/1R4p1/5k1p/5p1P/5PP1/3r4/6K1 w - -,,0
4b3/4kp2/r2p1p2/4pP2/1pP1P2p/1P1R1K2/3r2PP/3B4 w - -,d3d5 a6a2 d5d2 a2d2 d1e2 e8c6 f3e3 d2b2 e2d1 c6e4,-613
8/8/4k1p1/1R5p/5p1P/5PP1/3r4/6K1 w - -,,0
r1bqk2r/2pn1ppp/p3p3/1p1pP3/3P4/2NB4/PPP2PPP/R2Q1RK1 w kq -,c3e2 b5b4 f2f4 e8h8 f4f5 e6f5 d3f5 c7c5 e2g3 c5d4,102
8/4kp2/r1bp1p2/4pP2/1pP1P2p/1P3K2/3R2PP/3B4 w - -,,0
8/8/4k1p1/1R5p/3r1P1P/5P2/8/6K1 w - -,,0
8/4kp2/2bp1p2/4pP2/1pP1P2p/1P2K3/1rBR2PP/8 w - -,,0
8/5k2/6R1/7p/5r1P/5P2/8/6K1 w - -,,0
r3q1kb/5p1p/6p1/2R1p3/1P1p4/6P1/p2B1PP1/Q5K1 w - -,d2c1 e5e4 c1b2 e4e3 c5c1 e3f2 g1f2 e8e3 f2f1 e3g3,-671
8/3k1p2/2bp1p2/4pP2/1pP1P2p/1P2K3/1rB1R1PP/8 w - -,,0
r1bqk2r/3n1p1p/p3p1p1/1pppP3/3P2Q1/2NB4/PPP2PPP/R3R1K1 w kq -,d4c5 d7c5 a2a4 b5a4 c3a4 c5d7 h2h4 d8e7 e1e3 a8b8,97
rn1qr1k1/ppp2ppp/8/8/5Bb1/2bP2P1/PPP1BQP1/2KR3R w - -,e2g4 c3d4 f2d2 b8d7 c2c3 d4f6 g4f3 c7c6 c1b1 h7h6,63
r1bq1rk1/ppppbppp/2n2n2/6B1/2B1P3/2N5/PP2NPPP/R2Q1RK1 w - -,d1c2 d7d6 a1d1 c8e6 c4e6 f7e6 c2b3 d8d7 h2h3 g8h8,-31
r1bqk2r/ppp2ppp/2nb4/3np3/8/3P1N2/PPPNQPPP/R1B1KB1R w KQkq -,h2h3 c8f5 d2e4 d8d7 g2g4 f5g6 c1d2 e8a8 e1a1 h8e8,-101
8/5k1p/p3p3/8/PP1pp1PP/3bN1K1/1R6/7r w - -,g3g2 h1e1 b2f2 f7e7 e3c2 d3c2 f2c2 e4e3 b4b5 a6b5,-572
8/2k2p2/2bp1p2/4pP2/1pP1P3/1P2K1p1/1rBR3P/8 w - -,d2g2 c6a4 b3a4 b4b3 g2g3 b2c2 e3d3 c7b6 g3g8 b6a5,-133
r4rk1/2pqppbp/6p1/p2bn3/R2P4/2Q1B3/1P1NBPPP/2R3K1 w - -,,0
8/5k2/8/7p/7r/5PR1/8/6K1 w - -,,0
8/p4p2/1p6/1Pp3k1/2P1K2p/6PP/P7/8 w - -,g3g4 g5f6 e4d5 f6g5 d5e5 g5g6 e5f4 f7f6 a2a3 g6g7,342
8/p4p2/1p6/1Pp2kpp/2P2P2/4K1PP/P7/8 w - -,f4g5 f5g5 e3e4 f7f5 e4f3 h5h4 a2a3 h4g3 f3g3 f5f4,29
8/pp3p2/2p3p1/5k1p/2P2P2/1P2K2P/P5P1/8 w - -,,0
8/5k2/8/6Rp/1r6/5P2/8/6K1 w - -,,0
2r3k1/p4pp1/1p1Npn1p/3q4/8/1Q2P1P1/PPR2P1P/6K1 w - -,c2c8 g8h7 b3c2 f6e4 c2e4 d5e4 d6e4 f7f5 e4d2 e6e5,802
8/p4p2/1p4p1/1Pp2kP1/2P2P2/4K3/P7/8 w - -,,0
2R5/p4ppk/1p1Npn1p/3q4/8/1Q2P1P1/PP3P1P/6K1 w - -,b3c2 f6e4 c2e4 d5e4 d6e4 f7f5 e4d2 e6e5 g1f1 e5e4,884
rn1qkbnr/pp3ppp/2p1b3/8/2pQ4/2N3PN/PP2PP1P/R1B1KB1R w KQkq -,d4d2 d8d2 c1d2 b8a6 e1a1 g8f6 h3f4 e6d7 f2f3 e8a8,-67
8/p2k1p2/1p6/1Pp1K1P1/2P5/8/P7/8 w - -,,0
rn1k1bnr/pp3ppp/2p1b3/8/2p5/2N3PN/PP2PP1P/R1B1KB1R w KQ -,h3g5 g8f6 e2e3 b7b5 g5e6 f7e6 a2a4 b5b4 c3b1 e6e5,28
8/8/5k2/6Rp/1r6/5P2/6K1/8 w - -,,0
4q1kb/5p1p/6p1/r3p3/1P1p4/6P1/p2B1PP1/Q5K1 w - -,b4a5 e8a4 f2f3 e5e4 f3e4 d4d3 e4e5 h8e5 a1e5 a2a1q,-791
2r2rk1/1p1q1p1p/p5p1/2pN4/2Pn4/P2B4/1P4PP/R2R3K w - -,d5f6 g8g7 f6d7 f8d8 d7b6 c8c6 b6d5 c6d6 d3f1 h7h5,317
r5k1/p1p5/1p1pp2r/6p1/2PP2P1/P1P5/4bq1N/RQ2R2K w - -,d5f6 g8g7 f6d7 f8d8 d7b6 c8c6 b6d5 c6d6 d3f1 h7h5,Mate
1r6/1P3k1p/8/4p3/3pp1PP/3b2K1/1R4N1/8 w - -,g3f2 d3a6 b2b6 a6b7 f2g3 e4e3 g2e1 f7e7 g4g5 e7d7,-254
2r2r2/1p1q1pkp/p4Np1/2p5/2Pn4/P2B4/1P4PP/R2R3K w - -,f6d7 f8d8 d7b6 c8c6 b6d5 c6d6 d3f1 b7b6 b2b4 a6a5,316
rnb1k2r/pp3ppp/3bpq2/8/N2pP3/P2Q4/1PP1P1PP/2KR1BNR w kq -,d3d4 f6d4 d1d4 e8e7 g1f3 b8c6 d4d1 c8d7 e2e3 c6e5,-25
6kb/5p1p/6p1/P3p3/q2p4/6P1/p2B1PP1/Q5K1 w - -,a5a6 e5e4 g1h2 a4a6 d2f4 a6a5 g3g4 d4d3 a1c1 a5a8,-846
8/5k2/8/6R1/1r5p/5P2/6K1/8 w - -,,0
6kb/5p1p/6p1/q3p3/3p4/6P1/p4PP1/Q1B3K1 w - -,c1b2 e5e4 f2f4 e4f3 g2f3 h7h5 f3f4 h8g7 g3g4 h5g4,-628
rnbqkbnr/p1pp1ppp/1p2p3/3N4/8/8/PPPPPPPP/R1BQKBNR w KQkq -,d5e3 c7c5 g2g3 c8b7 g1f3 d7d5 f1g2 d5d4 e3c4 b6b5,-43
rr4k1/2pqppbp/2n3p1/p2bP3/R2P4/2Q1B3/1P1NBPPP/R5K1 w - -,e2f3 d5f3 d2f3 e7e6 h2h4 g7f8 f3g5 d7d5 c3c2 b8b4,35
8/8/5k2/6R1/1r5p/5P1K/8/8 w - -,,0
2r2rk1/1p1N1p1p/p5p1/2p5/2Pn4/P2B4/1P4PP/R2R3K w - -,d7f8 g8f8 b2b4 b7b5 a1b1 b5c4 d3c4 f8g7 c4a6 c8a8,551
r1bq1rk1/3n1p1p/p3p1p1/1p1pP3/3p2Q1/2N1R3/PPP2PPP/R4BK1 w - -,e3h3 d4c3 b2c3 d7e5 g4g3 f7f6 a2a4 b5a4 a1a4 a8a7,-461
r1bqrbk1/5p1p/pn1pp1p1/8/1n2PP2/1NNBB3/1PP1Q1PP/R4RK1 w - -,e2f2 b6d7 b3a5 d6d5 e3d4 d8c7 e4d5 e6d5 a5b3 a8b8,36
2kr3r/1p2qpp1/pb1p1n1p/8/Pp1pP3/3P3P/RBPQNPP1/4R1K1 w - -,e2d4 b6c5 d4f5 e7e6 a2a1 g7g6 f5g3 h8e8 d3d4 c5a7,206
2rr4/1p1N1pkp/p5p1/2p5/2Pn4/P2B4/1P4PP/R2R3K w - -,d7b6 c8c6 b6d5 h7h5 d3f1 h5h4 b2b4 b7b6 d1d3 d4e6,315
8/8/5k2/7R/5r1p/5P1K/8/8 w - -,,0
2R5/p4p1k/1p1Npnpp/3q4/8/4P1P1/PPQ2P1P/6K1 w - -,h5b5 f4f3 h3g4 f3g3 g4h4 g3a3 b5b6 f6e7 b6b7 e7d6,Mate
r5k1/2pqppbp/2n3p1/p2bP3/RrNP4/2Q1B3/1P2BPPP/R5K1 w - -,a4b4 c6b4 c4a5 a8b8 a1c1 c7c6 c3d2 g7f8 a5c4 d7b7,77
r1bq1rk1/3n4/p3p1p1/1p1pPp1p/3Q3P/2N1R3/PPP2PP1/R4BK1 w - -,c3d5 f8e8 a2a4 c8b7 d5f4 d7f8 d4d8 e8d8 a4b5 a6b5,289
8/2k2p2/3p1p2/4pP2/P1P1P2P/1p1B4/3K2p1/8 w - -,a4a5 g2g1q c4c5 d6c5 a5a6 b3b2 a6a7 g1c1 d2e2 c5c4,-1188
2kr3r/1p2qpp1/p2p1n1p/2b5/PQ1pP3/3P3P/RBP1NPP1/4R1K1 w - -,b4b3 d6d5 e2d4 d5e4 b3c4 c8b8 d4f5 e7c7 b2f6 g7f6,167
rnb1kb1r/pp3ppn/2pp1q1p/4p3/2B1P3/2P2N1P/PP1P1PP1/RNBQR1K1 w kq -,d2d4 f8e7 b1d2 e8h8 d2f1 b8d7 a2a4 a7a5 f1g3 f8e8,94
6r1/2knqp2/2p1p2p/r3P3/P1Pp3p/7Q/5PP1/R3RBK1 w - -,c4c5 g8a8 a1d1 a5a4 e1e4 a8a5 e4d4 a4d4 d1d4 e7c5,-114
2kr3r/1p2qpp1/p4n1p/2bp4/P1QpP3/3P3P/RBP1NPP1/4R1K1 w - -,e4d5 d8d5 c2c3 c8b8 c3d4 c5b4 e1c1 h8d8 e2g3 b4d6,39
rnb1k2r/pp3ppp/3b1q2/4p3/N2QP3/P7/1PP1P1PP/2KR1BNR w kq -,d4d6 f6d6 d1d6 c8e6 a4c3 b8d7 d6d3 d7f6 e2e3 a8c8,465
1r1q4/n4kp1/4pb1p/pp1p1p2/P1rP4/1NP1PNP1/Q3KPP1/1RR5 w - -,b3c5 b5b4 c3b4 c4b4 b1b4 a5b4 e2f1 a7c8 a4a5 c8d6,96
r1bq1rk1/ppppbppp/2n2n2/8/2B1P3/P1N5/1P2NPPP/R1BQ1RK1 w - -,g1h1 f8e8 d1c2 d7d6 f2f4 c6a5 c4a2 c8e6 a2e6 f7e6,19
8/8/5k2/7R/1r5p/5P2/6K1/8 w - -,,0
r1b1qrk1/3n4/p3p1p1/1p1pPp1p/3Q3P/2N3R1/PPP2PP1/R4BK1 w - -,c3d5 e6d5 d4d5 g8h8 d5a8 f5f4 g3c3 d7e5 a8e4 c8f5,489
2kr2r1/pppb2b1/7p/3q1pp1/8/1NPB3P/PPQ2PP1/1K1RR3 w - -,e1e7 g8f8 e7g7 d7b5 b3c1 d5e5 g7g6 b5d3 d1d3 a7a6,401
6kb/5p1p/6p1/q3p3/8/3p2P1/pB3PP1/Q5K1 w - -,b2c3 a5d5 a1b2 h7h5 g3g4 h5g4 g1h1 g8h7 h1h2 h8g7,-1010
8/2k2p2/3p1p2/4pP2/P1P1P2P/1B2K1p1/3r4/8 w - -,c4c5 d2b2 e3d3 g3g2 d3c3 b2b3 c3b3 d6c5 h4h5 g2g1q,-3728
2k4r/1p2qpp1/p4n1p/2br4/P1Qp4/3P3P/RBP1NPP1/4R1K1 w - -,g1f1 h8e8 b2a3 c8b8 a3c5 d5c5 c4d4 c5e5 c2c3 f6d5,43
3rr1k1/1p4bp/p3pn2/P2q1p2/1P1B1P2/3B4/3Q2PP/4RRK1 w - -,d4e5 d5d3 d2b2 f6h5 e5g7 h5g7 b2c1 d3d4 g1h1 d4b4,-403
r1b1k2r/1pp2ppp/p3pn2/n2q4/3P1B2/P1PBPN2/2Q2PPP/R3K2R w KQkq -,f4c7 a5c4 e1h1 b7b5 e3e4 d5d7 c7g3 c8b7 f1e1 e8h8,275
1r1q4/n4kp1/4pb1p/p1Np1p2/PprP4/2P1PNP1/Q3KPP1/1RR5 w - -,c3b4 c4c1 b1c1 a5b4 e2e1 d8e8 a2c2 f7g8 f3d2 b8c8,103
rnb2rk1/pp2ppbp/1q1p1np1/2pP4/4P3/2N2N2/PPPBBPPP/R2QK2R w KQ -,a2a4 e7e6 a4a5 b6c7 e1h1 e6d5 e4d5 c8g4 h2h3 g4f3,62
rnb1k2r/pp3ppp/3bp3/8/N2qP3/P7/1PP1P1PP/2KR1BNR w kq -,d1d4 e8e7 e2e3 c8d7 a4c3 b8c6 d4d1 d6c5 c1d2 g7g5,-41
r1b1qr2/3n2k1/p3p1p1/1p1pPp1p/5Q1P/2N3R1/PPP2PP1/R4BK1 w - -,a2a4 b5a4 c3e2 e8d8 a1a4 a8b8 e2d4 d7c5 b2b4 c5a4,187
2r5/p2kbppp/1pn1p1n1/3pP3/1P1P4/P4N2/3BNPPP/2R3K1 w - -,b4b5 c6a5 d2a5 b6a5 a3a4 c8c1 e2c1 e7b4 c1d3 g6e7,-27
r2qk2r/2p2ppp/p1pb1n2/4p3/4P3/2N2Q1P/PPPP2P1/R1B2RK1 w kq -,c3d1 e8h8 d1e3 f6e8 d2d3 f7f6 c1d2 g7g6 g1h1 e8g7,96
r1b1q2r/3n2k1/p3p1p1/1p1pPp1p/5Q1P/2N3R1/PPP1BPP1/R5K1 w - -,b2b4 g7h7 a2a4 b5a4 c3a4 c8b7 a4b2 e8e7 g3a3 h8c8,171
2r5/p2kbppp/1pn1p3/3pP3/1P1P3n/P4NN1/3B1PPP/2R3K1 w - -,g3e2 h4f3 g2f3 a7a6 f3f4 c6a7 c1c8 a7c8 g1g2 e7h4,-141
6kb/5p1p/6p1/q7/4p3/3p2P1/pB3PP1/3Q2K1 w - -,g3e2 h4f3 g2f3 a7a6 f3f4 c6a7 c1c8 a7c8 g1g2 e7h4,Mate
2kr2r1/1ppbR1b1/p6p/3q1pp1/8/1NPB3P/PPQ2PP1/1K1R4 w - -,e7d7 d8d7 d3f5 c8b8 d1d5 d7d5 f5e4 d5e5 a2a4 g8e8,495
8/8/5k2/R7/7p/5r1K/8/8 w - -,,0
r1b1qn1r/6k1/p3p1p1/1p1pPpRp/5Q1P/2N5/PPP1BPP1/R5K1 w - -,e2d3 c8d7 c3e2 h8g8 g5g3 g7h7 e2d4 g8g7 b2b3 e8c8,134
8/2k2p2/3p1p2/4pP2/1pP1P2P/3B2p1/4K3/3b4 w - -,e2e3 b4b3 c4c5 d6c5 h4h5 d1c2 d3c4 b3b2 c4a2 c2e4,-4478
r2q1rk1/2p2ppp/p1pb1n2/4p3/4P3/2NP1Q1P/PPP3P1/R1B2RK1 w - -,c3d1 f6e8 d1e3 d6c5 g1h2 e8d6 c1d2 f7f6 a2a4 d8d7,90
7k/5p1p/6p1/q7/4p3/3p2P1/p4PP1/3Q2K1 w - -,c3d1 f6e8 d1e3 d6c5 g1h2 e8d6 c1d2 f7f6 a2a4 d8d7,Mate
2r5/p2kb1pp/1pn1p3/3pPp2/1P1P1P2/P3B3/4N1PP/2R3K1 w - -,c1c3 b6b5 e3d2 c6b8 c3c8 d7c8 g1f2 b8c6 f2e3 a7a5,-31
6k1/5p1p/6p1/q7/4p3/3p2P1/p4PP1/Q5K1 w - -,e3d2 b6b5 c1c3 c6b8 c3c8 d7c8 g1f2 b8c6 f2e3 a7a5,Mate
2k3r1/1ppr2b1/p6p/3q1pp1/8/1NPB3P/PPQ2PP1/1K1R4 w - -,d3f5 c8b8 d1d5 d7d5 f5e4 d5e5 a2a4 g8e8 e4f3 e8f8,507
8/2k2p2/3p1p2/4pP2/1pP1P2P/3B4/6p1/3bK3 w - -,e1f2 b4b3 c4c5 d6c5 h4h5 d1c2 d3c4 b3b2 c4a2 c2e4,Mate
1q4k1/2p1ppbp/2n3p1/3bP3/1rNP4/2Q1B3/1P2BPPP/R5K1 w - -,c4d2 b4b2 e2f3 d5f3 g2f3 b2b6 a1c1 b8d8 g1g2 e7e6,61
2r3k1/pq3pp1/1p1Npn1p/8/8/1Q2P1P1/PPr2P1P/2R3K1 w - -,c1c2 c8c2 d6b7 c2d2 b3b4 d2d5 b7d6 d5a5 g1g2 a5a2,459
r3qn1r/1b4k1/p3p1p1/1p1pPpRp/5Q1P/2N2B2/PPP2PP1/R5K1 w - -,c3e2 a8c8 e2d4 g7h7 g5g3 c8c7 f3e2 h8g8 a2a4 b5a4,156
rn1q1rk1/pp2ppbp/3pbnp1/2p5/3P4/1P2PN2/PBP1BPPP/RN1Q1RK1 w - -,c2c4 e6f5 h2h3 e7e6 b1c3 f6e4 e2d3 e4c3 b2c3 c5d4,48
8/R7/5k2/p4p2/5P2/r7/5K2/8 w - -,a7h7 a3a1 f2e3 a5a4 e3d4 a4a3 h7h2 a1f1 h2h6 f6e7,-511
6r1/2knqp2/2p1p2p/r3P3/P1p4p/7Q/5PP1/R3RBK1 w - -,a1b1 a5a4 h3c3 e7c5 c3f3 c4c3 b1c1 g8g4 c1c3 a4f4,-169
6r1/3kb3/p1n1p2p/1p1pPpp1/1P1P1P2/P3K1P1/3BN2P/1R6 w - -,e3f2 g5g4 b1h1 a6a5 h2h3 a5b4 d2b4 g4h3 h1h3 e7b4,-49
1q4k1/2p1p1bp/2n2pp1/3bP3/1rNP4/2Q1B2P/1P2BPP1/R5K1 w - -,e5f6 e7f6 c4d2 g7f8 b2b3 f8d6 e2c4 c6e7 c3c2 g8g7,127
rnb1k2r/pp3ppp/4p3/4b3/N2RP3/P7/1PP1P1PP/2K2BNR w kq -,d4d3 b8d7 g1f3 e5f6 d3b3 f6d8 e4e5 a7a6 a4c3 d7c5,-6
6k1/pq3pp1/1p1Npn1p/8/8/1Q2P1P1/PPr2P1P/6K1 w - -,d6b7 c2d2 b3b4 d2d3 b7d6 f6d7 d6e4 d3d5 g1g2 d5a5,477
1rrq4/n3bkp1/4p2p/pp1p1p2/P2P4/1NP1PNP1/Q3KPP1/1RR5 w - -,b3d2 f7g8 e2f1 c8c7 a4b5 a7b5 a2a5 c7c3 a5d8 b8d8,7
8/5ppk/2p1b2p/1pp5/8/P1P2P2/2r3PP/1R2B1K1 w - -,b1a1 e6b3 a1b1 b3a2 b1a1 g7g5 h2h3 a2b3 a1b1 b3a4,-182
4qn1r/rb4k1/p3p1p1/1p1pPpRp/5Q1P/5B2/PPP1NPP1/R5K1 w - -,e2g3 e8c8 g3h5 g7f7 g5g3 c8c7 h5f6 c7c4 f4e3 a7a8,267
1k1r2r1/pppbR1b1/7p/3q1pp1/8/1NPB3P/PPQ2PP1/1K1R4 w - -,d3e2 d5d1 e2d1 d7c8 e7e1 g5g4 c2e2 h6h5 d1c2 g7f6,420
1rrq2k1/n3b1p1/4p2p/pp1pNp2/P2P4/1NP1P1P1/Q3KPP1/1RR5 w - -,,0
