3rr3/1b5Q/p2pp1p1/2p1k1q1/1nP1P3/1PN5/P5BP/5R1K w - -,f2f3 g4f6 h4h5 f8h8 g2g4 b7b5 e1a1 b5b4 c3e2 a7a5,Mate
r1r3k1/1ppbq1pp/3p1pn1/bP1P4/p3P3/P1N2N2/2PQ1BPP/1R2R2K w - -,f3d4 g6e5 e1f1 e7e8 f2e1 e8g6 d2e2 d7g4 e2e3 g6g5,-106
r4rk1/1pp2pp1/3pb2p/p1n1q2N/4P1PP/2P2P2/PP1QB3/1K1R3R w - -,h1g1 f7f6 h5g3 e6f7 g3f5 a5a4 g4g5 f6g5 h4g5 g8h7,114
r1bqk2r/pp1n1pp1/2p1pn1p/3p4/2PP3B/2PBP3/P4PPP/R2QK1NR w KQkq -,c4d5 c6d5 g1e2 e8h8 f2f3 e6e5 e1h1 f8e8 d1b3 d7b6,83
8/p1rr1k1p/R2b1p2/1Pp5/2P2p2/8/1P1B1P1P/4R1K1 w - -,a6d6 d7d6 d2f4 c7d7 f4d6 d7d6 e1a1 d6d7 a1a6 f7g6,315
r1r3k1/p4ppp/p2qp3/2npN3/3P4/Q1P2P2/PP4PP/R3K2R w KQ -,e1d1 c5b7 a3d6 b7d6 h1e1 g7g6 e5d3 a6a5 e1e2 c8c7,33
r2qk1nr/ppp1bppp/2n1p3/3p1b2/3P1B2/2PBPN1P/PP3PP1/RN1QK2R w KQkq -,d3f5 e6f5 d1b3 a8b8 b3c2 d8d7 f3e5 c6e5 d4e5 f7f6,64
2k3r1/pp1n1p2/2pqpp2/8/2PP2pr/6P1/PP2QP1P/3RR1K1 w - -,a2a4 h4h7 b2b4 g8h8 h2h4 g4h3 b4b5 c8b8 e2f3 h8c8,-367
3B4/3b3p/p2pk1p1/1pp5/1P3P2/7P/P1P2KP1/8 w - -,,0
r1bqk2r/pp1n1pp1/4pn1p/3p4/3P3B/2PBP3/P4PPP/R2QK1NR w KQkq -,g1e2 e8h8 f2f3 e6e5 e1h1 f8e8 d1b3 d7b6 e3e4 d8d6,89
1kr1q1r1/bp1b1R2/p3p3/3pP3/3N1Q1p/2P3NP/PP3P2/1K1R4 w - -,g3e2 a7b6 a2a3 d7a4 d1d2 b6d8 d2d3 a4b5 d4b5 e8b5,77
r1b2rk1/2q1bppp/p1npp3/1pp1nP2/4P1P1/2NP1N1P/PPP3B1/R1B1QRK1 w - -,f3e5 c6e5 e1g3 c7d8 g4g5 f7f6 h3h4 a8b8 f5e6 c8e6,20
rnbq1rk1/p1p1bppp/1p1p1n2/8/4PB2/2PP3P/PP1N2P1/R2QKBNR w KQ -,f4h2 d6d5 g1f3 d5e4 d3e4 c8b7 d1c2 d8e8 e1a1 b8a6,18
r1b2rk1/2q1bppp/p2pp3/1pp1nP2/4P1P1/2NP3P/PPP3B1/R1B1QRK1 w - -,e1g3 c7d8 g4g5 f7f6 h3h4 a8b8 g5g6 h7g6 f5g6 f6f5,25
r2qkbnr/1p2pppp/p1n5/3p4/3P4/2P1Bb2/PP2BPPP/RN1QK2R w KQkq -,e2f3 e7e6 e1h1 f8e7 g2g3 g8f6 b1d2 e8h8 f3e2 h7h6,28
r4rk1/2p2pp1/3pb2p/ppn1q2N/4P1PP/2P2P2/PP1QB3/1K1R2R1 w - -,g4g5 f8b8 h5g3 b5b4 c3c4 a5a4 f3f4 e5c3 g5h6 a4a3,86
5k2/p5rp/3r1p2/1Pp5/2P2B2/8/1P3P1P/4R1K1 w - -,g1h1 d6d7 f4h6 f8f7 h6g7 f7g7 e1e6 d7d2 h1g2 d2b2,280
r3r3/b1p1Rpk1/2Nq3p/P5p1/2Qp1n2/8/1P1B1PPP/R5K1 w - -,g1h1 d6d7 f4h6 f8f7 h6g7 f7g7 e1e6 d7d2 h1g2 d2b2,Mate
3r1rk1/p1p2ppp/1np2q2/8/4P1b1/1P1N2P1/P1Q1NP1P/b1R1R1K1 w - -,e2c3 a1c3 c2c3 f6c3 c1c3 f8e8 f2f4 h7h5 d3f2 d8d2,-418
r3k2r/pb1n1pp1/1p2pn1p/q2p4/3P3B/2PBPN2/P1Q2PPP/R4RK1 w kq -,a2a4 a8c8 f1c1 f6e4 c2b2 f7f6 f3d2 e4d2 b2d2 b7a6,111
7k/1p1q2pp/p2p4/2p5/P1PnQP2/2N3P1/1P4KP/8 w - -,h2h3 g7g6 b2b4 d4b3 b4b5 h8g7 g3g4 d7f7 c3d5 a6b5,64
r3kb1r/pppq1ppp/2n2n2/3p4/3P4/2N2NP1/PP2PPKP/R1BQ1R2 w kq -,f3e5 c6e5 d4e5 f6g4 d1b3 c7c6 c1f4 g7g5 f4g5 f8g7,74
1br1rnk1/1p1b1pp1/7p/p3P3/Nq1p1P2/1P1B3P/P3Q1P1/3R1RBK w - -,g1d4 f8e6 d4e3 d7a4 b3a4 e8d8 d1b1 b4a4 b1b7 c8c7,188
1kr1q1r1/bp3R2/p3p3/1b1pP3/3N1Q1p/2P4P/PP2NP2/1K1R4 w - -,d4b5 e8b5 f4f3 a7c5 e2c1 g8f8 c1d3 f8f7 f3f7 b5a4,47
7k/5pp1/4b2p/p1Np4/P2P1PPP/4Q1K1/8/3q4 w - -,,0
2bk4/3r2p1/2p4p/p3Pn1P/2PPK3/3B1P2/2r5/6RR w - -,e4f4 d7d4 d3e4 c2c4 g1g6 a5a4 h1a1 c4c5 g6g2 d8c7,Mate
r3k2r/pb1n1pp1/1p2pn1p/q7/2pP3B/3BPN2/P1Q2PPP/R4RK1 w kq -,d3c4 e8h8 f3d2 a8c8 c2d3 b7d5 f1c1 d5c4 d2c4 a5d5,-3
r1bq1rk1/p1pnppbp/1p1p1np1/8/P2P1B2/2N1PN1P/1PP2PP1/R2QKB1R w KQ -,f1c4 c8b7 e1h1 a7a6 f1e1 d6d5 c4f1 c7c5 c3b1 e7e6,7
r1bq1rk1/pp2ppbp/2n3p1/3p4/3P4/2Q2NP1/PP2PPBP/R1B2RK1 w - -,f1d1 c8f5 c1e3 a8c8 c3d2 d8a5 h2h3 a5d2 d1d2 e7e6,-17
4r3/2k2p1p/p4p2/n1b1r3/2p5/2P3P1/3Q1P1P/1R4K1 w - -,d2f4 e8e6 b1b2 h7h5 b2a2 a5b7 f4c4 a6a5 a2b2 e5f5,-165
r1b2rk1/2q1b1pp/p2ppp2/1pp1nPP1/4P3/2NP3P/PPP3B1/R1B1QRK1 w - -,h3h4 a8b8 c1f4 b5b4 c3d1 e6f5 e4f5 c8f5 f4e5 f6e5,-24
3B4/3b3p/p3k1p1/1pp5/5P2/7P/P1P2KP1/8 w - -,f2e3 e6d5 e3d3 d7f5 d3c3 d5c6 a2a3 h7h5 c3b2 c6d5,-5
r4r2/b1p1Rpk1/2Nq3p/P5p1/2Qp1n2/8/1P1B1PPP/R5K1 w - -,b2b4 f4g6 e7e4 d4d3 c6a7 a8a7 e4d4 g6e5 c4c3 d6e6,361
2b4k/5pp1/7p/p1Np1P2/P2P2PP/4Q1K1/8/3q4 w - -,,0
rnbq1rk1/ppp2pbp/3pp1p1/3B4/4P3/3P1N2/PPP2PPP/R1BQK2R w KQ -,,0
r4rk1/6p1/pn1b3p/1p3p2/1P1PNP2/P3BK2/2P4q/R2Q1R2 w - -,e4c5 a8e8 d1d2 h2h5 f3f2 b6c4 f1h1 h5g4 a1g1 c4d2,-556
rr4k1/2p2pp1/3pb2p/ppn1q1PN/4P2P/2P2P2/PP1QB3/1K1R2R1 w - -,h5g3 b5b4 c3c4 g7g6 f3f4 e5c3 f4f5 c3d2 d1d2 e6d7,84
1rrb1n2/6p1/2pk4/1pN1R2P/3P1Bp1/8/1P3P2/4R1K1 w - -,h5g3 b5b4 c3c4 g7g6 f3f4 e5c3 f4f5 c3d2 d1d2 e6d7,Mate
2q2rk1/1pp2ppp/r1n1b3/p1P5/8/2P1P1PP/PP3PB1/R1BQ1RK1 w - -,d1h5 e6c4 f1d1 a5a4 e3e4 h7h6 c1e3 a6a8 g1h2 c8e6,160
r6r/pq1pkpp1/bp2p2p/n1p1P3/2PP4/P1PB1P1N/4Q1PP/R3K2R w KQ -,d4d5 a8e8 a1d1 e7d8 e1h1 d8c8 f1e1 b7c7 h3f4 g7g6,44
7k/5p2/4b1pp/p1Np4/P2P1PPP/4Q1K1/8/5q2 w - -,c5e6 h8g8 e6c5 g8g7 c5d7 f1d1 f4f5 g6f5 g4f5 d1b1,666
r1b1k2r/pp1n2pp/4pq2/3p4/3Q1P2/2N5/PPP3PP/R3KB1R w KQkq -,e1a1 f6d4 d1d4 g7g6 g2g3 e8f7 f1h3 a7a5 g3g4 d7b6,89
4r3/1nk2p1p/p4p1Q/2b1r3/2p5/2P3P1/5P1P/1R4K1 w - -,b1d1 e5e2 d1d2 b7d6 g1f1 e2d2 h6d2 a6a5 d2d1 c5b6,-297
2q2rk1/1pp2ppp/r1n5/p1P5/8/P1P1P1Pb/1P3PB1/R1BQ1RK1 w - -,e3e4 h3g2 g1g2 c6e5 c1e3 e5c4 d1e2 c4e3 e2e3 a6e6,45
r1bqk1nr/pp3pp1/2nb3p/2p1p3/P2pP3/3P1NP1/1PP2PBP/RNBQ1RK1 w kq -,b1a3 a7a6 a3c4 d6c7 c2c3 c8e6 a4a5 g8e7 c3d4 c5d4,-17
4r3/2k2p1Q/p2n1p2/2b1r3/2p5/2P3P1/5P1P/1R4K1 w - -,b1b2 f6f5 h2h4 a6a5 g1h2 a5a4 h7h5 f5f4 h5d1 a4a3,-349
r1bq1rk1/pp3ppp/3bpn2/2np4/3NP3/2PB4/PP1N1PPP/R1BQ1RK1 w - -,d1f3 e6e5 d4b5 d6e7 e4d5 c8g4 f3g3 c5d3 g3d3 a7a6,-143
r2q1rk1/pQpb2pp/3b1n2/3P1p2/4p3/2NnP1PN/PP1P1PBP/R1B2K1R w - -,f1g1 a8b8 b7a6 f6g4 b2b3 b8b6 a6a7 d7c8 a1b1 b6a6,-227
2rq1rk1/pb2bppp/1p1npn2/3pN3/3P1PP1/1P1BPQ2/PB1N3P/R4RK1 w - -,a1c1 f6e4 c1c8 d8c8 f1c1 c8a8 f3d1 f7f6 e5f3 d6f7,-42
8/4k3/5p1P/6r1/7K/8/8/8 w - -,a1c1 f6e4 c1c8 d8c8 f1c1 c8a8 f3d1 f7f6 e5f3 d6f7,Mate
1br1rnk1/1p3pp1/7p/p3P3/bq1B1P2/1P1B3P/P3Q1P1/3R1R1K w - -,b3a4 f8e6 d4e3 e8d8 d1b1 b4a4 b1b7 a4c6 f1b1 b8c7,184
2krq2r/ppp1bp2/5p2/2P5/1P1N1P1p/P2QB1P1/7P/5RK1 w - -,g3g4 c7c6 g1f2 d8d5 d3c4 h4h3 f2f3 e8d7 d4f5 c8b8,-164
rnbqr1k1/pp3pp1/8/2pp2P1/3P4/2N1P3/PP3PP1/R2QK2R w KQ -,d1h5 g8f8 d4c5 c8e6 e1a1 b8c6 f2f4 f8e7 f4f5 e8h8,66
r3k1nr/pp1b1ppN/4p3/2bpP3/1n1q4/2N5/PP3PPP/RBBQR1K1 w kq -,d1f3 e8a8 f3g3 g8e7 a2a3 b4c6 c1e3 d4c4 b1a2 e7f5,107
r1bq1rk1/pp2bpp1/2n2n1p/2pp4/3P4/2N2NP1/PPP2PBP/R1BQR1K1 w - -,c1f4 c8f5 d4c5 e7c5 c3a4 c5d6 f4d6 d8d6 f3d4 c6d4,-21
8/4k2P/5p2/8/7K/8/8/6r1 w - -,c1f4 c8f5 d4c5 e7c5 c3a4 c5d6 f4d6 d8d6 f3d4 c6d4,Mate
2q2rk1/1pp2ppp/r7/p1P1n3/8/P1P1P1P1/1P3PK1/R1BQR3 w - -,e3e4 f8d8 d1e2 e5d3 e1d1 d3c5 c1g5 d8e8 f2f3 a6e6,18
rnbqkbnr/pp2pppp/2p5/8/3pPP2/5N2/PPPP2PP/RNBQKB1R w KQkq -,f1c4 b7b5 c4b3 g8f6 d2d3 e7e6 e1h1 f8e7 a2a4 e8h8,90
r2q1rk1/pb1nbppp/1p3n2/1BppN1B1/3P4/P1N1P3/1P3PPP/R2QK2R w KQ -,b5c6 b7c6 e5c6 d8e8 e1h1 e7d6 d4c5 d7c5 g5f6 e8c6,103
r3k2r/pp1b1ppN/4p2n/2bpP3/1n1q4/2N2Q2/PP3PPP/RBB1R1K1 w kq -,c1h6 g7h6 h7f6 e8e7 f6d7 d4f2 f3f2 c5f2 g1f2 e7d7,303
r3kb1r/1ppq1ppp/p1n1pn2/3p4/2PP1B2/2N2NP1/PP2PPKP/R2Q1R2 w kq -,f3e5 c6e5 d4e5 f6e4 c3e4 d5e4 d1d7 e8d7 a1d1 d7c6,89
4r3/2k2p1Q/p2n1p2/2b5/2p5/2P3P1/4rP1P/R5K1 w - -,a1f1 a6a5 h7b1 c5f2 f1f2 e2e1 b1e1 e8e1 g1g2 e1e8,-479
2rq1rk1/pb1nbppp/1p1np3/2ppN3/3P1P2/1PPBPQ2/PB1N2PP/R4RK1 w - -,f3h3 f7f5 a1c1 c5c4 d3e2 b6b5 b2a3 d7f6 a3c5 d6f7,-31
4r3/2k2p1Q/R2n1p2/2b5/2p5/2P3P1/5r1P/6K1 w - -,f3h3 f7f5 a1c1 c5c4 d3e2 b6b5 b2a3 d7f6 a3c5 d6f7,Mate
6k1/1b3p2/p3pn1p/1p4p1/1P6/P1NBqP2/6PP/3Q1K2 w - -,d1b1 g5g4 c3e4 b7e4 d3e4 e3a3 f3g4 f6g4 h2h3 g4e3,-331
r3k1nr/pp1bbppN/4p3/3pP3/1n1q4/2NB4/PP3PPP/R1BQR1K1 w kq -,c3d5 d4d5 d3e4 d5d1 e1d1 d7c6 h7g5 h8h4 f2f3 b4d5,-402
8/8/6k1/8/8/8/P4K2/8 w - -,c3d5 d4d5 d3e4 d5d1 e1d1 d7c6 h7g5 h8h4 f2f3 b4d5,Mate
8/8/8/8/5k2/7R/2K2r2/8 w - -,,0
r6r/1bq1kp2/1pnbpp2/p1pp3p/3P3P/P1P1PNP1/1P1NQPB1/R3K2R w KQ -,c3c4 b7a6 a1c1 a5a4 e2d1 d5c4 e1h1 b6b5 d2e4 a8d8,-50
1kr3r1/bp1q4/p3p3/3pP2p/3N1Q2/2P4P/PP2NP2/1K1R4 w - -,b1a1 c8f8 f4h4 d7d8 h4d8 f8d8 a2a4 a7d4 e2d4 d8e8,-143
rn1qk2r/pp3ppp/2pp1b2/4p3/2B1P1b1/3P1N2/PPP2PPP/RN1Q1RK1 w kq -,f1e1 e8h8 a2a4 g4h5 h2h3 f8e8 b1d2 d6d5 c4a2 b8a6,-34
8/8/8/8/5k2/2K2r1R/8/8 w - -,,0
r3k1nr/pp1bbppN/4p3/3pP3/1n5q/2N5/PP3PPP/RBBQR1K1 w kq -,g2g3 h4h3 a2a3 b4c6 c1f4 g7g6 g3g4 h8h7 e1e3 h3h4,-321
r4rk1/pp2bpp1/1qn2n1p/2pp1b2/3P4/2P2NP1/PP2NPBP/R1BQR1K1 w - -,d1b3 c6a5 b3d1 f8e8 b2b3 c5c4 b3b4 a5c6 a2a4 e7f8,-38
r4k1r/pq1p1pp1/bp2p2p/n1pPP3/2P5/P1PB1P1N/4Q1PP/R3K2R w KQ -,a1d1 e6d5 c4d5 a6d3 d1d3 a8e8 e1h1 b6b5 f3f4 a5c4,161
rnbqkb1r/2pppppp/5n2/Pp6/8/5N2/P1PPPPPP/RNBQKB1R w KQkq -,e2e3 a8a5 a2a4 b5a4 f1e2 d7d6 c2c4 g7g6 d2d4 c8d7,10
8/5Q2/8/3K2kN/8/8/8/8 w - -,c1b2 e7e6 e2e3 a8a5 a2a4 b5b4 f1e2 f8e7 c2c3 b8c6,Mate
1k3rr1/bp1q4/p3p3/3pP2p/3N1Q2/2P3NP/PP3P2/1K1R4 w - -,f4e3 d7f7 g3e2 f7f2 e3c1 f2g2 b1a1 g2e4 d4e6 a7e3,-400
3r1rk1/p1q2pp1/2pb1n1p/n7/Q7/2PbB2P/PP2BPP1/RN3RK1 w - -,a4d1 d3g6 d1a4 f6d5 e3d2 a5b7 a4a7 d8a8 a7d4 b7c5,-544
r1r1q1k1/1ppb2pp/1b1p1pn1/1P1P4/p3P3/P1NQRN2/2P2BPP/1R5K w - -,h1g1 b6e3 d3e3 g6e5 b1b4 e8g6 f3e5 f6e5 b4c4 b7b6,-212
Q6r/3knR2/b7/p1P3b1/Pp5p/2P3q1/1P4Pp/2R4K w - -,a8h8 h4h3 c1d1 d7e6 f7f6 g5f6 d1d6 g3d6 h8h3 e7f5,265
r4r2/b1p1Rpk1/2N4p/P2q2p1/1PQp1n2/8/3B1PPP/R5K1 w - -,c4d5 f4d5 e7d7 d5f6 d7c7 a7b8 c7e7 b8f4 d2f4 g5f4,400
2K5/5p2/5k2/3R4/6p1/8/8/8 w - -,c8d7 g4g3 d7d6 g3g2 d5d1 f6f5 d1g1 f5e4 g1g2 f7f5,10
3q1rk1/1pp2ppp/r7/p1P1n3/8/P1P1P1P1/1PQ2PK1/R1B1R3 w - -,e3e4 d8d7 f2f3 a6f6 e1f1 h7h6 c1f4 e5d3 f4c7 d3b2,42
r7/5P2/1P6/8/3k1K2/8/8/8 w - -,b6b7 a8f8 f4g3 d4d5 g3h3 d5e6 h3g4 e6f7 g4f5 f8b8,-476
r1b1k2r/pp3ppp/1qn1pn2/1N1p4/1b1P1B2/4PN2/PP3PPP/R2QKB1R w KQkq -,e1e2 b6b5 d1d3 b5d3 e2d3 f6e4 d3e2 f7f6 a2a3 b4d6,-510
r4r2/b1p1Rpk1/2N4p/P2n2p1/1P1p4/8/3B1PPP/R5K1 w - -,e7d7 d5c3 d2c3 d4c3 g1f1 f8e8 a1c1 e8e6 c1c3 a8e8,409
r2r2k1/pp2bpp1/1qn2n1p/2ppNb2/3P4/2P3P1/PP2NPBP/R1BQR1K1 w - -,e5c6 b7c6 d4c5 e7c5 e2d4 d8e8 e1e8 a8e8 c1e3 c5d4,-26
r1bq1rk1/4b1pp/p2ppp2/1pp1nPP1/4P2Q/2NP3P/PPP3B1/R1B2RK1 w - -,g5g6 h7g6 h4g3 a8a7 a2a4 b5b4 c3e2 d8e8 d3d4 c5d4,-77
8/2k2p2/R2n1p2/2b5/2p5/2P3P1/4rr1P/1Q4K1 w - -,g5g6 h7g6 h4g3 a8a7 a2a4 b5b4 c3e2 d8e8 d3d4 c5d4,Mate
r3k2r/p4ppp/8/1b1n4/1np5/B4N2/1P2BPPP/5RK1 w kq -,b2b3 b4c2 b3c4 c2a3 c4b5 e8h8 f1a1 d5c3 e2d3 a3b5,-513
2q2rk1/1pp2ppp/7r/p1P1n3/8/P1P1P1P1/1PQ2PK1/R1B1R3 w - -,c2e4 c8h3 g2g1 h3h5 g1f1 e5f3 f1e2 f3e1 g3g4 h5c5,-564
7k/7P/5Nb1/3p3R/p2P4/2P2p2/5P1K/8 w - -,c2e4 c8h3 g2g1 h3h5 g1f1 e5f3 f1e2 f3e1 g3g4 h5c5,Mate
rr4k1/2p2pp1/3pb2p/p1n1q1P1/1p2P2P/2P2PN1/PP1QB3/1K1R2R1 w - -,c3c4 g7g6 f3f4 e5c3 f4f5 c3d2 d1d2 e6d7 e4e5 h6g5,78
8/1r2kP2/6K1/8/8/8/8/8 w - -,c3c4 g7g6 f3f4 e5c3 f4f5 c3d2 d1d2 e6d7 e4e5 h6g5,Mate
r4rk1/p4ppp/8/1b1n4/1npN4/B7/1P2BPPP/5RK1 w - -,b2b3 d5c3 e2c4 b5c4 b3c4 a7a5 a3b2 c3a4 b2a3 f8d8,-530
5rk1/1pp2ppp/7r/p1P1n3/4Q3/P1P1P1Pq/1P3PK1/R1B1R3 w - -,g2g1 h3h5 g1f1 e5f3 f1e2 f3e1 g3g4 h5c5 e2e1 f8d8,-564
r1b1k2r/pp3ppp/1qnn4/3pP3/1b3B2/4P3/PP1N1PPP/R2QKB1R w KQkq -,e5e6 c8e6 f1d3 d6c4 e1h1 c4d2 a2a3 d2f1 a3b4 b6b4,-501
rr4k1/2p2p2/3pb1pp/p1n1q1P1/1pP1P2P/5PN1/PP1QB3/1K1R2R1 w - -,f3f4 e5c3 f4f5 c3d2 d1d2 e6d7 e4e5 h6g5 h4g5 d7f5,63
5rk1/p1q2pp1/2p2n1p/n7/Q7/2PrB2P/PP3PPb/RN3R1K w - -,b1a3 h2d6 a3c2 c6c5 a1d1 d3d1 f1d1 c7b6 h1g1 d6b8,-351
r4r2/b1pR1pk1/2N2n1p/P5p1/1P1p4/8/3B1PPP/R5K1 w - -,d7c7 a7b8 c7e7 b8f4 d2f4 g5f4 c6d4 f8c8 d4e6 g7g8,418
4k2r/4nR2/Q7/p1P3b1/Pp6/2P3qP/1P5p/2R4K w - -,c1f1 g3g1 f1g1 h2g1r h1g1 e8f7 a6a5 h8h4 c5c6 g5e3,349
rr4k1/2p2p2/3pb1pp/p1n3P1/1pP1PP1P/2q3N1/PP1QB3/1K1R2R1 w - -,g5h6 c3d2 d1d2 b8e8 e4e5 a8d8 g1d1 d8d7 e5d6 g8h7,48
r1bq1rk1/4b1p1/p2pppp1/1pp1nP2/4P2Q/2NP3P/PPP3B1/R1B2RK1 w - -,h4g3 a8a7 a2a4 b5b4 c3e2 g6g5 h3h4 e6f5 e4f5 c8b7,-91
1r5r/4kp2/bqnbpp2/p2p3p/3P3P/P3PBP1/1PQ2P1N/R3KN1R w KQ -,f1d2 d6e5 d2b3 b6b3 c2c6 e5g3 c6a6 b3e3 a6e2 g3f2,-194
2Q5/8/4K2R/8/8/k7/8/8 w - -,f1d2 d6e5 d2b3 b6b3 c2c6 e5g3 c6a6 b3e3 a6e2 g3f2,Mate
5k2/p5rp/5p2/1Pp5/2Pr1B2/8/1P3P1P/4RK2 w - -,,0
8/5ppk/4b2p/p1Np4/Pq1P3P/4Q1P1/5PK1/8 w - -,,0
r1bq1rk1/4b1p1/p2ppp2/1pp1np2/4P3/2NP2QP/PPP3B1/R1B2RK1 w - -,,0
1qrrbk2/Rp3n1p/1Pp1p1pP/2Pp1pP1/R2P1P2/Q2BPNK1/8/8 w - -,d3e2 e8d7 g3f2 d7e8 e2f1 f8g8 f1a6 b7a6 a4b4 g8f8,622
5k2/p2r3p/3r1p2/1Pp5/2P2B2/8/1P3P1P/4RK2 w - -,f4d6 d7d6 e1a1 d6d7 a1a6 f8g7 f1e2 g7g6 a6c6 g6f5,444
7r/p1Qnkpp1/bp2pn1p/q7/3P3B/4PN2/P4PPP/R4RK1 w - -,f3e5 a5d5 e5c6 d5c6 h4f6 g7f6 c7c6 h8c8 c6a4 a6f1,579
6k1/1p1q2pp/p2p4/2p5/P1PnQP2/2N3PP/1P4K1/8 w - -,e4d5 g8h8 g3g4 h7h6 d5e4 d4c6 c3d5 h8g8 g2g3 g8f8,90
2Q5/8/4KR2/8/8/8/k7/8 w - -,g2h2 g7g6 g3g4 d4c6 c3d5 d7f7 h2g2 g8g7 g2f2 g7f8,Mate
r4rk1/5pp1/pn1bp2p/1p1p4/1P1PbPB1/P1N1BKN1/2P4q/R2Q1R2 w - -,c3e4 d5e4 g3e4 f7f5 g4f5 f8f5 e4d6 f5h5 f1f2 h5h3,-168
4b3/7k/4p3/p1ppP1Q1/3P4/2P3P1/P6P/5RK1 w - -,c3e4 d5e4 g3e4 f7f5 g4f5 f8f5 e4d6 f5h5 f1f2 h5h3,Mate
r2r2k1/p3bpp1/1qp4p/2pp1b2/3Pn3/1PP3P1/P3NPBP/R1BQR1K1 w - -,h2h4 c5d4 e2d4 f5g6 h4h5 g6h7 d1g4 e4f6 g4h3 e7f8,-59
r2qkb1r/1ppb1ppp/p2p1n2/n3p3/B3P3/2PP1N2/PP3PPP/RNBQ1RK1 w kq -,d3d4 b7b5 a4c2 a5c6 b1d2 g7g6 a2a4 e5d4 c3d4 f8g7,75
2rq1rk1/pb2bppp/1p2pn2/3pN3/3PnPP1/BP1BPQ2/P2N3P/R4RK1 w - -,d3e4 f6e4 a3e7 d8e7 d2e4 d5e4 f3g2 f7f6 e5c4 b6b5,-76
rn1qkb1r/pp3ppp/4pnb1/3p4/3N4/3BP3/PPPN1PPP/R1BQ1RK1 w kq -,d3e2 f8c5 b2b3 e6e5 d4f3 b8c6 c1b2 e5e4 f3h4 e8h8,-32
r1bq1rk1/4b1p1/p2p1p2/1pp1np2/8/2NP2QP/PPP3B1/R1B2RK1 w - -,g2d5 f8f7 d5a8 g7g5 a8d5 b5b4 c3e2 g8f8 e2f4 f8e8,317
4b1k1/5Nr1/4pQ2/p1ppP3/3P4/2P3P1/P6P/5RK1 w - -,g2d5 f8f7 d5a8 g7g5 a8d5 b5b4 c3e2 g8f8 e2f4 f8e8,Mate
r3r1k1/2p2p2/3pb1pP/p1n5/1pP1PP1P/6N1/PP1RB3/1K4R1 w - -,e4e5 g8h7 e5d6 a8d8 g1d1 d8d7 h4h5 a5a4 b1c1 h7h6,56
rn1qk2r/pp3ppp/2p2n2/3p4/1bPP1Bb1/2N2N2/PP3PPP/R2QKB1R w KQkq -,,0
r4rk1/5ppp/p7/1N1n4/1np5/B7/1P2BPPP/5RK1 w - -,b5d6 f8d8 e2f3 d8d6 a3b4 d5b4 f3a8 d6d2 f1b1 b4d3,-300
1r5r/2q1kp2/2nbpp2/p2p3p/3P3P/Pb2P1P1/1PQ1BP1N/R3KN1R w KQ -,c2c3 c7b6 f1d2 b3a4 b2b3 a4b3 e1h1 a5a4 f1c1 h8c8,-65
r1bq1rk1/p4pp1/1pnbpn1p/8/2BP4/P4N2/1PQ1NPPP/R1B2RK1 w - -,c2d3 c8b7 c1d2 a8c8 a1c1 c6e7 e2g3 c8c7 c4a6 b7a6,-92
1br2nk1/1p3pp1/1B5p/p3P3/q4P2/3r3P/P3Q1P1/3R1R1K w - -,e2d3 a4a2 d1c1 c8e8 d3b5 a2e6 b6a5 g7g5 a5d2 e8d8,330
r2r2k1/p4pp1/1qp2b1p/2pp1b2/3Pn3/1PP3P1/PB2NPBP/R2QR1K1 w - -,b2a3 c5d4 c3d4 d8e8 h2h4 a8d8 d1d3 f5g6 d3f3 b6a5,-98
r2q1rk1/p4pbp/bp2p1p1/n2pP3/3P4/2P3P1/P2N1PBP/R1BQ1RK1 w - -,c3c4 a5c4 d2f3 c4a5 f1e1 d8c7 c1g5 f8c8 d1d2 a5c4,-66
1qk5/Qp3p2/1Pp1p2p/N3n1p1/3rP3/P6P/5PP1/2R3K1 w - -,a3a4 d4d8 c1b1 h6h5 g1f1 d8d3 a5b3 e5d7 g2g3 b8d6,46
8/p2nkpQ1/bp2pn1p/8/3P3B/2q1PN2/P4PPP/R5K1 w - -,a1e1 a6b7 e3e4 b6b5 g7h6 a7a5 e4e5 b7f3 e5f6 e7d6,607
3B4/3b3p/p5p1/1ppk4/5PP1/7P/P1P2K2/8 w - -,f2e3 d5c4 e3d2 b5b4 d2c1 d7e6 c1b2 c4b5 d8f6 c5c4,-7
r2q1rk1/p4pp1/1pnbbn1p/8/3P4/P4N2/1PQ1NPPP/R1B2RK1 w - -,f1e1 e6d5 c1h6 g7h6 c2d2 g8g7 f3h4 d5e4 e2g3 d6g3,-805
r1bq1rk1/6pp/p2ppb2/1pp1nP2/4P2Q/2NP3P/PPP3B1/R1B2RK1 w - -,h4h5 a8a7 c3d1 a7f7 d1e3 f6g5 h5e2 h7h6 c1d2 c8d7,-125
7Q/1b1knR2/8/p1P3b1/Pp5p/2P3q1/1P4Pp/2R4K w - -,c1d1 d7e6 f7e7 g5e7 h8h6 e6f7 c5c6 b7a6 h6h7 f7f6,250
r4rk1/5ppp/p7/3n4/2p5/B1P5/4BPPP/5RK1 w - -,f1c1 f8c8 e2f3 c8d8 g2g3 a6a5 g1g2 a8b8 a3c5 a5a4,-363
