4Q3/5ppk/7p/1R6/2p3bP/P3BB1q/P4P1K/8 w - -,d1c1 d5c4 b3c4 c5d4 f3d4 e8h8 f1e2 d8c7 b2a3 b4a3,Mate
2b4r/r2pkp2/p1nRp2p/1pN3p1/4P3/1N3P2/PPP3PP/3R2K1 w - -,a2a4 c6e5 a4b5 a6b5 d6b6 e5c4 b6b5 c4b2 d1a1 a7a1,-2
r1bqkb1r/pp3ppp/2nppn2/8/3QP3/2N2N2/PPP1BPPP/R1B1K2R w KQkq -,d4d3 f8e7 c1f4 d8b6 e1a1 e8h8 c1b1 f8d8 f4e3 b6a5,18
r4r1k/pqpnNppp/3p2b1/2p3B1/4P3/2Q2P2/PPP3PP/R4RK1 w - -,c3b3 d7b6 g5d2 a7a5 a2a4 f7f6 e7g6 h7g6 f1e1 b7a6,41
4k3/2p3p1/3r1n2/4P3/8/1B3N2/2P1K3/8 w - -,e5d6 c7d6 e2e3 e8d7 f3d4 g7g5 d4f5 f6g4 e3d4 g4e5,267
r1bq1kr1/pp3p2/2n1p2p/3pP2Q/3P4/2PB4/2NK1P1P/6R1 w - -,g1g8 f8g8 h5h6 d8c7 c2e3 f7f6 e5f6 b7b5 d3g6 a7a5,559
6k1/6pp/2N1p3/pp1pp3/8/2P3P1/P4nPP/7K w - -,h1g1 f2e4 c6a5 e4c3 h2h4 c3a2 g3g4 b5b4 g1f2 e5e4,-530
2r1r2k/p1qnn1pp/1p3p2/2pP3N/3p4/P1Q2P2/1PP3PP/2KRR1B1 w - -,c3c4 d7e5 c4b3 c7d7 f3f4 e5f7 b3g3 e8g8 g3f3 e7d5,-165
rnbq1bnr/pp2k1pp/2p2p2/3pp3/4P3/N1P2P1N/PP1P2PP/R1BQKB1R w KQ -,h3f2 e7f7 a3c2 f8c5 d2d4 c5b6 c1e3 g8e7 d4e5 f6e5,66
r1bqk2r/p1p2ppp/2p2n2/2p1p3/2P5/6P1/PP1PPP1P/R1BQK1NR w KQkq -,d2d3 e5e4 d3e4 d8d1 e1d1 f6e4 c1e3 a7a5 g1f3 c8e6,38
4kb2/5p2/1rnp1r2/N2Rp3/4P3/P1N5/1PP5/1K5R w - -,a5c4 b6b8 c3b5 b8d8 h1d1 f6f4 c2c3 f7f5 c4d6 f8d6,412
r5k1/1p2rpp1/2pbq2p/p2p4/1P1P4/P1NQ2PP/4PP2/R4RK1 w - -,g1g2 a5b4 a3b4 a8a1 f1a1 d6b4 c3a2 b4d6 e2e3 g7g6,-83
3r1r1k/p2bbp1p/n2p1np1/1pp3N1/q1P2N1Q/P1BB4/1P3PPP/1K1R1R2 w - -,g1g2 a5b4 a3b4 a8a1 f1a1 d6b4 c3a2 b4d6 e2e3 g7g6,Mate
r2qn1k1/ppp2ppp/4b3/4Q3/2p2B2/8/P1P2PPP/R4BK1 w - -,a2a4 d8d5 e5d5 e6d5 a1d1 d5e6 h2h3 e8d6 g2g4 a8d8,-156
4rn1k/1b3rqp/p3P1p1/1p2N3/3p4/7B/P3Q1P1/5R1K w - -,e5d3 f8e6 f1f7 g7f7 e2d2 f7e7 h3e6 e7e6 h1h2 h8g8,-645
2r3k1/p4p1p/6p1/2pPq3/8/5Q1P/P4PP1/3R2K1 w - -,d5d6 c8d8 f3d5 e5d5 d1d5 g8g7 g1f1 g7f6 f1e2 c5c4,7
8/2n1rkp1/1q5p/p2pQ3/2p1PP2/P5P1/1P1R2KP/3R4 w - -,e5h5 f7g8 e4d5 b6d6 h5f3 c7b5 a3a4 b5c7 h2h4 g7g5,457
3r1k2/1p2r3/p2p1P1p/3Bb1pN/2P3P1/P7/1PK5/5n2 w - -,c2c1 e7c7 b2b3 f1e3 d5f3 e3c4 b3c4 c7c4 c1d1 d8c8,-748
r3k2r/pppqbpp1/2np1n1p/4p3/2P1P3/2NP1NPb/PP3PBP/1RBQ1RK1 w kq -,b2b4 a7a6 c3d5 h3g2 g1g2 e8h8 f1e1 e7d8 a2a4 f6d5,59
r2q1rk1/p3ppbp/1p4p1/n1p5/3PP1b1/2P1BN2/P3BPPP/1R1Q1RK1 w - -,d4c5 d8d1 f1d1 g4e6 c5b6 a7b6 b1b6 e6a2 e3d4 a5b3,33
N1b1kbr1/p2p1Npp/1p6/8/8/3P4/PP3PPP/n1BK3R w - -,f7g5 f8d6 h1e1 e8f8 b2b3 c8a6 a8c7 d6c7 c1a3 d7d6,295
