6k1/p6p/6p1/4bp2/1P2p1bP/P3P3/5PP1/2r2NK1 b - -,g6g5 f8g8 g5h4 g8a8 b5b4 e4e5 f4f3 e5d5 h4g3 a8a3,Mate
r2qkb1r/4nppp/p7/1p1PPb2/5N2/1P3N2/1P4PP/R1BQ1RK1 b kq -,a8c8 d5d6 d8b6 d1d4 b6d4 f3d4 f5e4 a1a6 c8c5 d6e7,528
8/5pk1/R3p1p1/1p6/6rp/2PK4/6PP/8 b - -,g4g2 a6a5 g2h2 a5b5 h2h1 d3e3 h1c1 e3f4 c1g1 f4f3,-852
rn2k2r/1p3pp1/1ppb3p/3p1p2/3PBB2/P1P1P2P/1P3PP1/RN3RK1 b kq -,f5e4 f4d6 b8d7 b1d2 b6b5 f2f3 e4f3 f1f3 f7f6 e3e4,465
8/8/8/8/6k1/4Bp2/6r1/5K2 b - -,f5e4 f4d6 b8d7 b1d2 b6b5 f2f3 e4f3 f1f3 f7f6 e3e4,Mate
r4rk1/2qnbpp1/p4np1/1ppNp2P/4P1P1/3BB3/PPP1QP2/1K1R3R b - -,e7d8 d5c7 a8c8 c7a6 c5c4 h5g6 f7g6 g4g5 d8e7 g5f6,722
r2q1rk1/5pp1/1p1bp2p/p1PnBb2/4n3/2P2N2/PP2BPPP/R1NQ1RK1 b - -,d6e5 f3e5 d8c7 c1d3 b6c5 e5c4 f8d8 d1b3 a8b8 b3a3,-79
2kr1b1r/1pq2p1p/2p1n3/p3nN2/P3N3/6P1/1PQ1PPB1/3R1RK1 b - -,d8d7 f2f4 d7d1 f1d1 e5g4 g2h3 h7h5 h3g4 h5g4 g1g2,99
rn2k2r/1p3pp1/1pp4p/3p1B2/3P1b2/P1P1P2P/1P3PP1/RN3RK1 b kq -,f4d6 b1d2 b6b5 a1e1 e8h8 f2f4 d6e7 d2f3 g7g6 f5c2,160
8/1Q4pk/6rp/3N4/1P1PP2b/P2BR3/4K2P/6r1 b - -,f4d6 b1d2 b6b5 a1e1 e8h8 f2f4 d6e7 d2f3 g7g6 f5c2,Mate
r4rk1/pp2ppb1/1qn3p1/1B1Q1b1p/7P/2N1BP2/PPP3P1/2KRR3 b - -,b6c7 b5c6 b7c6 d5c4 f8b8 e1e2 a7a5 e3c5 f5e6 e2e6,-37
2rq1rk1/3n1pb1/1p1Pp1p1/p6p/P1BN4/1P3Q2/2P2PPP/3RR1K1 b - -,d7e5 e1e5 g7e5 d4c6 d8f6 c6e7 g8g7 f3f6 e5f6 e7c8,138
r2q1rk1/pb2n1pp/1p1ppn2/P1p2p2/2PP1P2/1NPBP3/6PP/R1BQ1RK1 b - -,b7e4 f1f2 e7c6 d3f1 c6a5 b3a5 b6a5 f2a2 a5a4 d1a4,-75
r1bq1rk1/1p2bppp/2n5/P1Pp4/1P6/N4PPP/3B1K2/R2Q1B1R b - -,c8f5 a3b5 f8e8 d1b3 e7f6 a1d1 f6e5 f1d3 d8d7 d3f5,142
r3k2r/p2p2pp/1pB2p2/2b1PP2/8/1QPp1P1q/PP1P3P/RNBR3K b kq -,d7c6 b3e6 e8f8 e6c6 a8e8 e5e6 g7g6 c6b7 e8e7 b7b8,25
8/5pk1/1R2p1p1/1p6/7p/2PK4/6rP/8 b - -,g2h2 b6b5 h2h1 d3d4 h4h3 b5b2 g6g5 b2f2 h1g1 d4e5,-964
rn1q1rk1/1p2b1pn/p1p1p2p/3p4/4PPPP/2N1B3/PPPQB3/2KR3R b - -,e7b4 g4g5 b8d7 a2a3 b4c5 g5h6 d8f6 h6g7 g8g7 h1f1,342
rn2k2r/1p3pp1/1ppb3p/3p4/3P4/P1PBP2P/1P3PP1/RN3RK1 b kq -,b8d7 c3c4 d5c4 d3c4 f7f5 b1d2 h8f8 g2g3 b6b5 c4d3,167
r1b1r1k1/p2nqpp1/2p4p/3p4/RP1Pn3/2NBPN2/2Q2PPP/5RK1 b - -,e4d6 a4a5 d6b7 a5a6 b7d8 a6a4 a7a6 f1b1 a8b8 c3e2,140
r3k2r/pp2bpp1/1qnBb2p/2p5/4P3/5N2/PPPQ1PPP/2KR1B1R b kq -,a8d8 e4e5 c6e5 f3e5 d8d6 d2e1 d6d1 e1d1 e8h8 d1e1,-232
r3kb1r/pp3ppp/4p3/n2pPb2/8/4B3/PPPNBPPP/R2R2K1 b kq -,f8e7 c2c4 d5c4 d2c4 a5c4 e2c4 a7a6 a1c1 f5e4 d1d4,36
r3k2r/1ppbqppp/pbnp4/3P4/3P4/2P3PP/PP2N1BK/R1BQ1R2 b kq -,c6a5 f1e1 e8h8 e2g1 e7f6 b2b4 a5c4 d1b3 b6d4 c3d4,253
5b2/7p/p5p1/1p1k4/8/P1PK3P/1P4P1/2B5 b - -,f8e7 b2b3 e7c5 c1g5 c5d6 c3c4 b5c4 b3c4 d5e5 a3a4,145
r2qr1k1/1ppbnpbp/3p1np1/3Pp3/1PP1P3/2N2NP1/1B3PBP/R2QR1K1 b - -,g7f8 a1a8 d8a8 d1b3 h7h6 g2f1 b7b6 e1a1 a8b7 b3a2,114
8/8/8/4B3/6k1/5p2/6r1/5K2 b - -,g7f8 a1a8 d8a8 d1b3 h7h6 g2f1 b7b6 e1a1 a8b7 b3a2,Mate
r4rk1/ppq1ppb1/2B3p1/3Q1b1p/7P/2N1BP2/PPP3P1/2KRR3 b - -,b7c6 d5c4 f8b8 e3d2 b8d8 d2f4 d8d1 c3d1 e7e5 f4g5,-33
r5k1/pp1r1pb1/2n1pnpp/1NPp4/3P4/2P4P/P4PPB/R3KB1R b KQ -,e6e5 d4e5 f6e4 f2f4 g7f8 f1d3 f8c5 h2g1 e4g3 g1c5,-55
r3k2r/p5pp/1pp1Qp2/2b1PP2/8/2Pp1P1q/PP1P3P/RNBR3K b kq -,e8f8 e6c6 a8e8 c3c4 e8e5 b1c3 e5f5 c6c8 f8f7 c8c7,78
r2q1rk1/5pp1/1p2p2p/p1PnNb2/4n3/2P5/PP2BPPP/R1NQ1RK1 b - -,d8c7 c1d3 b6c5 c3c4 d5b4 d1c1 f8d8 f1d1 a8b8 f2f3,-97
rn2r1k1/1p3pp1/1ppb3p/3p4/3PP3/P1PB3P/1P1N1PP1/R4RK1 b - -,d6f4 f1d1 d5e4 d2e4 b8d7 g2g3 f4c7 a3a4 g7g6 g1f1,158
2k2r2/2p4p/Pr3p1q/8/Q2PP1p1/2P1b1P1/1P5P/3R1R1K b - -,d6f4 f1d1 d5e4 d2e4 b8d7 g2g3 f4c7 a3a4 g7g6 g1f1,Mate
3qr1k1/1p2bp1p/p5pB/4R3/2rP4/2P2Q2/P4PPP/4R1K1 b - -,c4c6 f3e3 g6g5 e3g5 c6g6 g5e3 d8d7 g2g3 a6a5 d4d5,500
8/5pk1/4p1p1/1R6/7p/2PK4/7r/8 b - -,h2h1 c3c4 h4h3 b5b2 g6g5 c4c5 h1c1 d3e4 c1c5 e4d4,-994
8/1R1Kbk2/4r1p1/4P3/5P2/8/5B1P/8 b - -,e7f6 e5f6 e6f6 f2e3 f7f8 b7b6 f6f7 d7e6 f7e7 e6f6,580
r4rk1/p1q1ppb1/2p3p1/5b1p/2Q4P/2N1BP2/PPP3P1/2KRR3 b - -,f8b8 e3f4 e7e5 f4g5 c7b6 b2b3 b6a5 g5e7 e5e4 c3e4,-37
r2q1rk1/1p2bppp/2n5/PNPp1b2/1P6/5PPP/3B1K2/R2Q1B1R b - -,e7f6 a1a3 f6e7 d1b3 f8e8 h3h4 a8c8 a3a1 d8d7 a1d1,141
r1bqkb1r/1p1n1pp1/p1n1p3/2ppP2p/P6P/1P3NQ1/1BPP1PP1/RN2KB1R b KQkq -,d8c7 f1e2 b7b6 e1h1 c8b7 f1e1 e8a8 f3g5 d7e5 b2e5,-70
3qr1k1/1ppbnpbp/3p1np1/3Pp3/1PP1P3/2N2NP1/1B3PBP/Q3R1K1 b - -,e7c8 c4c5 c7c6 h2h3 g7f8 d5c6 d7c6 e1d1 d8e7 c3d5,104
rn2r1k1/1p3pp1/1ppb3p/8/3PN3/P1PB3P/1P3PP1/R4RK1 b - -,d6f8 a3a4 b8d7 f1e1 g7g6 d3c2 g8g7 e4d2 f8d6 g2g3,158
8/5pk1/4p1p1/1R6/2P5/3K3p/7r/8 b - -,h2h1 b5b2 g6g5 c4c5 h1c1 b2h2 g5g4 d3e4 g7g6 e4d4,-1033
r3r1k1/ppp2ppp/8/n2nq1b1/8/3PN3/PPP1QPPP/RNB1R1K1 b - -,a8d8 b1a3 f7f5 e3d5 e5e2 e1e2 e8e2 c1g5 d8d5 g5e3,28
rn2r1k1/1pb2pp1/1pp4p/8/3PN3/P1PB3P/1P3PP1/R3R1K1 b - -,b8d7 a3a4 e8e6 d3c2 g8f8 g2g3 d7f6 e4d2 e6e1 a1e1,159
1r3k2/2pR3p/p3Q1p1/1p6/6nq/BP6/P3Pr1P/6K1 b - -,g8f8 d3c2 b8d7 a3a4 g7g6 g1f1 f8g7 e4d2 h6h5 e1e8,Mate
r1b1r1k1/ppp2pp1/5q1p/3p4/1b6/2NBP3/PPQ2PPP/3R1RK1 b - -,c7c6 e3e4 b4c3 b2c3 d5e4 d3e4 c8e6 a2a4 a8d8 d1d8,-182
rnbqk2r/ppp2ppp/3b4/2npN3/8/3B4/PPPP1PPP/RNBQR1K1 b kq -,e8h8 d3f1 d6e5 e1e5 c5e4 d2d3 b8c6 e5h5 e4f6 h5h4,-51
r3k2r/p3b1pp/1pQ2p2/4PP2/8/2Pp1P1q/PP1P3P/RNBR3K b kq -,e8d8 e5e6 h3f3 c6f3 d8c7 f3g3 c7b7 g3d3 a8c8 d3f3,1144
8/1q4pk/8/2P2Qp1/5P2/7P/6PK/8 b - -,h7g8 f5e6 g8f8 e6d6 f8f7 f4g5 f7e8 c5c6 b7c8 c6c7,Mate
5b1k/6pp/6q1/Q3B3/P3Rp2/1r3P1P/5P1K/8 b - -,h7h6 e4f4 g6e8 a5d5 b3b6 f4e4 e8c8 h2g2 b6g6 e4g4,413
2b5/8/8/6kB/P7/4p3/8/4K3 b - -,,0
8/5pk1/4p1p1/1RP5/8/3K3p/8/7r b - -,g5h5 e1e2 h5g4 e2e3 c8b7 a4a5 g4f5 a5a6 b7a6 e3d4,Mate
r4rk1/2q2pp1/1p2p2p/p1Pn1b2/4n3/2P2N2/PP2BPPP/R1NQ1RK1 b - -,b6c5 d1e1 c5c4 f3d4 a8d8 e2f3 d5f6 c1e2 f5h7 f3e4,-167
8/1R1Kbk2/rB4p1/4P3/5P2/8/7P/8 b - -,e7f8 e5e6 f7f6 b6d8 f6f5 b7b5 f5e4 b5e5 e4d3 d8c7,521
8/pk1r4/4pb2/Bp3p1Q/8/P2q4/1P3PPP/2K1R3 b - -,b7a6 e1e3 f6g5 a5c3 g5e3 f2e3 d3f1 c1c2 f1g2 c2c1,-687
r1b3k1/2p3pp/5r2/2qpp3/P7/5N2/1PPQ1PPP/R3K2R b KQ -,c8g4 f3h4 a8f8 e1h1 c5d6 f2f3 g4c8 f1d1 d5d4 c2c3,-56
rnbq1b1r/pppppk1p/6p1/5PPn/8/3B1N2/PPP4P/RNBQK2R b KQ -,e7e6 f5g6 h7g6 f3e5 f7g7 d1f3 f8b4 e1d1 d8f8 f3g4,647
2rq1rk1/3n1p2/1p1Pp1p1/pN2b2p/P1B5/1P3Q2/2P2PPP/3RR1K1 b - -,c8c5 f3e4 e5g7 f2f4 g6g5 b5d4 g5f4 d4c6 d8f6 e1f1,145
2k1r2r/p1p1qp1p/3b1n2/1p1P2Qb/1PBn4/P2P1P2/2PK3P/RNB3NR b - -,c8c5 f3e4 e5g7 f2f4 g6g5 b5d4 g5f4 d4c6 d8f6 e1f1,Mate
1r4rk/1p1b2q1/3N1b2/p1nPp2p/P1P1Pp2/5PP1/1PB1K3/R2Q1NR1 b - -,g7e7 d6b5 g8g7 d5d6 e7f7 d1d5 c5e6 e2d2 d7c6 d5d3,-91
r2q1rk1/p3n1pp/1p1ppn2/P1p2p2/2PPbP2/1NP1P3/4B1PP/R1BQ1RK1 b - -,e7c6 h2h3 d8e8 g1h2 h7h6 a5a6 e8g6 f1g1 a8e8 c1d2,-73
1rb2rk1/2p1q2p/p1p3pQ/3pp3/3P4/1PNR4/PKP3PP/7R b - -,e5e4 d3d2 c8d7 c3a4 e4e3 d2e2 e7b4 a4c3 b4d4 e2e3,-94
1r3k2/2pR3p/p3Q1p1/8/1B4nq/1P6/P3Pr1P/6K1 b - -,e5e4 d3d2 c8d7 c3a4 e4e3 d2e2 e7b4 a4c3 b4d4 e2e3,Mate
r1bq1rk1/2p2pp1/1pnb1n1p/p3p3/4P3/2P2NP1/PPQN1PBP/R1BR2K1 b - -,c8e6 d2f1 a5a4 f1e3 d8c8 c1d2 f8d8 b2b4 a4b3 a2b3,-15
3r2k1/pp2qppp/2b1p3/3p4/5P2/b2BPR2/1B1N2PP/1Q4K1 b - -,a3b2 b1b2 a7a5 b2b6 d8a8 f3f2 e7a3 b6d4 a5a4 d2b1,51
r1bqk2r/p1p2ppp/2p5/3pP3/QB2n3/8/P4PPP/R3K1NR b KQkq -,c8d7 a4a5 d8g5 g1e2 g5g2 h1f1 g2h2 e1a1 c6c5 d1d5,-357
8/8/1p4p1/1PpQ1k1p/2P5/6PK/4r2P/8 b - -,d8d7 f2f3 e4g5 a1c1 g5e6 a4a3 a7a5 b4c5 c8a6 g1h3,Mate
r3kb1r/pp3ppp/2n1p3/1B1pP3/4b3/4BN2/PP3PPP/R1R3K1 b kq -,a8c8 f3d4 a7a6 d4c6 a6b5 c6a7 c8c1 a1c1 f7f6 f2f3,87
r3k2r/nppbqppp/pb1p4/3P4/3P4/2PQ2PP/PP2N1BK/R1B2R2 b kq -,c7c6 d5c6 d7c6 d4d5 c6d7 e2f4 e8h8 a2a4 a6a5 c1d2,204
r2q1rk1/pp3ppp/2n5/2bnp3/8/1NPB1Q2/PP3PPP/R1B2RK1 b - -,c5b6 f1d1 d5f6 d3h7 f6h7 d1d8 a8d8 c1e3 b6e3 f2e3,299
8/1q5k/6p1/2P3Q1/5P2/7P/6PK/8 b - -,b7a8 g5f6 h7g8 c5c6 a8c8 f6d6 g8f7 d6d7 c8d7 c6d7,914
3rr1k1/ppp2pp1/2p4p/2P5/1Pq5/3RB3/P3KPPP/3R4 b - -,d8d3 d1d3 e8d8 e2f3 c4d3 a2a3 d3a3 b4b5 a3d3 b5b6,-1153
r1bq1rk1/3nbpp1/p1p1pn1p/1p1p4/PP1P1B2/2PBPN1P/3N1PP1/R2Q1RK1 b - -,a6a5 a4b5 c6b5 d3b5 c8a6 b5a6 a8a6 d2b3 f6e4 b3c5,162
8/5KN1/2B4k/8/8/8/8/8 b - -,h6g5 g7e6 g5h4 f7e7 h4g3 e7d6 g3f2 d6c5 f2e2 c5b4,174
3r4/1k6/1R3p2/p1PP2pp/B2n4/6P1/6P1/6K1 b - -,b7c8 d5d6 f6f5 g1f2 f5f4 g3f4 g5f4 b6b1 d4e6 b1e1,378
3K4/8/8/5p2/4k3/8/8/5R2 b - -,f5f4 d8e7 f4f3 e7e6 e4f4 e6d5 f4e3 d5d6 f3f2 f1a1,Mate
2kr1b1r/1pq2p1p/2p5/p3nN2/P3Q3/6P1/1P2PPB1/R4RK1 b - -,e5d7 f5e7 f8e7 e4e7 h7h5 e7h4 d7e5 b2b4 e5g6 h4e4,54
8/2B5/8/8/6k1/5p2/3r4/5K2 b - -,e5d7 f5e7 f8e7 e4e7 h7h5 e7h4 d7e5 b2b4 e5g6 h4e4,Mate
r3k2r/nppbqppp/pb1p4/3P4/3P1N2/2P3PP/PP4BK/R1BQ1R2 b kq -,e8d8 c3c4 h7h6 a2a4 a7c8 a1a3 e7e8 f4h5 e8g8 a3e3,363
r1bqk1nr/pppp2pp/2n5/4pp2/1bP5/1QN2NP1/PP1PPP1P/R1B1KB1R b KQkq -,e5e4 f3h4 d7d6 d2d3 e4d3 e2d3 g7g5 h4f3 g5g4 a2a3,-27
r3r1k1/1pbn1pp1/1pp4p/8/2BPN3/P1P4P/1P3PP1/R3R1K1 b - -,b6b5 c4b3 g8f8 g1f1 g7g6 e4d2 d7b6 d2f3 a8d8 g2g3,129
1r2rnk1/2nq2bp/p2pP1p1/P1p3N1/2P2P2/2NQ2P1/3BR2P/4R1K1 b - -,e8e6 g5e6 f8e6 c3d5 b8f8 g1h1 g7d4 d3f3 e6g5 f3g2,365
r2q1rk1/pp2bppp/2n5/3np3/8/1NPB1Q2/PP3PPP/R1BR2K1 b - -,d5f6 d3h7 f6h7 d1d8 a8d8 c1e3 h7f6 a1d1 e5e4 f3e2,325
1k4r1/1p3p1p/p3p3/4P3/4Q2q/3n3P/PP3PP1/2R1R1K1 b - -,h4f2 g1h1 f2b2 h1h2 d3c1 e4f3 g8c8 f3f7 c1d3 e1f1,-474
r4k1r/pp3ppp/3R1n2/8/2B5/5P2/PPP4P/4R1K1 b - -,a8e8 e1e8 f8e8 d6d3 h8f8 d3a3 a7a6 a3b3 b7b5 c4f1,111
8/2p3p1/1p2k2p/3rPp2/p1p1bPP1/P1P1B2P/2P2K2/2R5 b - -,d5b5 e3d2 b5b2 f2e3 e4c2 c1g1 g7g6 d2c1 b2b3 e3d4,-196
3r2k1/ppp2pp1/2p4p/2P5/1Pq5/3RB3/P2K1PPP/8 b - -,d5b5 e3d2 b5b2 f2e3 e4c2 c1g1 g7g6 d2c1 b2b3 e3d4,Mate
8/8/1Q6/4K3/8/8/2p5/2k5 b - -,,0
r2k3r/p5pp/1pQ2p2/2b1PP2/8/2Pp1P1q/PP1P3P/RNBR3K b - -,a8c8 c6d5 d8c7 d5d3 h8d8 d3f1 h3f1 d1f1 f6e5 a2a4,460
r3r1k1/1pbn1pp1/2p4p/1p6/3PN3/PBP4P/1P3PP1/R3R1K1 b - -,g7g6 g1f1 g8f8 e4d2 a8d8 a1d1 e8e1 d1e1 d7b6 d2f3,126
8/2R5/5pk1/p3p2p/2N1K3/P1b1P1P1/5P2/4r3 b - -,e1f1 c4d6 f6f5 d6f5 c3b2 f2f3 f1c1 c7b7 b2a3 b7b6,215
8/3K4/8/8/4kp2/8/8/5R2 b - -,e4f5 f1g1 f4f3 g1g8 f5f4 d7c7 f4f5 g8f8 f5e4 c7b6,Mate
r3kb1r/pp2p1pp/8/3n2N1/8/3n4/PP2KPPP/RNB4R b - -,d5f4 c1f4 d3f4 e2f3 h7h6 f3f4 h6g5 f4g5 a8d8 b1c3,10
2kr3r/1ppqn3/BP1b1p2/P2p4/3P2bp/2P2N2/3N1PP1/R2Q1RK1 b - -,b7a6 d1e2 c8b7 b6c7 d7c7 f1b1 b7a7 b1b6 g4c8 d2f1,-303
r4rk1/2qnb1p1/p4np1/1ppNp3/4P1P1/3BB3/PPP1QP2/1K1R3R b - -,c7b6 d5b6 d7b6 g4g5 f6e8 e2g4 e8c7 g4h3 a8d8 d1f1,646
q3r1k1/1ppbnpbp/3p1np1/3Pp3/1PP1P3/2N2NP1/1B3PBP/1Q2R1K1 b - -,h7h5 b2c1 c7c6 g2f1 a8a7 h2h3 e8a8 b1d3 a7b8 c1g5,94
1rb2rk1/2p1q2p/p1p3pQ/3p4/3R4/1PN5/PKP3PP/7R b - -,a6a5 d4d1 c8f5 h1e1 e7f6 h6f4 b8e8 e1e8 f8e8 d1d2,-60
2rqr1k1/3n1p2/1p1Pp1p1/pN2b2p/P1B5/1P2Q3/2P2PPP/3RR1K1 b - -,e8f8 f2f4 e5g7 b5d4 c8c5 h2h3 d8c8 e3d3 g8h7 g1h1,185
1rbq1rk1/2p2pp1/p1np1n1p/1pb1p3/4P3/1BPP1N1P/PP1N1PP1/R1BQR1K1 b - -,c8e6 d2f1 c5b6 f1g3 c6e7 d3d4 e7g6 c1e3 c7c5 d4e5,34
r3r1k1/pp1bqpp1/3P1n1p/4p3/4P3/B2Q1N2/P4PPP/R3R1K1 b - -,e7f8 d3c3 e8c8 c3b2 f8e8 f3e5 d7e6 a1d1 e8a4 h2h3,176
4Q3/8/1p3kp1/1Pp4p/2P5/6PK/4r2P/8 b - -,e7f8 d3c3 e8c8 c3b2 f8e8 f3e5 d7e6 a1d1 e8a4 h2h3,Mate
rn1q1rk1/1p4pn/p1p1p2p/3p2P1/4PP1b/2N1B3/PPPQB3/2KR3R b - -,h6g5 e2g4 d8f6 d2h2 g8f7 c1b1 g5f4 e3f4 b8d7 e4d5,457
r3kb1r/pp3ppp/2R1p3/1B1pP3/8/4Bb2/PP3PPP/R5K1 b kq -,f8b4 c6c8 e8e7 e3g5 f7f6 c8c7 e7f8 e5f6 h8g8 f6g7,571
r5k1/pp2b1r1/3p3p/3P1b1q/1P2NBp1/1QN4n/P4P1P/2RR1B1K b - -,h3f4 e4g3 h5g6 g3f5 g6f5 b3c2 f5f7 c3e4 a8f8 d1e1,-73
r5k1/1pbnrpp1/2p4p/1p6/3P4/PBP4P/1P1N1PP1/R3R1K1 b - -,e7e1 a1e1 g8f8 g1f1 g7g6 e1e3 c7f4 e3e2 a8e8 e2e8,136
r2qk2r/p1pb1ppp/2p5/3pP3/1B2n3/Q7/P4PPP/R3K1NR b KQkq -,d8h4 b4c5 e4c5 a3c5 a8b8 g1e2 h4b4 c5b4 b8b4 e1h1,-360
1r1r2k1/pbb2pp1/4q2p/2p2n2/2N1nB2/1PP3P1/P4PBP/R1Q2RNK b - -,f5d6 f2f3 g7g5 f4e5 b7a6 f3e4 a6c4 e5d6 c4f1 d6c7,48
r2q1rk1/p5pp/1pnppn2/P1pP1p2/2P1bP2/1NP1P3/4B1PP/R1BQ1RK1 b - -,c6a5 b3a5 b6a5 d5e6 d8e7 a1a5 f8b8 f1f2 a7a6 e2f1,-139
2b1r1k1/r2n3p/pp1p3q/2pP1pNp/P4P2/1Q3B2/1P2P3/R3K2R b KQ -,d7f6 b3b6 a7d7 e1a1 f6g4 g5e6 g8h8 d1d2 h5h4 e2e4,33
8/8/4K3/8/4k3/5p2/8/5R2 b - -,e4f4 e6d5 f4e3 d5d6 f3f2 f1a1 e3f3 a1d1 f3e2 d1b1,Mate
r5k1/1bp3pp/5r2/PP1p4/2qNp3/8/2PQ1PPP/R3K2R b KQ -,a8f8 f2f3 c7c6 b5c6 b7c6 a1a3 c6e8 h1f1 e8b5 f1f2,-24
2kr1bnr/ppp2ppp/4P1b1/q7/2B3Q1/2N5/PPN2PPP/R1B1K2R b KQ -,g6h5 e6e7 h5g4 e7d8q c8d8 e1h1 g8f6 c1e3 a5h5 e3a7,-232
1r2r1k1/2nq2bp/p2pN1p1/P1p5/2P2P2/2NQ2P1/3BR2P/4R1K1 b - -,c7e6 d3d5 g7d4 g1h1 g8g7 e2e6 e8e6 e1e6 b8f8 h1g2,402
3rr1k1/ppp2ppp/8/n2nq1b1/8/N2PN3/PPP1QPPP/R1B1R1K1 b - -,h7h6 e2f3 d5e3 a1b1 e5d5 f2e3 d5a2 c1d2 a5c6 a3c4,24
8/7k/2qQ2p1/2P5/5P2/7P/6PK/8 b - -,h7h6 e2f3 d5e3 a1b1 e5d5 f2e3 d5a2 c1d2 a5c6 a3c4,Mate
2qk4/8/3B4/3NK3/8/5R2/8/8 b - -,c8b7 f3f8 d8d7 f8f7 d7c8 f7b7 c8b7 d5b4 b7b6 e5d5,Mate
8/1k6/8/3Q4/1K6/8/8/2r5 b - -,c8b7 f3f8 d8d7 f8f7 d7c8 f7b7 c8b7 d5b4 b7b6 e5d5,Mate
8/8/8/4B3/6k1/5p2/1r6/5K2 b - -,c8b7 f3f8 d8d7 f8f7 d7c8 f7b7 c8b7 d5b4 b7b6 e5d5,Mate
r4rk1/2q2pp1/4p2p/p1pn1b2/4n2N/2P5/PP2BPPP/R1NQ1RK1 b - -,d5f4 d1a4 a8d8 h4f3 d8b8 e2d3 e4g5 d3f5 g5f3 g2f3,-271
r1b1r1k1/ppp2pp1/5q1p/3p4/8/2PBP3/P1Q2PPP/3R1RK1 b - -,b7b6 a2a4 a8b8 d1d2 e8d8 f1d1 c8e6 h2h3 d8d6 d3e2,-148
r2q1rk1/1b1nbpp1/p1p1pn1p/1P1p4/1P1P1B2/2PBPN1P/3N1PP1/R2Q1RK1 b - -,g7g5 b5a6 g5f4 a6b7 a8a1 d1a1 f4e3 f2e3 d8c7 d3a6,195
8/8/8/4K3/8/4kp2/8/5R2 b - -,e3e2 f1a1 f3f2 a1a2 e2f3 a2a3 f3g2 a3a1 f2f1q a1f1,Mate
8/7p/5pp1/3q3k/7P/P5PK/3n1P2/2Q5 b - -,d5f5 h3h2 f5f2 h2h3 f2f5 h3h2 d2f3 h2g2 f5d5 c1e3,-569
2kr1bnr/ppp2ppp/4P1b1/q7/1nBN2Q1/2N5/PPP2PPP/R1B1K2R b KQ -,g8f6 g4e2 d8d4 c4b3 f7e6 e1h1 b4c6 c1e3 d4d8 c3b5,-411
1r3rk1/2q2pb1/4p1p1/1pn4p/2p1P3/2P2N1P/1PB1QPP1/R2R2K1 b - -,c5d7 f3d4 b8b6 e2d2 f8d8 d4f3 c7b8,-61
r1bq1rk1/pp2bppp/4p3/2nn4/2NN4/1P2P3/PB2BPPP/R2Q1RK1 b - -,c8d7 c4e5 d8c7 e5d7 c7d7 e2c4 f8d8 a1c1 d7e8 d1c2,48
r1bqk2r/pp1p1Bpp/2pb1n2/n3p3/4P3/5N2/PPP2PPP/RNBQ1RK1 b kq -,e8e7 a2a3 e7f7 d1d6 h8e8 f3e5 f7g8 b1c3 e8e6 d6d4,140
r3kb1r/pp2p1pp/8/3n2N1/8/8/PP2KPPP/RNR5 b - -,g7g6 c1c5 f8g7 b1c3 d5f4 e2f1 h7h6 g5f3 e8f7 f3e5,12
8/7p/5pp1/5q1k/7P/P5P1/3n1PK1/2Q5 b - -,f5f3 g2g1 f3d5 c1c8 d2f3 g1f1 f6f5 c8c3 h5g4 f1e2,-567
2rq1rk1/1p2ppbp/p1npbnp1/8/2P5/1PN3P1/PBN1PPBP/2RQ1RK1 b - -,f6d7 c2e3 d8a5 d1c2 c8b8 c2b1 f8c8 c3d5 b7b5 b2g7,64
rn1q1rk1/1p4pn/p1p1p3/3p1Pp1/4P2b/2N1B3/PPPQB3/2KR3R b - -,e6f5 e4d5 f8e8 e2h5 b8d7 h5g6 d7f6 g6f5 c6d5 e3d4,190
r3kb1r/pp2p1pp/8/3n2N1/8/3n4/PP1B1PPP/RN3K1R b - -,h7h6 g5f3 d3b2 b1c3 a8d8 c3d5 d8d5 d2e3 e7e5 f1e2,-28
r4rk1/pp3p2/2n1p1p1/1B1p2Q1/7P/8/PPP5/2KbR3 b - -,a7a6 b5c6 d1f3 c6b7 a8b8 g5g3 f3h5 g3c7 a6a5 b2b3,498
r2q1rk1/p5pp/3pPn2/p1p2p2/2P1bP2/2P1P3/4B1PP/R1BQ1RK1 b - -,d8e7 f1f2 f8b8 e2f1 a7a6 f2a2 h7h6 a2a5 b8b6 c1d2,-122
4r1k1/1pbnrpp1/2p4p/1p6/3P4/PBP2N1P/1P3PP1/R3R1K1 b - -,d7b6 e1e7 e8e7 g1f1 e7e8 a1d1 c7d6 d1e1 g8f8 e1e8,127
r2q1r1k/pp3ppb/4p2p/3pP3/1P1P1B2/P5QP/5PP1/R4RK1 b - -,a8c8 f1c1 c8c4 c1c4 d5c4 g3c3 h7d3 a3a4 d8h4 f4e3,-53
8/7p/5pp1/7k/7P/P4qP1/3n1P2/2Q3K1 b - -,f3d5 g1h2 h5g4 c1c3 d2f3 h2g2 f3h4 g2f1 d5b5 f1e1,-600
2r3k1/5ppp/4pn2/p7/1p2P3/5P2/PP4PP/1NrR1RK1 b - -,c1c2 d1d2 g7g5 b2b3 c2c7 a2a3 c7c1 d2d1 c1c2 a3b4,-99
