4r1k1/r4p1p/P4PpP/2Q5/2B5/8/5PK1/8 b - -,g4e3 c7b5 e2f2 b5c3 f7f5 a5a6 e3f1 d5d6 f1g3 h1h2,Mate
8/k2R1pp1/pp2p2p/7P/1r1B1Pn1/1P6/PK6/8 b - -,a7a8 b2c3 b4b5 d7f7 g4f6 d4f6 g7f6 f7f6 b5h5 f6e6,13
r3k2r/pp1qbpp1/2n1bn2/2p1p2p/3pP3/P2P1NPP/1PPN1PBK/R1BQR3 b kq -,g7g5 b2b4 c5b4 a3b4 b7b5 d2c4 b5c4 b4b5 c6b4 f3e5,-123
r2qk2r/1b3ppp/p4n2/1p2P3/1b6/2Np1N2/PP3PPP/R1BQR1K1 b kq -,f6g4 h2h3 h7h5 c1g5 d8b6 d1d2 a8c8 e5e6 f7e6 h3g4,99
4r1k1/3Nb1p1/p2n1r1p/1p1p2p1/2pP2P1/4PP1P/PP4KB/2RR4 b - -,f6e6 g2f2 d6b7 c1c2 e8d8 d7e5 b7a5 f3f4 g5f4 e3f4,-22
r2qk2r/ppp2ppp/2nbpn2/3p4/2PP2b1/1QN1PN2/PP2BPPP/R1B1K2R b KQkq -,d5c4 b3c4 e8h8 e1h1 a7a6 h2h3 g4f5 f3h4 f5c2 e2d1,17
r1r3k1/1p1nppBp/3p2p1/q2P4/p3P3/5P2/PP2B1PP/2RQ1RK1 b - -,c8c1 d1c1 a5b6 g1h1 g8g7 c1c3 g7g8 f1c1 h7h5 c1c2,-19
8/8/4K3/7k/7P/3n4/8/4B3 b - -,,0
r3k2r/pp2ppbp/n5p1/2P5/b7/4BNP1/PP2PPBP/R3K2R b kq -,e8a8 e1f1 d8d7 f3e1 a6b4 a2a3 b4c6 a1b1 a4b3 b1c1,-39
r1b2k1r/pp1n1Pp1/3q2B1/2p1PP2/3p3p/Q1N5/P1R3P1/1R4K1 b - -,d6c7 c3d5 c7c6 e5e6 c6d5 b1e1 f8e7 e6d7 e7f6 e1e6,736
rn4r1/pp3pbk/3p4/2pPp3/5PRP/8/PPP1K3/6R1 b - -,b8d7 a2a4 e5f4 g4f4 d7e5 e2f2 g7h6 f4f6 g8g1 f2g1,-672
1r1k4/3P1p2/2K3pp/R7/4P3/p7/P6P/8 b - -,h6h5 a5a3 d8e7 c6c7 e7e6 d7d8q b8d8 c7d8 h5h4 a3f3,1136
3r2k1/5ppp/pp2p3/8/8/1Pq2PP1/P3Q1KP/3R4 b - -,d8d1 e2d1 c3b2 g2h3 b2f6 h3g2 h7h5 d1d7 a6a5 d7c8,-104
3k4/4qp2/8/3P2p1/7p/2P2Q2/PP3PpK/R7 b - -,e7e5 h2g1 f7f5 d5d6 e5e4 f3e4 f5e4 g1g2 d8d7 a1e1,735
8/8/8/5K1k/5n1P/8/8/4B3 b - -,,0
3r2k1/p4pp1/4b3/4N3/8/8/Pr3PPP/RR4K1 b - -,b2c2 a2a3 d8d2 b1b8 g8h7 a1f1 d2d5 e5f3 g7g5 h2h3,3
1r6/k6p/1p1p2p1/pQ1P4/P2q1P1P/1R4P1/6K1/8 b - -,b8b7 b5c6 d4d2 g2h3 h7h6 c6c4 d2e1 c4d3 b7c7 b3b1,-2
2krq1r1/5p2/pP1p1p1p/2bB3b/3PP3/5PBP/5P1K/1R1Q1R2 b - -,g8g3 f2g3 h5g6 d1e2 c8d7 e2a6 d7e7 d4c5 d6c5 b6b7,915
1R6/8/4r3/5p1k/5Kp1/8/8/8 b - -,e6e2 f4f5 e2f2 f5e4 h5h4 b8h8 h4g3 h8g8 f2f3 e4d4,-463
rnbqk2r/1pppppbp/5npP/8/p2P4/4P3/PPP1BPP1/RNBQK1NR b KQkq -,g7f8 c2c4 e7e6 b1c3 f8b4 c1d2 a4a3 b2a3 b4a3 g1f3,91
3rk3/8/BPR1p2p/3pPpp1/1P1P4/5PP1/1K5P/8 b - -,f5f4 b6b7 f4g3 h2g3 g5g4 c6c8 g4f3 a6b5 e8f7 c8d8,1544
r2qk2r/pp2bpp1/2n2n2/2p1p2p/3pP1b1/3P1NPP/PPPN1PB1/R1BQR1K1 b kq -,d8d7 h3g4 h5g4 f3h2 e8a8 d2c4 b7b5 c4d2 c5c4 d2f1,218
8/5pk1/1r6/3N3p/2nP1P2/r1p1PP1P/P1B5/R3R1K1 b - -,b6b2 e1e2 c4b6 d5b6 b2b6 g1f2 g7h6 c2d3 b6b8 a1b1,561
3q1rk1/2pb1p2/4pb1p/2Pp2p1/Bn1P4/2N1PNP1/5PP1/3Q1RK1 b - -,d8e8 a4d7 e8d7 f3h2 f6g7 d1h5 d7e8 f1b1 b4c6 h5d1,28
1r2kr2/p1p4p/3bp1p1/3n4/1P6/2P2PP1/3P3P/RNB2RK1 b - -,e8d7 b1a3 c7c5 b4c5 d6c5 g1g2 c5a3 a1a3 b8b7 g2f2,187
4r1k1/3Nb1p1/p2nr2p/1p1p2p1/2pP2P1/4PP1P/PP4KB/2R1R3 b - -,d6b7 d7e5 e7f6 e1d1 b7a5 h2g3 a5c6 f3f4 g5f4 e3f4,-52
1k6/5Rp1/pp2p2p/1r5P/3B1Pn1/1PK5/P7/8 b - -,b5h5 f7g7 h5h4 g7g6 h4h3 c3b4 g4e3 g6e6 e3c2 b4c4,46
6Q1/ppkn4/2p5/6p1/PP1P2p1/2N1PqP1/1B3P1r/4KR2 b - -,h2h5 c3b1 f3f5 b1d2 h5h6 e1e2 h6d6 g8b3 d7f6 b3d3,483
r2qk2r/1b3ppp/p7/1p1nP1B1/1b6/2Np1N2/PP3PPP/R2QR1K1 b kq -,d5c3 b2c3 b4e7 g5e7 d8e7 d1d3 b7f3 d3f3 e8h8 h2h3,58
r1b2k1r/pp3Pp1/3q2B1/1Np1nP2/3p3p/Q7/P1R3P1/1R4K1 b - -,e5f3 a3f3 d4d3 b5d6 d3c2 b1e1 c2c1q e1c1 a8b8 c1e1,810
2bn3r/ppN1kppp/8/4p3/8/2P5/P1P2PPP/2KR1n1R b - -,f1e3 f2e3 f7f6 c7d5 e7f7 d5b4 a7a5 b4d5 h7h5 d5b6,150
6k1/5ppp/pp2p3/8/8/1Pq2PP1/P5KP/3Q4 b - -,c3b2 g2h1 b2f6 h1g2 h7h5 d1d7 a6a5 d7b5 f6d8 b5h5,-110
rnbqk1nr/1pppppbp/6p1/7P/p2P4/4P3/PPP1BPP1/RNBQK1NR b KQkq -,d7d5 c2c4 d5c4 e2c4 g6g5 b1c3 h7h6 g1f3 c8g4 c3a4,59
4Q3/kr5p/1p1p2p1/p2P4/P2q1P1P/1R4P1/6K1/8 b - -,d4d5 b3f3 b7c7 g3g4 d5d1 g2g3 d1g1 g3h3 d6d5 e8d8,-183
r2qk2r/pp2bpp1/2n1bn2/2p1p2p/3pP3/P2P1NPP/1PPN1PB1/R1BQR1K1 b kq -,f6d7 c2c3 a7a5 d1a4 g7g5 d2c4 f7f6 h3h4 d7b6 c4b6,-119
1r1q1rk1/pp2p1bp/2p2pp1/3P3n/3P2b1/2N1PN2/PP2BPPP/R2Q1RK1 b - -,f6f5 d5c6 g4f3 c6c7 d8c7 e2f3 h5f6 a1c1 e7e5 c3e2,232
5rk1/p3qpb1/1p1r2N1/2pp1n1p/2B5/2P5/PPQ2PPP/3RR1K1 b - -,e7e1 d1e1 f7g6 c4d3 g8h7 c2a4 d5d4 c3c4 a7a5 e1e8,227
5r2/1pp1Rpkp/1b1r2p1/p7/P5P1/3B1P1P/1PP2P2/4R1K1 b - -,d6d4 b2b3 f8d8 g1g2 g7f8 e1e2 h7h6 h3h4 d4d7 e7e5,48
r1bqkbnr/p2ppppp/1pn5/2p5/4P3/NP6/PBPP1PPP/R2QKBNR b KQkq -,g8h6 g1f3 e7e6 g2g3 f7f6 f1g2 c8b7 e1h1 f8e7 d2d4,35
2kr3r/1p2qp2/2p1p2p/p1n5/5nQ1/3P1N1B/1PP2P1P/2KRR3 b - -,e7f6 f3e5 h8g8 g4f3 f4d3 c2d3 f6f3 e5f3 c5d3 c1c2,-272
r3k2r/1b1q1ppp/p7/1p1NP1B1/1b6/3p1N2/PP3PPP/R2QR1K1 b kq -,b7d5 e1e3 d5f3 d1f3 e8h8 a2a3 b4e7 e3d3 d7e6 g5e7,110
4qrk1/2pB1p2/4pb1p/2Pp2p1/1n1P4/2N1PNP1/5PP1/3Q1RK1 b - -,e8d7 f3h2 f6g7 f2f4 b4c6 h2f3 d7e7 g1h2 c6a5 d1e2,30
3r2k1/p4pp1/4b3/4N3/7P/8/r4PP1/RR4K1 b - -,,0
r5k1/pp3ppp/8/1N6/6b1/5P2/nP2P1PP/3K1B1R b - -,a8d8 d1c2 g4e6 e2e3 d8c8 c2d2 c8c1 b5c3 c1a1 c3a2,-26
5k2/ppp4r/3b1R2/3P1PR1/8/2B5/5r2/3K4 b - -,f8e8 f6e6 e8f8 e6f6 h7f7 f6f7 f8f7 g5h5 b7b6 h5h7,-175
2kr3r/1pp2pb1/p1n1p1pp/2q1P3/4N3/3B2Q1/PPP2PPP/3RR1K1 b - -,c5e5 c2c3 d8d7 d3f1 d7d1 g3e5 c6e5 e1d1 e5d7 f1d3,-136
r1b2k1r/pp2qPp1/6B1/1NR1nP2/3p3p/Q7/P5P1/1R4K1 b - -,e5c4 c5c4 e7a3 b5a3 c8f5 g6f5 f8f7 c4c7 f7g8 b1b7,544
r2qk2r/ppp2ppp/2nbpn2/3P1b2/3P4/P3PN2/1P1N1PPP/R1BQKB1R b KQkq -,e6d5 d1b3 d8c8 f3h4 f5d7 f1d3 a7a6 e1h1 e8h8 b3c2,-33
1r1k4/3P4/2K2ppp/8/4P3/R7/P6P/8 b - -,h6h5 a3a5 d8e7 c6c7 b8h8 a5d5 h8d8 d5d6 h5h4 d6d1,1139
r1bqkb1r/ppp2ppp/2n5/3p4/3P4/2N5/PPP1NPPP/R1BQK2R b KQkq -,c8f5 e2f4 f8b4 e1h1 b4c3 b2c3 e8h8 d1f3 f5e4 f3g4,-41
3r2k1/5pp1/2N1b3/p7/7P/8/r4PP1/RR4K1 b - -,d8d6 a1a2 e6a2 b1b8 g8h7 c6a5 d6d4 f2f3 a2e6 g1f2,2
2kr2n1/pppq1pp1/2n5/1P2P1r1/Q1Pp4/6Pb/P2NPP2/R3R1KB b - -,c6b8 a4a7 c7c6 a1b1 g8e7 c4c5 g5g4 a7a8 d4d3 b5c6,229
8/kr5p/1p1p2p1/pQ1P4/P2q1P1P/5RP1/6K1/8 b - -,b7c7 f3f2 d4e4 g2h2 e4c4 f2e2 a7b7 h4h5 c4b5 a4b5,-8
4r1k1/4bnp1/p3r2p/1p1pN1p1/2pP2P1/4PP1P/PP4KB/2R1R3 b - -,e7f6 e3e4 d5e4 e1e4 f6e5 c1e1 e5h2 e4e6 e8e6 e1e6,-87
r1bqkb1r/1p3ppp/p1n1p2B/2ppP3/P7/2NP1N1P/1PP1QPP1/R3KB1R b KQkq -,g7h6 g2g3 d8a5 e2d2 f8g7 f1g2 c8d7 e1h1 e8h8 f1e1,-61
2r5/7p/6pk/qB6/P2Q4/6P1/5PKP/8 b - -,a5c7 d4d2 h6g7 b5e2 c7c3 d2d7 g7h8 d7f7 c3c5 f7f6,22
5r2/1pp1Rpkp/1b1r2p1/p7/P7/3B1PPP/1PP2P2/4R1K1 b - -,g7f6 e1e2 f8d8 b2b3 d6d7 e7e5 c7c6 h3h4 b6c7 e5e3,77
r2q1rk1/pp3pp1/2pp2np/P7/3P2b1/8/1PPQ1PPP/RN2RBK1 b - -,d6d5 b1c3 d8f6 c3a4 f8e8 h2h3 g4f5 c2c3 h6h5 a4c5,21
r3k2r/ppq1ppbp/2np1np1/8/4P3/1QN2B2/PPP2PPP/R1BR2K1 b kq -,e8h8 c1g5 c7a5 c3d5 f6d5 d1d5 a5c7 c2c3 a7a6 a2a4,17
5k2/p5p1/1p1n3p/1bp5/5PN1/2P1r2P/PPR3PK/8 b - -,e3e2 c2e2 b5e2 g4e5 d6c4 e5c4 e2c4 f4f5 c4a2 g2g4,-500
3r2k1/pp3ppp/8/1N6/6b1/5P2/nPK1P1PP/5B1R b - -,d8c8 c2d2 c8d8 d2e1 g4e6 e2e3 d8c8 e1d2 c8c1 b5c3,-43
r1bq1rk1/ppp1nppp/5n2/2bPp1B1/2B1P3/2N5/PP2NPPP/R2Q1RK1 b - -,d8d6 c3b5 d6d8 g5f6 g7f6 e2g3 a7a6 b5c3 f6f5 e4f5,48
r5r1/pp1n1pbk/3p4/2pPpP2/6RP/8/PPP1K3/6R1 b - -,d7f6 g4g5 b7b5 a2a3 e5e4 b2b4 c5b4 a3b4 h7h8 g1a1,-719
r3k2r/pp2ppbp/6p1/2P5/bn6/4BNP1/PP2PPBP/R4K1R b kq -,e8a8 h2h4 h7h6 e3f4 d8d5 f3e1 d5d7 a2a3 b4c6 a1b1,-18
2kr2n1/Qppq1pp1/8/1P2n1r1/2Pp4/6Pb/P2NPP2/R3R1KB b - -,d7e6 a7b7 c8d7 d2e4 e6e7 e4g5 e7g5 b5b6 d7e7 b7c7,409
r1b1k2r/ppqp1ppp/3b4/8/2B1P3/4B3/PP4PP/R2QR1K1 b kq -,d6h2 g1h1 c7c4 h1h2 e8h8 d1f3 b7b6 f3g3 c4e6 a1d1,-147
1r6/3Pk3/2K2ppp/8/4P3/3R4/P6P/8 b - -,b8a8 c6b7 a8g8 b7c7 e7e6 d7d8q g8d8 c7d8 e6e5 d3f3,1306
4r1k1/4b1p1/p3r2p/1p1pB1p1/2pP2P1/4PP1P/PP4K1/2R1R3 b - -,e7f6 e5f6 e6f6 b2b3 e8f8 e1f1 f8c8 f1e1 g8f7 a2a3,-60
5rk1/2pq1p2/4pb1p/2Pp2p1/1n1P4/1QN1PNP1/5PP1/5RK1 b - -,b4c6 g3g4 f8a8 f1b1 d7c8 b3b5 c8d7 b5d3 d7c8 c3b5,18
rnb1kbnr/pp4pp/2p5/4pp2/4P3/2N4P/PPP2PP1/R1BBK1NR b KQkq -,g8f6 g1f3 f8d6 e1h1 f5e4 f3g5 c8f5 f1e1 e4e3 c1e3,39
4Q3/k1r4p/1p1p2p1/p2P4/P2q1P1P/5RP1/6K1/8 b - -,d4d5 g3g4 d5d1 g2g3 d1g1 g3h3 d6d5 e8d8 g1h1 h3g3,-188
r1bqkb1r/1p3p1p/p1n1p2p/2ppP3/P7/2NP1NPP/1PP1QP2/R3KB1R b KQkq -,d8a5 e2d2 f8g7 f1g2 c8d7 e1h1 e8h8 f1e1 a8c8 d2d1,-57
8/5ppk/p2r3p/1p2pP2/1P1p2P1/P1RP3P/5P2/2R3K1 b - -,f7f6 c3c7 e5e4 d3e4 d4d3 c1d1 h6h5 g1f1 h5g4 h3g4,579
r1R2k1r/pp2qPp1/6B1/1N3P2/3p2np/Q7/P5P1/1R4K1 b - -,a8c8 b1e1 g4e3 a3e7 f8e7 b5d4 a7a5 e1e3 e7d6 g1h2,524
8/p1rk1pp1/R3p2p/8/8/6P1/3N1P1P/5K2 b - -,d7c8 f1e2 c8b7 a6a1 b7b6 e2d3 b6b5 a1b1 b5c6 b1c1,226
r1b1k2r/ppqp1ppp/8/8/2B1P3/4B3/PP4Pb/R2QR2K b kq -,c7c4 h1h2 e8h8 d1f3 f8e8 a1d1 b7b6 e4e5 c4h4 h2g1,-161
r2qkb1r/pp3ppp/2n1p2n/3pP3/3P4/5B1P/PP1N1PP1/R1BQK2R b KQkq -,c6d4 e1h1 d4c6 f1e1 h6f5 f3g4 f5h4 d2b3 f8b4 c1d2,-127
5r2/p1N4p/1p1R1kp1/2p1np2/8/1P6/P1P3PP/7K b - -,f6f7 h1g1 f8c8 c7d5 c8c6 d6d8 c5c4 b3b4 b6b5 d5c3,-92
5k2/p5p1/1p1n3p/1bp1N3/4rP2/2P4P/PPR3PK/8 b - -,f8e7 c2f2 b5e8 b2b3 e4e3 e5g4 e3e1 c3c4 d6f5 f2d2,-452
8/ppp3kr/3bRB2/3P1P1R/8/8/5r2/3K4 b - -,g7f7 h5h7 f7f8 h7d7 f2f5 f6g7 f8g8 e6e8 d6f8 g7h6,601
1r1q1rk1/pp2p1bp/5pp1/3p3n/3P2b1/2N1P3/PP1NBPPP/R2Q1RK1 b - -,g4e2 d1e2 f6f5 a1c1 h5f6 c1c2 d8d7 f1c1 b8c8 d2b3,76
4k1r1/2b5/p2qp3/1p1pp3/6Np/1PQ4P/P1P3P1/R6K b - -,e5e4 g2g3 g8f8 a1g1 h4g3 c3e3 d6f4 e3f4 c7f4 h1g2,-486
rnbqk1nr/1pp1ppbp/6p1/3p3P/p2P4/2P1P3/PP2BPP1/RNBQK1NR b KQkq -,g6h5 g1h3 g8f6 b1d2 c8f5 e2b5 b8d7 b5a4 f5g6 d2f3,-8
5rk1/p4pb1/1p1r2N1/2pp1n1p/2B5/2P5/PPQ2PPP/4R1K1 b - -,f7g6 c4d3 c5c4 d3f5 f8f5 c2a4 d6f6 f2f3 f6f7 a4c6,244
4r1k1/6p1/p3rB1p/1p1p2p1/2pP2P1/4PP1P/PP4K1/2R1R3 b - -,e6f6 b2b3 e8f8 e1f1 f8c8 f1e1 g8f7 a2a3 f7e7 b3c4,-64
4Q3/k1r4p/1p1p2p1/p2q4/P4PPP/5R2/6K1/8 b - -,d5d1 g2g3 d6d5 e8d8 d1e1 g3h3 c7e7 g4g5 e1e6 h3h2,-193
5rk1/2pq1p2/2n1pb1p/2Pp2p1/3P4/1QN1PNP1/5PP1/1R4K1 b - -,f8b8 b3d1 b8b1 d1b1 g5g4 f3h4 d7c8 c3e2 f6g5 e2f4,19
r1b1r1k1/pp4pp/2nqpn2/3p4/3P1N2/3B1NP1/PP3P1P/R2QR1K1 b - -,d6b4 e1e2 b4b6 d3c2 c8d7 g1g2 f6e4 a1c1 e8f8 c2e4,139
4kr2/2b5/p2qp3/1p1pp3/6Np/1P2Q2P/P1P3P1/R6K b - -,e5e4 e3g1 f8f4 c2c4 d5d4 c4b5 e4e3 b5a6 d6a6 g1c1,-277
r1b1kb1r/1p3p1p/p1n1p2p/q1ppP3/P7/2NP1NPP/1PPQ1P2/R3KB1R b KQkq -,f8g7 f1g2 e8h8 e1h1 c8d7 f1e1 a8c8 d2d1 a5c7 c3e2,-63
4Q3/k1r4p/1p1p2p1/p7/P4PPP/5RK1/8/3q4 b - -,d1g1 g3h3 g1d1 h3g3 d6d5 g4g5 d5d4 e8b5 d1e1 g3g4,-194
r2qkbnr/ppp3p1/2np1p2/1B2p2p/4P1P1/2P2N2/PP1P1PP1/RNBQ1RK1 b kq -,h5g4 f3e5 f6e5 d1g4 d8f6 d2d4 a7a6 b5a4 e5d4 c3d4,91
2r2k1r/pp2qPp1/6B1/1N3P2/3p2np/Q7/P5P1/4R1K1 b - -,g4e3 a3e7 f8e7 b5d4 c8c3 d4b5 c3d3 f5f6 e7f6 g6d3,Mate
8/3R4/8/1r5P/1pQ1k1P1/7K/8/q7 b - -,g4e3 a3e7 f8e7 b5d4 c8c3 d4b5 c3d3 f5f6 e7f6 g6d3,Mate
rn1qkb1r/pbpp1ppp/1p2pn2/8/3P4/P3PNP1/1PP2P1P/RNBQKB1R b KQkq -,d7d5 b2b3 f8e7 f1g2 b8d7 c1b2 c7c5 d1e2 e8h8 e1h1,-29
1k2r3/pP3pp1/8/3P1q2/7p/2P2b2/PPN2PpK/R7 b - -,d7d5 b2b3 f8e7 f1g2 b8d7 c1b2 c7c5 d1e2 e8h8 e1h1,Mate
3rk3/8/1pRnB3/3PKp2/8/1P6/8/8 b - -,d6f7 e5f5 d8a8 e6f7 e8f7 c6c7 f7e8 f5e6 e8d8 c7h7,528
R7/5ppk/4b3/8/p2N3P/8/r4PP1/6K1 b - -,e6c4 a8a5 f7f6 d4b5 h7g6 b5d6 c4b3 d6f5 b3e6 f5d4,-17
r2r2k1/pb1q2P1/1p2pBn1/2pp2PQ/8/3P2P1/PPn2PB1/R3R1K1 b - -,d7e8 g2h3 c2e1 a1e1 d8d6 h3f5 e6f5 h5h8 g8f7 e1e8,890
2k5/p1r2pp1/R3p2p/8/8/6P1/3NKP1P/8 b - -,c8b7 a6a2 b7b6 e2d3 b6b5 a2b2 b5c5 d2b3 c5d6 b2a2,221
2krq3/5p2/pP1p1p1p/2bB3b/3PP3/5PPP/7K/1R1Q1R2 b - -,h5g6 d1d3 c8d7 d3a6 d7e7 d4c5 d6c5 b6b7 d8b8 a6b6,1020
8/k6p/1p1p2p1/p7/P4PPP/4QRK1/2r5/3q4 b - -,c2e2 e3e2 d1e2 h4h5 g6h5 g4h5 b6b5 a4b5 a7b6 f4f5,-578
r5k1/pp3rpp/2p5/2Pp3n/PQ1Pp1qP/2P3P1/5PB1/4RRK1 b - -,g7g5 h4g5 g8h8 c3c4 g4g5 c4d5 c6d5 b4b3 f7g7 b3e3,-63
r7/1p2p3/1R1p1pkp/2nP2p1/3KPP2/p1P3P1/P3B2P/8 b - -,g5f4 g3f4 h6h5 h2h4 a8g8 c3c4 g6h7 e4e5 f6e5 f4e5,31
rn2kb1r/pp2qp1p/2p1p1p1/8/P1BPPP2/8/1P1Q1P1P/2KR3R b kq -,b8d7 f4f5 f8g7 f5e6 f7e6 a4a5 e8a8 c1b1 a7a6 h2h4,-396
6k1/pp3ppp/3p4/8/3Pr3/6P1/PPP2K1P/4R3 b - -,b7b5 e1e4 h7h5 e4e1 b5b4 f2g1 g7g5 g1h1 b4b3 c2b3,586
8/ppkn4/2p5/6Q1/PP1P2p1/2NKPqP1/1B3P2/8 b - -,f3f6 g5f6 d7f6 e3e4 f6d7 e4e5 d7b6 e5e6 b6c8 b2c1,602
r3k2r/pp1qbpp1/2n1b3/2p1p2p/3pP1n1/P2P1NPP/1PPN1PB1/R1BQR1K1 b kq -,g4h6 d2c4 f7f6 f3h4 g7g5 h4g6 h8g8 g6e7 e8e7 b2b4,-85
8/5ppp/1n2k3/N3Pp1P/P2p1P2/1P6/4K1P1/8 b - -,b6d5 g2g3 d5c3 e2d3 e6d7 b3b4 c3e4 h5h6 g7h6 a5b3,294
4r1k1/8/p3rp1p/1p1p2p1/2pP2P1/4PP1P/PP3K2/2R1R3 b - -,g8f7 e1e2 a6a5 h3h4 b5b4 a2a3 e8h8 a3b4 a5b4 e3e4,-40
8/5ppk/8/R2b4/p2N3P/8/r4PP1/6K1 b - -,d5c4 a5c5 c4d3 c5h5 h7g8 h5a5 g7g6 g1h2 d3c4 h2g3,-10
1rbq1rk1/p4pbp/1p2pnp1/2p1P3/2P5/4P1P1/PB2QPBP/RN3RK1 b - -,d8e7 e5f6 g7f6 b2f6 e7f6 e2c2 f6a1 b1c3 a1f1 g1f1,427
5b1r/5k1p/pNR3p1/2PP4/8/8/Pr3PPP/3R2K1 b - -,f8c5 c6c7 f7g8 c7c5 b2b6 c5c7 b6b8 d1e1 h7h5 d5d6,552
r2qr1k1/p1b2ppp/2p2nb1/3p2N1/N2Q2P1/5P2/PP1P3P/R1B2RK1 b - -,d8d6 d4f2 g6d3 g5h3 h7h5 g4g5 d3f1 g1f1 d6d7 h3g1,-506
4q3/n1p3pk/1p2p2p/p1p1p3/P1N1PN2/1PPP2RR/8/6K1 b - -,g7g5 f4h5 e8h8 g3f3 h7g6 f3f6 h8f6 h5f6 g6f6 h3h6,510
r2qkb1r/pp3ppp/4p2n/3pP3/3n4/1N3B1P/PP3PP1/R1BQK2R b KQkq -,d4f3 d1f3 f8b4 e1f1 h6f5 h3h4 a8c8 h4h5 h7h6 g2g4,-182
2r4r/pp2kPp1/6B1/5P2/3N3p/4n3/P5P1/4R1K1 b - -,c8c3 d4b5 c3d3 f5f6 e7f6 g6d3 f6f7 e1e3 g7g6 b5d6,563
1r4k1/2pq1p2/2n1pb1p/2Pp2p1/3P4/2N1PNP1/2Q2PP1/1R4K1 b - -,b8b1 c2b1 e6e5 b1b3 e5d4 c3d5 f6g7 e3e4 g8h7 b3b7,8
r1b1k2r/1p3pbp/p1n1p2p/q1ppP3/P7/2NP1NPP/1PPQ1PB1/R3K2R b KQkq -,c8d7 e1h1 e8h8 f1e1 a8c8 d2d1 a5c7 c3e2 c6e5 f3e5,-66
rn1qk1nr/1pp1ppbp/4b1p1/3p3P/p2P4/2P1PN2/PP2BPP1/RNBQK2R b KQkq -,g6h5 c3c4 d5c4 b1c3 g8f6 e3e4 e6g4 e4e5 f6d5 e2c4,46
3q2k1/3n1p1p/1p1p2p1/1NpP4/P1P1QP2/7P/3B2P1/b5K1 b - -,h7h5 d2e1 a1f6 e1g3 h5h4 g3e1 d7f8 g1f1 f8h7 e4e2,32
8/5ppk/8/7R/p1bN3P/8/r4PP1/6K1 b - -,h7g6 h5c5 c4d3 c5a5 g6h7 d4f5 d3c4 g1h2 a4a3 f5d4,-8
2rr2k1/pq3ppp/1p2pb2/1N6/8/NP3PP1/P5KP/R3QR2 b - -,f6a1 e1a1 d8d2 f1f2 b7d7 a1e1 d2f2 e1f2 c8c5 f3f4,-215
r2qk1nr/p3ppbp/4b1p1/nQ1pP3/3P4/2N2N2/PP3PPP/R1B1KB1R b KQkq -,d8d7 b5a5 e8f8 f1b5 d7b7 b5a6 b7d7 e1h1 a8b8 a6b5,618
rnb1kb1r/pp4pp/2p2n2/4pp2/4P3/2N2N1P/PPP2PP1/R1BBK2R b KQkq -,f8d6 e4f5 c8f5 g2g4 f5e6 g4g5 f6d5 c3e4 e8e7 f3d2,27
3r4/3Pk3/2K2ppp/8/P3P3/3R4/7P/8 b - -,g6g5 a4a5 d8a8 c6b7 a8d8 b7c7 h6h5 a5a6 g5g4 e4e5,1128
q7/7p/6pk/8/P2Q4/6P1/5P1P/2r2BK1 b - -,,0
8/ppkn4/2p5/8/PP1P1Qp1/2NKP1P1/1B3q2/8 b - -,d7e5 d4e5 f2f4 e3f4 c7d7 f4f5 b7b6 e5e6 d7c7 d3d4,Mate
1k2r3/pP3pp1/8/3P4/7p/2P2b2/PPq2Pp1/R5K1 b - -,d7e5 d4e5 f2f4 e3f4 c7d7 f4f5 b7b6 e5e6 d7c7 d3d4,Mate
4q3/n1p3pk/1p2p2p/p1p5/P1N1PpR1/1PPP3R/8/6K1 b - -,e6e5 g1h2 a7c6 g4g5 g7g6 c4d2 e8e6 g5g2 h7g7 h3h5,-397
r1b2bk1/3pP2p/p1q2rpQ/3p4/1p1B4/1P6/P1P4P/1K1R1R2 b - -,f8e7 f1f6 c6f6 d4f6 e7f6 h6f4 f6g7 f4d6 c8b7 d6d7,Mate
6k1/pp3ppp/3p4/8/3P4/6P1/PPP4P/4K3 b - -,g8f8 c2c4 g7g5 e1d2 f7f5 b2b4 f8f7 d2e3 b7b6 a2a4,22
r2rq1k1/pb4P1/1p2pBn1/2pp2PQ/8/3P2PB/PPn2P2/R3R1K1 b - -,c2e1 a1e1 d8d6 h3f5 e6f5 h5h8 g8f7 e1e8 a8e8 h8e8,1015
r1bqkbnr/pp1p1ppp/2n1p3/2p4Q/4P3/P4N2/1PPP1PPP/RNB1KB1R b KQkq -,g8f6 h5h4 d7d5 e4e5 f6d7 h4g3 d8c7 f1b5 c6e7 h2h4,-88
8/5ppp/1n6/N2kPp1P/P2p1P2/1P1K4/6P1/8 b - -,b6d7 a5b7 g7g5 h5g6 h7g6 a4a5 d7b8 b7d8 b8a6 d3e2,457
6k1/2pq1p2/2n1pb1p/2Pp2p1/3P4/2N1PNP1/5PP1/1Q4K1 b - -,e6e5 b1a2 e5d4 c3d5 f6g7 e3e4 g8h7 a2d2 f7f5 d2c2,6
r1b1k2r/1p3pbp/p3p2p/q1ppN3/P7/2NP2PP/1PPQ1PB1/R3K2R b KQkq -,g7e5 c3d5 a5d2 e1d2 e6d5 a1e1 f7f6 f2f4 c8e6 f4e5,89
