6k1/8/6K1/6pp/8/1R3P2/7P/6r1 b - -,g8f8 g6h5 f8f7 b3b7 f7f6 b7b6 f6f7 h5h6 g1g2 b6b8,Mate
r5k1/4rpb1/3p3p/q1pPn3/1p6/1P1BP1PP/1NQ2R2/5RK1 b - -,a5a2 d3b5 a8a3 c2f5 a2b3 f5c8 g8h7 b2c4 e5g6 g1h1,-73
6k1/pQp2qpp/1P2rpn1/4p3/8/4B2P/PP3PP1/R3R1K1 b - -,a7b6 a1c1 c7c5 b7f7 g8f7 a2a4 f6f5 f2f3 e6c6 e1d1,531
8/6k1/1p3p2/6pp/8/3K1P1P/6P1/8 b - -,h5h4 d3e3 g7g6 e3f2 b6b5 g2g3 h4g3 f2g3 g6h5 g3g2,-842
r3k2r/pp3ppp/2b1p3/8/3Rn3/4B3/PPP1BPPP/2K4R b kq -,e4f6 f2f3 a7a6 e3f2 e8e7 h1d1 a8d8 b2b3 h7h5 c2c4,85
4rr1k/pppq2p1/2nb3p/4p2b/Q3Np2/2PP2PP/P1PB1PB1/1R3RK1 b - -,f4f3 g2h1 d7h3 b1b7 c6d8 b7a7 d6e7 a7c7 d8e6 c7b7,-81
8/8/8/R7/1P5P/8/P1k5/6K1 b - -,c2c3 a5c5 c3b4 a2a4 b4a4 c5c8 a4a3 c8b8 a3a4 h4h5,1462
rn2q1k1/pp3ppp/5n2/3P4/2P5/1Q1p2P1/P2P1PBP/R1B2K1R b - -,c2c3 a5c5 c3b4 a2a4 b4a4 c5c8 a4a3 c8b8 a3a4 h4h5,Mate
8/1p5p/3r1kp1/p3rp2/P1B5/1PN3PP/2R2PK1/8 b - -,f6g7 c3b1 g7f6 b1d2 e5c5 d2f1 d6d4 f1e3 c5c7 c2e2,365
8/1p6/5p1k/2P4p/5Q2/5P1b/8/4qNK1 b - -,h6g6 f4g3 e1g3 f1g3 h3d7 g1f2 d7c6 g3e2 g6f5 f2e3,-466
5r1k/4q1b1/1p1p1npp/pPpPp3/1nP1PpP1/2B2B1P/1P1Q1P2/R3R1K1 b - -,e7d8 d2d1 f6d7 g1f1 h8h7 d1b1 f8h8 f1e2 d8h4 e1h1,45
r2qkb1r/pp1n1pp1/2n1p1bp/2ppP3/3P1PP1/2N1B2P/PPPQN1B1/R3K2R b KQkq -,f8e7 e1h1 e8h8 a1d1 a8c8 f4f5 g6h7 g1h1 a7a6 a2a3,-1
3b4/3k3p/1p2r3/4P1p1/1N1P1p2/r1P4P/6P1/1R2BK2 b - -,e6h6 f1e2 g5g4 h3g4 h6h1 e2d3 h1g1 d4d5 a3a4 d3e4,30
r1b1kb1r/1p4pp/p3pp2/2pq4/8/1P1P1N2/PBP1QPPP/R3R1K1 b kq -,d5f5 a1d1 f8e7 d3d4 e8h8 b2a3 f8e8 c2c4 c5d4 a3e7,61
1r3rk1/3bbppp/1q2p3/np2P3/3p1P2/3P1B2/PQ1B1RPP/1R2N1K1 b - -,b6a7 a2a3 f8c8 d2b4 a5c6 f3c6 e7b4 a3b4 d7c6 f2c2,-9
6k1/1b1n1ppp/1p2Pn2/2q5/2P2B2/r2B1N1P/4QPP1/4R1K1 b - -,c5f8 f3g5 b7g2 g1g2 h7h6 e6d7 h6g5 f4c1 a3b3 e2d1,510
r4rk1/pp3pn1/6p1/7P/4b2P/2P1PN2/P1PRB3/2K4R b - -,g6h5 h1g1 f8e8 d2d6 a8c8 c1d2 c8c6 d6d7 c6f6 f3g5,135
6rk/pp1qn1rp/2b2p2/P4P2/2pp1Q1N/B1P3R1/2P3PP/4R2K b - -,e7d5 f4h6 g7g3 h2g3 g8g7 e1e6 h8g8 c3d4 d7d8 a5a6,101
5k2/1p3p2/1pp1b2N/5p2/2P5/1P5P/P1P3P1/6K1 b - -,f8g7 h6f7 e6f7 g1f2 g7f6 f2e3 f6g5 g2g3 c6c5 g3g4,-313
r1bq1k1r/1pp1b1pp/p7/3p3Q/3pR3/1B6/PPP2PPP/R1B3K1 b - -,g7g5 e4e7 d8e7 c1g5 e7f7 g5h6 f8e7 a1e1 f7e6 h6g5,628
r7/2r2R1k/4pP1p/3bN1p1/2p3P1/2P2PK1/6P1/7R b - -,c7f7 e5f7 h7g6 f7d6 a8d8 d6b5 d8h8 b5d4 g6f6 d4c2,Mate
8/8/7p/8/7k/6P1/7K/1q6 b - -,c7f7 e5f7 h7g6 f7d6 a8d8 d6b5 d8h8 b5d4 g6f6 d4c2,Mate
8/7p/1p1r1kp1/pB2rp2/P7/1PN3PP/2R2PK1/8 b - -,h7h6 c3b1 e5c5 c2c5 b6c5 b1a3 d6d8 a3c4 d8a8 b5c6,365
1r3rk1/q2bbppp/4p3/np2P3/3p1P2/P2P1B2/1Q1B1RPP/1R2N1K1 b - -,f8c8 d2b4 a5c6 f3c6 e7b4 a3b4 d7c6 f2c2 c6d5 b1a1,-21
rnbq1rk1/ppnpbppp/4p3/4P3/2PN4/8/PP2BPPP/RNBQ1R1K b - -,d7d5 e5d6 d8d6 b1c3 e6e5 c3b5 d6b6 b5c7 b6c7 d4b5,58
4rr1k/pppq2p1/2nb3p/4p2b/Q3N3/2PP1pPP/P1PB1P2/1R3RKB b - -,b7b6 f1e1 e8e7 e1e3 e7f7 b1e1 h5g6 d2c1 a7a5 a4b5,-73
1r1q1rk1/1p3pp1/p2p1P2/3Qp1PB/4P2P/8/PPP5/2K2R2 b - -,d8c7 h5f7 f8f7 g5g6 b8c8 g6f7 c7f7 f1g1 f7d5 g1g7,437
6k1/pp1R2b1/6p1/6Pp/1n2N2P/r7/4K3/4R3 b - -,b4c6 d7b7 c6d4 e2f2 a3f3 f2g2 f3f8 e4d6 a7a5 e1e7,173
8/8/7p/6pk/6R1/5PKP/6P1/r7 b - -,a1b1 g3h2 b1c1 g4e4 c1b1 e4e7 b1a1 e7e6 a1a2 e6d6,7
2r5/1K6/4k3/8/P7/8/8/R7 b - -,c8c3 a4a5 e6d6 a1d1 d6e6 a5a6 c3b3 b7c6 b3a3 c6b5,564
1r4k1/p1p2ppp/2p5/8/4pqP1/2b2P1P/P1P1B3/3Q1RK1 b - -,f4g3 g1h1 g3h3 h1g1 c3a5 d1d4 h3g3 g1h1 a5b6 d4b6,-815
r3r1k1/pppq1pp1/3b1n1p/n4b2/3P4/P1NBBN1P/1P3PP1/R2QR1K1 b - -,f5d3 d1d3 a7a6 b2b4 a5c6 d3c2 a8d8 a1d1 d6f8 e3f4,-22
8/8/1p3pk1/1K4p1/7p/5P1P/6P1/8 b - -,g6f5 b5b6 f5f4 b6c7 f4g3 c7d6 g3g2 d6e6 g2f3 e6f6,-3576
r4rk1/pp3p2/6p1/7n/4b2P/2P1PN2/P1PRB3/2K3R1 b - -,a8e8 f3g5 h5f6 h4h5 g8g7 d2d6 f8h8 h5g6 e4g6 e2c4,124
r5k1/pp3Bpp/2p2q2/n1P2b2/4n3/P1P2Q1P/1BP2PP1/R3R1K1 b - -,f6f7 g2g4 e4g5 f3f5 g5f3 g1f1 f7f5 g4f5 f3e1 a1e1,19
r1bqkb1r/ppp2p1p/2np1np1/8/2P1P3/2N1Q3/PP1B1PPP/R3KBNR b KQkq -,f8g7 g1f3 e8h8 f1d3 f6g4 e3e2 f7f5 d2g5 c6d4 g5d8,-41
rnbqkb1r/ppp2ppp/3p1n2/8/3Q4/P1N4P/1PP1PPP1/R1B1KBNR b KQkq -,b8c6 d4f4 c8e6 e2e4 d6d5 g1f3 f8d6 e4e5 c6e5 f3e5,-12
2n3k1/1p3p2/p5pp/8/8/PB2P2P/1P3PP1/6K1 b - -,a6a5 f2f4 g8f8 g1f2 f7f5 f2e2 f8e7 e2d3 g6g5 d3d4,312
6k1/p4p2/2p1r1pp/q1N5/1r1bP3/1P5P/P1Q2PP1/2R1R1K1 b - -,e6e7 g2g3 b4b8 g1g2 h6h5 h3h4 b8e8 e1e2 a5a3 g2f3,148
1rr3k1/q2bbppp/4p3/np2P3/1B1p1P2/P2P1B2/1Q3RPP/1R2N1K1 b - -,a5c6 f3c6 e7b4 a3b4 d7c6 b1a1 a7b6 f2c2 c6d5 a1c1,-29
8/1p3k1Q/2n2qp1/p1P1p3/P7/6B1/6PK/8 b - -,f6g7 h7h3 f7e7 h3c8 e7f6 g3f2 g7h6 h2g1 h6c1 g1h2,-25
r2qkb1r/pp2pppp/2n2n2/3p4/3P2b1/2N1BP2/PPP1Q1PP/R3KBNR b KQkq -,g4d7 e2d2 e7e6 f1d3 c6b4 d3e2 a7a6 a2a3 b4c6 e2d3,-44
4B3/5k2/8/3K4/6p1/8/8/8 b - -,,0
2kr1b1r/pp3ppp/2n5/2p1p3/4R1b1/2P2NP1/PP3PBP/RNB3K1 b - -,f7f6 e4e1 f8e7 c1e3 f6f5 f3g5 f5f4 g3f4 e5f4 e3f4,335
8/8/2K2p2/6p1/5k1p/5P1P/6P1/8 b - -,f4g3 c6d6 g3g2 d6e6 g2f3 e6f6 g5g4 h3g4 f3g4 f6e5,-9605
8/8/8/8/1q6/8/8/K4k2 b - -,f4g3 c6d6 g3g2 d6e6 g2f3 e6f6 g5g4 h3g4 f3g4 f6e5,Mate
1rb2rk1/4bppp/p2p1n2/q3p3/P3P3/1B1PNN2/1P3PPP/R2QR1K1 b - -,h7h6 e1e2 a5b4 b3c4 e7d8 h2h3 f8e8 b2b3 d8a5 e2c2,121
1R6/p4q2/P3p1p1/4k3/2P1p1K1/4P1B1/8/8 b - -,e5f6 b8b5 g6g5 b5g5 f6e7 g3f4 f7f8 g5h5 f8c8 g4g5,-46
rnbqk2r/1p2bppp/p4n2/2pp4/P7/2NP2P1/1PP1NPBP/R1BQK2R b KQkq -,d5d4 c3e4 f6e4 g2e4 c8d7 e1h1 d7c6 e2f4 c6e4 d3e4,17
R7/2r2p1k/4pP1p/3bN1p1/2p3P1/2P2PK1/6P1/7R b - -,d5a8 h1a1 a8c6 a1a6 c6d7 a6a8 d7c8 a8b8 c7c5 e5f7,Mate
1r4k1/p1p2ppp/2p5/8/4p1P1/2b2PqP/P1P1B3/3Q1R1K b - -,g3h3 h1g1 c3a5 d1d4 h3g3 g1h1 a5b6 d4b6 a7b6 f3e4,-1081
5k2/1p3p2/1pp1bN1p/5p2/2P5/1P5P/P1P3P1/6K1 b - -,f8g7 f6h5 g7g6 h5f4 g6g5 g2g3 b6b5 c4b5 c6b5 g1f2,106
r1b1k2r/1p2b1pp/p3pp2/2pq4/2P5/1P1P1N2/PB2QPPP/R3R1K1 b kq -,d5c6 d3d4 c6c7 d4d5 e8h8 a1d1 f8e8 e2d3 e8d8 d3e4,51
1rr3k1/q2bbppp/2B1p3/1p2P3/1B1p1P2/P2P4/1Q3RPP/1R2N1K1 b - -,e7b4 a3b4 d7c6 b1a1 a7b6 f2c2 c6d5 a1c1 c8c3 g1f1,-19
6k1/R4pn1/3P1pbp/2B3p1/2q5/2P4P/3Q1PP1/1r3BK1 b - -,e7b4 a3b4 d7c6 b1a1 a7b6 f2c2 c6d5 a1c1 c8c3 g1f1,Mate
r4rk1/pp4pp/2npbp2/2p4Q/q2pPPB1/8/P2B1NPP/R4RK1 b - -,e6g4 f2g4 c5c4 h5d5 g8h8 a1d1 a8c8 h2h3 c4c3 d2c1,9
4k3/1p6/p5b1/3PBpK1/4PPp1/q7/6Q1/8 b - -,a3e7 g5g6 a6a5 e4f5 e7f7 g6g5 f7g8 g5h4 g8h7 h4g4,456
3r4/2R4p/p5p1/3k4/4pB1P/P2bP1P1/1P6/6K1 b - -,d3e2 g3g4 e2g4 c7h7 d5e6 g1f2 g4f3 h7a7 d8d2 f2g3,52
8/8/7p/6pk/2R5/5PKP/6P1/1r6 b - -,b1d1 c4c6 d1d2 c6c8 d2d1 g3h2 d1a1 c8c6 a1a2 c6b6,7
r2q1rk1/p3ppb1/1pp1b1pp/2p1P3/5B2/3P1N1P/PPP2PP1/R2QR1K1 b - -,,0
6k1/1Qp2qpp/1p2rpn1/4p3/8/4B2P/PP3PP1/R2R2K1 b - -,h7h6 a1c1 e6e7 b7d5 f7d5 d1d5 f6f5 f2f3 g8h7 d5d2,508
r1b2rk1/2p2ppp/1qp1p3/2n1P3/1pBN4/P4N2/4KPPP/R2Q3R b - -,c8a6 c4a6 b6a6 e2e3 a6c4 d1c2 c4c2 d4c2 b4b3 c2d4,64
8/5k1p/6p1/3rn1N1/P7/6PP/5P2/4R1K1 b - -,f7f8 g5h7 f8g7 h7g5 d5a5 e1a1 e5c4 g5e4 c4e5 h3h4,415
6k1/pp4b1/6p1/6Pp/7P/r2R2N1/5K2/4R3 b - -,g7b2 d3d8 g8f7 d8d7 f7f8 g3e4 a3a5 d7b7 a5f5 f2g2,627
rnbq1rk1/1p2bppp/p4n2/2pp2B1/P7/2NP2P1/1PP1NPBP/R2QK2R b KQ -,b8c6 e1h1 d5d4 g5f6 e7f6 c3e4 f6e7 e2f4 f8e8 f4d5,20
1rr3k1/q2b1ppp/2B1p3/1p2P3/1P1p1P2/3P4/1Q3RPP/1R2N1K1 b - -,d7c6 b1a1 a7b6 f4f5 e6f5 f2f5 h7h6 b2f2 c6d5 f5f4,-27
8/8/2B2k2/3K4/6p1/8/8/8 b - -,,0
2kr3r/pp1qbppp/2pp1nb1/8/Q3PB2/2NP1N1P/PP3PP1/R4RK1 b - -,b7b5 a4b3 d7b7 f1c1 c8b8 a2a4 b5b4 c3b5 d8d7 c1c4,231
r2q1rk1/1p2npbp/3p2p1/p2P4/3pPB2/P2P2P1/1P4BP/1R1Q1RK1 b - -,h7h6 h2h4 f7f5 g2h3 g8h7 d1e2 d8d7 b1c1 a8c8 c1c8,131
r2qk2r/2p1bppp/2p1p3/P1Pp1b2/3P4/P3P2P/3N1PP1/R1BQ1RK1 b kq -,a8a5 a3a4 a5a7 c1b2 e8h8 a4a5 d8c8 f1e1 c8a6 b2c3,54
rn2nrk1/3pppbp/B5p1/q1pPP3/5P2/2N5/PP1B2PP/R2QK1NR b KQ -,a8a6 g1f3 a5b4 h2h4 e8c7 h4h5 b4c4 b2b3 c4d3 d1e2,129
r1bqk2r/1p1pppbp/p1n2np1/2p5/P1B1P3/2P2N2/1P1P1PPP/RNBQR1K1 b kq -,f6e4 c4f7 e8f7 e1e4 d7d5 e4e1 e7e5 d2d3 h7h6 c1e3,-25
r2qk2r/pp1bppbp/2np1np1/2p5/4PP2/2PP1N2/PP1NB1PP/R1BQ1RK1 b kq -,b7b5 d1e1 e8h8 g1h1 a8b8 e2d1 a7a5 e4e5 f6d5 d2e4,-28
3r1r2/1p3pk1/p2p4/3Qp1P1/4P2P/1Pq2R2/P1P5/2KB4 b - -,,0
rn1q1rk1/1p3pbp/2ppp1p1/p7/2PPb3/1PB1PNPB/P3QP1P/R4RK1 b - -,d6d5 f3d2 h7h5 c4d5 c6d5 d2e4 d5e4 h3g2 f7f5 b3b4,51
r3r1k1/pppq1pp1/3b1n1p/n7/3P4/P1NQBN1P/1P3PP1/R3R1K1 b - -,a7a6 b2b4 a5c6 d3c2 a8d8 a1d1 c6e7 f3e5 d7f5 c2f5,-24
r4rk1/2q2pb1/ppB1p1pp/4P3/1nPp1B1P/1N1P2P1/3Q1P2/R3R1K1 b - -,c7c6 d2b4 a6a5 b4a4 c6f3 b3d4 f3d3 a1d1 d3c3 d4c6,369
2k2b1r/pp3ppp/2n5/2p1p3/6b1/2P2NP1/PP3PBP/RNBrR1K1 b - -,d1d7 b1a3 f7f6 c1e3 g4e6 f3d2 f8e7 d2e4 h8d8 e3c5,392
8/P4p1k/4p2p/3p3q/5np1/8/2Q2PP1/2R3K1 b - -,f4g6 a7a8q h5e5 c2c8 e5g7 a8a1 h6h5 a1g7 h7g7 c8c3,695
r4rk1/pp2bppp/4p3/4P3/8/4B3/PP3PPP/R2R2K1 b - -,a8c8 e3a7 e7c5 a7c5 c8c5 a2a4 c5e5 d1d6 f8b8 g2g3,52
8/6kp/6p1/3rn1N1/P4P2/6PP/8/4R1K1 b - -,e5d7 e1e7 g7f8 e7h7 f8g8 h7e7 d7c5 a4a5 d5d1 g1g2,379
r2q1rk1/p1p3pp/1pPpp3/n2P1p2/2P5/6P1/P1QNPP1P/R4RK1 b - -,d8g5 f2f4 g5g6 c2d3 a8e8 a1e1 h7h6 f1f2 e8e7 e2e3,68
8/8/2B2k2/8/3K4/6p1/8/8 b - -,,0
r1b1k2r/1p2b1pp/p2qpp2/2p5/2P5/1P1P4/PB1NQPPP/R3R1K1 b kq -,d6c7 e2h5 e8f8 d2f1 c8d7 f1g3 c7c8 h2h3 d7e8 h5e2,69
8/8/7p/6pk/6R1/5PKP/6P1/3r4 b - -,d1b1 g4d4 b1c1 d4d2 c1c8 d2a2 c8c1 a2a6 c1c2 g3h2,7
r3k2r/pp3ppp/2b1pn2/8/3R4/4B3/PPP1BPPP/2KR4 b kq -,f6d5 e3d2 e8a8 d4c4 f7f6 g2g3 h7h5 d2a5 d8d7 b2b3,64
1r3rk1/1n2ppbp/1q1p2n1/p1pP2R1/1p2P3/2P5/PPQBBP1P/2K3RN b - -,a5a4 e4e5 d6e5 h2h4 b7d6 h4h5 e5e4 h1g3 b4b3 a2b3,-134
1rr3k1/5ppp/1qb1p3/1p2PP2/1P1p4/3P4/1Q3RPP/R3N1K1 b - -,e6f5 f2f5 c6d5 f5f4 c8e8 b2d4 b6d4 f4d4 e8e5 g1f2,-16
r1b1k2r/p2pqppp/2pb1n2/1p2P3/4Pn1B/1BN2N2/PPP2PPP/R2Q1RK1 b kq -,d6e5 f3e5 e7e5 g2g3 f4g6 h4f6 g7f6 f2f4 e5c5 f1f2,125
r2q1rk1/2pnb1pp/pp2p3/8/2B5/7Q/PP3PPP/R1B1R1K1 b - -,e7b4 e1e6 b6b5 c4b3 c7c5 e6e8 c5c4 e8d8 a8d8 b3c2,435
6k1/p4p2/2p2rpp/q7/1r1bP3/1P1N3P/P1Q2PP1/2R1R1K1 b - -,b4b7 e4e5 f6e6 g1h1 b7d7 e1e4 d7d5 c2e2 d4b6 c1c4,163
5B1k/pp5p/2b2p2/P2n4/2pP4/6P1/2P3P1/4R2K b - -,h7h5 a5a6 b7a6 e1e6 c6b5 f8c5 a6a5 e6d6 d5e3 d6f6,231
r3kb1r/pp3ppp/2n2n2/2p1p3/4P1b1/2N2NP1/PPP2PBP/R1BR2K1 b kq -,c6d4 d1d3 g4f3 g2f3 d4c2 a1b1 c2d4 c1g5 f6d7 g1g2,-63
r4rk1/2q2pb1/ppn1p1pB/4P3/2Pp3P/1N1P2P1/3Q1P2/R3R1K1 b - -,g7h6 d2h6 c6e5 h6f4 f7f6 f4e4 f8e8 b3d4 a8d8 d4f3,58
3R2k1/5pp1/q1r4p/1pB1b3/1Pp1P3/P4P2/1Q4PP/6K1 b - -,g8h7 b2e5 a6a3 e5f5 c6g6 g2g3 a3a6 f5f7 a6e6 f7e6,517
r2q1rk1/1p1n1pbp/2p1p1p1/p2p4/2PP4/1PB1P1PB/P3QP1P/R2R2K1 b - -,d8b6 h3g2 b6c7 a2a4 f8d8 e2c2 d7f6 c4c5 d8e8 d1b1,32
8/P1Q4k/4p2p/3p1p1q/5np1/8/5PP1/2R3K1 b - -,d8b6 h3g2 b6c7 a2a4 f8d8 e2c2 d7f6 c4c5 d8e8 d1b1,Mate
rnbqk2r/pp3ppp/2p1pn2/8/1b1Pp3/2N1B1P1/PPP1NPBP/R2QK2R b KQkq -,d8b6 e1h1 f6d5 c3e4 d5e3 f2e3 b4e7 e2f4 e8h8 f4d3,30
r1b1k2r/p2pqppp/2p2n2/1p2N3/4Pn1B/1BN5/PPP2PPP/R2Q1RK1 b kq -,e7e5 g2g3 f4g6 h4f6 g7f6 f2f4 e5c5 g1g2 a7a5 e4e5,133
1rr3k1/5ppp/1qb5/1p2PR2/1P1p4/3P4/1Q4PP/R3N1K1 b - -,c6d5 f5f4 c8e8 b2d4 b6d4 f4d4 e8e5 g1f2 e5f5 e1f3,-16
8/6k1/1p3p2/4r1p1/3qN2p/5P1P/2Q1K1P1/8 b - -,e5b5 c2d3 b5b2 e4d2 d4d3 e2d3 b6b5 d3c3 b2a2 d2b3,-654
r2k1bnr/p1p2ppp/2p5/4p3/4PP2/8/PPP2P1P/RNB1K2R b KQ -,g8f6 f4e5 f6e4 f2f3 e4c5 f3f4 f7f6 e5f6 a8b8 b1c3,43
r2bq1k1/nb1n2pp/1p1Ppp2/pPp1P3/P1P5/R2BBN2/5PPP/3QR1K1 b - -,f6f5 d3c2 h7h6 e3c1 e8g6 a3d3 a7c8 h2h3 d7f8 g1h2,448
rn1q1rk1/pp3ppp/5n2/3Ppb2/8/2PP2P1/P3NPBP/R1BQK2R b KQ -,b8d7 e1h1 f8e8 c3c4 a8c8 c1a3 e5e4 e2d4 f5g4 d1b3,80
2r1r3/4ppkp/p2p1np1/1q6/1PbNP3/4BP2/P2Q2PP/2R2RK1 b - -,b5h5 f1e1 c4b5 c1a1 b5a4 e1c1 h5e5 h2h3 f6d7 d4e2,121
3r1r2/1p3pk1/p2p4/3Qp1P1/4P2P/1P3R2/P1PK4/q2B4 b - -,d8e8 f3d3 a1a2 d5d6 e8e6 d6c5 f8e8 h4h5 e6c6 c5d5,25
rnb1kb1r/pppp1ppp/4qn2/8/3P4/3B1P2/PPP3PP/RNBQR1K1 b kq -,f8e7 e1e6 d7e6 b1c3 e8h8 c1g5 h7h6 g5h4 f8d8 c3e4,214
r1bqk2r/ppp2pbp/2np1np1/8/2P1P3/2N1QN2/PP1B1PPP/R3KB1R b KQkq -,e8h8 f1d3 f6g4 e3e2 f7f5 d2g5 g7c3 b2c3 d8e8 e1a1,-40
r2qkb1r/2pn1ppp/pp2p3/8/2BPb3/5N2/PP3PPP/R1BQR1K1 b kq -,b6b5 c4e6 f7e6 e1e4 f8e7 e4e6 e8h8 d1b3 g8h8 c1d2,251
r3k2r/pp3ppp/2b1p3/3n4/3R4/8/PPPBBPPP/2KR4 b kq -,e8a8 d1e1 g7g6 e2d3 h8e8 f2f3 e6e5 d4c4 f7f5 a2a4,70
6k1/R4pn1/3P1pbp/2B3p1/2q5/2P4P/3Q1PPK/5r2 b - -,c4c5 d6d7 g7e6 a7a6 f1f2 d2d6 c5d6 a6d6 e6d8 h2g1,-517
r3kb1r/pp3ppp/5n2/2p1p3/3nP1b1/2NR1NP1/PPP2PBP/R1B3K1 b kq -,d4f3 g2f3 c5c4 d3e3 f8c5 f3g2 c5e3 c1e3 g4d7 e3c5,-75
1r2r1k1/5ppp/1q6/1p1bP3/1P1Q1R2/3P4/6PP/R3N1K1 b - -,b6d4 f4d4 e8e5 g1f2 e5f5 e1f3 b8c8 a1e1 g7g6 h2h4,-12
r1b1k2r/1p2b1pp/p2qpp2/2p5/2P5/1P1P1N2/PB2QPPP/3RR1K1 b kq -,d6d7 d3d4 c5d4 f3d4 e8h8 e2e6 d7e6 d4e6 c8e6 e1e6,78
1r2r1k1/5ppp/8/1p1bP3/1P1R4/3P4/6PP/R3N1K1 b - -,e8e5 g1f2 e5f5 e1f3 b8c8 f2g3 h7h6 a1e1 d5f3 g2f3,-15
rnb1kb1r/pppp1ppp/5n2/5q2/3P4/3B1P2/PPP3PP/RNBQ1RK1 b kq -,f5a5 f1e1 f8e7 c2c4 d7d5 c1d2 a5b6 c4c5 b6c6 d2g5,-255
8/pp5k/4Q3/3p4/3Pp1P1/P1P1q3/1P4PK/R3Nr2 b - -,f5a5 f1e1 f8e7 c2c4 d7d5 c1d2 a5b6 c4c5 b6c6 d2g5,Mate
6k1/p4p2/2p2rpp/qr6/2QbP3/1P1N3P/P4PP1/2R1R1K1 b - -,d4e5 a2a4 b5b7 b3b4 a5c7 b4b5 c6b5 c4c7 e5c7 d3c5,220
6k1/4qppp/p1Q1pnb1/1p4B1/8/8/PP3PPP/3R2K1 b - -,h7h6 g5h4 g6h5 d1c1 g7g5 h4g3 f6d5 g3e5 e7b4 c6e8,304
rn1qkb1r/pp3pp1/2p1pnp1/8/3P1B2/2NQ1N2/PPP2PPP/2KR3R b kq -,f8d6 f3e5 d6e5 f4e5 b8d7 d3e2 b7b5 c1b1 d8a5 c3e4,69
6k1/pp2R1b1/6p1/6Pp/7P/3r2N1/5K2/8 b - -,d3b3 e7d7 a7a5 d7d8 g8f7 d8d7 f7f8 g3e4 b7b6 d7a7,-368
1r4k1/5ppp/8/1p1br3/1P1R4/3P4/5KPP/R3N3 b - -,e5f5 e1f3 b8c8 a1e1 g8f8 e1e2 g7g6 h2h4 d5a8 f2g3,-12
rn3rk1/pbp1bppp/1p2q3/3pN3/3P4/3Q2P1/PP2PPBP/R1B2RK1 b - -,c7c5 e5f3 c5c4 d3e3 b8c6 f1d1 b6b5 b2b3 b7c8,-35
8/8/7R/8/5p1b/7k/4K3/8 b - -,,0
r1b1k2r/p2pqppp/2pb1n2/1p1Pp3/4Pn1B/1BN2N2/PPP2PPP/R2Q1RK1 b kq -,,0
8/6kp/2n3p1/3r2N1/P4P2/6PP/8/2R3K1 b - -,c6a5 c1c5 d5c5 g5e6 g7h6 e6c5 g6g5 f4g5 h6g5 g1f2,395
rn1q1rk1/pp3ppp/8/3npb2/8/2PP2P1/P3NPBP/R1BQ1RK1 b - -,b8a6 d3d4 f5g4 c1b2 f8e8 d4e5 d5b6 d1d8 a8d8 e2d4,52
8/p7/6pk/1P3p1p/2B1pb1q/2Q4P/1r4P1/3R3K b - -,b2d2 d1f1 h4g3 c3g3 f4g3 h1g1 e4e3 f1a1 h5h4 g1f1,-667
r1b2rk1/1p2b1pp/p2qpp2/2p5/2P5/BP1P1N2/P3QPPP/3RR1K1 b - -,b7b6 d3d4 d6c7 h2h4 a6a5 e2e4 a8a7 h4h5 a5a4 a3c1,53
4r1k1/p3Rpp1/2p4p/3p1b2/3P4/1P4P1/P2R1PBP/5K2 b - -,e8a8 f1e1 a7a5 g2f3 a5a4 b3a4 a8a4 e7e8 g8h7 f3d1,524
r4rk1/pb1q2pp/5n2/4p1B1/1P1p4/P2B4/5PPP/2RQ1RK1 b - -,e5e4 d3b1 h7h6 g5f4 f6d5 f4g3 d4d3 d1d2 a8c8 h2h3,-72
r2qr3/pp3pkp/2p3p1/1P6/P7/2QBPb2/5PPP/R4RK1 b - -,d8f6 c3f6 g7f6 g2f3 e8d8 f1d1 c6b5 d3b5 g6g5 b5e2,461
1r4k1/5ppp/8/1p1b1r2/1P1R4/3P1N2/5KPP/R7 b - -,b8c8 a1e1 g8f8 e1e2 g7g6 h2h4 d5a8 d4d7 a8f3 g2f3,-8
6k1/4qpp1/p1Q1pBbp/1p6/8/8/PP3PPP/3R2K1 b - -,e7f6 c6c3 f6f5 c3d4 f5c2 d4d2 c2c4 a2a3 g8h7 d1c1,201
1r4k1/p1p2ppp/2p5/3p4/4bqP1/2b2N1P/P1P1BP2/3Q1RK1 b - -,c6c5 d1c1 f4c1 f1c1 c7c6 g1f1 c3b2 c1e1 e4c2 e2d1,-513
r2qkb1r/1bpn1ppp/pp2p3/3P4/2B5/5N2/PP3PPP/R1BQR1K1 b kq -,f8e7 d5e6 f7e6 f3d4 d7f8 c1h6 b7d5 h6g7 d5c4 g7h8,407
r7/5N1k/4pP1p/3b2p1/2p3P1/2P2PK1/6P1/7R b - -,a8b8 h1h6 h7g8 f7g5 e6e5 g3h4 b8b1 h6g6 g8f8 g6g7,699
1r3rk1/5pbp/pn2p1p1/3nP1P1/1PNP4/P4N2/1BR1KP1P/7R b - -,f8c8 f3d2 h7h6 h1c1 d5f4 e2f1 b6d5 c4e3 c8f8 g5h6,218
2r3k1/5ppp/8/1p1b1r2/1P1R4/3P1N2/5KPP/4R3 b - -,g8f8 e1e2 g7g6 h2h4 d5a8 f2g3 f8g7 d4d7 a8c6 d7e7,-11
