8/8/8/8/8/1pk5/8/3K4 b - -,c7c5 d5e6 f7e6 d1e2 a7a6 f3g5 d7b6 d4c5 b6d5 c1d2,Mate
r1bqkbnr/ppp1pp1p/2n3p1/8/2pP4/2N1PN2/PP3PPP/R1BQKB1R b KQkq -,a7a6 d4d5 c6a7 f1c4 a7b5 e3e4 b5c3 b2c3 f8g7 e1h1,180
r1bqkb1r/pp1n1ppp/2pp1n2/4p3/3PP3/2N1BN2/PPP1BPPP/R2QK2R b KQkq -,b7b5 a2a4 b5b4 c3a2 e5d4 f3d4 c6c5 d4f5 c8b7 e1h1,57
rnbqk2r/ppp2pp1/4pn1p/3p4/3P4/2NBP1P1/PPP2PP1/R2QK1NR b KQkq -,c8d7 g3g4 e8e7 d1f3 c7c5 d4c5 b8c6 f3g3 d8b8 f2f4,73
rnbqkbnr/ppp2ppp/8/4p3/8/4P3/PPPB1PPP/RN1QKBNR b KQkq -,g8f6 b1c3 b8d7 g1f3 f8d6 f1d3 d7c5 e3e4 d8e7 e1h1,-36
rnbq1rk1/p1p1ppbp/1p1p1np1/6B1/3PP3/2PB1N2/PP3PPP/RN1Q1RK1 b - -,b8c6 d1d2 d6d5 e4d5 f6d5 h2h3 c8b7 b1a3 f7f6 g5h6,109
8/7p/p2P1k2/npp3N1/2P5/1P2N3/P6P/7K b - -,f6g5 c4b5 a6b5 d6d7 a5c6 e3d5 b5b4 h1g2 c6d8 g2f3,281
rnb1kb1r/pp2pppp/2p2n2/3q4/8/2N2NP1/PP1PPP1P/R1BQKB1R b KQkq -,d5c5 d2d4 c5b6 f1g2 c8f5 f3h4 f5e6 e1h1 b8d7 e2e4,185
rnbqkbnr/ppp2ppp/4p3/8/3P4/P4N2/1PP3PP/RNBQKB1R b KQkq -,b8d7 b1c3 g8f6 c1f4 f8e7 f1e2 e8h8 d1d3 f6d5 f4d2,-81
rnbqkb1r/2p1pppp/pp3n2/3p4/3P1B2/2N1PN2/PPP2PPP/R2QKB1R b KQkq -,b8d7 f3d2 c7c5 g2g4 h7h6 d1f3 e7e6 h2h4 g7g6 e1a1,65
5rk1/7p/8/6N1/8/3B4/1B6/6K1 b - -,f8a8 d3h7 g8f8 h7e4 a8a2 b2f6 a2a6 f6d4 f8e7 g1f2,229
r1bqk2r/pppn1ppp/5n2/3p2B1/1b1P4/2NB1N2/PPP2PPP/R2QK2R b KQkq -,c7c6 e1h1 e8h8 f1e1 h7h6 g5h4 b4d6 c3e2 f8e8 c2c3,47
r1bq1rk1/pp1p1ppp/2n1pn2/2b5/2P5/2NBPN2/PP3PPP/R1BQK2R b KQ -,d8e7 e1h1 d7d5 c4d5 e6d5 h2h3 f8d8 f3d4 a7a6 c3e2,-48
8/8/8/4p3/8/4k3/8/4K3 b - -,c5b4 c1d2 d7d5 c4d5 e6d5 h2h3 d5d4 e3d4 c6d4 e1h1,Mate
r1bqk2r/ppp1npbp/2np2p1/4p3/3PP3/2P2NP1/PP3PBP/RNBQ1RK1 b kq -,e5d4 c3d4 c8g4 c1e3 d6d5 e4e5 f7f6 e5f6 g7f6 h2h3,52
8/8/4K3/3B4/3N1k2/8/8/8 b - -,f4e3 d4b3 e3d3 e6e5 d3c3 b3c5 c3c2 e5d4 c2d2 d5e4,7380
8/8/8/8/4B3/1K6/2N5/k7 b - -,f4e3 d4b3 e3d3 e6e5 d3c3 b3c5 c3c2 e5d4 c2d2 d5e4,Mate
r1bqkbnr/1ppppppp/2n5/pP6/8/P7/2PPPPPP/RNBQKBNR b KQkq -,e7e5 b5c6 b7c6 c2c4 g7g6 b1c3 d7d5 c4d5 c6d5 e2e4,371
r1bqkb1r/pp1npppp/2n5/1B1QP3/8/2P5/PP3PPP/RNB1K1NR b KQkq -,a7a6 b5c6 b7c6 d5c6 a8b8 g1f3 c8b7 c6a4 e7e6 b1d2,164
r1bq1rk1/1ppp1ppp/2n2n2/p1b1p3/2P1P3/P1NP1N2/1P2BPPP/R1BQK2R b KQ -,d7d6 c1e3 f8e8 e1h1 c8d7 c3d5 h7h6 h2h3 a5a4 a1b1,-35
rn1qkb1r/ppp2ppp/4pn2/3p4/3P2b1/1QP2N2/PP1NPPPP/R1B1KB1R b KQkq -,f8e7 f3e5 b8d7 e5g4 f6g4 e2e4 d5e4 d2e4 a8b8 f1e2,89
r1bqk2r/ppp2pp1/2np1n1p/2b1p3/1PB1P3/2P2N1P/P2P1PP1/RNBQ1RK1 b kq -,g7g5 b4c5 g5g4 h3g4 c8g4 d2d4 h8g8 d4d5 c6b8 c5d6,507
rnbqkbnr/1ppppp1p/p5p1/8/2BPP3/8/PPP2PPP/RNBQK1NR b KQkq -,b8c6 g1f3 d7d6 e1h1 f8g7 f1e1 g8f6 d4d5 c6e5 f3e5,104
r1bqkb1r/pppp1ppp/5p2/3Pn3/4P3/8/PPP2PPP/RN1QKBNR b KQkq -,c7c6 d1d4 d8a5 d4d2 a5b6 b1c3 b6b2 a1b1 b2a3 f2f4,-97
r1b1kbnr/pppp1ppp/5q2/8/4P3/2N2P2/PPP2P1P/R1BQKB1R b KQkq -,f8d6 h2h4 d6b4 c1d2 g8e7 d1e2 b7b6 a2a3 b4d6 d2g5,227
rn1qkb1r/ppp1pppp/5n2/3p4/2PP1Bb1/7P/PP2PPP1/RN1QKBNR b KQkq -,g4c8 b1c3 e7e6 c4c5 c8d7 a2a3 b7b6 b2b4 f8e7 e2e3,104
rnbqkb1r/ppp2ppp/5n2/3Pp3/8/5NP1/PPPP1P1P/RNBQKB1R b KQkq -,e5e4 f3g1 d8d5 b1c3 d5e5 g1e2 c8g4 d2d4 e5f5 c1e3,-97
8/8/8/6N1/2k1B3/8/3K4/8 b - -,c4b3 g5e6 b3c4 d2c2 c4b4 e4d5 b4a5 c2d3 a5b4 d5c4,194
rnb1kb1r/ppp1pppp/8/4n3/5P2/8/PPP3PP/RNB1KBNR b kq -,b8c6 f4e5 c6e5 g1f3 e5f3 g2f3 c8f5 f1b5 c7c6 b5d3,228
rn1qk2r/pp2bppp/2p1pn2/3p1bB1/2PP4/2N1PN2/PP3PPP/R2QKB1R b KQkq -,b8d7 c4d5 e6d5 f1d3 f5d3 d1d3 e8h8 e1h1 f8e8 h2h3,-18
r1bqk1nr/ppppbppp/8/n2PN3/4P3/2P5/PP3PPP/RNBQKB1R b KQkq -,b7b6 e5f3 a5b7 f1d3 g8f6 d3c2 d7d6 e1h1 e8h8 h2h3,310
rn1qkbnr/pbpp1ppp/4p3/1p6/4P3/3P2P1/PPP2PBP/RNBQK1NR b KQkq -,a7a5 g1f3 f8e7 e1h1 d7d6 f1e1 g8f6 a2a4 b5b4 b1d2,49
r1bqkb1r/ppp2p2/2n1pn1p/3p2p1/3P4/2PBP1B1/PP1N1PPP/R2QK1NR b KQkq -,f8g7 h2h3 e8h8 g1f3 f6d7 b2b4 f7f5 e1h1 d7f6 b4b5,126
r4rk1/5ppp/p1pb4/1p1n1b2/3P4/1BP3Pq/PP3P1P/RNB1RQK1 b - -,f8e8 e1e8 a8e8 f1h3 f5h3 c1d2 d5b6 d2e3 a6a5 a2a4,84
r1bqkbnr/pppp1p1p/2n3p1/4P3/4P3/5N2/PPP2PPP/RNBQKB1R b KQkq -,f7f6 e5f6 g8f6 b1c3 d7d6 f1c4 f8g7 e1h1 c8g4 h2h3,364
rn1q1rk1/ppp1ppbp/3p1np1/6B1/3P2b1/2NBPN1P/PPP2PP1/R2QK2R b KQ -,g4f5 d3f5 g6f5 g5f6 g7f6 d1d3 e7e6 g2g4 f6g7 e1a1,203
r1bqkbnr/2p2ppp/2pp4/p3p3/4P3/2N2N2/PPPP1PPP/R1BQ1RK1 b kq -,,0
r1bqkbnr/ppppnp1p/6p1/3PN3/4P3/8/PPP2PPP/RNBQKB1R b KQkq -,g8f6 d1f3 e7g8 b1c3 d8e7 e5c4 d7d6 c1g5 h7h6 g5e3,293
rnbqk2r/pp1p1ppp/2p2n2/2b1p3/2B1P3/2NP1P2/PPP3PP/R1BQK1NR b KQkq -,d7d5 c4b3 h7h6 a2a3 e8h8 h2h4 c8e6 g1e2 b8d7 b3a2,-172
rnbqk2r/pp3ppp/2p2n2/2bPp3/2B5/2NP1P2/PPP3PP/R1BQK1NR b KQkq -,b7b5 c4b3 c6d5 g1e2 b8c6 c1g5 c8e6 a2a4 b5b4 c3b5,-168
rnbqkb1r/ppp2ppp/1n6/8/5p2/1B3N2/PPPP2PP/RNBQ1RK1 b kq -,b8c6 d2d4 f8e7 c1f4 e8h8 d1d3 c6a5 c2c4 a5b3 a2b3,71
rnbq1rk1/ppp1ppbp/3p2p1/6B1/2BPNP2/8/PPP3PP/R2QK1NR b KQ -,a7a5 e4c3 c7c6 g1f3 b8d7 e1h1 d7f6 g5h4 b7b5 c4d3,332
rnbqk2r/ppppppbp/5np1/8/1PP5/2N5/PB1PPPPP/R2QKBNR b KQkq -,c7c6 g1f3 e8h8 e2e3 d7d5 c4d5 f6d5 d1b3 a7a5 c3d5,-20
rnbqkb1r/pp4pp/2p1pn2/3p1p2/3P4/5NP1/PPP1PPBP/RNBQR1K1 b kq -,f8d6 f3e5 b8d7 e5d3 e8h8 b1d2 f6e4 d2f3 a7a5 c2c3,40
8/8/8/6p1/1pk3P1/7P/2K5/8 b - -,f8d6 f3e5 b8d7 e5d3 e8h8 b1d2 f6e4 d2f3 a7a5 c2c3,Mate
rnbqkbnr/1p1ppppp/8/p1p5/4PP2/5N2/PPPP2PP/RNBQKB1R b KQkq -,b7b6 d2d4 c5d4 f3d4 c8b7 b1c3 e7e6 d4b5 b8a6 c1e3,96
r1bqk2r/pp1pppbp/n4np1/2P5/2P5/2N1PN2/PP3PPP/R1BQKB1R b KQkq -,d8a5 c1d2 a5c7 c3b5 c7c5 d2c3 e8h8 a2a3 c5c6 b2b4,52
rnb1k2r/ppp1qppp/3ppn2/8/2PP4/5NP1/PP1NPPBP/R2QK2R b KQkq -,h7h6 d1a4 b8d7 e1h1 e8h8 e2e4 e6e5 a4a3 f8e8 f1e1,37
8/8/6K1/8/5Q2/8/6k1/8 b - -,h7h6 d1a4 b8d7 e1h1 e8h8 e2e4 e6e5 a4a3 f8e8 f1e1,Mate
8/8/6K1/8/8/5Q2/8/6k1 b - -,h7h6 d1a4 b8d7 e1h1 e8h8 e2e4 e6e5 a4a3 f8e8 f1e1,Mate
rnbq1rk1/pppp1pp1/5n1p/2b5/2BNP3/2N5/PPP2PPP/R1BQ1RK1 b - -,d7d5 e4d5 c7c6 d4f3 b7b5 c4d3 b5b4 c3e4 f6e4 d3e4,82
r1bqk2r/pppp1ppp/5n2/4n3/1b1NP3/2NB4/PPPB1PPP/R2QK2R b KQkq -,d7d5 e4d5 e5d3 c2d3 e8h8 e1h1 f6d5 f1e1 d5f6 a2a3,-60
rnbqk2r/pp1p1ppp/2p1pn2/8/2PP4/4PN2/PP1N1PPP/R2QKB1R b KQkq -,b7b6 e3e4 d7d5 e4e5 f6e4 h2h4 h7h6 f1d3 e4d2 d1d2,110
5r1k/pp4p1/1qbb4/2p2n2/2Pp1P1P/PP1Q2P1/3BN3/R4RK1 b - -,,0
rnbqkb1r/pp2p1pp/5n2/2pp4/5P2/5N2/PPPP2PP/RNBQKB1R b KQkq -,c8f5 f1b5 b8d7 d2d4 e7e6 c1e3 f6g4 d1e2 g4e3 e2e3,-88
r2q1rk1/1b1nbppp/p2p1n2/1ppPp3/P3P3/1BP2N1P/1P1N1PP1/R1BQR1K1 b - -,f8e8 c3c4 b5b4 a4a5 b7c8 d2f1 d7f8 b3a4 c8d7 a4d7,117
rnbqk2r/pp2bppp/2p2n2/3p2B1/3P4/2PB1N2/PP3PPP/RN1QK2R b KQkq -,c8e6 e1h1 b8d7 f1e1 e8h8 b1d2 f8e8 h2h3 f6h5 g5e7,37
rn1qkbnr/pp2pppp/2p5/5b2/3P4/1QN2N2/PP2PPPP/R1B1KB1R b KQkq -,b8d7 e2e4 f5g4 b3b7 g4f3 g2f3 a8c8 c1f4 e7e5 f4e5,247
r1bqk1nr/ppp2ppp/2n1p3/8/1bBPP3/2N5/PP1B1PPP/R2QK1NR b KQkq -,d8d4 d1e2 c6e5 c4b3 c8d7 g1f3 e5f3 g2f3 e8a8 e1a1,-86
8/8/8/2K5/8/2k1R3/8/8 b - -,b4e7 d2e3 g8f6 g1f3 e8h8 a2a3 c6a5 c4e2 c7c5 d4c5,Mate
r1bq1rk1/ppp1Nppp/2np1n2/4p3/2B1P3/5N2/PPPP1PPP/R1BQ1RK1 b - -,g8h8 e7c6 b7c6 d2d3 a7a5 a2a4 c8g4 f1e1 d8d7 h2h3,528
r1bqk1nr/2p2ppp/p1pp4/2b1p3/3PP3/2N2N2/PPP2PPP/R1BQ1RK1 b kq -,c5b4 d4e5 c8g4 e5d6 d8d6 h2h3 g4h5 c3a4 g8e7 d1d6,272
r1bqk2r/ppppbpp1/2n2n1p/4p3/2B1P3/2PP1N2/PP2QPPP/RNB1K2R b KQkq -,e8h8 e1h1 f8e8 b1d2 e7f8 f1e1 c6a5 c4b5 a7a6 b5a4,-40
r1bqk2r/3nbppp/pp1ppn2/8/2P1PP2/1NNB4/PP2Q1PP/R1B2RK1 b kq -,e6e5 g1h1 c8b7 f4e5 d7e5 b3d4 e8h8 d4f5 f6d7 d3c2,123
rnbqk2r/ppp1ppbp/5np1/8/3P1B2/2N2N2/PPP1BPPP/R2QK2R b KQkq -,c8e6 e1h1 e8h8 d1d2 c7c6 f1e1 b8d7 h2h3 f8e8 a2a4,114
r1bqk2r/ppp2ppp/2nbpn2/3p4/3P4/3BPN2/PPPB1PPP/RN1Q1RK1 b kq -,e6e5 d4e5 c6e5 f3e5 d6e5 d2c3 d8e7 f1e1 c8g4 d1c1,-43
r1bqkbnr/pp1npppp/8/2pp4/3P1B2/2P1P3/PP3PPP/RN1QKBNR b KQkq -,d8b6 d1b3 c5c4 b3c2 e7e5 d4e5 d7c5 g1f3 g8e7 f3d4,67
r3kb1r/pp3pp1/4b2p/3p4/3B2P1/5B2/PPP2P2/2KRR3 b kq -,f8e7 d4g7 h8g8 g7h6 e8a8 h6f4 d5d4 e1g1 g8g6 f3e2,162
r2qkbnr/ppp3pp/2npp3/8/4P3/1Q3N2/PB3PPP/RN3RK1 b kq -,h7h6 b3e6 g8e7 e6b3 d8d7 b1c3 c6a5 b3c2 e8a8 a1b1,106
rnbq1rk1/pp2bppp/2pp1n2/4p3/4P3/P1NP1N2/1PP1BPPP/R1BQ1RK1 b - -,c6c5 a1b1 h7h6 b2b4 b8c6 c3d5 f6d5 e4d5 c6d4 c2c4,-33
rnbqkb1r/pp3ppp/2p1pn2/3p4/B2P4/2N1P3/PPP2PPP/R1BQK1NR b KQkq -,b7b5 a4b3 a7a5 a2a3 b8d7 g1f3 c8a6 c3e2 c6c5 c2c3,-190
r1b1kb1r/ppp1qppp/2n5/3p4/4P3/5N2/PPP1QPPP/RNB1KB1R b KQkq -,d5e4 f3g5 h7h6 g5e4 c8f5 e4g3 f5c2 e2e7 f8e7 b1c3,290
rnbqk2r/ppp2ppp/5n2/3Pp3/1bB5/P1N5/1PPP1PPP/R1BQK1NR b KQkq -,b4d6 d2d3 h7h6 g1e2 e8h8 e1h1 c8g4 f2f3 g4f5 c3e4,148
8/8/6p1/8/8/5K1k/8/8 b - -,b4e7 g1f3 e7d6 d2d4 e5e4 f3g5 e8h8 e1h1 c8f5 f2f3,Mate
rn1qk2r/pbppb1pp/1p2pn2/5p2/2PP4/2N1PNP1/PP3PBP/R1BQK2R b KQkq -,d7d5 e1h1 e8h8 b2b3 f6e4 c1b2 b8d7 d1c2 e4c3 c2c3,71
rnbq1rk1/4ppbp/3p1np1/1BpP4/P3P3/2N2N2/1P3PPP/R1BQK2R b KQ -,c8d7 b5c4 e7e6 e1h1 e6d5 e4d5 b8a6 c1f4 a6b4 f1e1,185
rnbqk2r/ppp1bppp/3p1n2/8/4PB2/3P1N2/PPP1B1PP/RN1QK2R b KQkq -,c8e6 f3g5 e6c8 b1c3 c7c5 d3d4 c5d4 d1d4 b8c6 d4d3,64
rnbqk2r/pppp1ppp/1b3n2/4p3/1PBPP3/5N2/P1P2PPP/RNBQK2R b KQkq -,b6d4 f3d4 e5d4 e4e5 d7d5 c4b5 f6d7 d1g4 e8f8 g4d4,87
rnbqkbnr/pp2pp1p/2pp2p1/8/2PP4/4PN2/PP3PPP/RNBQKB1R b KQkq -,b8a6 b1c3 f8g7 f1e2 g8f6 e1h1 e8h8 e3e4 e7e5 d4d5,84
rnbqk1nr/pppp2pp/5p2/2b2N2/4P3/8/PPP2PPP/RNBQKB1R b KQkq -,g7g6 f1c4 d7d6 f5d4 g8e7 c1h6 b8c6 d4c6 e7c6 h6g7,165
r2qkbnr/pp1b1ppp/2n1p3/2ppP3/3P4/P3BN2/1PP2PPP/RN1QKB1R b KQkq -,c5d4 e3d4 g8e7 d4c3 e7g6 h2h4 d8c7 d1e2 h7h5 b1d2,-94
rnbqk2r/pp2ppbp/3p1np1/2pP4/2P5/2N1P2P/PP3PP1/R1BQKBNR b KQkq -,c8d7 g1f3 e8h8 e3e4 e7e6 f1d3 e6d5 e4d5 f8e8 c1e3,75
r1bqkb1r/pp1n1ppp/2p1pn2/8/2BP4/2N1P3/PP2NPPP/R1BQK2R b KQkq -,b7b5 c4d3 a7a6 c3e4 c6c5 e4f6 d7f6 e1h1 c5c4 d3c2,-33
r1bq1rk1/1ppp1ppp/p1n2n2/2b1p1B1/2B1P3/2PP1N2/PP1N1PPP/R2QK2R b KQ -,c5e7 a2a4 g8h8 e1h1 d7d6 d3d4 h7h6 g5h4 e5d4 f3d4,45
4r1k1/5pB1/pp3Pp1/2pb4/3p3Q/2P5/P4KPP/4r3 b - -,g8h8 c4b3 d7d6 g5h4 a6a5 e1h1 h7h6 f1e1 g7g5 h4g3,Mate
r1bqkb1r/1p3ppp/2n1p3/2Pp4/1P2nB2/1QN2N2/P3PPPP/R3KB1R b KQkq -,d8f6 f4d2 c6b4 a1c1 e4c5 b3b1 c8d7 e2e3 b4c6 e3e4,-197
rnbqkb1r/1p2ppp1/p1p2n1p/3p4/2PP1B2/2N1PN2/PP3PPP/R2QKB1R b KQkq -,a6a5 f1d3 e7e6 e1h1 f8d6 f4d6 d8d6 c4c5 d6c7 f3e5,161
r2qkb1r/pp1npppp/2p2n2/3p1b2/3P1B2/2N2P2/PPPQP1PP/2KR1BNR b kq -,h7h6 d1e1 e7e6 e2e4 f5g6 f1d3 f8b4 a2a3 b4c3 d2c3,48
rn1qkbnr/pbpp1ppp/1p2p3/8/4P3/2P2N2/PPQP1PPP/RNB1KB1R b KQkq -,f8e7 d2d4 c7c5 f1d3 d8c7 d4c5 c7c5 c1f4 d7d6 b1a3,30
8/8/8/8/2K5/Q7/p7/1k6 b - -,d8c8 d2d4 c7c5 d4d5 e6d5 e4d5 b7d5 c1f4 f8e7 b1a3,Mate
r2qkbnr/ppp1pppp/2n5/3p1b2/3P4/P1P2N2/1P2PPPP/RNBQKB1R b KQkq -,h7h6 e2e3 e7e6 c3c4 g8f6 b2b4 g7g5 h2h3 c6e7 b1d2,36
rnbqkbnr/pp1p1ppp/8/2p1p3/8/2P1P3/PP1PNPPP/RNBQKB1R b KQkq -,d7d5 d2d4 b8c6 d4e5 c6e5 e2f4 g8f6 f1e2 f8e7 b1d2,-91
rnbqkbnr/pp2pppp/3p4/2p4Q/4P3/1P6/P1PP1PPP/RNB1KBNR b KQkq -,g8f6 f1b5 b8d7 h5e2 g7g6 c1b2 f8g7 g1f3 e8h8 e1h1,-95
rnbqkbnr/pppp2pp/8/5p1Q/2B5/8/PPPP1PPP/RNB1K1NR b KQkq -,g7g6 h5e2 d8e7 d2d4 c7c6 g1f3 d7d5 c4b3 e7e2 e1e2,Mate
8/8/8/8/5K2/8/5Q2/k7 b - -,g7g6 h5e2 d8e7 d2d4 c7c6 g1f3 d7d5 c4b3 e7e2 e1e2,Mate
rnbqkb1r/4pppp/p2p1n2/1pp5/4PP2/1BNP4/PPP3PP/R1BQK1NR b KQkq -,d8c7 g1f3 e7e6 e4e5 d6e5 f4e5 f6d7 e1h1 f8e7 f3g5,52
rnbqkb1r/pp3ppp/4pn2/2pp4/3P4/4BNP1/PPP1PPBP/RN1QK2R b KQkq -,d8d7 c2c4 b8c6 b1c3 c5d4 f3d4 f8e7 c4d5 f6d5 c3d5,82
rnbqkbnr/ppp3pp/5p2/3p4/1P6/8/PBPPPPPP/RN1QKBNR b KQkq -,c8f5 a2a3 c7c5 e2e3 c5b4 f1e2 b8c6 g1f3 f8c5 d2d4,174
rnbqkb1r/ppp2ppp/5n2/3pp3/2P5/P1NP4/1P2PPPP/R1BQKBNR b KQkq -,d5d4 c3b1 f8d6 g2g3 a7a5 g1f3 h7h6 b1d2 c7c5 f1g2,-96
r1bqk1nr/1p1pppbp/p1n3p1/2p5/4P3/2N2N2/PPPPBPPP/R1BQ1RK1 b kq -,b7b6 d2d3 d7d6 c1e3 e7e5 c3d5 g8e7 d5e7 d8e7 c2c3,-37
rnbqkbnr/ppp3pp/5p2/3pP3/8/4PN2/PPP2PPP/RNBQKB1R b KQkq -,c8g4 h2h3 g4f3 d1f3 b8c6 b1c3 f8b4 f1b5 f6e5 f3h5,146
rn1qkb1r/pp3ppp/2p2n2/4p3/2BPP1b1/5N2/PPP3PP/RNBQ1RK1 b kq -,g4f3 g2f3 d8d4 d1d4 e5d4 b1d2 b8d7 f3f4 f6g4 d2b3,-91
rnbqk1nr/1ppp1ppp/p3p3/8/1b1PP3/2N5/PPPB1PPP/R2QKBNR b KQkq -,b7b5 a2a3 b4c3 d2c3 c8b7 f1d3 g8f6 f2f3 d7d5 e4e5,116
r1b2k1r/pppp3p/1bn4p/3B4/N3P3/1P3N2/5PPP/R1R3K1 b - -,f8g7 a4b6 c7b6 f3h4 c6e7 c1c7 e7d5 e4d5 h8f8 h4f3,165
r1bq1rk1/ppppbppp/5n2/nP2N3/2B1P3/2PP4/P4PPP/RNBQK2R b KQ -,a5c4 e5c4 d7d5 e4d5 a7a6 b5a6 b7b5 c4e5 d8d5 e5f3,-192
rnbqkbnr/pp2pppp/2pp4/8/4PB2/3P4/PPP2PPP/RN1QKBNR b KQkq -,e7e5 f4e3 g8f6 g1f3 b8d7 c2c4 f6g4 e3c1 d6d5 h2h3,-48
r1bq1rk1/ppppbppp/5n2/1P6/2N1P3/2PP4/P4PPP/RNBQK2R b KQ -,d7d5 c4e3 d5e4 d3d4 a7a6 b5a6 a8a6 e1h1 f6d5 e3d5,-206
8/8/8/8/5K2/4B3/3N2k1/8 b - -,g2h2 d2c4 h2g2 e3c5 g2f1 f4f3 f1e1 f3e4 e1e2 c5d4,9605
r2qkb1r/pp2pppp/2n2n2/3p4/3P2b1/1B3P2/PPP1N1PP/RNBQK2R b KQkq -,g4d7 c2c3 e7e6 e1h1 f8e7 a2a4 e8h8 c1f4 f8e8 f1e1,-54
rnb1k1nr/ppp1q1pp/4p3/2N2p2/3P4/8/PPP2PPP/R2QKBNR b KQkq -,a7a6 c5d3 g8f6 g1f3 b7b6 g2g3 c8b7 f1g2 b8d7 e1h1,136
rnb1k2r/pp3ppp/2pqpn2/3P4/3P4/2N1P3/PP3PPP/R2QKBNR b KQkq -,d6e7 d5e6 c8e6 g1f3 e8h8 f1e2 c6c5 d4c5 f8d8 d1a4,258
rnbqk2r/pppp1ppp/5n2/2b5/2P1p3/4P1P1/PP1PNPBP/RNBQK2R b KQkq -,b8c6 b1c3 c6e5 e2f4 e5c4 b2b3 c4e5 c3e4 f6e4 g2e4,127
r1bqkbnr/ppp2ppp/2np4/4p3/2P1P3/2N2P2/PP1P2PP/R1BQKBNR b KQkq -,c6d4 g1e2 g7g6 e2d4 e5d4 c3e2 f8g7 d2d3 g8e7 h2h4,-34
r1bqk2r/ppp2ppp/2np1n2/2b1p3/2B1P3/2PP3P/PP2QPP1/RNB1K1NR b KQkq -,e8h8 g1f3 c6e7 c1g5 e7g6 d3d4 c5b6 a2a4 a7a5 d4e5,-20
rnb1kb1r/ppp1qppp/8/3BN3/8/8/PPPP1PPP/RNBQK2R b KQkq -,b8c6 d5f7 e8d8 d2d4 c8d7 d1h5 c6e5 d4e5 g7g6 f7g6,763
r1bq1rk1/pp1nbppp/2p1pn2/8/2QP4/2N2NP1/PP2PPBP/R1B2RK1 b - -,h7h6 f1d1 a7a6 c4b3 a6a5 a2a3 d8b6 b3c2 b6a6 e2e4,110
r2qkb1r/pp3ppp/2n1bn2/3p4/Q7/2N2NP1/PP2PPBP/R1B1K2R b KQkq -,f8d6 e1h1 h7h6 c1e3 e8h8 a1d1 a8c8 f3d4 d8e7 d4c6,63
rn1qk1nr/1bp1ppbp/p2p2p1/1p1P4/4P3/2NBBN2/PPP2PPP/R2QK2R b KQkq -,b5b4 c3a4 g8f6 e1h1 e8h8 d1d2 a6a5 c2c4 f6g4 e3g5,58
rn1qkb1r/pp3ppp/2p1pn2/3p4/3P2b1/2N1PN2/PPPBBPPP/R2QK2R b KQkq -,f8d6 h2h3 g4f3 e2f3 e6e5 d4e5 d6e5 e3e4 d5d4 c3e2,-40
r1bqkb1r/ppp2ppp/2n2n2/1N6/3p4/5N2/PPPPBPPP/R1BQ1RK1 b kq -,a7a6 b5a3 f8a3 b2a3 d8d6 f1e1 e8h8 c1b2 f8e8 d2d3,-95
6k1/8/8/8/ppp5/8/PPP5/6K1 b - -,c8f5 f1e1 f8e7 d2d3 a7a6 b5a3 e8h8 a3c4 f8e8 e2f1,Mate
rnb1k2r/pp1pnppp/2p2q2/2b1p1B1/2B1P3/2NP1N2/PPP2PPP/R2QK2R b KQkq -,d7d6 g5f6 g7f6 d3d4 e5d4 f3d4 b8d7 d1d2 e8h8 e1a1,832
r1bqkbnr/1p1n1ppp/p2pp3/8/B2NP3/8/PPP2PPP/RNBQ1RK1 b kq -,h7h6 c2c4 g8f6 a4c2 f8e7 d1e2 e8h8 b1c3 d8c7 h2h3,76
1r5k/6pp/2pr4/P1Q3b1/1P2B3/2P2N1P/5P1P/R4RK1 b - -,d6f6 f3g5 h7h6 c5e5 b8a8 g5h7 f6f7 a5a6 f7a7 e5e6,2533
rnbqkbnr/p3pppp/1pp5/8/P1pP4/2N2N2/1P2PPPP/R1BQKB1R b KQkq -,a7a5 e2e4 e7e6 f1c4 f8b4 e1h1 g8e7 d1e2 c8a6 c4a6,138
rnb1kbnr/ppp1qpp1/3p3p/4p3/2B1P3/2P2N1P/PP1P1PP1/RNBQK2R b KQkq -,g7g6 d2d4 f8g7 e1h1 g8f6 f1e1 b8d7 b1d2 e8h8 a2a4,114
r1bqkbnr/pppp3p/2n2pp1/4p3/2B1P3/2N5/PPPP1PPP/R1BQK1NR b KQkq -,c6a5 c4g8 h8g8 d2d4 d7d6 g1e2 g8h8 f2f4 a5c6 f4f5,111
r2qkbnr/pp2pppp/2b5/2p1P3/3p4/2P2N2/PP1P1PPP/RNBQ1RK1 b kq -,d4d3 e5e6 g8h6 f3e5 d8d5 e5c6 d5c6 f1e1 g7g6 a2a4,-77
rnbqkb1r/pp3ppp/2p2n2/4p3/4N3/2NP4/PPP2PPP/R1BQKB1R b KQkq -,f6e4 d3e4 c8e6 f1e2 d8d1 c3d1 a7a5 c1d2 b8d7 h2h4,-37
r1bqkb1r/pp3ppp/2n2n2/2pp4/3P1B2/2P2N2/PP2BPPP/RN1QK2R b KQkq -,f8e7 f4e3 c5c4 b2b3 c4b3 a2b3 c8f5 e1h1 e8h8 b3b4,-16
rnbqkb1r/ppp2ppp/3p1n2/4p1N1/4P3/3B4/PPPP1PPP/RNBQK2R b KQkq -,h7h6 g5f3 d6d5 b1c3 d5d4 c3e2 f8d6 e1h1 e8h8 c2c3,-75
