8/6Kp/6p1/5p2/5P1k/8/6P1/8 b - -,d7d5 f1e2 g8e7 e4d5 e6d5 d3d4 e8h8 e1h1 c8f5 f3h4,Mate
k5r1/p1p4p/1r6/2p1p2p/PbPpNP2/1P1P2P1/4R2P/5RK1 b - -,e5f4 f1f4 g8g7 a4a5 b6c6 f4h4 g7f7 g1g2 f7f5 h4f4,148
2k1r2r/1p1b1p2/pBnRp1p1/6Pn/2B1P3/1NP5/P1P2P2/1K4R1 b - -,e8e7 g1d1 h5f4 c4f1 c6b8 b3a5 e6e5 d6d2 h8h5 b1b2,263
r1b1r1k1/pp3pbp/2p3p1/3n4/3N4/BP2PB2/q4PPP/2QR1RK1 b - -,g7f8 a3f8 e8f8 f3d5 c6d5 c1c5 a2a6 d1a1 a6f6 a1a7,83
8/8/6p1/6k1/2Bp3p/6bP/r5P1/1R4K1 b - -,a2c2 c4d3 c2d2 d3e4 g5f4 e4g6 f4e3 b1f1 g3f2 g1h1,-248
rnb1k2r/pp3ppp/4pn2/q1pp2B1/2PP4/P1P2N2/2Q1PPPP/R3KB1R b KQkq -,c5d4 g5f6 g7f6 c4d5 d4c3 e2e3 e6d5 f3d4 c8d7 f1e2,-39
8/1p2N1k1/p5N1/8/4P2p/3P2p1/PP3PB1/R1B1QK1R b - -,c5d4 g5f6 g7f6 c4d5 d4c3 e2e3 e6d5 f3d4 c8d7 f1e2,Mate
r2r2k1/1p2qN1p/p1p3p1/2Q5/PP1P4/4P3/3N1PPP/1b3RK1 b - -,e7f7 f1b1 a6a5 b4a5 d8d5 c5c4 a8f8 f2f3 d5a5 b1b7,84
r7/pp3k2/5pp1/8/1Pp5/P1P2P1P/5P2/3R2K1 b - -,,0
3q1r2/1bnnppkp/3p2p1/1ppP4/4PP2/1PP1Q1NP/r2N2P1/3RRBK1 b - -,e7e6 d5e6 f7e6 d2f3 d8e7 h3h4 g7g8 h4h5 d7f6 h5g6,109
5k2/6p1/5PP1/6K1/8/8/8/8 b - -,f8g8 f6f7 g8f8 g5f5 f8e7 f5e4 e7f8 e4d5 f8e7 d5c6,Mate
8/8/p1p5/2P2kp1/4p3/5r2/PP1K1B2/5R2 b - -,e4e3 f2e3 f3f1 d2e2 f1h1 e3d2 f5e4 d2g5 h1h2 e2e1,-643
k5r1/p1p4p/1r6/2p4p/PbPpNR2/1P1P2P1/4R2P/6K1 b - -,g8g7 a4a5 b6h6 g1g2 a8b7 e2a2 b7a6 f4f5 h5h4 f5c5,130
r2q1rk1/p3bppp/4bn2/2pp4/5B2/2N5/PPP2PPP/R2QRBK1 b - -,d8d7 f4e5 d5d4 c3b5 e6g4 d1d3 g4f5 d3b3 f6e4 f1d3,15
7R/8/1K6/6k1/6p1/7p/8/8 b - -,,0
8/4qp2/6k1/1pp3r1/5Q2/2P2R2/1P3KP1/8 b - -,,0
r2r2k1/1p3q1p/p1p3p1/2Q5/PP1P4/4P3/3N1PPP/1R4K1 b - -,a6a5 h2h3 d8f8 d2e4 f7a2 c5c1 b7b5 a4b5 c6b5 b4a5,101
8/4bk2/4b3/8/8/4BB2/5K2/8 b - -,,0
r1bqk2r/1p1n1pp1/p1n1p2p/3p4/2pPPPP1/2P5/PPBN2P1/R2QK1NR b KQkq -,d7b6 g1f3 d8c7 f3e5 c8d7 a2a4 a6a5 e1h1 c6e5 f4e5,122
5q1k/n2nbQpp/2b1P3/2pp4/p4B1P/P1rPN1P1/5P2/R3R1K1 b - -,a7b5 e3f5 f8f7 e6f7 e7f8 e1e8 h7h5 f5e7 b5d4 e7c6,338
8/p2r2p1/5p1p/8/1BRbk1PP/1P6/P5K1/8 b - -,,0
2R5/4Bpkp/4p1p1/4P3/5P2/8/p4KPP/1r6 b - -,b1b2 f2f3 g6g5 e7f6 g7h6 f6g5 h6g7 g5f6 g7h6 c8a8,464
3r2k1/5pp1/p6p/2rpR3/1P6/7P/P4PP1/3R2K1 b - -,c5c4 d1d5 d8d5 e5d5 c4b4 d5a5 b4b6 h3h4 g7g6 h4h5,7
2r5/3n1ppp/p3pk2/Bp1b4/2RP4/5P2/PP1KN1PP/4R3 b - -,c8c4 a5d8 f6g6 e2f4 g6h6 h2h4 g7g6 b2b3 c4c8 d8g5,104
r5k1/4p2p/6p1/3N1P2/2Nqn1PR/pP6/K1P3Q1/8 b - -,a8f8 d5e7 g8g7 h4h3 f8f7 h3d3 e4c3 d3c3 d4c3 e7d5,478
k5r1/p1p5/1r5p/2p4p/PbPpNR2/1P1P2P1/5R1P/6K1 b - -,a8b7 a4a5 b6a6 f2a2 a6e6 g1g2 g8g6 h2h4 e6e5 f4f7,143
r3k2r/pp1b1n2/4p1n1/3pPppp/3N1P2/P1P1K1P1/1P1N3P/R4B1R b kq -,h5h4 f1e2 e8e7 d2b3 h8h6 a1f1 h4g3 h2g3 a8h8 h1g1,2
2r2knr/1pp1qppp/8/p3p3/PbPNQ2P/3B4/5PP1/RNBK3R b - -,c8d8 c1g5 f7f6 d4f5 e7d7 d1c2 f6g5 h4g5 g7g6 f5e3,600
rnbqk1nr/ppp2ppp/3bp3/3P4/6P1/8/PP1PPPBP/RNBQK1NR b KQkq -,e6d5 g2d5 g8e7 d5e4 b8c6 h2h3 f7f5 g4f5 e7f5 d2d3,-41
8/1p4Pk/3n1P2/p3N2P/3P4/Pb1P1P2/2r1P2P/4KBR1 b - -,c2c8 e1f2 b3e6 e5g6 d6f7 g6f8 h7g8 f8e6 c8c1 d4d5,793
rn1qkb1r/ppp2ppp/4b3/1B1pP3/8/2Q5/PPPP2PP/R1B1K1NR b KQkq -,c7c6 b5e2 d8h4 e1d1 d5d4 c3d3 c6c5 d3b5 b8c6 b5b7,-46
rn3rk1/p4pp1/b4n1p/3pp3/p6P/P2pPB2/3K4/6q1 b - -,c7c6 b5e2 d8h4 e1d1 d5d4 c3d3 c6c5 d3b5 b8c6 b5b7,Mate
r2qk2r/pp2ppbp/2p2np1/3b4/Q1PP4/5NP1/P3PPBP/R1B1R1K1 b kq -,e8h8 c4d5 c6d5 f3e5 f6e4 g2e4 d5e4 c1e3 d8d5 e1b1,390
r1b2rk1/2q1bppp/pp1ppn2/4n1B1/2PNPP2/1PN1Q3/P3B1PP/R4R1K b - -,e5g4 e3g3 h7h6 g5h4 h6h5 h2h3 g4h6 f4f5 g8h8 a1d1,211
8/1p2N1k1/p7/4N3/4P3/3P2pp/PP3PB1/R1B1QK1R b - -,e5g4 e3g3 h7h6 g5h4 h6h5 h2h3 g4h6 f4f5 g8h8 a1d1,Mate
8/5k2/4bb2/8/4B3/4B3/5K2/8 b - -,,0
r2qkb1r/pp2pp1p/2np1np1/2p5/2B1P1b1/3PQ3/PPP1NPPP/RNB1K2R b KQkq -,f8g7 f2f3 g4d7 e3f2 e8h8 e1h1 a7a6 b1c3 b7b5 c4b3,-42
r5k1/pp3ppp/4b3/8/3P4/B7/PPr2PPP/R3R1K1 b - -,,0
7k/n2nbPpp/2b5/2pp4/p4B1P/P1rPN1P1/5P2/R3R1K1 b - -,c3d3 e3g4 e7f8 e1e8 d3b3 f4d6 h7h5 d6f8 h8h7 f8c5,504
2kr3r/ppp2ppp/2p1bq2/2b5/4PB2/2NB4/PPP1QPPP/R4RK1 b - -,g7g5 f4e3 c5d6 d3c4 e6c4 e2c4 h7h5 a1d1 d6e5 c4e2,410
R4bk1/2rbpp1p/3p1np1/8/1pPP4/3N2P1/3NPPBP/6K1 b - -,d7g4 d3b4 e7e5 e2e3 e5d4 e3d4 c7e7 f2f3 e7e2 a8a2,89
8/ppQ2pp1/8/2b5/3kR3/5PK1/PPr4P/8 b - -,d7g4 d3b4 e7e5 e2e3 e5d4 e3d4 c7e7 f2f3 e7e2 a8a2,Mate
8/4qpk1/8/1p4r1/2p2Q1R/2P5/1P3KP1/8 b - -,,0
r2qkb1r/pp1nnppp/2p1p1b1/3pP3/3P1B2/2N2N2/PPP1BPPP/R2Q1RK1 b kq -,a7a6 c3a4 e7f5 b2b4 b7b6 f4d2 f8e7 g2g4 f5h6 h2h3,17
8/8/6p1/8/7p/3k1BbP/3p2P1/2rR1K2 b - -,a7a6 c3a4 e7f5 b2b4 b7b6 f4d2 f8e7 g2g4 f5h6 h2h3,Mate
rnbqk1nr/ppp2ppp/3b4/3B4/6P1/8/PP1PPP1P/RNBQK1NR b KQkq -,g8e7 d5e4 b8c6 g4g5 c8f5 b1c3 d8d7 g1f3 d6b4 d2d3,-22
r4r2/2p1qp1k/p1pp1Npp/1n2P3/8/1P3PQP/2P3P1/2R2RK1 b - -,h7g7 f3f4 b5d4 c1e1 d4c2 f6h5 g7g8 g3c3 g6h5 c3c2,55
8/8/p1p5/2P2kp1/8/4Br2/PP1K4/5R2 b - -,f3f1 d2e2 f1h1 e3d2 f5e4 d2g5 h1h2 e2e1 h2b2 a2a4,-689
r1bqk2r/pppn1ppp/3b1p2/8/2BP4/4P3/PP1N1PPP/R2QK1NR b KQkq -,d7b6 a2a3 b6c4 d2c4 d6e7 d4d5 e8h8 g1e2 b7b6 e1h1,-15
2br4/1p3pk1/2p1B1pp/p1n1p1P1/P1P1P2P/1P3P2/2K1N3/2N4R b - -,c8e6 e2c3 e6c8 c3e2 f7f6 g5f6 g7f6 e2g3 c8e6 g3f1,-73
r1bqkb1r/pp3ppp/n3p3/1N1p4/2pPnB2/2P1P3/PP1N1PPP/R2QKB1R b KQkq -,e4d6 d1a4 d6b5 a4b5 d8d7 a2a4 a6b8 f1e2 b8c6 b2b3,73
8/5k2/4b3/4b3/4B3/4B3/4K3/8 b - -,,0
8/4qp2/6k1/1p4r1/2p2QR1/2P5/1P3KP1/8 b - -,,0
8/pb5p/1p6/4p1k1/1P2Pb2/P1BB4/6KP/8 b - -,b6b5 d3b5 b7e4 g2g1 e4b7 b5d7 f4e3 g1f1 g5f4 a3a4,-4
r1r2k2/2R2pbp/p3bnp1/1p1p2N1/3P1B2/3B4/PP3PPP/2R3K1 b - -,c8d8 f4e5 f6e8 g5e6 f7e6 c7c6 f8e7 g2g3 g7e5 d4e5,218
r4rk1/ppp2ppp/2nqpnb1/8/3P4/P1PB1N2/1P2QPPP/R1B1K2R b KQ -,g6d3 e2d3 e6e5 d3c4 e5d4 e1h1 d4c3 c4c3 a8d8 b2b4,-104
8/1bB5/1P6/7p/7P/5kp1/8/6K1 b - -,,0
8/4qp2/6k1/1p6/2p3Q1/2P5/1P3KP1/8 b - -,,0
r4rk1/pp1q1ppp/2n5/3pBb2/3P4/2N5/PP1Q1PPP/R3R1K1 b - -,c6b4 c3e4 d5e4 d2b4 f7f6 e5f4 f8c8 a1c1 f5e6 h2h3,-6
3r2k1/pp3ppp/4b3/8/3P4/B7/PPr2PPP/3RR1K1 b - -,h7h6 a3c5 b7b6 d4d5 b6c5 d5e6 d8d1 e1d1 f7e6 b2b3,-37
rn3rk1/p4pp1/b4n1p/3p4/p3B2P/P2pP3/3K4/6q1 b - -,e6d5 d1c1 c2d2 c1c7 h7h6 h2h3 a7a6 a3e7 d8e8 e1e5,Mate
5r2/3k4/2b1n1p1/1p1p4/2pP2R1/6KP/1P3B2/rB2R3 b - -,g6g5 h3h4 g5h4 g4h4 d7d6 g3g2 c6d7 f2g3 d6c6 h4h6,-91
q5k1/6pp/p1r1pp2/1p1b4/3Q1B1P/1Pn1P1P1/P2R1PB1/6K1 b - -,d5g2 d4d8 a8d8 d2d8 g8f7 g1g2 e6e5 d8d7 f7f8 f4h6,-316
rnb1kb1r/ppp1ppp1/3q3p/8/3PN3/3B4/P1PB1PPP/R2Q1RK1 b kq -,d6d4 f1e1 b8c6 d2c3 d4d7 d1h5 d7g4 h5b5 e7e6 e1e3,193
rn2kbnr/ppp2ppp/3q4/3ppb2/3P4/1PN3PP/P1P1PPB1/R1BQK1NR b KQkq -,f5e4 c3e4 d5e4 g2e4 e5d4 e4g2 b8c6 g1f3 e8a8 e1h1,107
r3rbk1/1bp2p1p/6p1/p7/2N1n3/1P5P/PBR2PP1/R2B2K1 b - -,b7a6 c4e3 a5a4 b3a4 a8b8 d1e2 a6e2 c2e2 e4c5 a4a5,10
2r1rbk1/p4ppp/3p1P2/q2P2P1/3B3P/PpPB1Q2/1P6/K6R b - -,e8e3 f3e3 a5d5 e3e4 d5e4 d3e4 a7a5 e4d5 a5a4 h1g1,656
r3k2r/pp1bbp1p/2n1p1p1/3pP2P/2pP1P2/q1P2NQ1/P1BB2P1/RR4K1 b - -,h8f8 b1b7 e8d8 a1b1 c6a5 b7b2 d8c7 g3e1 d7a4 e1d1,140
rn2k2r/pp1q1ppp/2pb4/3p3n/5Pb1/2NPPN2/PPP3BP/R1B1QRK1 b kq -,b8a6 f3e5 d6e5 f4e5 f7f6 e5f6 e8h8 e1h4 h5f6 h2h3,50
rn1q2k1/1p3pbp/p2p2p1/2pP1b2/P3r3/5NPB/1PQ1PP1P/R1B1R1K1 b - -,e4g4 c2d1 g4g3 h2g3 f5h3 d1b3 b7b6 c1g5 f7f6 g5d2,103
8/5p2/6k1/1p4q1/2p3Q1/2P2K2/1P4P1/8 b - -,,0
R4bk1/2r1pp1p/3p1np1/5b2/1NPP4/6P1/3NPPBP/6K1 b - -,h7h5 g1f1 c7c8 a8a2 f5e6 b4c6 e6d7 a2a6 e7e6 c6b4,136
r1b1r1k1/1pq2pbp/p1pp1np1/4n3/P2NP3/2N1B2P/1PP1BPP1/R2QR2K b - -,g7f8 f2f4 c6c5 f4e5 c5d4 e5d6 f8d6 e3d4 f6e4 c3e4,51
8/pp3Qp1/2k1R3/2b5/8/5PK1/PPr4P/8 b - -,g7f8 f2f4 c6c5 f4e5 c5d4 e5d6 f8d6 e3d4 f6e4 c3e4,Mate
r2qk2r/3nppbp/3p1np1/2pP4/4P3/2N3P1/PP2NPKP/R1BQ3R b kq -,d8b6 a2a4 e8h8 d1c2 b6b4 c1d2 f8b8 h1b1 b4b3 c2b3,79
8/8/7k/2BB1K2/8/8/8/8 b - -,d8b6 a2a4 e8h8 d1c2 b6b4 c1d2 f8b8 h1b1 b4b3 c2b3,Mate
3q1r2/1bnnppkp/3p2p1/3P4/1p2PP2/1P2QNNP/r5P1/3RRBK1 b - -,g7g8 f3d4 c7e8 g1h2 d8a8 d1d2 d7c5 d2a2 a8a2 f1c4,120
rnb1kb1r/ppp1ppp1/7p/8/3qN3/3B4/P1PB1PPP/R2QR1K1 b kq -,a7a6 d1f3 b8d7 f3g3 d4b6 a1d1 e7e5 d2c3 b6g6 g3g6,219
rnbqk2r/pp2ppb1/2pp1npp/8/P2PP3/2N1BN2/1PPQ1PPP/R3KB1R b KQkq -,d6d5 e4d5 c6d5 f3e5 b8c6 f1b5 c8d7 e1h1 a7a6 b5c6,62
r3rbk1/1bp2p1p/6p1/p7/2N1n3/1P2B2P/P1R2PP1/R2B2K1 b - -,f8g7 a1c1 e4f6 a2a4 f6d5 d1e2 d5e3 c4e3 g7h6 c2c7,5
8/8/6k1/1p3pq1/2pQ4/2P2K2/1P4P1/8 b - -,,0
8/4k3/4b3/4b3/4B3/4B3/5K2/8 b - -,,0
2k3rr/nppbqp2/p2p1n2/4p2p/PPB1P1pP/2PP4/3N1PP1/R2QRNK1 b - -,f6h7 g2g3 c8b8 f1e3 a7c8 d3d4 h7g5 h4g5 e7g5 c4f1,122
r2qkb1r/ppp1pppp/5n2/3pN3/1n1P4/4P2P/PPb1BPP1/RNB1QRK1 b kq -,b4a6 e2b5 c7c6 b5a6 b7a6 e1c3 c2f5 c3c6 f6d7 b1c3,178
r1bqk2r/3n1pp1/p1n1p2p/1p1p4/2pPPPP1/2P2Q2/PPBN2P1/R3K1NR b KQkq -,c8b7 e4e5 d8b6 g1e2 e8a8 f3e3 g7g5 d2f3 d8g8 e2g3,113
3Q2k1/6pp/2p2p2/1r1p1q2/2p5/PrP1P3/1P1R1PPP/2K4R b - -,,0
rnbq1rk1/ppp2pbp/3p1np1/3Pp3/2P1P3/P1NB4/1P3PPP/R1BQK1NR b KQ -,a7a5 h2h3 f6d7 g1f3 d7c5 d3c2 f7f5 e1h1 f5f4 c1d2,42
2R5/4k3/6p1/3r3p/5PPK/7P/8/8 b - -,e7f7 c8c7 f7f8 c7c3 h5g4 h3g4 f8g7 c3c7 g7f8 c7c6,5
r1b2rk1/pp3p1p/2p3p1/3B4/3N4/1P2P3/q4PPP/2QR1RK1 b - -,c6d5 c1c5 a2a6 d1a1 a6f6 a1a7 a8a7 c5a7 f6g5 g1h1,82
8/1P6/8/1R4p1/8/5k2/2r5/6K1 b - -,c2c1 g1h2 c1c2 h2h3 g5g4 h3h4 c2h2 h4g5 h2h8 b5b3,465
7k/n2nbP1p/2b3p1/2pN4/p4B1P/P1rP2P1/5P2/R3R1K1 b - -,h8g7 e1e7 a7c8 e7d7 c6d7 d5c3 g7f7 a1b1 d7c6 f4e3,684
2rr4/5kpQ/bp1qpb1p/p2P4/8/P6P/1PB2PP1/3RR1K1 b - -,e6e5 c2f5 c8c5 f5e6 f7e7 b2b4 c5c3 f2f4 d8f8 b4a5,-178
8/1p4Pk/3n1P2/p3N2P/3P4/Pb1P1P1B/4PK1P/2r3R1 b - -,c1g1 f2g1 b3g8 e2e4 h7h6 d4d5 b7b5 h3e6 h6h7 g1f2,844
8/8/6k1/1p3p1q/2pQ4/2P5/1P3KP1/8 b - -,,0
8/1p2N1k1/p7/4N3/4P3/3P3B/PP3p2/R1B1QK1R b - -,h5g5 d4e5 g5d2 f2g3 d2g5 g3f3 g5d2 e5e6 g6g5 e6e7,Mate
rnbqk2r/pp3ppp/2pb1n2/8/6P1/1Q6/PP1PPPBP/RNB1K1NR b KQkq -,f6g4 g1f3 b8a6 d2d4 c8e6 b3d1 f7f5 f3g5 e6c8 b1c3,-61
r3k2r/4qp2/p3p3/1pbpP1p1/1P3p2/2Q4P/P1P2PPB/R4RK1 b kq -,a8c8 b4c5 e7c5 c3a5 c8c6 a1b1 c5c2 a2a4 e8h8 a4b5,181
r4rk1/pp1q1ppp/n1p5/3pP2n/7Q/P1NPP2b/1PP3BP/R1B2RK1 b - -,h3g4 h2h3 g4f5 h4h5 f5g6 h5g4 a6c5 g4d7 c5d7 e3e4,497
8/4B3/8/3B1K1k/8/8/8/8 b - -,h3g4 h2h3 g4f5 h4h5 f5g6 h5g4 a6c5 g4d7 c5d7 e3e4,Mate
2k3rr/npp1qp2/p2pbn2/4p2p/PPB1P1pP/2PP2P1/3N1P2/R2QRNK1 b - -,f6h7 a1b1 h7f8 b4b5 f8g6 b5a6 b7b6 d1b3 c8d8 c4d5,188
rn2kbnr/ppp2ppp/3q4/3ppb2/3P4/BP4PP/P1P1PPB1/RN1QK1NR b KQkq -,d6g6 a3f8 f5c2 d1c1 e8f8 d4e5 c2e4 g1f3 g8e7 b1d2,153
8/3k4/4b3/4b3/4B3/4B3/4K3/8 b - -,,0
rn1qk2r/pp2ppb1/2pp1npp/8/P2PP1b1/2N1BN2/1PPQBPPP/R3K2R b KQkq -,d6d5 e4e5 f6e4 c3e4 d5e4 f3g1 g4f5 f2f4 e7e6 g1h3,75
8/8/1R2Pk2/p2P2p1/1p2p3/4P3/r7/6K1 b - -,a5a4 b6b7 a2c2 b7f7 f6e5 e6e7 c2c8 f7f8 c8f8 e7f8q,640
4r3/pp3k2/5pp1/8/1Pp5/P1P2P1P/5P2/3R1K2 b - -,b7b5 f3f4 e8h8 f1g2 f7e6 g2g3 a7a5 f2f3 a5b4 a3b4,14
8/1p4Pk/3n1P2/p3N2P/3P4/Pb1P1P1B/4P2P/6K1 b - -,b3g8 e2e4 b7b5 e5c6 d6e8 e4e5 e8g7 f6g7 b5b4 h3f5,726
8/3n1ppp/p3p2k/1p1b2B1/5r1P/4KP2/PP4P1/4R3 b - -,h6h5 g5f4 e6e5 g2g4 h5g6 f4g3 f7f5 g4f5 g6f5 b2b3,211
3q1r2/1bn1ppkp/3p2p1/2nP1P2/1p2P3/1P2QNNP/r5P1/3RRBK1 b - -,a2a3 f1c4 b7a6 c4a6 c7a6 f3d4 f7f6 d1c1 f8f7 g1h2,183
3r2k1/6p1/5p1p/3p4/1R1R4/5P1P/P1r3PK/8 b - -,,0
r3r2k/p4pp1/8/3p2PP/2bP4/2N5/P4PK1/2B4R b - -,e8e6 c1f4 a8e8 h1b1 e6b6 b1h1 h8g8 g2g3 b6a6 f2f3,-57
8/8/6k1/1p3pq1/2p5/2P1Q3/1P3KP1/8 b - -,,0
r1b2rk1/pp3p1p/6p1/2Qp4/3N4/1P2P3/q4PPP/3R1RK1 b - -,a2a6 d1a1 a6f6 a1a7 a8a7 c5a7 f6g5 d4e2 g5e5 a7b6,83
r1b2r2/1p1nq1kp/2p1p1p1/p2pNp2/2PPn3/P2BP3/1PQN1PPP/R4RK1 b - -,d7e5 d4e5 e4d2 c2d2 b7b6 d3e2 f8d8 c4d5 e6d5 d2c3,17
5r2/3k4/2b1n1B1/1p1p2p1/2pP2R1/6KP/1P3B2/r3R3 b - -,a1a2 f2e3 a2b2 e3g5 b5b4 g5e3 c6b5 e3c1 b2b3 g3h2,-242
r1bq1rk1/pppp1ppp/1n3b2/8/3P4/1PN5/P1P1RPPP/R1BQ1BK1 b - -,d7d6 a2a4 c8g4 f2f3 g4e6 c3e4 f6e7 a4a5 b6d7 d4d5,54
rn1q1r2/p4pkp/2p2np1/1p2p1N1/4PPb1/2NB4/PPPQ2PP/R3K2R b KQ -,b8d7 h2h3 h7h6 h3g4 h6g5 f4f5 f6g4 e1a1 b5b4 c3a4,46
rn1qk2r/pp2ppb1/2p2npp/3pP3/P2P2b1/2N1BN2/1PPQBPPP/R3K2R b KQkq -,f6e4 c3e4 d5e4 f3g1 g4f5 g2g4 f5d7 b2b4 a7a5 b4b5,67
4r1k1/r4p1p/pN1p1Bp1/q3bP2/3nP2Q/1b5R/6PP/1B3RK1 b - -,e5f6 h4f6 a5b6 g1h1 b3c4 b1d3 c4d3 h3d3 d4e6 f5e6,-258
8/2R2k2/6p1/3r3p/5PPK/7P/8/8 b - -,f7f8 c7c3 h5g4 h3g4 f8g7 c3c7 g7f8 c7b7 d5a5 b7b3,5
8/1P6/8/1R6/6pK/5k2/2r5/8 b - -,c2h2 h4g5 h2h8 b5b3 f3e2 g5g4 h8b8 g4f5 b8f8 f5e6,577
2R5/8/1K6/6k1/6pp/8/8/8 b - -,g4g3 b6c5 h4h3 c8b8 g5f4 b8b4 f4e3 b4b3 e3f2 c5b4,-753
r3kbnr/pp3ppp/1qn1b3/1Bp5/5P2/5N2/PPPPQ1PP/RNB1K2R b KQkq -,,0
8/8/6k1/1p3p2/2p4q/2P1Q3/1P4P1/6K1 b - -,,0
rn1qk2r/pp2ppb1/2p3pp/3pP3/P2PN1b1/4BN2/1PPQBPPP/R3K2R b KQkq -,d5e4 f3g1 g4f5 g2g4 f5d7 b2b4 d7e6 a4a5 d8d7 h2h3,72
r3k2r/pp1b1n2/4p1n1/3pPppp/3N1P1P/P1P1K1P1/1P6/RN3B1R b kq -,g5h4 g3h4 f7e5 f4e5 f5f4 e3f3 h8f8 f3g2 g6e5 f1e2,3
3r2k1/pp3pp1/4b2p/8/3P4/B6P/PPr2PP1/3RR1K1 b - -,e6a2 d1c1 c2c1 e1c1 d8d4 a3c5 d4a4 c1c3 a7a6 c3a3,-34
r1b2r2/1p2q1kp/2p1p1p1/p2pPp2/2P1n3/P2BP3/1PQN1PPP/R4RK1 b - -,e4d2 c2d2 f8d8 d2c3 c6c5 c4d5 e6d5 d3e2 c8e6 f1d1,19
kr6/p6R/7p/2N5/P1Pp4/3P2P1/5PKP/1r6 b - -,b8c8 c5e6 b1a1 h7h6 a1a4 g3g4 a7a5 h6h5 c8g8 h2h3,203
r2q1rk1/pb3pp1/1p2pN1p/4N3/PnBP4/8/1P2QPPP/R2R2K1 b - -,g8h8 f6d7 d8g5 f2f3 h8g8 d7f8 a8f8 a1c1 b7d5 c4d5,520
r1bk3r/ppppn3/7p/2q5/5pQB/3B4/PP1N1PPP/R5K1 b - -,c5e5 d2f3 d7d6 f3e5 c8g4 e5g4 h6h5 g4f6 e7c6 a1d1,474
2rr4/5kpQ/bp1q1b1p/p2PpB2/8/P6P/1P3PP1/3RR1K1 b - -,c8c5 f5e6 f7e7 f2f4 d8f8 g1h1 e7d8 e6g4 a6b7 b2b4,-191
3r2k1/6p1/5p1p/1R1p4/3R4/5P1P/r5PK/8 b - -,,0
1b3r1k/r5p1/p1R4p/3p1pNQ/8/4B1P1/P4PKP/1q6 b - -,b8d6 e3a7 h8g8 g5f3 b1b7 c6d6 b7a7 h5g6 a7e7 d6d5,476
r4r1k/2p1qp2/p1pp1Npp/1n2P3/7Q/1P3P1P/2P3P1/2R2RK1 b - -,h8g7 f6h5 g6h5 h4e7 g7h7 e7f6 a8e8 f6f5 h7g7 e5d6,601
1r1q1r2/p1p3bk/4b1pp/2p1pp2/1n2P2N/B2P2P1/P2Q1PBP/1R3RK1 b - -,f5f4 a3b4 c5b4 b1b4 b8b4 d2b4 d8d3 f1c1 c7c5 b4e1,-158
rn1qk2r/pp2ppb1/2p3pp/4P3/P2Pp1b1/4B3/1PPQBPPP/R3K1NR b KQkq -,g4f5 f2f4 e7e6 a4a5 h6h5 e2c4 g7f8 g1e2 b8a6 c4a6,69
r1b2r2/1p2q1kp/2p1p1p1/p2pPp2/2P5/P2BP3/1P1Q1PPP/R4RK1 b - -,f8d8 d2c3 c6c5 c4d5 e6d5 d3e2 c8e6 f1d1 h7h5 h2h3,24
r4rk1/pb1N1pp1/1p2pq1p/8/PnBP4/8/1P2QPPP/R2R2K1 b - -,f6f4 d7f8 a8f8 e2e5 f4g4 c4f1 b7f3 d1d2 f3d5 a1c1,234
3q4/8/4Q1k1/1p3p2/2p5/2P5/1P4P1/6K1 b - -,,0
r3k2r/pp1b1n2/4p1n1/3pPp1p/3N1P1P/P1P1K3/1P6/RN3B1R b kq -,f7e5 f4e5 f5f4 e3d2 g6e5 c3c4 d5c4 b1c3 e8a8 d2c2,-5
8/3n1ppp/p3p1k1/1p1b4/5B1P/4KP2/PP4P1/4R3 b - -,h7h6 b2b3 e6e5 f4h2 f7f5 e3e2 f5f4 e1c1 g6f6 h4h5,217
rnb1kb1r/1pp1ppp1/p6p/8/3qN3/3B1Q2/P1PB1PPP/R3R1K1 b kq -,b8d7 f3g3 e7e5 a1d1 d4d5 d2c3 d5e6 e4c5 d7c5 c3e5,232
kr6/p5R1/1r5p/2N5/P1Pp4/3P2P1/5PKP/8 b - -,b8c8 a4a5 b6d6 c5e4 d6a6 g7d7 a6a5 f2f4 a5a3 d7d4,174
r2qkb1r/ppp2ppp/4pn2/3pN3/1n1P4/4P2P/PPbBBPP1/RN2QRK1 b kq -,b4a2 a1a2 f8d6 b2b4 c2f5 f2f3 e8h8 g2g4 f5g6 b4b5,317
r2q1rk1/p3bppp/4bn2/1Np5/3p1B2/8/PPP2PPP/R2QRBK1 b - -,e6c8 f4c7 d8d7 c7e5 a7a6 b5a3 f6g4 a3c4 g4e5 c4e5,63
3q1r2/1bn1p1kp/3p1pp1/2nP1P2/1p2P2P/1P2QNN1/r5P1/3RRBK1 b - -,a2c2 d1c1 c2c1 e1c1 b7c8 f5g6 h7g6 h4h5 g6g5 f3d4,187
r2qr1k1/1pp2ppp/p1np1n2/2b1p2b/2B1P3/2PP1NNP/PP3PP1/R1BQR1K1 b - -,h7h6 g3h5 f6h5 f3g5 h6g5 d1h5 d8d7 a2a4 c6d8 b2b4,378
8/pp3Qp1/2kR4/8/8/5PK1/PPr4P/8 b - -,h7h6 g3h5 f6h5 f3g5 h6g5 d1h5 d8d7 a2a4 c6d8 b2b4,Mate
