8/8/2k5/1p1B1p2/1P6/7p/8/7K b - -,b5a5 c3b2 f5g4 b2c2 g4h5 c2d2 a5b6 d2c3 h5d1 c3b4,Mate
1rbq1rk1/1p2ppb1/3p1npp/pP6/P1P1n3/1N4P1/1B1NPPBP/R2Q1RK1 b - -,e4d2 d1d2 d8c7 d2a5 c7c4 b3d4 c4c5 f1c1 c5h5 a5c7,154
3r2k1/1pb2pq1/p1p1p1pp/2Pr4/1P1PRP2/P1B2RP1/3Q3P/6K1 b - -,d8d7 d2e2 c7d8 h2h4 d8f6 f3d3 g7f8 a3a4 f6g7 a4a5,-89
r2q1rk1/1bpnbppp/pp2pn2/4N3/3PN3/P2B4/1PP1QPPP/R1B2RK1 b - -,d7e5 d4e5 f6e4 d3e4 b7e4 e2e4 d8d7 c1e3 f8d8 g2g3,-28
5rk1/1bN1b2n/p2p4/1p4p1/4P1P1/P1N2r2/1PP1RB2/R5K1 b - -,f8f7 c7d5 h7f6 a1d1 g8f8 g1g2 f6g4 f2g3 g4e5 d1h1,4
1r1r2k1/1p3ppp/p2P4/3N1b2/8/1P6/P1P2PPP/R3R1K1 b - -,g8f8 d5e3 f5e6 a1d1 b8c8 d1d4 c8c6 e1d1 b7b5 f2f4,266
2r2rk1/2q1bnpp/p2p1p2/3Q4/Np3P1P/1P6/PBPR2P1/1K5R b - -,f8e8 c2c3 a6a5 h1e1 e7f8 e1e8 c8e8 d2c2 c7a7 b2c1,177
2r1r1k1/p4pp1/1p1p1nbp/3Pn3/P1PBp1P1/q3P2P/3N1PB1/1R1Q1RK1 b - -,e5c4 d2c4 c8c4 b1a1 a3b4 a4a5 f6d5 a5b6 a7b6 f1e1,-38
8/8/8/8/8/8/r1k2K2/4R3 b - -,,0
8/8/5k2/R7/5K2/5p2/4bP2/8 b - -,e2d3 a5a3 d3g6 a3f3 f6e6 f4g5 g6b1 f3a3 e6f7 f2f4,9605
1rbq1rk1/n1p1ppbp/3p1np1/1p2P3/3P4/2N2NPP/PP2QPB1/R1B2RK1 b - -,d6e5 d4e5 f6d5 c3e4 b5b4 e4c5 d8e8 e2c4 e7e6 c1d2,135
3r1rk1/1pp2ppp/p7/8/PP3p1q/5P1P/3N1PK1/R2QR3 b - -,c7c5 b4c5 d8d5 d1e2 d5h5 e1h1 h5g5 g2f1 g5c5 d2e4,163
8/4n3/P2k4/7p/2K3p1/8/1P6/5B2 b - -,,0
r1bqkb1r/1pp1ppp1/n7/pN1p3p/2PPnB2/3BP3/PP3PPP/R2QK1NR b KQkq -,h5h4 a2a3 c7c6 c4d5 d8d5 f2f3 e4f6 b5c3 d5d8 g1e2,186
rn1qkbnr/1b1p1ppp/p3p3/1pp5/3PP3/1BP2P2/PP4PP/RNBQK1NR b KQkq -,d7d5 e4e5 b8c6 g1e2 d8b6 b3c2 a8c8 f3f4 g8h6 c1e3,-36
r3rbk1/ppq2ppp/2p2n2/2P5/3P1B2/1Q3NP1/PP3P1P/R4RK1 b - -,c7c8 f1e1 e8e1 a1e1 h7h6 f4d6 f8d6 c5d6 f6e8 b3b4,148
8/8/2kPK3/1P6/8/8/8/1b6 b - -,c6b5 d6d7 b5b4 e6e5 b4c3 d7d8q b1d3 d8a5 c3c2 e5d4,915
b1r5/p4ppk/1n5p/2N1r3/4p1BP/2R1P3/qPQ2PP1/2R3K1 b - -,c8e8 c3a3 a2d5 a3a7 f7f5 g4h3 d5d6 b2b4 a8c6 c2b2,379
8/P3n3/3k4/7p/2K5/6p1/1P6/5B2 b - -,e7c8 a7a8n d6e5 f1g2 h5h4 c4d3 e5f4 a8c7 c8b6 b2b4,29
1r3rk1/p1q1ppbp/2pp2p1/6Bn/2B1P1Q1/1PN5/P1P2PPP/3R2K1 b - -,g7c3 d1d3 c3g7 g4h4 d6d5 e4d5 c6d5 d3d5 f8d8 d5d8,-466
8/8/4Q2p/6pk/5b2/8/r7/6K1 b - -,,0
1r1r1k2/1p3ppp/p2P4/5b2/8/1P2N3/P1P2PPP/R3R1K1 b - -,f5e6 a1d1 b8c8 d1d4 c8c6 e1d1 b7b5 f2f4 g7g6 g2g4,277
5rk1/p1p3pp/1QB1q3/3p4/8/2N1P3/P1bB1PPP/5RK1 b - -,a7b6 c6d5 e6d5 c3d5 f8d8 f1c1 c2e4 d5c3 d8d2 c3e4,482
8/8/8/8/8/8/rk3K2/3R4 b - -,,0
6k1/5p2/p5p1/3Q3p/q1P1P3/5PP1/6KP/8 b - -,,0
3KQ2r/8/R7/3k4/8/8/8/8 b - -,a4b3 g2f2 b3b6 f2e2 a6a5 d5b5 b6g1 b5e8 g8g7 e8e5,Mate
r1b2rk1/4bppp/p6n/nppNP3/8/5N1P/PPB2PP1/R1BR2K1 b - -,e7d8 c1e3 f8e8 e3c5 c8b7 b2b4 a5c4 c2e4 a8b8 d1e1,226
r1r5/p3k1bp/4ppp1/2pb4/8/P1RP2P1/3NPPBP/2R3K1 b - -,a8b8 g2d5 e6d5 c3c5 c8c5 c1c5 b8b2 c5c7 e7f8 d2f3,137
8/6Kp/6p1/5p2/8/3k2P1/5P1P/8 b - -,f5f4 g3f4 d3e4 g7h7 e4f4 h7g6 f4f3 h2h4 f3f2 h4h5,20000
r1q1k2r/p3n1pp/1pnp1p2/2p1p3/2PP4/B1P1P1Pb/P1Q1NPBP/R2R2K1 b kq -,h3g2 g1g2 c8a6 c2b3 e8h8 a1b1 a8d8 e2g1 c6a5 b3b5,-176
8/pp3k2/6p1/7p/PPp5/2P1b1P1/7r/RN1K4 b - -,f7e6 d1e1 e6f5 b1a3 h2h1 e1e2 h1a1 a3c4 e3h6 e2f3,-691
r2q1rk1/ppp2pb1/2npbnp1/4p1Bp/2P4P/2NP1NP1/PP1QPPB1/R4RK1 b - -,a8b8 c3d5 e6d5 c4d5 c6e7 e2e4 c7c6 d5c6 e7c6 b2b4,68
r2r2k1/1b4b1/pN2Q1pp/q7/P1Pp4/R2B4/1P3PPP/6K1 b - -,g8h8 b6a8 b7a8 f2f3 a8c6 h2h3 c6e8 e6e7 d8b8 c4c5,-261
4Q3/8/7p/6pk/5b2/8/7r/6K1 b - -,,0
r1bqr1k1/ppp2ppp/2n5/2b1p3/2B2BP1/2NP1N1P/PPP1QP2/R3K2R b KQ -,c8g4 h3g4 e5f4 c3e4 c6a5 e1a1 c5b6 c4f7 g8f7 h1h7,345
r2q1rk1/1b2bppp/1n3n2/pNppN3/P4B2/6P1/1P2PPBP/2RQ1RK1 b - -,a8a6 b2b3 h7h6 h2h4 b7a8 d1d3 b6d7 f1d1 f6h5 b5c3,96
1rbq1rk1/4ppb1/1p1p1npp/pP6/P1PN4/6P1/1B1QPPBP/R4RK1 b - -,d8d7 d4c6 c8b7 b2d4 d7e6 g2d5 e6h3 c6e7 g8h7 d4f6,179
6k1/5p2/6p1/p1PQ3p/q3P3/5PP1/6KP/8 b - -,a4b4 c5c6 b4b6 g2h3 g6g5 d5g5 g8f8 g5e5 b6c6 e5a5,460
8/8/8/P7/7p/6k1/1PK1R1P1/6r1 b - -,g1h1 b2b4 h1f1 c2b3 f1f6 b4b5 f6f5 b3a4 f5f4 a4a3,641
r1bR2kr/p5p1/2p1pn1p/2b5/2B5/8/PPP2PPP/R1B3K1 b - -,g8f7 d8h8 a7a5 c1f4 a5a4 a1f1 c5f8 f1e1 a4a3 b2b3,442
3r2k1/5ppp/p7/2r1P3/2p2P2/3p2RP/P5P1/3R2K1 b - -,c5d5 e5e6 f7e6 d1b1 c4c3 b1b7 d5d7 g3d3 d7d3 b7c7,-636
8/8/7p/6p1/5b1k/8/7r/4Q1K1 b - -,,0
r4rk1/ppnn2pp/2p2p2/3p1b2/P2P3B/qQP2N2/P3BPPP/2R2RK1 b - -,a3b3 a2b3 f8e8 f1e1 c7e6 h4g3 f5g4 g1f1 a7a5 f3h4,21
1r1q1r1k/p3b1pp/1p6/3p4/3NPpbP/PP6/2Q1BPP1/R2R2K1 b - -,g4e2 c2e2 d5e4 d4e6 d8e8 e6f8 e7f8 d1d4 e4e3 b3b4,154
r3r1k1/pppb1pp1/4qB1p/n3p3/4PP2/P1PQ4/2PNB1PP/R4RK1 b - -,g7f6 d3g3 g8h7 g3h4 e8g8 g1h1 e6d6 a1d1 d7e6 d2f3,150
r1bq1rk1/4b1pp/p1n1pp2/1p2Pn2/3p1B2/1N1B1N2/PP3PPP/R2QR1K1 b - -,f6e5 f3e5 c6e5 f4e5 e7b4 e1e4 c8b7 b3d4 b4c5 d4e6,3
6k1/1pp2pp1/3p2q1/p1bP1b2/2P5/PP3BP1/1B5P/4Q2K b - -,g8f8 b3b4 a5b4 a3b4 c5b6 h1g2 f5g4 e1e4 g4f3 g2f3,-91
rn1qk1nr/1bp1ppbp/p2p2p1/1p6/1P1P1B2/2NBPN2/P1P2PPP/R2QK2R b KQkq -,g8f6 a2a4 c7c5 a4b5 c5b4 c3e2 e8h8 b5a6 b8a6 e1h1,-50
r1b2rk1/p1q3pp/3bpp2/1p1pN2Q/2pPnB2/2P1PP2/PPB3PP/R3K2R b KQ -,c8b7 f3e4 f6e5 d4e5 d6c5 e4d5 g7g6 d5d6 g6h5 d6c7,131
r1bqr1k1/ppp2ppp/2n5/2b5/2B1NpP1/3P1N1P/PPP1QP2/R3K2R b KQ -,a7a6 e2d2 b7b5 c4b3 c8e6 b3e6 e8e6 e1a1 d8d5 e4c5,47
8/8/7p/6p1/5b2/7k/7r/5QK1 b - -,,0
r1b1k1nr/ppppq1pp/5p2/2b1N3/2BnPP2/2P5/PP1P2PP/RNBQK2R b KQkq -,f6e5 c3d4 c5d4 b1c3 g8f6 d2d3 c7c6 f4f5 b7b5 c4b3,-83
b1r3k1/2p2p2/4Q3/PP2p1pp/4P3/2N2N1P/1P3PP1/R5K1 b - -,f7e6 f3g5 g8f8 g5e6 f8e7 e6c5 c8d8 a5a6 d8d2 a1b1,770
2rr1bk1/1bq1nppp/4p3/pp2P1P1/2np1P1P/P2N2N1/1PPBQ1B1/3R2RK b - -,e7d5 g2e4 b5b4 a3b4 f8b4 d2b4 a5b4 h1h2 c4e3 d1c1,-103
1r1r1k2/1p3ppp/p2Pb3/8/8/1P2N3/P1P2PPP/3RR1K1 b - -,b7b5 d1d4 b8c8 f2f4 g7g6 g2g4 c8c5 g1f2 a6a5 a2a3,279
r1bk3r/ppp2pbp/5np1/4p1B1/2B1N3/8/PPP2PPP/R3K2R b KQ -,c7c6 f2f4 b7b5 c4b3 d8c7 g5f6 g7f6 e4f6 e5f4 e1h1,366
8/8/7p/6p1/5b2/6k1/7r/4Q1K1 b - -,,0
r4k1r/1b1p1ppp/p1nPpn2/qp6/5B2/1Q6/PPP2PPP/1K1R1BNR b - -,c6d4 b3d3 d4f5 g1h3 a8c8 f4d2 a5b6 f2f3 f6d5 h3f4,-64
r4rk1/ppnn2pp/2p2p2/3p1b2/P2P3B/1PP2N2/4BPPP/2R2RK1 b - -,f8e8 f1e1 c7e6 h4g3 f5g4 a4a5 d7f8 a5a6 b7b6 h2h3,13
r2q1rk1/1b1nbppp/p2pp3/6P1/1p1BPP1P/6N1/PPPQ4/2KR1B1R b - -,d7c5 f1g2 a8c8 c1b1 e6e5 d4e3 e5f4 e3f4 g7g6 d2b4,95
r3r1k1/pppQ1pp1/5q1p/n3p3/4PP2/P1P5/2PNB1PP/R4RK1 b - -,e8d8 d7c7 d8d2 f4e5 f6b6 c7b6 a7b6 e2d3 a5c6 f1f5,58
3rk3/5R1R/7p/8/p4K2/2r5/P4PPP/8 b - -,c3c4 f4g3 c4c6 f7a7 c6g6 g3h3 e8f8 h7h8 g6g8 h8h6,679
1r1q1rk1/1B2ppb1/1p1p1npp/pP6/P1PN4/6P1/1B1QPP1P/R4RK1 b - -,e7e5 d4c6 d8d7 c6b8 d7b7 b8c6 f8e8 a1d1 b7c8 f2f3,503
1r3r2/3knNpp/p5b1/8/8/5N2/PP3PPP/3RR1K1 b - -,d7e8 f7d6 e8d7 d6f5 e7d5 d1d5 d7c6 f5e7 c6c7 e7g6,667
3KR3/1k6/3P4/8/8/8/8/6r1 b - -,g1h1 d6d7 b7c6 d8c8 h1a1 e8e6 c6d5 d7d8q d5e6 d8d7,3535
r2qr1k1/1bpnbNpp/pp2pn2/8/3PN3/P2B4/1PP1QPPP/R1B2RK1 b - -,d8c8 e4g5 e7d6 c1d2 h7h6 f2f4 e8e7 f7d6 c7d6 a1e1,233
b1Q3k1/5p2/2p5/PP2p1pp/4P3/2N2N1P/1P3PP1/R5K1 b - -,d8c8 e4g5 e7d6 c1d2 h7h6 f2f4 e8e7 f7d6 c7d6 a1e1,Mate
5rk1/p5pp/1p2q3/3B4/8/2N1P3/P1bB1PPP/5RK1 b - -,c2f5 d5e6 f5e6 f1c1 e6c4 f2f3 f8d8 d2e1 b6b5 a2a3,542
8/pp3k2/6p1/7p/PPp5/2P1b1P1/2K5/RN5r b - -,h1h2 c2d1 f7e6 b1a3 h2h1 d1e2 h1a1 a3c4 e3h6 c4e3,-700
3q1rk1/1r2ppb1/1pNp1npp/pP6/P1P5/6P1/1B1QPP1P/R4RK1 b - -,d8e8 b2f6 g7f6 a1a3 e8d7 d2h6 d7g4 h6f4 g4e2 h2h4,87
r3kb1r/pp2pppp/n1p5/8/6b1/3P1N1P/PPP1BPP1/R1B1K2R b KQkq -,g4f5 e1h1 e7e6 f3h4 f5g6 f1d1 a6c7 g2g3 e8a8 h4g6,28
r1bq1rk1/pp1nbppp/3pp3/6P1/3BP2P/2N5/PPPQ1P2/R3KB1R b KQ -,d7e5 f1e2 e5c6 d4e3 a7a6 h4h5 b7b5 a2a3 d8a5 h5h6,84
6k1/1ppb1pp1/3p2q1/p1bP4/2P4P/PP3B2/1B3P1P/4Q2K b - -,g6c2 e1c3 c2b1 h1g2 b1g6 g2f1 d7h3 f1e2 f7f6 h4h5,-92
3rk3/5R1R/7p/8/p1r5/6K1/P4PPP/8 b - -,c4c6 f7a7 c6g6 g3h3 e8f8 h7h8 g6g8 h8h6 g8g7 h6h8,680
1r1r1k2/5ppp/p2Pb3/1p6/3R4/1P2N3/P1P2PPP/4R1K1 b - -,b8c8 f2f4 c8c3 g1f2 g7g6 g2g4 f7f5 g4f5 e6f5 e3f5,266
r7/p3k1bp/4ppp1/2pb4/8/P2P2P1/3NPPBP/1R4K1 b - -,g7h6 g2d5 e6d5 b1b7 e7e6 d2b3 h6f8 g1f1 h7h5 e2e3,54
r1bqkb1r/ppp2ppp/2n1pn2/3pP3/3P1B2/5P2/PPP3PP/RN1QKBNR b KQkq -,f6d7 f4e3 c6e7 c2c3 c7c5 f3f4 c5d4 c3d4 d7b6 f1d3,17
r4rk1/p1Bn2pp/2p2p2/3p1b2/p2P4/1PP2N2/4BPPP/2R2RK1 b - -,a4b3 c1b1 f5b1 f1b1 c6c5 e2b5 f8f7 c7a5 c5d4 f3d4,142
r2q2k1/2p2ppp/p1P2n2/1p6/5Q2/NBP5/PP1P1KPP/R1B1r3 b - -,d8e7 f4f3 e1h1 a3c2 f6e4 f2e2 e4c3 e2d3 a8d8 c2d4,-745
r5r1/2pbnp1k/p2qpnp1/1p1p3p/1P1P1P1P/P1NBPPN1/2PQ1KR1/7R b - -,a6a5 h1b1 g8b8 g3e2 a5b4 a3b4 e7f5 d3f5 e6f5 e2c1,-31
r3kb1r/pp2pppp/n1p5/5b2/8/3P1N1P/PPP1BPP1/R1B2RK1 b kq -,e7e6 a2a3 f8d6 c1e3 a6c7 c2c4 e8h8 b2b4 f8d8 f1d1,25
b7/p1r2ppk/1n5p/4r3/4p1BP/1NR1P3/qPQ2PP1/2R3K1 b - -,c7c3 c2c3 e5b5 b3d4 b5e5 b2b4 h6h5 c1a1 a2c4 c3c4,482
2r5/pp3p2/3k4/5R2/1P6/P6P/6P1/6K1 b - -,d6e7 f5c5 c8b8 c5c7 e7e6 g1f2 f7f5 h3h4 a7a5 b4a5,255
r1q1k2r/p3n1pp/1pnp1p2/2p1p3/2PP4/B1P1P1P1/P1Q1NPKP/R2R4 b kq -,c8a6 c2b3 e8h8 g2g1 a6c8 e2c1 h7h5 b3b2 c8g4 c1b3,-167
r2r2k1/p3bpp1/1p3n1p/2q1N3/P1R2B2/4P2P/5PP1/RQ4K1 b - -,c5c4 e5c4 a8c8 c4e5 c8c5 g1h2 d8d2 a1a2 d2d8 a4a5,422
r6k/1p1n2p1/p2Q2P1/3Pp1q1/PP2Pr2/7P/5PB1/2R1R1K1 b - -,a8d8 c1c7 d7f8 d6e7 g5e7 c7e7 f8g6 e7b7 g6h4 b7b6,370
4rrk1/pp3ppp/2bb4/3qp3/8/2BP1N2/PPP1QPPP/R4RK1 b - -,f7f5 a1d1 f8f6 g1h1 f6g6 f1g1 d6c7 a2a4 e8e6 g1e1,-114
8/2b5/p1q5/2k1R1Q1/3p1n2/P6P/2P2PP1/2R3K1 b - -,c5c4 g5f4 c6e6 e5c5 c4c5 f4c7 e6c6 c7f4 c6d7 c1b1,1386
1r6/8/8/8/2k5/3b4/5R2/2K5 b - -,c4c3 f2c2 c3d4 c2b2 b8e8 c1d2 d4c4 d2c1 e8e1 c1d2,-5
r2q1rk1/ppp2pbp/2npbnp1/4p1B1/2P1P3/2NP1NP1/PP1Q1PBP/R3K2R b KQ -,a7a5 h2h3 d8d7 c3d5 f6h5 g3g4 h5f4 d5f4 e5f4 g5f4,21
8/8/8/K7/2kp4/8/8/3R4 b - -,,0
r1b1k2r/pp3pp1/4pn1p/2b5/2Pq4/P1N1B3/1PQ2PPP/R3KB1R b KQkq -,d4d7 e3c5 d7c6 c5e3 f6g4 e1a1 g4e3 f2e3 c8d7 e3e4,490
1bq1bk1r/5ppp/p3P1n1/1p1p4/2P5/5QB1/PP3PPP/2R1R1K1 b - -,b8g3 c4d5 g3h2 g1h2 c8b7 f3f5 b7b8 h2g1 g6e7 e6f7,517
r1bq1rk1/pp1pbppp/2n5/4P3/2Bp2n1/5N1P/PP3PP1/RNBQR1K1 b - -,g4f2 g1f2 d7d6 e5d6 e7d6 b1d2 h7h6 d2e4 d6c7 c1d2,158
4k3/5R2/7R/3r4/p1r5/6K1/P4PPP/8 b - -,e8f7 h6a6 f7e7 f2f3 e7d7 a2a3 d7c7 h2h4 d5h5 f3f4,-361
2rq1r1k/p3b1pp/1p6/3p4/3NPpbP/PP6/3QBPP1/R2R2K1 b - -,h7h5 e2g4 h5g4 d4e6 d8d6 e6f8 c8f8 e4d5 a7a5 d1e1,224
2rr1k2/5ppp/p2Pb3/1p6/3R1P2/1P2N3/P1P3PP/4R1K1 b - -,g7g6 g2g4 c8c5 g1f2 a6a5 a2a3 h7h5 h2h3 a5a4 b3a4,282
rn3rk1/1bq1npbp/p3p1p1/1pp3N1/5P2/3Q2P1/PPP1NBBP/R3R1K1 b - -,c5c4 d3a3 b7g2 g1g2 c7b7 a3f3 b7f3 g2f3 g7b2 a1b1,-277
r2r2k1/p3bpp1/1p3n1p/3qN3/P2R1B2/4P2P/5PP1/RQ4K1 b - -,d5c5 b1b3 d8f8 a1d1 a8c8 e5d7 f6d7 d4d7 a7a6 d7a7,58
b7/5p1k/2p5/PP2pQpp/4P3/2N2N1P/1P3PP1/R5K1 b - -,d5c5 b1b3 d8f8 a1d1 a8c8 e5d7 f6d7 d4d7 a7a6 d7a7,Mate
6k1/1pp2pp1/3p2q1/p1bP1b1p/2P5/PP3BP1/1B3P1P/4Q1K1 b - -,h5h4 b3b4 c5a7 e1e8 g8h7 c4c5 a5b4 a3b4 d6c5 e8e3,-12
r1br4/5k2/2qp1nQ1/p3p2p/4Pp2/2N2P2/PPP5/2KR2R1 b - -,f7e7 g6g7 e7e8 g7h8 e8d7 g1g7 d7e6 h8d8 c6d7 g7d7,Mate
1r2r1k1/2q1bnpp/p1bpQp1N/8/Np3P1P/1P6/PBP3P1/1K1R3R b - -,g7h6 h1e1 c7c8 e6e2 e7d8 e2d3 e8e1 d1e1 h6h5 e1e3,-345
r1bq1rk1/pp1pbppp/2n4B/4P3/2Bp4/5N1P/PP3PP1/RN1QR1K1 b - -,b7b5 f3d4 g7h6 c4d5 e7c5 d4f3 d8b6 d1d2 b5b4 d2h6,276
r2qr3/1bpnbkpp/pp2pn2/6N1/3P4/P2B4/1PP1QPPP/R1B2RK1 b - -,f7f8 g5e6 f8g8 e6d8 e7d8 e2d1 c7c5 c1f4 b6b5 a3a4,473
1rbq1rk1/n1pnppbp/3pP1p1/1p6/3P4/2N2NPP/PP2QPB1/R1B2RK1 b - -,d7f6 e6f7 f8f7 f3g5 f7f8 f1e1 g8h8 a2a4 c8d7 a4a5,171
r2q1rk1/1b2bp1p/4pp2/pBpp4/N3P3/1P6/P1P1QPPP/3R1RK1 b - -,d5d4 d1d3 g8h8 d3h3 f8g8 g2g3 g8g7 b5d3 d8c7 a4b2,39
8/8/4k3/R7/4K3/5p2/4bP2/8 b - -,e6e7 e4f4 e2f1 f4f3 e7d8 a5a3 f1c4 f3f4 d8d7 f4e5,9605
b7/p4ppk/1n5p/4r3/4p1BP/1NQ1P3/qP3PP1/2R3K1 b - -,e5b5 b3d4 b5e5 b2b4 a2d5 c3c7 e5e8 c7a7 d5b7 a7a5,500
1r2kr2/4n1pp/p2N2b1/8/8/5N2/PP3PPP/3RR1K1 b - -,e8d7 d6f5 d7c8 f5e7 c8b7 e7g6 h7g6 h2h4 b7a8 e1e6,671
r1bqk2r/pp2bppp/2Npp3/8/2B1n3/2N1B3/PPP2PPP/R2Q1RK1 b kq -,e4c3 c6d8 c3d1 d8e6 f7e6 a1d1 c8d7 e3d4 d6d5 c4b3,36
6k1/1pp2pp1/3p2q1/p1bP1b2/2P4p/PP3BP1/1B3PKP/4Q3 b - -,g8f8 b3b4 h4h3 g2g1 c5a7 b2c3 a5b4 a3b4 f5d3 c4c5,-70
1r1q1rk1/1b2ppb1/1pNp1npp/pP6/P1P5/6P1/1B1QPPBP/R4RK1 b - -,b7c6 b5c6 f6e8 b2g7 g8g7 a1b1 g7h7 b1b3 e8c7 g3g4,193
r4k1r/1b1p1ppp/p2Ppn2/qp6/3n1B2/3Q4/PPP2PPP/1K1R1BNR b - -,d4f5 f2f3 f6d5 g1h3 a8c8 f4d2 a5b6 h3f4 d5e3 d1e1,-78
4k3/5R1R/7p/3r4/p1r2P2/6K1/P5PP/8 b - -,d5d3 g3g4 c4c6 f7a7 c6g6 g4h4 g6g8 h2h3 g8f8 g2g3,725
r2qk2r/1pp1nppp/1pn1b3/3Pp3/8/P5P1/1PPPNPBP/R1BQ1RK1 b kq -,e6d7 d5c6 d7c6 g2c6 e7c6 d2d4 e5d4 e2f4 e8h8 f4d3,383
6r1/8/7k/5K1P/4R1P1/8/8/8 b - -,g8f8 f5e5 h6g5 e5d6 f8f1 d6d7 f1f3 d7e8 f3f6 e4b4,8
r3nrk1/Np1q1pbp/1Bn1p1p1/1B2P3/2P3b1/P4N2/4Q1PP/1R3RK1 b - -,e8c7 f1d1 d7e7 b5c6 b7c6 h2h3 c7a6 h3g4 a8a7 b6a7,178
8/1k1K4/3PR3/8/8/8/8/6r1 b - -,g1g8 e6e8 g8g4 d7d8 b7c6 d6d7 g4g7 e8e6 c6d5 e6e1,3347
rnbqkb1r/1p1Npppp/p7/2p5/8/2NP4/PPP2PPP/R1BQKB1R b KQkq -,d8d7 c1e3 e7e6 f1e2 f8e7 d3d4 c5d4 d1d4 d7d4 e3d4,36
r3kb1r/5p2/pqbppp2/3N1P1p/1p2P3/8/PPP3PP/1K1RQB1R b kq -,b6c5 d5c7 e8e7 f5e6 f7e6 c7a8 c6a8 f1a6 f8h6 h1f1,242
r1br4/6Q1/2qpknR1/p3p2p/4Pp2/2N2P2/PPP5/2KR4 b - -,b6c5 d5c7 e8e7 f5e6 f7e6 c7a8 c6a8 f1a6 f8h6 h1f1,Mate
8/8/p1q5/2knQ3/3p4/P1P4P/5PP1/2R3K1 b - -,c6b5 c3d4 c5b6 c1c5 b5c5 d4c5 b6c5 g1h2 c5c4 e5e4,9605
b7/5p2/2p2Q1k/PP2p1pp/4P3/2N2N1P/1P3PP1/R5K1 b - -,c6b5 c3d4 c5b6 c1c5 b5c5 d4c5 b6c5 g1h2 c5c4 e5e4,Mate
1r2r1k1/2q1bn1p/p1bp1p1p/8/Np3PQP/1P6/PBP3P1/1K1R3R b - -,g8f8 d1e1 b8b5 h4h5 c7c8 g4h4 c8f5 b2c1 e7d8 e1e8,-361
r1r3k1/2qb1pb1/pB2p1p1/3pP1P1/1p5R/1PN4R/1PP1QP1P/1K6 b - -,c7e5 b6d4 e5d4 h4d4 g7d4 h3h4 d4g7 h4b4 a6a5 b4b7,208
2r2qk1/p2p2pp/bp2p3/n1p5/2PPP3/P1PB4/2QB2PP/5RK1 b - -,f8e8 e4e5 e8h5 c2a4 c8f8 d2e3 c5d4 c3d4 f8f1 d3f1,57
b7/p4ppk/1n5p/3r4/4p1BP/1NQ1P3/qP3PP1/R5K1 b - -,a2a1 b3a1 h6h5 g4e2 a8b7 a1b3 b7c8 c3c2 c8e6 c2e4,730
rr4k1/5ppp/p1pqp3/2Np1b2/3Pn3/Q3PN2/PP3PPP/R1R3K1 b - -,a6a5 f3e5 b8b5 c5e4 d6a3 b2a3 f5e4 c1c6 b5b2 h2h4,90
6k1/1pp2pp1/3p2q1/p1bP1b2/2P5/PP3BPp/1B3P1P/4Q1K1 b - -,f5g4 f3e4 g4f5 e4f3 g8f8 e1c3 f7f6 f3e2 f5e4 b3b4,-22
1r6/8/8/8/8/2kb4/2R5/2K5 b - -,c3d4 c2b2 b8e8 c1d2 d4c4 d2c1 e8e1 c1d2 e1e6 d2c1,-5
r3r1k1/pppqnppp/2n3B1/3p3N/3P4/P1P3Q1/2PB1PPP/R3R1K1 b - -,h7g6 h5f4 c6a5 f4d3 e7f5 g3f3 a5c4 d2f4 f7f6 f3g4,-70
6r1/4R3/5K1k/7P/6P1/8/8/8 b - -,,0
1bq1bk1r/5ppp/p3P1n1/3p4/2p5/Q5B1/PP3PPP/2R1R1K1 b - -,f8g8 g3b8 c8b8 b2b3 h7h6 b3c4 d5c4 a3a6 g8h7 a6c4,22
8/5p1p/4pkp1/8/6KP/8/5P2/8 b - -,h7h5 g4f3 g6g5 f3e3 g5h4 e3e4 h4h3 e4f3 h3h2 f3g2,-1888
r4rk1/p1Bn2pp/2p2p2/3p1b2/3P4/1pP5/3NBPPP/2R2RK1 b - -,f8c8 c7d6 b3b2 c1b1 c8e8 e2a6 f5b1 f1b1 d7b6 b1b2,74
r1bqk2r/pp2ppbp/1n1p2p1/P2P4/1nP5/5N2/1P2BPPP/RNBQK2R b KQkq -,b6d7 d1d2 b4a6 e1h1 e8h8 a1a3 d7c5 b2b4 c5e4 d2c2,117
r2r2k1/1p3p1p/p1q3p1/3p1nB1/P7/2PQ4/1P3PPP/R2R2K1 b - -,,0
1r1q1rk1/4ppb1/1pPp1npp/p7/P1P5/6P1/1B1QPPBP/R4RK1 b - -,h6h5 a1b1 f6e8 d2e3 d8c7 f1d1 g7f6 d1d2 f6g7 h2h3,220
rn1r2k1/pbp2p1p/1p2pqp1/6N1/3P4/2PB4/PP1Q1PPP/2KR3R b - -,c7c5 h2h4 c5d4 g5e4 f6e5 f2f4 e5g7,-73
5r1k/1p1Q2p1/p5P1/3Pp1q1/PP2Pr2/7P/5PB1/2R1R1K1 b - -,g5h5 c1c8 h5g6 c8f8 f4f8 d7e7 f8e8 e7h4 h8g8 e1d1,561
r2qr1k1/1bpnb1pp/pp2Qn2/6N1/3P4/P2B4/1PP2PPP/R1B2RK1 b - -,g5h5 c1c8 h5g6 c8f8 f4f8 d7e7 f8e8 e7h4 h8g8 e1d1,Mate
