8/P7/8/8/2p3k1/5p2/3K4/8 b - -,c4c3 d2c3 f3f2 a7a8q f2f1q a8e4 g4g3 c3d2 f1f4 d2d3,Mate
r1bqkb1r/pp3p1p/4pnp1/1Q6/3PN3/8/PP3PPP/R3KBNR b - -,c8d7 e4f6 d8f6 b5b7 f6d8 g1f3 a8b8 b7a7 f8b4 e1d1,-59
rn1q1rk1/pbp2p2/1p2p2p/6p1/2PPPB2/2PB3P/P4QP1/2KR2NR b - -,b8c6 f4g3 c6a5 g1f3 d8e7 f2b2 b7a6 h3h4 a6c4 h4g5,430
r2qk2r/4bppp/p2pp3/Np6/3Qn3/4B3/PPP3PP/R3KB1R b KQkq -,a8c8 a5b7 d8c7 d4e4 d6d5 e4g4 e8h8 f1d3 f7f5 g4f3,291
r1bqkb1r/1pp2pp1/p1n1pn1p/3pP3/3P3B/2N2N2/PPP2PPP/R2QKB1R b KQkq -,g7g5 f3g5 h6g5 h4g5 f8e7 e5f6 e7f6 g5e3 e6e5 d4e5,81
r3kb1r/1pp2pp1/p1p2qn1/4p3/4P1p1/2PP4/PP1N1PPN/R1BQ1RK1 b kq -,f6h4 f2f4 h4h2 g1f2 h2h4 f2e2 g6f4 f1f4 e5f4 d1f1,-566
1k1r4/1p6/p1Nb1rb1/P7/2R2pBp/7P/1PP1RPP1/1K6 b - -,b8a8 c6d8 d6f8 g4f3 a8b8 f3b7 g6f5 b7f3 f5d7 d8c6,815
8/1Q5k/4K3/2q5/5r2/7P/8/8 b - -,b8a8 c6d8 d6f8 g4f3 a8b8 f3b7 g6f5 b7f3 f5d7 d8c6,Mate
5rk1/p5r1/2pNp1B1/q2nP2Q/1p5P/4P3/PP3P1K/5R2 b - -,a5d8 f1g1 d8e7 f2f4 b4b3 h5h6 f8f6 e5f6 e7f6 g6f7,523
rn1q1rk1/pbpp1ppp/1p2Pn2/8/1bP5/2N2NP1/PP2PPBP/R1BQK2R b KQ -,b4c3 b2c3 d7e6 d1d8 f8d8 c1f4 b8d7 e1h1 a8c8 f1d1,-118
r3r1k1/1p3p1p/p5p1/3P1q2/2pb1PP1/3P1Q1P/PP6/1RB2K1R b - -,f5d3 f3d3 c4d3 h1h2 a8c8 d5d6 c8d8 c1d2 d8d6 b1c1,-250
3rr1k1/1p3ppp/p1n5/2b2b2/P3nN2/3BPN1P/1P3PP1/R1B2RK1 b - -,c6a5 b2b4 c5b4 c1a3 b4a3 a1a3 e4d6 d3f5 d6f5 a3c3,3
r2qk2r/1bp2ppp/p2bpn2/1p6/8/1BNPQ3/PPP2PPP/R1B2RK1 b kq -,d6h2 g1h1 h2d6 e3h3 h7h5 c1g5 d6e7 a1e1 h5h4 f2f4,-184
r2b2k1/2r1qppp/B2p1n2/3Pp1N1/P7/5R2/P3QPPP/3R2K1 b - -,h7h6 g5h3 c7c5 f3b3 f6d5 a6b7 a8a5 b7d5 c5d5 d1d5,-108
8/4rpk1/1R4p1/p5Np/4PPnP/1P4P1/8/6K1 b - -,e7d7 e4e5 g4h6 g1f2 d7d3 b6b7 g7g8 g5e4 h6g4 f2f1,52
4r1k1/pp4pp/2p5/2Pp4/KP1Pb2R/5r2/P4q2/2Q3R1 b - -,e7d7 e4e5 g4h6 g1f2 d7d3 b6b7 g7g8 g5e4 h6g4 f2f1,Mate
r1bq1rk1/ppp2ppp/2B5/b2pP3/P2P4/5N2/1P1N1PPP/R2QK2R b KQ -,a5d2 d1d2 b7c6 e1h1 c8g4 a1a3 a8b8 f1c1 g4f3 a3f3,114
5r1k/6p1/p6p/P3Rb2/1r2p3/6P1/4PPBP/3R2K1 b - -,h6h5 h2h3 g7g6 e5e7 b4b2 g1f1 b2b4 g3g4 h5g4 h3g4,225
r4rk1/1p2qpp1/p3bn1p/2np4/8/2NBPNP1/PPQ2PP1/2R2RK1 b - -,a8c8 d3f5 f8d8 f5e6 f7e6 c3e2 e6e5 f3h4 e7e8 c2g6,3
4rk2/1p4r1/1p1R2p1/6p1/6P1/8/PP4P1/R5K1 b - -,f8g8 d6b6 g7c7 b6g6 g8h7 g6b6 e8e2 a1d1 h7g8 d1d8,195
3r2k1/7p/p2r2p1/1pq1P3/2pR4/2P1PKP1/PQ4P1/2R5 b - -,c5e5 f3e2 d6d4 c3d4 e5e4 b2c2 e4g2 e2e1 g2g3 c2f2,-480
r5k1/2R2ppp/3rb3/p7/8/P2B1P2/1PP3PP/2K4R b - -,g7g6 c7c5 a5a4 h1d1 h7h5 d3e4 d6d1 c1d1 a8d8 d1c1,391
8/1Q4R1/5pbk/p2p3p/P2q3P/8/1P3BPK/8 b - -,d4f2 b7e7 f2h4 h2g1 h4d4 g1h1 d4h4,Mate
r5k1/ppp2p1p/6pB/8/3bP1P1/2N3QP/PPP5/5B1K b - -,d4g7 h6g7 g8g7 g3c7 g7g8 c3d5 b7b5 c7e5 a7a6 d5e7,1137
r4rk1/p1Q1ppbp/4qnp1/3pNb2/3P1B2/2P1P3/PP3PPP/RN3RK1 b - -,f8c8 c7a5 a8b8 b2b3 f6h5 b1d2 h5f4 e3f4 f7f6 e5f3,103
8/8/6r1/8/8/5K1p/5P1B/5k2 b - -,f8c8 c7a5 a8b8 b2b3 f6h5 b1d2 h5f4 e3f4 f7f6 e5f3,Mate
r1bq1rk1/pp1n2pp/2p1N3/2bpPp2/5Pn1/2NQ4/PPPB2PP/2KR1B1R b - -,d7e5 e6d8 e5d3 f1d3 f8d8 d1e1 c8d7 c3d1 d8e8 c2c4,-226
rnbqkbnr/pp3p1p/2p1p1p1/3pP3/1P1P4/2P5/P4PPP/RNBQKBNR b KQkq -,f7f6 e5f6 g8f6 f1d3 f8g7 g1f3 e8h8 e1h1 a7a5 b4b5,40
r3k2r/4bppp/p2pp3/qp6/1P1Qn3/4B3/P1P3PP/R3KB1R b KQkq -,a5a4 d4e4 d6d5 e4d3 a4b4 e3d2 b4c5 d3c3 c5c3 d2c3,42
7Q/8/6k1/1R5p/rnP5/p6P/5P2/6K1 b - -,a5a4 d4e4 d6d5 e4d3 a4b4 e3d2 b4c5 d3c3 c5c3 d2c3,Mate
r1b5/1N2k2n/2P3pp/p7/4P3/b5BP/P1R3P1/1R4K1 b - -,h7f6 b1d1 c8e6 g3d6 a3d6 b7d6 f6e8 d6b5 a8b8 b5d4,581
r5rk/4b2p/3q1ppB/p2p4/1p1P4/3B2NP/PPP2Q2/1K3R2 b - -,d6e6 h3h4 a5a4 h6d2 a8e8 h4h5 g6g5 g3f5 e7f8 d2c1,301
7r/R1R4p/2r2pkb/8/8/6P1/5P2/5K2 b - -,c6c1 f1g2 h8c8 c7c8 c1c8 a7a4 h6c1 a4g4 c1g5 g4d4,-325
r5k1/2R2ppp/1r2b3/p7/2B5/P4P2/1PP3PP/2K4R b - -,a5a4 h1e1 a8b8 c4e6 f7e6 e1e4 b6b2 c7c8 b8c8 c1b2,380
8/1K5k/P7/8/8/7P/8/r7 b - -,,0
2r4r/ppkqnNbp/n5p1/8/Q4B2/5N2/PP3PPP/R4RK1 b - -,c7b6 a4d7 a6c5 d7d6 e7c6 f4e3 b6a6 d6c5 b7b6 c5a3,1367
3r2k1/1p1r1pp1/1np4p/8/p3N1Pb/4P3/PPR1KPBP/7R b - -,,0
r1bqk2r/pppn1ppp/3b1n2/5N2/8/5B2/PPP2PPP/RNBQ1RK1 b kq -,d7c5 f5g7 e8f8 c1h6 f8g8 f1e1 c5e4 h2h3 e4g5 h6g5,380
5rk1/p5r1/2pNp1B1/q3P2Q/1p5P/4n3/PP3P1K/6R1 b - -,e3g2 g1g2 a5c7 f2f4 c6c5 h5h6 f8f4 g6h7 g8f8 h6f4,Mate
1r3rk1/6pp/p7/3p4/1ppP1n2/4RNNq/PP3P2/R4QK1 b - -,h3h6 a1e1 b8c8 a2a3 b4a3 b2a3 c4c3 e1c1 c3c2 g3e2,-104
2r3rk/6qp/p1b1Q3/1p1pPp2/3P1p2/P1RB3P/1P3RP1/6K1 b - -,c6b7 e6f5 c8c3 b2c3 g8f8 f5e6 b7c8 e6d6 c8h3 d3e2,278
r4rk1/p1p1npp1/np1qp2p/3pN3/3P1P2/2P3P1/PP1N1P1P/R2Q1RK1 b - -,c7c6 d2f3 c6c5 f1e1 a6b8 h2h4 b8d7 h4h5 d7e5 f3e5,9
r4rk1/p1qn1pp1/2pb1n1p/1p2p3/3PP3/1BP1BR2/PP1N2PP/R3Q1K1 b - -,c6c5 e1h4 h6h5 a1f1 e5d4 c3d4 c5d4 e3g5 d6e5 f3h3,65
1R6/1P5k/5p1P/8/5K2/1r3P2/8/8 b - -,b3b4 f4f5 b4b6 f5e4 b6b5 f3f4 b5b1 e4d5 b1b6 d5c5,3401
r1b1kb1r/1p3ppp/p3pn2/8/3N1B2/2P5/PP3PPP/R3KB1R b KQkq -,f8c5 d4b3 c5b6 b3d2 b6c5 f1e2 c8d7 e2f3 e8a8 d2c4,10
3r4/2kr1pp1/2p1pn1p/p7/1P1P4/1BP2PP1/1P4P1/2KR3R b - -,d8a8 b4a5 a8a5 g3g4 a5g5 d1e1 c7d6 h1h2 d7b7 b3c4,100
6k1/pp3p2/3Pr1p1/b1P4p/3p3P/3B2P1/R4P2/5K2 b - -,e6e1 f1g2 a5d8 a2a7 g8g7 a7b7 e1c1 b7b8 d8a5 b8c8,378
r2q2rk/4b2p/6p1/p2p1B2/1p1P1B2/6NP/PPP2Q2/1K3R2 b - -,e7d6 f5g4 g8f8 f4d6 d8d6 g4f3 f8f7 f1d1 a5a4 d1d3,85
4r1k1/pp4pp/2p5/2Pp4/KP1Pb2R/Q4r2/q7/6R1 b - -,e7d6 f5g4 g8f8 f4d6 d8d6 g4f3 f8f7 f1d1 a5a4 d1d3,Mate
8/5p2/3q2pk/p4n1p/2pP1N1P/2P3P1/P1Q2PK1/8 b - -,,0
8/7p/p2k1p2/1p1p1bp1/1P1K4/P3P3/4NPPP/8 b - -,f5e4 f2f3 e4f5 e2c3 f5e6 e3e4 d5e4 c3e4 d6e7 e4c5,204
1r4k1/2R2ppp/1r2B3/p7/8/P4P2/1PP3PP/2K4R b - -,b6e6 h1d1 a5a4 c7d7 g8f8 c1b1 g7g5 d1d2 e6e1 b1a2,400
8/2K4k/P7/8/8/5R1P/1r3p2/8 b - -,,0
3rr1k1/1p3ppp/p7/n1b2b2/PP2nN2/3BPN1P/5PP1/R1B2RK1 b - -,c5b4 c1a3 b4d6 a3d6 e4d6 d3f5 d6f5 a1c1 f5d6 c1c5,6
8/4Rpk1/8/3P2pp/r3p3/2K1P1P1/5PP1/8 b - -,a4a2 e7e4 f7f5 e4d4 g7f7 d4d2 a2a7 c3c4 f7f6 c4c5,303
8/pp6/3k4/1b6/5K2/2p5/6P1/8 b - -,a4a2 e7e4 f7f5 e4d4 g7f7 d4d2 a2a7 c3c4 f7f6 c4c5,Mate
1k1r4/1p6/p1pb1rb1/P7/2RN1pBp/7P/1PPR1PP1/1K6 b - -,,0
r4rk1/p3npp1/np1qp2p/2ppN3/3P1P2/2P2NP1/PP3P1P/R2Q1RK1 b - -,a8c8 d1e2 a6b8 h2h4 b8d7 e5d7 d6d7 h4h5 e7f5 a1d1,6
1k1r3b/2p4p/pn1p4/5N2/q2Pb3/2Q5/PPP4P/1K1R1R2 b - -,b6d5 c3b3 a4b3 a2b3 e4f5 f1f5 d5e3 d1f1 e3f1 f5f1,-492
r4k2/1p3p1p/2p3p1/3b4/Pp1P4/1P3P2/2P2KPP/4R3 b - -,a8d8 e1e2 d5e6 f2e3 e6f5 e2d2 g6g5 h2h3 f5g6 g2g4,-410
3r2k1/1p3ppp/2r5/2np4/PBp5/4PP2/6PP/R2R2K1 b - -,c5b3 a1a3 f7f5 g2g3 g8f7 h2h4 f7e6 h4h5 c6b6 b4c3,-206
7r/2R4p/5pkb/8/8/6P1/5P2/5K2 b - -,h8d8 c7c2 d8d1 f1e2 d1c1 c2a2 c1c8 e2f1 h6f8 f1g2,-339
8/K6k/P7/8/8/7P/8/1r6 b - -,,0
7Q/5k2/1R6/7p/rnP5/p6P/5P2/6K1 b - -,h7g6 h3h4 g6h6 a7a8 h6h7 a6a7 h7h6 h4h5 h6g5 h5h6,Mate
2rq1rk1/p2nbppp/bp2pn2/3p4/2PN4/1P4P1/PBQNPPBP/2RR2K1 b - -,e6e5 d4f5 f8e8 c2d3 e7f8 g2d5 d7c5 d3e3 f6d5 c4d5,43
1r3rk1/6pp/p6q/3p4/1ppP1n2/4RNN1/PP3P2/4RQK1 b - -,b8c8 a2a3 a6a5 a3b4 a5b4 e3e5 c4c3 b2c3 b4c3 e5e3,-95
r2b2k1/2r1qpp1/B2p1n1p/3Pp3/P7/5R1N/P3QPPP/3R2K1 b - -,f6d5 a6c4 d5f6 c4b3 c7d7 g2g3 a8a5 f3c3 d6d5 c3c6,-127
8/8/4b3/4Rk2/8/1rp3Bp/1P3P2/5K2 b - -,,0
8/7k/PK6/8/8/5R1P/2r2p2/8 b - -,,0
8/pp6/3k4/1b6/5KP1/8/2p5/8 b - -,c2b2 b6c7 b2c2 c7b7 c2b2 b7a8 h7g6 h3h4 b2b6 a6a7,Mate
2r4k/3q2rp/p1b1pQ2/1p1pPpP1/3P4/P1RB3P/1P4P1/5RK1 b - -,h8g8 f6h6 g7g6 h6h4 b5b4 a3b4 c6b5 d3b5 a6b5 c3c5,273
3r4/2kr1pp1/2p1pn1p/8/1p1P4/1BP2PP1/1PK3P1/3R3R b - -,c7b6 g3g4 b4c3 b2c3 d7a7 d1a1 d8a8 a1a7 a8a7 h1d1,-7
1r4k1/2R3pp/1r2p3/p7/8/PP3P2/2P3PP/2K4R b - -,b8d8 h1e1 d8d5 c7e7 d5g5 e1e2 b6d6 h2h4 g8f8 h4g5,481
8/1R3pk1/6pn/p3P1Np/5P1P/1Pr3P1/8/4K3 b - -,a5a4 b3a4 g7f8 a4a5 c3a3 b7a7 a3g3 e5e6 f7e6 a7h7,313
8/8/4b3/8/4k3/2P3Bp/4KP2/3r4 b - -,a5a4 b3a4 g7f8 a4a5 c3a3 b7a7 a3g3 e5e6 f7e6 a7h7,Mate
3r4/P1k5/3r4/7B/5p1p/7P/1PP1RPP1/1K6 b - -,d6a6 e2e4 a6a7 e4f4 d8d2 b2b3 c7d6 b1c1 d6e5 f4f8,287
2r2rk1/4qN1p/p3pnBQ/np4N1/3P4/8/PP3PPP/5RK1 b - -,e7f7 g6f7 f8f7 g5f7 g8f7 f1c1 a5c6 g1h1 f6d5 h6h7,Mate
8/8/4bk2/4R3/8/1rP3Bp/5P2/5K2 b - -,f6f7 e5c5 b3b1 f1e2 b1a1 e2d3 f7g6 c5b5 a1a2 b5b4,3
3rr1k1/ppp2ppp/2n1b3/1B1p2qn/1b1N4/1PN1PP2/PBPQ3P/1K1R3R b - -,e6d7 f3f4 g5h6 a2a3 b4a5 h1g1 h5f6 b5c6 b7c6 b3b4,-62
5r1k/6p1/p6p/P3Rb2/r3p3/6PP/4PPB1/3R2K1 b - -,f5h7 f2f4 a4a2 g1f2 g7g5 g2e4 h7e4 e5e4 a2a5 f2f3,235
5bk1/1p3pp1/p1q4p/1P6/P2B1n2/5P1P/5P2/4QBK1 b - -,a6b5 a4b5 c6f3 e1e3 f3e3 d4e3 f8d6 g1h1 f4d5 e3d4,-12
8/K6k/P7/8/8/5R1P/1r3p2/8 b - -,,0
4r3/4N2p/1p6/p4p1k/2Pp1q2/BP1P3P/P3Q3/7K b - -,h5g5 h1g2 f4b8 h3h4 g5f6 e2h5 e8g8 e7g8 b8g8 g2f2,692
8/4k3/1R5Q/7p/rnP5/p6P/5P2/6K1 b - -,h5g5 h1g2 f4b8 h3h4 g5f6 e2h5 e8g8 e7g8 b8g8 g2f2,Mate
8/K7/P5k1/8/7P/8/8/1r6 b - -,,0
8/pp6/3k4/1b3K2/6P1/8/8/2q5 b - -,b1a1 a7b7 a1b1 b7c6 g6h5 a6a7 b1c1 c6b6 c1a1 b6b7,Mate
2rq1rk1/p2nbppp/b3pn2/1p1p4/2PN4/1P4P1/PB1NPPBP/1QRR2K1 b - -,e7c5 c4d5 e6d5 b3b4 c5b6 c1c8 a6c8 e2e3 a7a6 d1c1,132
8/8/4bk2/4R3/8/2P3Bp/4KP2/1r6 b - -,b1b2 e2e3 b2c2 e5c5 f6g6 e3f4 c2f2 g3f2 h3h2 c5g5,5
1R6/1P5k/5p1P/5K2/1r6/5P2/8/8 b - -,b4b3 f5e6 b3e3 e6d5 e3b3 f3f4 f6f5 d5e5 b3b5 e5f6,721
r2q1rk1/p1p2ppp/b1p5/3pP3/P2P4/1N3N2/1P3PPP/R3Q1K1 b - -,a6d3 b3c5 d3e4 a1a3 a8b8 e1d2 f8e8 h2h3 a7a5 a3e3,-18
2b5/rN2k2n/2P3pp/p7/4P3/bR4BP/P1R3P1/6K1 b - -,a3b4 a2a3 c8e6 a3b4 e6b3 c6c7 b3e6 g3d6 e7f6 b7d8,646
2b3k1/8/p2bp3/1p6/6p1/2P5/PP2KPPP/3B4 b - -,g8f7 e2d3 e6e5 b2b4 c8f5 d3d2 f5d7 g2g3 d6f8 f2f3,-262
4rrk1/6pp/5q2/p2p4/1ppP1n2/6RP/PP1QNPP1/4R1K1 b - -,f4d3 e1f1 d3f2 g3f3 f2e4 d2e3 f6d6 f3f8 e8f8 f1f8,-271
8/8/8/8/4k1b1/2P2PBp/4K3/3r4 b - -,f4d3 e1f1 d3f2 g3f3 f2e4 d2e3 f6d6 f3f8 e8f8 f1f8,Mate
r4rk1/pp1q2pp/2n2pn1/2bp1b2/PP6/2P2NBP/4BPP1/RN1Q1RK1 b - -,c5b6 a4a5 b6d8 b1d2 d8c7 a5a6 b7a6 a1a6 c7b6 d2b3,115
8/8/4K2k/2qQ4/5r2/7P/8/8 b - -,c5b6 a4a5 b6d8 b1d2 d8c7 a5a6 b7a6 a1a6 c7b6 d2b3,Mate
rn1q1bkr/pp2p1p1/2p2n1p/4Nb2/3P4/5Q2/PPP2PPP/R1B1KB1R b KQ -,e7e6 c1e3 f5c2 f1c4 d8e8 f3e2 f8b4 e1f1 c2e4 f2f3,-357
8/1Q2R3/5pbk/p2p3p/P2q3P/8/1P4P1/5K2 b - -,,0
8/1p6/p2k4/1b3KP1/8/8/8/2q5 b - -,d4d1 f1f2 d1d2 e7e2 d2d4 e2e3 d4d2 f2f3 g6e4 e3e4,Mate
r5nr/2Ppk1pp/3Np3/2Q1p3/2P5/5P2/Pq4PP/R4RK1 b - -,e7f6 c7c8q a8c8 d6e4 f6g6 c5c8 h7h6 c8e8 g6h7 g1h1,753
2rq1rk1/p2nbppp/b3pn2/3p4/2PN4/6P1/PB1NPPBP/1QRR2K1 b - -,d7b6 c4d5 f6d5 d2b3 b6a4 c1c8 a6c8 d4c6 d8d6 c6e7,50
rnbqkbnr/pp3p1p/2pPp1p1/8/3P4/2P5/PP3PPP/RNBQKBNR b KQkq -,g8f6 b1d2 f8g7 h2h4 e8h8 h4h5 d8d6 d2c4 d6c7 g2g3,75
2kr3r/1ppn1pp1/p3p3/3q3p/1P1P4/PN1BPbP1/1Q3P1R/2R1K3 b - -,d7e5 d3f1 e5g4 h2h4 d5d6 b3d2 f3d5 h4h3 e6e5 e3e4,-166
8/8/4b3/8/2k5/1rR3Bp/1P3P2/5K2 b - -,,0
5r1k/6pb/p6p/P3R3/r3p1P1/7P/4PPB1/3R2K1 b - -,h8g8 g2f1 h7g6 e2e3 g8h7 d1d2 a4a1 g1g2 f8b8 f1a6,242
rn1q1rk1/pbp2p2/1p2p2p/8/2PPPQ2/2PB3P/P5P1/2KR2NR b - -,d8e7 f4h6 f7f6 h6g6 e7g7 g6g7 g8g7 g1f3 b8d7 g2g4,316
8/8/8/8/4k3/2P2bBp/5K2/3r4 b - -,d8e7 f4h6 f7f6 h6g6 e7g7 g6g7 g8g7 g1f3 b8d7 g2g4,Mate
8/8/4bk2/4R3/8/2P1K1Bp/1r3P2/8 b - -,b2c2 e5c5 f6g6 e3f3 c2d2 c5e5 g6f6 e5a5 f6g6 a5a6,9
8/K7/P5k1/7P/8/8/1r6/8 b - -,,0
2r3k1/2q2r1b/2NP1b1p/p1B2p2/P1P3p1/5B2/3Q2PP/1R4K1 b - -,c7d7 b1b7 d7b7 c6e7 f7e7 f3b7 e7b7 c5d4 f6g5 d2a5,1
1r1q1rk1/p1p2ppp/b1p5/2NpP3/P2P4/5N2/1P3PPP/R3Q1K1 b - -,a6c4 e1d2 b8b6 a4a5 b6b5 d2c2 f8e8 b2b3 b5c5 d4c5,70
r1b1k1nr/pppp1ppp/2n2q2/3Q2B1/2B1P3/2b2N2/P4PPP/RN3K1R b kq -,c6e7 g5f6 e7d5 f6c3 d5c3 b1c3 c7c6 a2a4 d7d6 f1e2,310
6b1/8/2k2P2/8/pR3R2/3r3P/5K2/8 b - -,a4a3 f6f7 g8f7 f4f7 d3h3 f7f5 a3a2 f5a5 c6d6 b4a4,342
r1q2rk1/pbpn1ppp/1p2pn2/4N3/2P2B2/2P3P1/P3PPBP/R2Q1RK1 b - -,d7e5 f4e5 b7g2 g1g2 f6d7 e5f4 e6e5 f4e3 d7f6 c4c5,-120
r2qkb1r/pppn1ppp/3p1n2/3P1b2/2P1p3/2N3PN/PP2PPBP/R1BQK2R b KQkq -,d8e7 e1h1 g7g6 f2f3 f5h3 g2h3 f8g7 c1g5 d7c5 b2b4,71
3rr1k1/1p3ppp/p7/n1b2b2/P3nNP1/3BPN1P/1P3P2/R1B2RK1 b - -,a5b3 a1b1 f5d7 a4a5 d7c6 d3c2 b3d2 f3d2 e4d2 c1d2,-89
r1bqkb1r/pp3ppp/2n2n2/2pp4/3P4/1PPB1N2/P4PPP/RNBQK2R b KQkq -,c8g4 e1h1 c5d4 d1e1 f8e7 f3d4 e8h8 c1a3 f8e8 a3e7,-44
8/8/4b3/8/2k5/2P3Bp/5P2/5K2 b - -,,0
6k1/p5r1/2pNp1B1/q3P2Q/1p5P/4n2K/PP3r2/6R1 b - -,f2f3 h5f3 a5e5 d6f7 e5f5 g6f5 g7g1 f5e6 g8f8 f7g5,Mate
3NbK1k/7p/2pB3P/5pn1/5p2/1r6/7b/8 b - -,g5e6 d8e6 b3e3 e6g5 e3e2 d6b4 f4f3 g5f3 e2e3 b4c5,-33
8/7k/R1nr2pp/1p1q1p2/1P1Np3/2P2PQP/1P4P1/6K1 b - -,e4f3 d4c6 f3g2 a6a7 h7h8 c6d4 d5e4 a7a1 f5f4 g3e1,475
3rn3/1k3p2/p3p3/4P3/2R5/2N5/PPP4r/2K3R1 b - -,e8g7 b2b3 g7f5 c3e4 b7b6 g1e1 d8d4 c4c8 a6a5 c8b8,72
3r1b2/3Bnbk1/p4p1p/1p1p2p1/1P1P2NP/P1q1R1B1/5PP1/3Q2K1 b - -,d8c8 e3c3 c8c3 g4f6 e7g8 f6g8 g7g8 g1h2 c3a3 g3e5,546
8/1Q2R3/5p1k/p2p3p/P2q3P/3b4/1P4P1/4K3 b - -,d4f4 b7d5 f4b4 e1d1 b4e7 d5d3 h6g7 d3g3 g7f7 b2b3,27
5bk1/1p3pp1/2q4p/1P6/3B1n2/5P1P/5P2/4QBK1 b - -,c6f3 e1e3 f3e3 d4e3 f8d6 g1h1 f4d5 e3d4 d5c7 d4e3,-8
1r3rk1/p1Q2p2/2p3pp/8/4p1B1/8/PPq3PP/3N1R1K b - -,c2d3 c7f4 f7f5 g4f5 g6f5 d1e3 d3d7 f4h6 f5f4 f1f4,-89
8/8/5K1k/2qQ4/8/7P/8/8 b - -,c2d3 c7f4 f7f5 g4f5 g6f5 d1e3 d3d7 f4h6 f5f4 f1f4,Mate
3Q1k2/p4p2/1p6/3p1p2/3Pp3/1P2P1Pp/P1q4P/2bN2K1 b - -,,0
1R6/5pk1/6pn/p3P1Np/5P1P/1Pr3P1/5K2/8 b - -,c3d3 b8b7 g7g8 g5e4 h6g4 f2f1 d3f3 f1g2 f3d3 b7b8,49
K7/8/P7/7k/8/8/1r6/8 b - -,,0
rn1qkb1r/1pp1pppp/p4n2/4N2b/2B3P1/2N5/PPPP1P1P/R1BQK2R b KQkq -,d8d6 d2d4 h5g6 c1f4 d6b6 d1f3 b8c6 e1a1 e7e6 d4d5,208
2r2rk1/p2nbppp/bq2pn2/3P4/3N4/6P1/PB1NPPBP/1QRR2K1 b - -,c8c1 d1c1 e6d5 c1c6 b6b7 d2b3 f8b8 b1c1 e7f8 c6c2,81
r3kb1r/1p1b1ppp/p3pn2/8/3N1B2/2PB4/PP3PPP/R3K2R b KQkq -,f8c5 d4b3 c5b6 b3d2 f6d5 f4g3 e8a8 d3c2 b6c7 g3c7,-8
rn1qkbnr/pp3pp1/3pb3/3Np2p/2B1P3/5N2/PPP2PPP/R1BQK2R b KQkq -,f8e7 d1d3 b8d7 c1e3 a8c8 e1a1 d7c5 e3c5 c8c5 h2h3,84
8/5ppk/4bn2/3p3p/1b1P4/7P/2R2PPB/7K b - -,h5h4 h2b8 h7g6 h1g1 f6e4 b8a7 b4e7 c2b2 e7f6 b2b3,-260
4bK1k/7p/2pBN2P/5p2/5p2/1r6/7b/8 b - -,b3e3 e6g5 e3e2 d6b4 f4f3 g5f3 e2e3 b4c5 e3d3 f3h2,-35
1r4k1/6pp/8/p2R4/3p4/PP3P2/2P3PP/2K5 b - -,b8b6 d5d4 b6g6 d4d2 g8f8 c1b2 f8e7 b3b4 h7h5 b2c3,542
r1b1kb1r/ppp1qppp/2Pp4/8/8/2n2N1P/PP1K1PP1/RNBQ1B1R b kq -,c3d1 f1b5 b7c6 b5c6 c8d7 c6a8 e7d8 h1e1 f8e7 a8d5,-379
2r4k/6rp/p1b1p3/1p1pPpp1/3P1P2/P1RB3P/1P4P1/2R3K1 b - -,g5f4 c3c6 c8g8 d3f1 f4f3 c1c2 f5f4 c6c8 g7g3 c8g8,397
r3brk1/pp3p2/1n2p1p1/1q1P2B1/4B1pQ/8/PP3PPP/R2R2K1 b - -,b6d5 d1d5 b5b2 g5f6 b2f6 h4f6 e6d5 e4d5 g8h7 h2h4,610
6b1/5P2/2k5/8/1R3R2/p2r3P/5K2/8 b - -,g8f7 f4f7 a3a2 f7a7 d3h3 a7a5 h3h2 f2g3 h2h1 a5a2,352
1rbq1rk1/p1p2ppp/2p5/2NpP3/PP1P4/5N2/5PPP/R3Q1K1 b - -,c8f5 h2h3 f5e4 e5e6 f7f6 c5d7 f8e8 d7b8 d8b8 f3d2,-7
3R2k1/p4pp1/4b2p/1p6/3P4/P4B1P/3r1PPK/8 b - -,g8h7 d4d5 e6f5 g2g4 f5c2 d8b8 a7a6 b8b6 g7g5 h2g3,18
2b5/5k2/p2bp3/1p6/6p1/2PK4/PP3PPP/3B4 b - -,d6c5 d1g4 c5f2 g4f3 f7f6 d3e2 f2c5 b2b4 c5f8 f3c6,-251
7r/p4k2/5n2/2pprP2/4b3/4B3/PP3R2/3K1BR1 b - -,e4f5 e3c5 f6e4 f2e2 d5d4 c5a7 d4d3 e2e3 h8a8 a7d4,-4
r4rk1/p2b1ppp/1qp1p3/P2pPnB1/1b1P4/2N2N2/1P3PPP/R2Q1RK1 b - -,,0
3R4/4bk2/p1Qp2p1/1r4P1/q4p2/5P2/PP6/1KR5 b - -,e7d8 c6d6 a4b4 d6b4 b5b4 c1c5 d8e7 c5a5 b4b6 b1c2,-530
2r2rk1/p2nbppp/bq2p3/3n4/3N4/6P1/PB1NPPBP/Q1RR2K1 b - -,e7f6 d2e4 f6e5 c1b1 b6a5 a2a4 h7h6 d4b3 e5b2 b1b2,28
K7/P7/6k1/8/8/8/1r6/8 b - -,,0
6rk/1pp2rb1/P2pN2p/Q2P4/2P2pq1/P4N2/5PP1/1R3RK1 b - -,g7e5 e6g5 g8g5 f3g5 f4f3 g5f3 f7g7 f3h4 g4h4 f1d1,-450
