FEN Position,Line of Moves,Evaluation Score
2r2k2/2r2Pb1/3p4/1q2p2p/pp2P3/1B2BP2/PPPQ4/1K1R4 w - -,b8c6 e5f6 d8f6 d1f3 f6e7 g1e2 e8h8 e1a1 f8d8 f3g3,Mate
5Q2/1k1r4/8/2K5/8/8/8/8 w - -,b8c6 e5f6 d8f6 d1f3 f6e7 g1e2 e8h8 e1a1 f8d8 f3g3,Mate
r1bqkb1r/ppp1n1pp/3p1n2/3Ppp2/2P1P3/2NB1N2/PP3PPP/R1BQK2R b KQkq -,a7a5 c1g5 f5e4 c3e4 e7g6 f3h4 g6h4 e4f6 g7f6 g5h4,188
4Br1k/1P2b1pp/7q/p3p3/2Qp4/5p2/PP4PP/2RR2K1 b - -,a7a5 c1g5 f5e4 c3e4 e7g6 f3h4 g6h4 e4f6 g7f6 g5h4,Mate
rn1qkb1r/pp1bpppp/3p1n2/2p5/4P3/2P2N2/PP1PBPPP/RNBQK2R w KQkq -,d2d4 c5d4 d1d4 e7e5 d4e3 d7c6 e2d3 b7b5 e1h1 b8d7,-25
3qbbk1/1p3nr1/pN1p1n2/P2Pp3/1P2PpP1/B7/4BNP1/3Q1RK1 w - -,a3b2 f7h6 g4g5 g7g5 d1c2 g5g3 f1c1 e8h5 e2h5 f6h5,-262
5Q2/1k1r4/8/1K6/8/8/8/8 b - -,a3b2 f7h6 g4g5 g7g5 d1c2 g5g3 f1c1 e8h5 e2h5 f6h5,Mate
3qbbk1/1p3nr1/pN1p1n2/P2Pp3/1P2PpP1/B7/2Q1BNP1/5RK1 b - -,f7h6 c2c8 d8c8 b6c8 e8b5 e2b5 a6b5 c8a7 h6g4 f2g4,-160
5Q2/1k6/8/1K1r4/8/8/8/8 w - -,g7h7 c2c8 d8c8 b6c8 f7g5 f1c1 e8g6 b4b5 g5e4 f2e4,Mate
r1bqkb1r/ppp1n2p/3p1np1/3Ppp2/2P1P3/2NB1N2/PP3PPP/R1BQK2R w KQkq -,h2h4 f8g7 h4h5 g6h5 c1g5 e8h8 d1c2 d8e8 g5f6 f8f6,98
r1bqkbnr/ppp3pp/2n2p2/3pp3/3P1B2/4P3/PPPN1PPP/R2QKBNR w KQkq -,g2g3 e5f4 g3f4 c8e6 g1e2 d8d7 a2a3 e8a8 c2c4 d5c4,-435
5Q2/1k1r4/8/8/2K5/8/8/8 w - -,g2g3 e5f4 g3f4 c8e6 g1e2 d8d7 a2a3 e8a8 c2c4 d5c4,Mate
1k6/1pp2pp1/p1p5/8/8/2P2Pp1/PP1B2P1/R3KNq1 b - -,g1f2 e1d1 f2f1 d2e1 f1g2 e1g3 g2g3 d1e2 g3g2 e2e3,-1019
r2qkb1r/ppp1pppp/2n2n2/3p1b2/3P1B2/2N2N2/PPP1PPPP/R2QKB1R w KQkq -,e2e3 e7e6 f1b5 f6d7 e1h1 f8d6 c3e2 c6e7 h2h3 e8h8,27
r1bqkb1r/pp2pppp/2np1n2/2p5/4P3/2P2N2/PP1PBPPP/RNBQK2R w KQkq -,d2d4 e7e6 d4d5 e6d5 e4d5 c6e7 c3c4 b7b5 b1c3 b5c4,59
8/1k6/7R/R7/8/8/8/3K4 w - -,d1a4 c8d7 d2d3 e7e5 e1h1 f8e7 a4d1 a7a6 a2a4 d6d5,Mate
3qbbk1/1p6/pN1p1n1n/P2Pp3/1P2Pp2/6r1/1BQ1BNP1/2R3K1 b - -,e8h5 f2h1 g3g7 c2d3 d8e8 e2f1 e8g6 c1c8 h5g4 c8b8,-602
r1bqk2r/pppp1ppp/2n2n2/2b5/2BpP3/2P2N2/PP3PPP/RNBQ1RK1 b kq -,c6e7 c3d4 c5b6 e4e5 f6e4 d4d5 d7d6 d1e2 e4c5 b2b4,230
8/3r4/1k6/8/2K5/5Q2/8/8 w - -,c6e7 c3d4 c5b6 e4e5 f6e4 d4d5 d7d6 d1e2 e4c5 b2b4,Mate
rnbqkbnr/pp2pppp/8/2pp4/8/3P1NP1/PPP1PP1P/RNBQKB1R b KQkq -,b8c6 f1g2 e7e5 e1h1 f8e7 b1a3 g8f6 e2e4 e8h8 f1e1,-32
rnbqk2r/ppp2p2/4pn1p/3pP1p1/1b1P3B/2N5/PPP2PPP/R2QKBNR w KQkq -,d1d3 g5h4 e5f6 d8f6 e1a1 b8c6 a2a3 b4e7 c3b5 e7d8,-138
rk5r/ppp4p/1Nn2b2/6B1/3p4/8/PPP2PPP/R5K1 w - -,g5f6 a7b6 f6h8 c6b4 a2a3 c7c5 a1c1 b4c6 c1e1 b8c7,141
r1bqkbnr/pp2pppp/2n5/2pp4/8/3P1NP1/PPP1PP1P/RNBQKB1R w KQkq -,d3d4 c5d4 f3d4 e7e5 d4c6 b7c6 f1g2 a8b8 c2c4 g8f6,-58
rnbqkb1r/pppppp1p/8/6p1/3Pn2B/8/PPP1PPPP/RN1QKBNR w KQkq -,g2g4 g5h4 f2f3 e4f6 g4g5 f6d5 d1d2 f8g7 e2e4 d5b6,-578
rn1qkbnr/pp1bpppp/3p4/1Bp5/4P3/5N2/PPPP1PPP/RNBQK2R w KQkq -,b5d7 d8d7 c2c4 g8f6 b1c3 b8c6 d2d4 d7g4 d4d5 c6d4,37
r2qkb1r/pppnnppp/3p4/8/4P3/5N2/PPP2PPP/RNBQ1RK1 w kq -,b1c3 e7g6 d1d5 c7c6 d5d1 f8e7 f3d4 e8h8 d4f5 d7f6,97
rnbq4/pp1p1kpp/2pb1n2/4p3/4P3/2N5/PPPP1PPP/R1BQK2R w KQ -,d2d4 e5d4 d1d4 d8e7 c1e3 d6e5 d4c4 f7f8 e1h1 b8a6,-206
r1bqkb1r/pp3ppp/2nppn2/2p3B1/4P3/2PP1N2/PP2BPPP/RN1QK2R b KQkq -,h7h6 g5f6 d8f6 e1h1 d6d5 b1a3 f8e7 e4d5 e6d5 d3d4,-28
rnbqk2r/ppp2p2/4pP1p/3p4/1b1P3p/2N5/PPP2PPP/R2QKBNR w KQkq -,d1d2 d8f6 e1a1 b8c6 a2a3 b4e7 c3b5 e7d8 d2e3 c8d7,-130
3q1bk1/1p6/pN1p2b1/P2Pp3/1PR1Ppr1/8/1B3QP1/6K1 b - -,d8e7 f2e2 g4h4 c4c3 e7h7 c3h3 h4h3 g2h3 h7h3 e2g2,-629
r1bqkbnr/pp2pppp/2n5/2pp4/8/3P1NP1/PPP1PPBP/RNBQK2R b KQkq -,e7e5 e1h1 g8f6 c1g5 f8e7 f3d2 c8e6 e2e4 d5d4 a2a4,-66
rnbqkbnr/ppp2ppp/3p4/4p3/2PP4/8/PP2PPPP/RNBQKBNR w KQkq -,e2e3 f7f5 b1c3 g8f6 f1e2 c7c6 g1h3 f8e7 e1h1 e8h8,46
8/1k1r4/5Q2/8/2K5/8/8/8 w - -,c1e3 g8f6 b1c3 e5d4 e3d4 b8c6 d4f6 d8f6 g2g3 g7g6,Mate
rnbqkbnr/pppp1ppp/8/4p3/5P2/3P4/PPP1P1PP/RNBQKBNR b KQkq -,g8h6 g1f3 d7d6 e2e4 b8c6 b1c3 g7g6 f4e5 d6e5 c3d5,60
8/2kr4/4Q3/8/2K5/8/8/8 w - -,g8h6 g1f3 d7d6 e2e4 b8c6 b1c3 g7g6 f4e5 d6e5 c3d5,Mate
5bk1/1p5q/pN1p2b1/P2Pp3/1PR1P2r/2B1Qp2/5KP1/8 b - -,f3g2 e3g3 h4h3 f2g2 h3g3 g2g3 g6e4 c4e4 h7e4 b6a4,-1109
rnbqk2r/ppp2p2/4pn1p/3pP1p1/1b1P4/2N3B1/PPP2PPP/R2QKBNR b KQkq -,f6h7 d1d2 h7f8 h2h4 f8g6 g1f3 b4e7 h4g5 e7g5 f3g5,186
rn2kbnr/pp1qpppp/3p4/2p5/4P3/5N2/PPPP1PPP/RNBQ1RK1 b kq -,d7c7 c2c3 g7g6 f1e1 f8g7 d2d4 b8d7 b1a3 a7a6 e4e5,73
r2qkbnr/pp1b1ppp/2n1p3/2pp4/8/3P1NP1/PPPNPPBP/R1BQK2R w KQkq -,e2e4 f8d6 e1h1 g8e7 e4d5 e6d5 c2c4 e8h8 f3g5 c6e5,50
rnbqkb1r/pp1ppppp/8/2p5/3Pn2B/8/PPPNPPPP/R2QKBNR b KQkq -,f7f5 e2e3 d8b6 d2e4 f5e4 g1e2 b6b2 a1b1 b2a2 e2c3,103
r1bqk2r/pppp1ppp/2n5/2b5/2Bpn3/2P2N2/PP3PPP/RNBQ1RK1 w kq -,f1e1 d7d5 c3d4 c5b4 c1g5 d8d6 b1c3 b4c3 b2c3 e8h8,-126
8/2k5/R7/1R6/8/8/8/3K4 w - -,d1d3 d7d5 c4b3 c5b6 c3d4 e8h8 b1c3 c8f5 d3b5 c6d4,Mate
4Br1k/1P2b1pp/8/p3p3/2Qp4/4qp2/PP4PP/2RR3K b - -,d1d3 d7d5 c4b3 c5b6 c3d4 e8h8 b1c3 c8f5 d3b5 c6d4,Mate
r2qkbnr/pp1b1ppp/2n1p3/2pp4/8/3P1NP1/PPPNPPBP/R1BQ1RK1 b kq -,a7a5 e2e4 f8e7 h2h3 g8h6 f1e1 e8h8 c2c3 a5a4 d2f1,68
rnbqk2r/ppp2p2/4p2p/3pP1p1/1b1Pn3/2N3B1/PPP2PPP/R2QKBNR w KQkq -,f1b5 c8d7 b5d3 e4c3 d1d2 c3a2 c2c3 a2c3 b2c3 b4e7,-126
3k4/3r4/4Q3/2K5/8/8/8/8 w - -,f1b5 c8d7 b5d3 e4c3 d1d2 c3a2 c2c3 a2c3 b2c3 b4e7,Mate
r1bqk2r/pppp1ppp/2n5/2b5/2BPn3/5N2/PP3PPP/RNBQ1RK1 b kq -,d7d6 d4c5 e8h8 f1e1 e4f2 g1f2 c8g4 c1g5 d8d7 f2g1,684
rnbqkbnr/ppp2ppp/3p4/4p3/2PP4/4P3/PP3PPP/RNBQKBNR b KQkq -,f8e7 b1c3 f7f5 f1e2 c7c6 b2b3 b8a6 c1b2 g8h6 g1f3,46
rnbqkb1r/pp2pppp/5n2/2pp4/2P5/1P3N2/P2PPPPP/RNBQKB1R w KQkq -,c1b2 d5d4 b3b4 a7a6 e2e3 d4e3 f2e3 c5b4 f1e2 e7e6,-81
8/1k6/R7/7R/8/8/8/3K4 w - -,c1b2 d5d4 b3b4 a7a6 e2e3 d4e3 f2e3 c5b4 f1e2 e7e6,Mate
rnbqkbnr/pppp1ppp/4p3/8/3P4/3Q4/PPP1PPPP/RNB1KBNR b KQkq -,d7d5 e2e4 d5e4 d3e4 g8f6 e4d3 c7c5 g1f3 c5d4 f3d4,-41
3k4/2r5/2K1Q3/8/8/8/8/8 w - -,b8c6 a2a3 d7d5 g1f3 f8d6 c1g5 f7f6 g5h4 e6e5 d4e5,Mate
rnbqkb1r/pppp1p1p/5n1p/4p3/8/8/PPPPPPP1/RNBQKBNR w KQkq -,d2d3 d7d5 c1h6 f8h6 h1h6 b8c6 d1d2 d8e7 e2e4 c8e6,-150
rnbqkb1r/pp2pppp/5n2/2pp4/2P5/1P3N2/PB1PPPPP/RN1QKB1R b KQkq -,d5d4 b3b4 a7a6 e2e3 d4e3 f2e3 c5b4 d2d4 g7g6 a2a3,-70
4Br1k/1P2b1pp/8/p3p3/2Qp4/4q3/PP4KP/2RR4 b - -,c8f5 c4d5 f6d5 d2d3 f5g4 e2e3 f7f6 d3d4 d8a5 b1d2,Mate
rnbqk1nr/pp1p1ppp/2p1p3/8/1bBPP3/2N5/PPP2PPP/R1BQK1NR b KQkq -,g8e7 e4e5 d7d5 e5d6 e7d5 c1d2 b4d6 g1f3 d5c3 d2c3,60
5bk1/1p6/pN1p4/P2Pp1Qb/1PR1P3/2B2r2/3K4/7q b - -,g8e7 e4e5 d7d5 e5d6 e7d5 c1d2 b4d6 g1f3 d5c3 d2c3,Mate
rnbqk1nr/pppp1ppp/8/2b1p3/2P5/2N1P3/PP1P1PPP/R1BQKBNR b KQkq -,d7d6 d2d4 e5d4 e3d4 c5b6 g1f3 g8e7 b2b4 c7c6 h2h3,90
rnbqkbnr/p4ppp/2p1p3/8/PppPP3/5N2/NP3PPP/R1BQKB1R b KQkq -,c8b7 f1c4 g8f6 e1h1 f8e7 c1g5 e8h8 g5f6 e7f6 a2b4,47
rnbqkbnr/pp3ppp/4p3/2pp4/2PP4/2N2N2/PP2PPPP/R1BQKB1R b KQkq -,d8a5 c4d5 e6d5 e2e4 d5e4 f3e5 c5d4 f1b5 c8d7 e5d7,183
8/3n2pp/p4k2/4pp2/2RP1K1P/4PPP1/8/8 w - -,d4e5 d7e5 g3g4 e5c4 g4g5 f6e6 e3e4 f5e4 f4e4 c4d6,-856
r1b1k2r/pp3p2/2n1p2p/q1ppP1p1/3P4/P1P3B1/2PQ1PPP/R3KB1R w KQkq -,d4c5 c8d7 f1d3 a5c5 a1b1 e8a8 f2f3 d5d4 c3d4 c5d4,47
rnbqkbnr/pppppp1p/6p1/8/3P4/5N2/PPP1PPPP/RNBQKB1R b KQkq -,d7d5 c2c4 c7c6 c4d5 c6d5 b1c3 g8f6 c1f4 b8c6 e2e3,67
3k4/2r5/4Q3/8/2K5/8/8/8 w - -,c4b5 c7b7 b5a6 b7e7 e6d5 e7d7 d5e5 d7e7 e5g5 d8e8,6452
8/3n2pp/p4k2/4Pp2/2R2K1P/4PPP1/8/8 b - -,f6f7 f4f5 f7e7 c4c6 a6a5 e5e6 d7f6 f5e5 a5a4 c6c7,1055
r1bqkb1r/pp1ppppp/2n2n2/8/3NP3/2N5/PPP2PPP/R1BQKB1R b KQkq -,h8g8 f1e2 d7d6 e1h1 g7g5 c1e3 h7h6 d1d2 c8d7 d4c6,163
3k4/1r6/4Q3/8/8/1K6/8/8 w - -,h8g8 f1e2 d7d6 e1h1 g7g5 c1e3 h7h6 d1d2 c8d7 d4c6,Mate
8/6pp/p4k2/4np2/2R2K1P/4PPP1/8/8 w - -,c4c6 e5c6 e3e4 a6a5 f4e3 a5a4 e3d2 a4a3 d2c2 c6b4,Mate
rn2kb1r/pp1qpppp/3p1n2/2p5/4P3/5N2/PPPP1PPP/RNBQR1K1 b kq -,a7a6 d2d4 c5d4 c1g5 f6g4 f3d4 h7h6 g5d2 g4f6 c2c4,47
6k1/1p4b1/pN1p4/P2Pp1Qb/1PR1P3/8/2KB1r2/7q b - -,a7a6 d2d4 c5d4 c1g5 f6g4 f3d4 h7h6 g5d2 g4f6 c2c4,Mate
rnbqkb1r/ppp2ppp/5n2/3P4/2B2p2/5N2/PPPP2PP/RNBQK2R b KQkq -,f8b4 d1e2 b4e7 d2d4 c7c6 d5d6 d8d6 e1h1 e8h8 c1f4,42
rnbq1rk1/ppp1ppbp/3p1np1/8/2B1P3/2NP1N2/PPP2PPP/R1BQ1RK1 b - -,e7e6 d3d4 b7b6 f1e1 c8b7 a2a4 f6e4 c3e4 b7e4 e1e4,39
rnbqkb1r/ppp2ppp/8/3n4/2B2p2/5N2/PPPP2PP/RNBQK2R w KQkq -,c2c3 d8e7 d1e2 e7e2 c4e2 b8c6 e2c4 c8e6 d2d4 f7f6,-160
rnbqk2r/pppp1ppp/5n2/4p3/1bP5/2N3P1/PP1PPPBP/R1BQK1NR b KQkq -,d8e7 e2e4 b4c5 d2d3 d7d6 g1e2 b8c6 h2h3 a7a5 e1h1,67
r1bqkb1r/pp3ppp/2nppn2/6B1/3NP3/2N5/PPPQ1PPP/R3KB1R b KQkq -,h7h6 g5f6 g7f6 e1a1 a7a6 f2f4 c8d7 d4c6 d7c6 f4f5,101
3k4/3r4/2K1Q3/8/8/8/8/8 b - -,d7c7 c6b5 c7b7 b5a6 b7e7 e6f5 d8c7 f5d5 e7e8 d5f7,Mate
r6r/2qknP1p/p5p1/1p2pB2/8/2P1B3/P1PR2PP/5RK1 b - -,d7c7 c6b5 c7b7 b5a6 b7e7 e6f5 d8c7 f5d5 e7e8 d5f7,Mate
rnbqk2r/pp1p1ppp/2p2n2/4p3/1bP5/2N3P1/PP1PPPBP/R1BQK1NR w KQkq -,e2e4 b4c3 d2c3 d7d6 g1e2 a7a5 h2h3 a5a4 c1e3 e8h8,21
r1bqk2r/pppp1ppp/2n1pn2/8/1bPP4/2N2N2/PPQ1PPPP/R1B1KB1R b KQkq -,b4a5 c1d2 a5c3 d2c3 d7d5 e2e3 e8h8 a2a3 b7b6 b2b3,123
r1bq1rk1/pppp1ppp/2n2n2/2b1p3/2B1P3/2PP1N2/PP3PPP/RNBQ1RK1 b - -,h7h6 b2b4 c5b6 a2a4 a7a6 f1e1 d7d6 h2h3 c8e6 b1d2,43
rnbqk2r/ppppppbp/5np1/8/2PP1B2/5N2/PP2PPPP/RN1QKB1R b KQkq -,c7c6 b1c3 d7d6 h2h3 b8d7 e2e3 e7e5 f4h2 e8h8 f1e2,73
r1bqk2r/pppp1ppp/2n2n2/4p3/1bB1P3/2N2N2/PPPP1PPP/R1BQK2R w KQkq -,c3d5 f6e4 d1e2 e4d6 d5b4 c6b4 e2e5 d8e7 e5e7 e8e7,67
rn1qkb1r/pp3ppp/2p1p3/4Pb2/3Pp3/6P1/PPP2PBP/R1BQK1NR w KQkq -,g3g4 f5g6 g1e2 c6c5 h2h4 h7h5 e2f4 g6h7 g4g5 h7f5,98
r1bqk2r/ppp2ppp/2nppn2/8/1bPP4/2N2N2/PPQ1PPPP/R1B1KB1R w KQkq -,c1d2 e8h8 a2a3 b4c3 d2c3 f8e8 e2e3 e6e5 d4e5 c6e5,74
r1bqk2r/pppp1ppp/5n2/4P3/4P3/2b5/PPP2PPP/R1BQKB1R w KQkq -,d1d2 c3d2 c1d2 f6e4 f1d3 e4c5 d3e2 d8e7 f2f4 c5e4,-1157
rnbq1rk1/pp1p1ppp/2p2n2/4p3/1bP5/2N1P1P1/PP1P1PBP/R1BQK1NR w KQ -,g1e2 d7d5 c4d5 c6d5 d2d4 e5e4 h2h3 f8e8 e1h1 b8c6,-79
r1bqk2r/ppp1ppbp/2n2np1/3pN3/3P1B2/3BP3/PPP2PPP/RN1QK2R b KQkq -,f6h5 e5c6 b7c6 f4e5 f7f6 e5g3 a8b8 g3h4 f6f5 b1d2,-50
r1bqk2r/ppp2ppp/2nppn2/8/1bPP4/2N2N2/PPQBPPPP/R3KB1R b KQkq -,e6e5 a2a3 b4c3 d2c3 d8e7 d4d5 c6b8 e2e4 e8h8 f1e2,82
rnbqkb1r/pp3ppp/3ppn2/2p3N1/2B1P3/8/PPPP1PPP/RNBQK2R w KQkq -,b1c3 a7a6 c4b3 b7b5 a2a3 f8e7 e1h1 e8h8 d2d3 h7h6,-83
r1bq1rk1/ppp2ppp/2nppn2/8/1bPP4/2N2N2/PPQBPPPP/R3KB1R w KQ -,e2e3 e6e5 d4e5 d6e5 a2a3 b4c3 d2c3 f8e8 f1e2 d8e7,83
rn2kb1r/pp1q1ppp/3ppn2/2p5/2P1P3/5N2/PP1P1PPP/RNBQR1K1 b kq -,h7h6 b1c3 f8e7 d2d4 c5d4 f3d4 b8c6 c1e3 e8h8 d1e2,46
r2q1rk1/3nppbp/3p1np1/2pP4/4P3/2N2NP1/PP3PKP/R1BQR3 b - -,d8b8 h2h3 b8b7 d1c2 f8b8 a1b1 f6e8 c1g5 h7h6 g5d2,125
r1bq1rk1/ppp2ppp/2np4/2b1p3/2B1P1n1/2PP1N2/PP3PPP/RNBQR1K1 w - -,g1f1 c5f2 e1e2 f2b6 h2h3 g4f6 d1e1 d6d5 e4d5 f6d5,-307
r1bqk1nr/pppp1ppp/8/4P3/4P3/2P5/P1P2PPP/R1BQKB1R w KQkq -,d1g4 e8f8 c1a3 g8e7 g4h5 f8g8 f2f4 d8e8 f1c4 d7d6,608
rnbqkb1r/pppppppp/5n2/8/3P4/6P1/PPP1PP1P/RNBQKBNR b KQkq -,b7b6 f1g2 d7d5 c2c4 c7c6 g1f3 e7e6 e1h1 f8e7 b1c3,61
r2r2k1/Q1q2ppp/8/pp1RP3/8/1pP5/1P3PPP/3R2K1 b - -,d8c8 a7c7 h7h6 d5d8 c8d8 d1d8 a8d8 c7d8 g8h7 d8a5,7234
8/4k3/1Q6/4r3/2K5/8/8/8 w - -,c4d4 e5h5 b6c7 e7e6 c7d8 e6f7 d8d7 f7f6 d7d6 f6f7,6126
rnbqkbnr/ppp1pppp/3p4/8/2PP4/8/PP2PPPP/RNBQKBNR b KQkq -,g8h6 b1c3 g7g6 h2h4 f8g7 h4h5 b8c6 g1f3 h6g4 h5h6,123
rnbq1rk1/pp1p1ppp/2p2n2/4p3/1bP5/2N1P1P1/PP1PNPBP/R1BQK2R b KQ -,d7d5 c4d5 c6d5 e1h1 b8c6 d2d4 e5e4 h2h3 f8e8 c1d2,-78
r1b1k2r/ppp2ppp/2pq4/2b5/2B1P1n1/2N5/PPPP1PPP/R1BQ1RK1 w kq -,f1e1 d6h2 g1f1 h2h1 f1e2 h1g2 e1f1 g4f2 d2d4 f2d1,-1819
r1bq1rk1/pppp1ppp/2n1pn2/8/1bPP4/2N2N2/PPQ1PPPP/R1B1KB1R w KQ -,c1d2 d7d5 e2e3 b7b6 a2a3 b4c3 d2c3 c8a6 c2a4 a6b7,64
8/2P5/1K6/3r4/8/8/8/k7 b - -,e2e4 d7d6 f1d3 e6e5 d4d5 c6e7 e1h1 b4c3 c2c3 e7g6,Mate
rnbqkbnr/pp2pppp/2p5/8/2pP4/4PN2/PP3PPP/RNBQKB1R b KQkq -,b8d7 f1c4 g8f6 b1c3 e7e6 e3e4 b7b5 c4d3 b5b4 c3a4,122
r1bqk2r/pppp1ppp/5n2/4P3/4P3/2P5/P1P2PPP/R1BQKB1R b KQkq -,e8h8 e5f6 d8f6 d1f3 f6e5 c1f4 e5c5 a1d1 b7b6 e4e5,591
r1k4r/ppp1n2p/8/2N5/3p4/8/PPP2PPP/R5K1 w - -,a1e1 b7b6 c5e6 e7f5 g2g4 f5h4 e1e4 c8d7 e6d4 a8e8,-658
r1bq1rk1/pppp1ppp/2n1pn2/8/1bPP4/2N2N2/PPQBPPPP/R3KB1R b KQ -,a7a5 e2e4 d7d6 a2a3 b4c3 d2c3 e6e5 d4e5 d6e5 f3e5,88
rnbqkb1r/ppp1pppp/5n2/3p4/2PP4/2N2N2/PP2PPPP/R1BQKB1R b KQkq -,b8c6 c4d5 f6d5 e2e4 d5c3 b2c3 e7e6 f1d3 f8d6 e4e5,221
2Q5/8/5k2/4r3/3K4/8/8/8 b - -,e5e7 c8c6 e7e6 c6c3 e6e5 c3c7 e5h5 c7f4 f6e7 f4g3,5370
rnbqkb1r/pp2nppp/4p3/2ppP3/3P4/2P2N2/PP3PPP/RNBQKB1R b KQkq -,a7a6 f1d3 b8c6 e1h1 c5d4 c3d4 c6b4 d1a4 e7c6 d3e2,69
r1bq1rk1/ppp2ppp/2nppn2/8/1bPP4/P1N2N2/1PQBPPPP/R3KB1R b KQ -,f8e8 a3b4 c6b4 c2d1 e6e5 d4d5 e5e4 c3e4 f6e4 d2b4,613
r1bqk2r/pppp1ppp/8/4P3/4n3/2P5/P1P2PPP/R1BQKB1R w KQkq -,d1g4 d7d5 g4g7 h8f8 c1h6 e8e7 g7f8 d8f8 h6f8 e7f8,578
rnbqkbnr/pppppp1p/6p1/8/4P3/1P6/P1PP1PPP/RNBQKBNR b KQkq -,f8g7 b1c3 c7c5 g2g3 d7d6 f1g2 b8c6 c1b2 e7e5 d2d3,-54
2Q5/8/5k2/8/3K4/8/8/4r3 w - -,c8d8 f6f7 d8d5 f7f8 d5f3 f8e7 d4d5 e1e6 f3g3 e6a6,15265
r1k4r/p1p1n2p/1p6/2N5/3p4/8/PPP2PPP/4R1K1 w - -,c5e6 e7f5 g1f1 h8e8 g2g4 f5e3 f2e3 e8e6 e3d4 e6f6,-676
r1bqk2r/pppp1ppp/8/4P3/4n1Q1/2P5/P1P2PPP/R1B1KB1R b KQkq -,d7d6 g4e4 d6d5 e4f4 e8h8 f1d3 c7c5 c3c4 d5c4 f4c4,559
q5k1/p3bppp/4p3/8/3r1B2/6P1/P3PP1P/1R3RK1 w - -,f1e1 d4d8 f4e3 a7a5 e1d1 d8e8 b1c1 a8a6 e3c5 e7f6,-528
rnbq1rk1/ppp1ppbp/3p1np1/8/3P1B2/2P1PN2/PP3PPP/RN1QKB1R w KQ -,a2a4 f6h5 f4g5 h7h6 g5h4 f7f5 f3d2 d8e8 f1e2 h5f6,-16
r1bqk2r/ppp1ppbp/2n2np1/3pN3/3P1B2/4P3/PPP2PPP/RN1QKB1R w KQkq -,f1b5 c8d7 b5c6 d7c6 e5c6 b7c6 f4e5 e8h8 e1h1 f6h5,69
rnbqkb1r/pppp1ppp/8/8/4n3/5N2/PPPP1PPP/RNBQKB1R b KQkq -,d7d5 d2d3 e4f6 d3d4 f8d6 f1d3 e8h8 e1h1 c8g4 c1e3,-20
r1bq1rk1/p4ppp/1pnbpn2/2ppN3/3P4/1P1BP3/PBPN1PPP/R2Q1RK1 b - -,c8d7 e5d7 f6d7 c2c4 c5d4 c4d5 e6d5 e3d4 c6b4 d3b1,73
rnbqkb1r/pp1ppppp/8/2p5/3Pn2B/5P2/PPP1P1PP/RN1QKBNR b KQkq -,d8b6 f3e4 b6b2 b1d2 c5d4 a1b1 b2c3 g1f3 b8c6 b1b3,359
rnbqkbnr/pp2ppp1/2p4p/3p4/3P1B2/5N2/PPPNPPPP/R2QKB1R b KQkq -,g8f6 c2c4 d5c4 d2c4 c8f5 e2e3 f6d5 f1d3 f5d3 d1d3,74
rn1qkb1r/pp2pppp/5n2/3p4/6b1/4P1P1/PP1P1PBP/RNBQK1NR w KQkq -,d1a4 b8c6 b1c3 e7e6 g1e2 f8d6 e2d4 d8b6 h2h3 g4h5,-91
rn1qkb1r/pp2pppp/5n2/3p4/6b1/4P1P1/PP1PNPBP/RNBQK2R b KQkq -,b8c6 b1c3 h7h5 h2h3 g4f5 d2d4 d8d7 h3h4 a8c8 f2f3,-24
rnbqkb1r/ppp2ppp/3p1n2/4p3/2PP4/4P3/PP3PPP/RNBQKBNR w KQkq -,b1c3 g7g6 g2g3 c7c6 f1g2 b8a6 g1e2 f8g7 e1h1 e8h8,62
rnbqk2r/pppp1pb1/7p/4P1p1/2P3nP/5NB1/PP2PPP1/RN1QKB1R b KQkq -,h6h5 b1c3 b8c6 h4g5 g4e5 f3e5 c6e5 e2e3 d7d6 h1h5,400
rnbq1rk1/ppp1ppbp/3p1np1/8/2P5/2N1P1P1/PP1PNPBP/R1BQK2R b KQ -,b8a6 e3e4 e7e5 e1h1 c7c6 h2h3 c8e6 d2d3 d8d7 g1h2,38
5Q2/8/8/6k1/3K4/8/8/4r3 w - -,f8f3 e1e7 f3a3 g5f6 a3d6 e7e6 d6f4 f6g6 d4d5 e6a6,15414
6Q1/8/8/6k1/3K4/8/8/4r3 b - -,g5f4 g8f7 f4g5 f7f3 e1e8 f3g3 g5f5 g3h4 e8g8 h4f2,106
rnbqkbnr/pp2pppp/8/3p4/8/6P1/PP1PPP1P/RNBQKBNR w KQkq -,d2d3 e7e5 f1g2 b8c6 g1f3 h7h6 e1h1 g8f6 a2a3 f8d6,-72
6Q1/8/8/8/3K1k2/8/8/4r3 w - -,g8b8 f4f3 b8f8 f3g3 f8b4 e1e2 b4c3 g3g4 c3c8 g4g3,15414
rnbqkb1r/ppp1pp1p/5np1/4P3/8/2N5/PPP2PPP/R1BQKBNR b KQkq -,c7c6 d1d8 e8d8 e5f6 c8f5 f6e7 f8e7 c1e3 f5c2 a1c1,889
rnbqkb1r/ppp2ppp/5p2/3p4/3P4/8/PPP1PPPP/RN1QKBNR w KQkq -,d1d2 b8d7 e2e3 d7b6 f1d3 a7a5 g1e2 c7c6 e1h1 a5a4,-52
